site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
OHRI 05DEC04 2005.9247 53708 1352 0  -82.6   3321  0.437808   4514826  0.671651   364  0.258856  0.0000 0.000679 0.000885 0.002667  0.099260 -0.045013 -0.044376
OHRI 06AUG28 2006.6557 53975 1390 1  -82.6   3321  0.427216   4514826  0.669509   364  0.258384  0.0000 0.000515 0.000645 0.001913  0.007680  0.027472 -0.147028
OHRI 06AUG29 2006.6585 53976 1390 2  -82.6   3321  0.425206   4514826  0.670301   364  0.262840  0.0000 0.000513 0.000644 0.001907 -0.001876  0.033586 -0.158273
OHRI 06AUG30 2006.6612 53977 1390 3  -82.6   3321  0.427688   4514826  0.671682   364  0.246040  0.0000 0.000515 0.000647 0.001918  0.018362  0.009548 -0.141327
OHRI 06AUG31 2006.6639 53978 1390 4  -82.6   3321  0.426036   4514826  0.670713   364  0.254218  0.0000 0.000513 0.000645 0.001901  0.011266  0.021628 -0.118914
OHRI 06SEP01 2006.6667 53979 1390 5  -82.6   3321  0.426631   4514826  0.673117   364  0.258274  0.0000 0.000517 0.000654 0.001946  0.004199  0.037373 -0.121628
OHRI 06SEP02 2006.6694 53980 1390 6  -82.6   3321  0.424641   4514826  0.672492   364  0.246919  0.0000 0.000516 0.000649 0.001924  0.008936  0.039204 -0.147380
OHRI 06SEP03 2006.6721 53981 1391 0  -82.6   3321  0.425440   4514826  0.668711   364  0.248804  0.0000 0.000515 0.000642 0.001912 -0.004942  0.048779 -0.160309
OHRI 06SEP04 2006.6749 53982 1391 1  -82.6   3321  0.425878   4514826  0.667770   364  0.250212  0.0000 0.000522 0.000647 0.001924 -0.001165  0.040332 -0.120065
OHRI 06SEP05 2006.6776 53983 1391 2  -82.6   3321  0.426833   4514826  0.669759   364  0.245402  0.0000 0.000536 0.000659 0.001986  0.011796  0.050913 -0.084960
OHRI 06SEP06 2006.6804 53984 1391 3  -82.6   3321  0.427467   4514826  0.670293   364  0.252741  0.0000 0.000517 0.000652 0.001916  0.018076  0.003079 -0.138726
OHRI 06SEP07 2006.6831 53985 1391 4  -82.6   3321  0.427904   4514826  0.671390   364  0.249229  0.0000 0.000532 0.000663 0.001974 -0.038913  0.049624 -0.117250
OHRI 06SEP08 2006.6858 53986 1391 5  -82.6   3321  0.425934   4514826  0.672978   364  0.247623  0.0000 0.000530 0.000654 0.001940 -0.017227  0.020898 -0.135245
OHRI 06SEP09 2006.6886 53987 1391 6  -82.6   3321  0.425773   4514826  0.675309   364  0.250141  0.0000 0.000503 0.000629 0.001883  0.001479  0.011663 -0.149163
OHRI 06SEP10 2006.6913 53988 1392 0  -82.6   3321  0.427845   4514826  0.675892   364  0.262084  0.0000 0.000512 0.000637 0.001924  0.014162  0.019160 -0.130965
OHRI 06SEP11 2006.6940 53989 1392 1  -82.6   3321  0.428122   4514826  0.672576   364  0.254703  0.0000 0.000507 0.000633 0.001878  0.013880  0.005380 -0.129880
OHRI 06SEP12 2006.6968 53990 1392 2  -82.6   3321  0.424753   4514826  0.672441   364  0.255599  0.0000 0.000502 0.000639 0.001897 -0.004694  0.011266 -0.132208
OHRI 06SEP13 2006.6995 53991 1392 3  -82.6   3321  0.424708   4514826  0.669463   364  0.251388  0.0000 0.000505 0.000637 0.001912  0.006517  0.022510 -0.124377
OHRI 06SEP14 2006.7023 53992 1392 4  -82.6   3321  0.428880   4514826  0.671041   364  0.243451  0.0000 0.000512 0.000638 0.001900  0.039545 -0.003429 -0.129366
OHRI 06SEP15 2006.7050 53993 1392 5  -82.6   3321  0.427043   4514826  0.670542   364  0.248491  0.0000 0.000507 0.000624 0.001880  0.029954 -0.018446 -0.113061
OHRI 06SEP16 2006.7077 53994 1392 6  -82.6   3321  0.427569   4514826  0.671702   364  0.255708  0.0000 0.000499 0.000623 0.001863  0.008670  0.001144 -0.142926
OHRI 06SEP17 2006.7105 53995 1393 0  -82.6   3321  0.427001   4514826  0.671952   364  0.260576  0.0000 0.000501 0.000630 0.001893  0.006871 -0.015175 -0.134927
OHRI 06SEP18 2006.7132 53996 1393 1  -82.6   3321  0.428448   4514826  0.670426   364  0.263152  0.0000 0.000499 0.000621 0.001860  0.001104 -0.005456 -0.147190
OHRI 06SEP19 2006.7159 53997 1393 2  -82.6   3321  0.423775   4514826  0.669998   364  0.254089  0.0000 0.000509 0.000630 0.001890 -0.005605  0.007269 -0.129221
OHRI 06SEP20 2006.7187 53998 1393 3  -82.6   3321  0.424995   4514826  0.672560   364  0.250730  0.0000 0.000497 0.000616 0.001859  0.002036  0.017739 -0.132167
OHRI 06SEP21 2006.7214 53999 1393 4  -82.6   3321  0.427566   4514826  0.672421   364  0.252205  0.0000 0.000503 0.000629 0.001884  0.006512  0.027996 -0.127389
OHRI 06SEP22 2006.7242 54000 1393 5  -82.6   3321  0.427891   4514826  0.670176   364  0.257420  0.0000 0.000512 0.000645 0.001928  0.026491  0.012199 -0.126103
OHRI 06SEP23 2006.7269 54001 1393 6  -82.6   3321  0.426080   4514826  0.670370   364  0.259780  0.0000 0.000506 0.000637 0.001903  0.017299  0.001729 -0.113678
OHRI 06SEP24 2006.7296 54002 1394 0  -82.6   3321  0.425891   4514826  0.670374   364  0.262027  0.0000 0.000507 0.000633 0.001897  0.036530 -0.009503 -0.118438
OHRI 06SEP25 2006.7324 54003 1394 1  -82.6   3321  0.424455   4514826  0.671590   364  0.251996  0.0000 0.000496 0.000621 0.001846 -0.018379  0.025648 -0.122982
OHRI 06SEP26 2006.7351 54004 1394 2  -82.6   3321  0.427390   4514826  0.669629   364  0.258205  0.0000 0.000499 0.000621 0.001860 -0.012018  0.031707 -0.127817
OHRI 06SEP27 2006.7379 54005 1394 3  -82.6   3321  0.428652   4514826  0.672311   364  0.253386  0.0000 0.000494 0.000623 0.001849 -0.002680  0.017752 -0.115765
OHRI 06SEP28 2006.7406 54006 1394 4  -82.6   3321  0.426324   4514826  0.672240   364  0.247889  0.0000 0.000497 0.000629 0.001878 -0.000435  0.017701 -0.106016
OHRI 06SEP29 2006.7433 54007 1394 5  -82.6   3321  0.427135   4514826  0.670752   364  0.255789  0.0000 0.000498 0.000625 0.001877  0.015812  0.012394 -0.128135
OHRI 06SEP30 2006.7461 54008 1394 6  -82.6   3321  0.428111   4514826  0.670570   364  0.255486  0.0000 0.000501 0.000629 0.001879  0.021978 -0.000803 -0.128737
OHRI 06OCT01 2006.7488 54009 1395 0  -82.6   3321  0.427391   4514826  0.669779   364  0.249075  0.0000 0.000504 0.000624 0.001903  0.019830  0.000752 -0.140595
OHRI 06OCT02 2006.7515 54010 1395 1  -82.6   3321  0.428411   4514826  0.671965   364  0.250290  0.0000 0.000515 0.000648 0.001922 -0.010496  0.009910 -0.147611
OHRI 06OCT03 2006.7543 54011 1395 2  -82.6   3321  0.426262   4514826  0.670916   364  0.257161  0.0000 0.000517 0.000654 0.001958 -0.020613  0.009912 -0.153483
OHRI 06OCT04 2006.7570 54012 1395 3  -82.6   3321  0.426240   4514826  0.670501   364  0.257796  0.0000 0.000504 0.000643 0.001922  0.019980  0.007222 -0.140259
OHRI 06OCT05 2006.7598 54013 1395 4  -82.6   3321  0.427365   4514826  0.672836   364  0.251480  0.0000 0.000502 0.000631 0.001897  0.006724  0.034879 -0.143428
OHRI 06OCT06 2006.7625 54014 1395 5  -82.6   3321  0.428174   4514826  0.672232   364  0.253892  0.0000 0.000492 0.000617 0.001858  0.002297  0.025374 -0.114839
OHRI 06OCT07 2006.7652 54015 1395 6  -82.6   3321  0.427310   4514826  0.671212   364  0.252873  0.0000 0.000507 0.000634 0.001918  0.007136  0.043007 -0.130110
OHRI 06OCT08 2006.7680 54016 1396 0  -82.6   3321  0.426185   4514826  0.673886   364  0.259682  0.0000 0.000504 0.000639 0.001913  0.002371  0.022457 -0.128165
OHRI 06OCT09 2006.7707 54017 1396 1  -82.6   3321  0.426270   4514826  0.673847   364  0.259492  0.0000 0.000500 0.000628 0.001872  0.004530  0.025136 -0.124078
OHRI 06OCT10 2006.7734 54018 1396 2  -82.6   3321  0.426867   4514826  0.673274   364  0.262458  0.0000 0.000504 0.000630 0.001893  0.018360  0.010111 -0.143242
OHRI 06OCT11 2006.7762 54019 1396 3  -82.6   3321  0.426243   4514826  0.672437   364  0.258510  0.0000 0.000506 0.000629 0.001924 -0.000146  0.014955 -0.160993
OHRI 06OCT12 2006.7789 54020 1396 4  -82.6   3321  0.426889   4514826  0.670658   364  0.250833  0.0000 0.000499 0.000625 0.001886 -0.013977  0.030388 -0.143326
OHRI 06OCT13 2006.7817 54021 1396 5  -82.6   3321  0.428673   4514826  0.673052   364  0.244474  0.0000 0.000491 0.000616 0.001869 -0.024610  0.046731 -0.138736
OHRI 06OCT14 2006.7844 54022 1396 6  -82.6   3321  0.428007   4514826  0.672482   364  0.257447  0.0000 0.000488 0.000619 0.001843 -0.027071  0.047694 -0.132200
OHRI 06OCT15 2006.7871 54023 1397 0  -82.6   3321  0.429346   4514826  0.673632   364  0.254419  0.0000 0.000501 0.000635 0.001908 -0.012050  0.027192 -0.144549
OHRI 06OCT16 2006.7899 54024 1397 1  -82.6   3321  0.428961   4514826  0.672137   364  0.263268  0.0000 0.000498 0.000622 0.001877 -0.012805  0.056537 -0.141567
OHRI 06OCT17 2006.7926 54025 1397 2  -82.6   3321  0.428081   4514826  0.673887   364  0.264995  0.0000 0.000497 0.000614 0.001866 -0.017127  0.013335 -0.153217
OHRI 06OCT18 2006.7953 54026 1397 3  -82.6   3321  0.426989   4514826  0.671143   364  0.259399  0.0000 0.000496 0.000620 0.001867 -0.021017  0.029507 -0.144983
OHRI 06OCT19 2006.7981 54027 1397 4  -82.6   3321  0.426728   4514826  0.673210   364  0.257319  0.0000 0.000496 0.000620 0.001861 -0.004182  0.013184 -0.154911
OHRI 06OCT20 2006.8008 54028 1397 5  -82.6   3321  0.427263   4514826  0.674467   364  0.255615  0.0000 0.000507 0.000637 0.001907  0.001803  0.013062 -0.172632
OHRI 06OCT21 2006.8036 54029 1397 6  -82.6   3321  0.425802   4514826  0.671939   364  0.252596  0.0000 0.000496 0.000619 0.001855 -0.000460  0.005399 -0.157730
OHRI 06OCT22 2006.8063 54030 1398 0  -82.6   3321  0.425461   4514826  0.672034   364  0.244890  0.0000 0.000496 0.000620 0.001861 -0.016711  0.028202 -0.149681
OHRI 06OCT23 2006.8090 54031 1398 1  -82.6   3321  0.424472   4514826  0.671863   364  0.243183  0.0000 0.000497 0.000615 0.001861 -0.032838  0.042321 -0.147518
OHRI 06OCT24 2006.8118 54032 1398 2  -82.6   3321  0.426195   4514826  0.673348   364  0.245818  0.0000 0.000510 0.000630 0.001915 -0.021702  0.031747 -0.167074
OHRI 06OCT25 2006.8145 54033 1398 3  -82.6   3321  0.426343   4514826  0.675755   364  0.246476  0.0000 0.000514 0.000647 0.001954 -0.005327  0.025481 -0.141121
OHRI 06OCT26 2006.8172 54034 1398 4  -82.6   3321  0.425343   4514826  0.673967   364  0.254748  0.0000 0.000503 0.000639 0.001937  0.018206  0.015950 -0.128285
OHRI 06OCT27 2006.8200 54035 1398 5  -82.6   3321  0.427076   4514826  0.674205   364  0.254631  0.0000 0.000492 0.000613 0.001859 -0.025394  0.044305 -0.144111
OHRI 06OCT28 2006.8227 54036 1398 6  -82.6   3321  0.424474   4514826  0.673525   364  0.244517  0.0000 0.000484 0.000608 0.001816 -0.026450  0.026873 -0.123307
OHRI 06OCT29 2006.8255 54037 1399 0  -82.6   3321  0.425098   4514826  0.672441   364  0.251892  0.0000 0.000491 0.000619 0.001868 -0.019343  0.040045 -0.134360
OHRI 06OCT30 2006.8282 54038 1399 1  -82.6   3321  0.425429   4514826  0.673372   364  0.254134  0.0000 0.000491 0.000615 0.001850 -0.025021  0.039766 -0.130817
OHRI 06OCT31 2006.8309 54039 1399 2  -82.6   3321  0.427046   4514826  0.672170   364  0.252300  0.0000 0.000496 0.000614 0.001851 -0.022593  0.044950 -0.119636
OHRI 06NOV01 2006.8337 54040 1399 3  -82.6   3321  0.425171   4514826  0.673010   364  0.247472  0.0000 0.000489 0.000611 0.001826 -0.026063  0.037032 -0.135984
OHRI 06NOV02 2006.8364 54041 1399 4  -82.6   3321  0.426105   4514826  0.674868   364  0.240689  0.0000 0.000488 0.000611 0.001826 -0.020849  0.027848 -0.135999
OHRI 06NOV03 2006.8392 54042 1399 5  -82.6   3321  0.425284   4514826  0.673594   364  0.237809  0.0000 0.000494 0.000612 0.001842 -0.023162  0.038477 -0.148805
OHRI 06NOV04 2006.8419 54043 1399 6  -82.6   3321  0.425921   4514826  0.674714   364  0.243723  0.0000 0.000510 0.000636 0.001940 -0.034684  0.045639 -0.154700
OHRI 06NOV05 2006.8446 54044 1400 0  -82.6   3321  0.427423   4514826  0.673577   364  0.249874  0.0000 0.000506 0.000631 0.001903 -0.013620  0.014057 -0.144185
OHRI 06NOV06 2006.8474 54045 1400 1  -82.6   3321  0.427184   4514826  0.674074   364  0.249350  0.0000 0.000491 0.000615 0.001843 -0.021421  0.029594 -0.131631
OHRI 06NOV07 2006.8501 54046 1400 2  -82.6   3321  0.426124   4514826  0.672682   364  0.257519  0.0000 0.000510 0.000631 0.001918 -0.005306  0.030714 -0.177793
OHRI 06NOV08 2006.8528 54047 1400 3  -82.6   3321  0.426628   4514826  0.673195   364  0.255563  0.0000 0.000515 0.000646 0.001951 -0.009478  0.047313 -0.176797
OHRI 06NOV09 2006.8556 54048 1400 4  -82.6   3321  0.424400   4514826  0.672193   364  0.265701  0.0000 0.000513 0.000648 0.001937 -0.014531  0.036168 -0.181739
OHRI 06NOV10 2006.8583 54049 1400 5  -82.6   3321  0.426160   4514826  0.675432   364  0.255872  0.0000 0.000509 0.000642 0.001920  0.004354  0.007711 -0.164523
