site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
OURI 06DEC22 2006.9733 54091 1406 5  -49.9    508  0.586221  -2538908 -0.811027   444  0.865266  0.0030 0.000513 0.000522 0.002016 -0.045389 -0.025844  0.071956
OURI 06DEC23 2006.9760 54092 1406 6  -49.9    508  0.586672  -2538908 -0.813003   444  0.867676  0.0030 0.000516 0.000523 0.002027 -0.050832  0.005888  0.064484
OURI 06DEC24 2006.9788 54093 1407 0  -49.9    508  0.585303  -2538908 -0.813757   444  0.865526  0.0030 0.000507 0.000529 0.002031 -0.037640 -0.009484  0.041609
OURI 06DEC25 2006.9815 54094 1407 1  -49.9    508  0.586877  -2538908 -0.811808   444  0.864030  0.0030 0.000506 0.000518 0.001990 -0.036005 -0.013421  0.074847
OURI 06DEC26 2006.9843 54095 1407 2  -49.9    508  0.586534  -2538908 -0.811549   444  0.851895  0.0030 0.000528 0.000538 0.002078 -0.047620 -0.007040  0.050362
OURI 06DEC27 2006.9870 54096 1407 3  -49.9    508  0.589967  -2538908 -0.813533   444  0.845368  0.0030 0.000642 0.000676 0.002678  0.040024  0.090138  0.149880
OURI 06DEC28 2006.9897 54097 1407 4  -49.9    508  0.584426  -2538908 -0.814635   444  0.849955  0.0030 0.000519 0.000530 0.002037 -0.036307  0.015376  0.061418
OURI 07JAN02 2007.0034 54102 1408 2  -49.9    508  0.585467  -2538908 -0.813720   444  0.868664  0.0080 0.000897 0.000966 0.003968 -0.026694  0.141126  0.190210
OURI 07JAN03 2007.0062 54103 1408 3  -49.9    508  0.586981  -2538908 -0.811367   444  0.858485  0.0080 0.000546 0.000535 0.002117 -0.000359  0.024713  0.075747
OURI 07JAN06 2007.0144 54106 1408 6  -49.9    508  0.586765  -2538908 -0.810486   444  0.839886  0.0080 0.000548 0.000539 0.002139 -0.002675  0.026427  0.074575
OURI 07JAN07 2007.0171 54107 1409 0  -49.9    508  0.589724  -2538908 -0.811833   444  0.841937  0.0080 0.000543 0.000542 0.002104  0.038238  0.035380  0.108514
OURI 07JAN08 2007.0198 54108 1409 1  -49.9    508  0.584044  -2538908 -0.811939   444  0.855988  0.0080 0.000549 0.000545 0.002119  0.028653  0.023748  0.121746
OURI 07JAN09 2007.0226 54109 1409 2  -49.9    508  0.589049  -2538908 -0.809536   444  0.843405  0.0080 0.000538 0.000532 0.002078  0.030081  0.012989  0.118894
OURI 07JAN10 2007.0253 54110 1409 3  -49.9    508  0.583937  -2538908 -0.807668   444  0.849813  0.0080 0.000541 0.000545 0.002114  0.017565  0.024977  0.117453
OURI 07JAN11 2007.0281 54111 1409 4  -49.9    508  0.589230  -2538908 -0.808666   444  0.847006  0.0080 0.000560 0.000555 0.002200  0.027901  0.058612  0.091868
OURI 07JAN13 2007.0335 54113 1409 6  -49.9    508  0.584832  -2538908 -0.811426   444  0.854172  0.0080 0.000543 0.000525 0.002090  0.008116  0.046458  0.098396
OURI 07JAN14 2007.0363 54114 1410 0  -49.9    508  0.587291  -2538908 -0.809797   444  0.859196  0.0080 0.000547 0.000531 0.002125 -0.002536  0.037134  0.079840
OURI 07JAN16 2007.0418 54116 1410 2  -49.9    508  0.585212  -2538908 -0.806919   444  0.845801  0.0080 0.000551 0.000530 0.002107  0.028579  0.013167  0.114147
OURI 07JAN17 2007.0445 54117 1410 3  -49.9    508  0.588045  -2538908 -0.805828   444  0.842561  0.0080 0.000551 0.000546 0.002172 -0.001319  0.039037  0.077376
OURI 07JAN18 2007.0472 54118 1410 4  -49.9    508  0.555501  -2538908 -0.811715   444  0.855650  0.0080 0.002808 0.001621 0.007192  0.008816 -0.039491 -0.118800
OURI 07JAN19 2007.0500 54119 1410 5  -49.9    508  0.586143  -2538908 -0.811630   444  0.852135  0.0080 0.000549 0.000547 0.002194 -0.000845  0.069347  0.098239
OURI 07JAN20 2007.0527 54120 1410 6  -49.9    508  0.586879  -2538908 -0.808947   444  0.860598  0.0080 0.000540 0.000545 0.002136  0.010963  0.019546  0.108316
OURI 07JAN21 2007.0554 54121 1411 0  -49.9    508  0.587000  -2538908 -0.807873   444  0.844008  0.0080 0.000616 0.000639 0.002583  0.003544  0.004783 -0.081723
OURI 07JAN22 2007.0582 54122 1411 1  -49.9    508  0.587691  -2538908 -0.810060   444  0.843629  0.0080 0.000546 0.000527 0.002083  0.025480  0.031949  0.099820
OURI 07JAN23 2007.0609 54123 1411 2  -49.9    508  0.586624  -2538908 -0.809015   444  0.834753  0.0080 0.000554 0.000538 0.002159  0.044027  0.054229  0.090085
OURI 07JAN25 2007.0664 54125 1411 4  -49.9    508  0.581983  -2538908 -0.805006   444  0.847437  0.0080 0.000588 0.000554 0.002252 -0.000004  0.085511  0.051050
OURI 07JAN28 2007.0746 54128 1412 0  -49.9    508  0.586623  -2538908 -0.808204   444  0.839590  0.0080 0.000539 0.000530 0.002091  0.039763 -0.003898  0.067612
OURI 07JAN29 2007.0773 54129 1412 1  -49.9    508  0.584395  -2538908 -0.809661   444  0.839193  0.0080 0.000554 0.000543 0.002198  0.043949  0.067454  0.069757
OURI 07JAN30 2007.0801 54130 1412 2  -49.9    508  0.585250  -2538908 -0.810324   444  0.850464  0.0080 0.000537 0.000520 0.002056  0.036213  0.006280  0.102303
OURI 07FEB02 2007.0883 54133 1412 5  -49.9    508  0.587914  -2538908 -0.810001   444  0.860921  0.0080 0.000805 0.000793 0.003172 -0.027080  0.069423  0.085497
OURI 07FEB05 2007.0965 54136 1413 1  -49.9    508  0.583417  -2538908 -0.806911   444  0.854426  0.0080 0.000545 0.000531 0.002110  0.031713  0.037436  0.063743
OURI 07FEB06 2007.0992 54137 1413 2  -49.9    508  0.583871  -2538908 -0.808088   444  0.845027  0.0080 0.000556 0.000546 0.002134  0.016194 -0.019034  0.065971
OURI 07FEB08 2007.1047 54139 1413 4  -49.9    508  0.586288  -2538908 -0.810861   444  0.845367  0.0080 0.000563 0.000542 0.002131  0.013195  0.027873  0.048447
OURI 07FEB09 2007.1075 54140 1413 5  -49.9    508  0.583940  -2538908 -0.807323   444  0.861079  0.0080 0.000583 0.000557 0.002260  0.022220  0.049113  0.052042
OURI 07FEB10 2007.1102 54141 1413 6  -49.9    508  0.583365  -2538908 -0.810770   444  0.865225  0.0080 0.000583 0.000581 0.002360  0.018762  0.103322  0.019480
OURI 07FEB11 2007.1129 54142 1414 0  -49.9    508  0.582027  -2538908 -0.805127   444  0.854969  0.0080 0.000551 0.000528 0.002098  0.043802  0.026778  0.111307
OURI 07FEB14 2007.1211 54145 1414 3  -49.9    508  0.585451  -2538908 -0.808491   444  0.846337  0.0080 0.000617 0.000603 0.002337  0.040809  0.034471 -0.000163
OURI 07FEB15 2007.1239 54146 1414 4  -49.9    508  0.586146  -2538908 -0.808982   444  0.848886  0.0080 0.000540 0.000537 0.002106  0.023866 -0.010751  0.029119
OURI 07FEB16 2007.1266 54147 1414 5  -49.9    508  0.582297  -2538908 -0.807393   444  0.861222  0.0080 0.000630 0.000618 0.002429  0.006874 -0.018554  0.087431
OURI 07FEB18 2007.1321 54149 1415 0  -49.9    508  0.587375  -2538908 -0.803720   444  0.846323  0.0080 0.000539 0.000518 0.002044  0.048357 -0.009072  0.092378
OURI 07FEB19 2007.1348 54150 1415 1  -49.9    508  0.586837  -2538908 -0.807205   444  0.850029  0.0080 0.000545 0.000521 0.002116  0.006780  0.041373  0.071196
OURI 07FEB20 2007.1376 54151 1415 2  -49.9    508  0.583931  -2538908 -0.808673   444  0.843858  0.0080 0.000531 0.000518 0.002033  0.024060  0.007604  0.087809
OURI 07FEB21 2007.1403 54152 1415 3  -49.9    508  0.580866  -2538908 -0.805767   444  0.859691  0.0080 0.000552 0.000536 0.002123  0.004665  0.018026  0.055641
OURI 07FEB22 2007.1431 54153 1415 4  -49.9    508  0.580060  -2538908 -0.807729   444  0.840776  0.0080 0.000565 0.000534 0.002139  0.010594  0.025542  0.067915
OURI 07FEB23 2007.1458 54154 1415 5  -49.9    508  0.582401  -2538908 -0.804807   444  0.839619  0.0080 0.000547 0.000538 0.002095  0.001153 -0.002433  0.087035
OURI 07FEB24 2007.1485 54155 1415 6  -49.9    508  0.583745  -2538908 -0.805090   444  0.844036  0.0080 0.000568 0.000548 0.002185  0.042660  0.012751  0.071133
OURI 07FEB25 2007.1513 54156 1416 0  -49.9    508  0.583291  -2538908 -0.805061   444  0.851943  0.0080 0.000561 0.000547 0.002136 -0.009599 -0.006061  0.089570
OURI 07FEB26 2007.1540 54157 1416 1  -49.9    508  0.584052  -2538908 -0.806207   444  0.852866  0.0080 0.000653 0.000653 0.002570 -0.030283 -0.054587 -0.006573
OURI 07FEB27 2007.1567 54158 1416 2  -49.9    508  0.583024  -2538908 -0.804575   444  0.844930  0.0080 0.000584 0.000555 0.002237  0.031135 -0.047726  0.102138
OURI 07FEB28 2007.1595 54159 1416 3  -49.9    508  0.581304  -2538908 -0.804947   444  0.854108  0.0080 0.000554 0.000531 0.002124  0.017577 -0.011295  0.057907
OURI 07MAR01 2007.1622 54160 1416 4  -49.9    508  0.582323  -2538908 -0.805878   444  0.855871  0.0080 0.000575 0.000563 0.002242 -0.031310 -0.030759  0.099386
OURI 07MAR02 2007.1650 54161 1416 5  -49.9    508  0.583554  -2538908 -0.804711   444  0.848935  0.0080 0.000567 0.000549 0.002203 -0.002812  0.004924  0.108346
OURI 07MAR03 2007.1677 54162 1416 6  -49.9    508  0.581097  -2538908 -0.806740   444  0.840989  0.0080 0.000548 0.000522 0.002084  0.026285  0.012780  0.127099
OURI 07MAR04 2007.1704 54163 1417 0  -49.9    508  0.583106  -2538908 -0.805432   444  0.849064  0.0080 0.000552 0.000532 0.002093  0.033919  0.008935  0.158869
OURI 07MAR05 2007.1732 54164 1417 1  -49.9    508  0.588220  -2538908 -0.800173   444  0.846935  0.0080 0.000574 0.000543 0.002192  0.014277  0.006806  0.138954
OURI 07MAR06 2007.1759 54165 1417 2  -49.9    508  0.583247  -2538908 -0.803483   444  0.841983  0.0080 0.000561 0.000538 0.002166  0.016432  0.000162  0.068551
OURI 07MAR07 2007.1786 54166 1417 3  -49.9    508  0.581902  -2538908 -0.806236   444  0.862917  0.0080 0.000579 0.000553 0.002239  0.014194 -0.029524  0.091687
OURI 07MAR09 2007.1841 54168 1417 5  -49.9    508  0.583751  -2538908 -0.806434   444  0.862391  0.0080 0.000587 0.000562 0.002269 -0.001370  0.004529  0.140826
