site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P816 13SEP06 2013.6810 56541 1756 5 -124.6   3206  0.218912   5311434  0.899237    35  0.748248  0.0083 0.000495 0.000695 0.001945  0.038955  0.025387 -0.069101
P816 13SEP07 2013.6838 56542 1756 6 -124.6   3206  0.219699   5311434  0.900679    35  0.766221  0.0083 0.000456 0.000622 0.001769  0.039619  0.012735 -0.027716
P816 13SEP08 2013.6865 56543 1757 0 -124.6   3206  0.219199   5311434  0.897937    35  0.754964  0.0083 0.000585 0.000828 0.002387  0.065412 -0.042923 -0.059459
P816 14JAN31 2014.0835 56688 1777 5 -124.6   3206  0.221622   5311434  0.897109    35  0.746060  0.0083 0.000454 0.000623 0.001744  0.025727 -0.002449 -0.031496
P816 14FEB01 2014.0862 56689 1777 6 -124.6   3206  0.224056   5311434  0.898513    35  0.744250  0.0083 0.000458 0.000628 0.001769  0.021523 -0.011209 -0.025518
P816 14FEB02 2014.0890 56690 1778 0 -124.6   3206  0.224037   5311434  0.899193    35  0.750449  0.0083 0.000455 0.000620 0.001745  0.032258 -0.006888 -0.023951
P816 14FEB03 2014.0917 56691 1778 1 -124.6   3206  0.223977   5311434  0.898365    35  0.749614  0.0083 0.000465 0.000635 0.001794  0.028043 -0.028893 -0.036666
P816 14FEB04 2014.0945 56692 1778 2 -124.6   3206  0.219310   5311434  0.900249    35  0.754392  0.0083 0.000468 0.000648 0.001834  0.029234 -0.017582 -0.039372
P816 14FEB05 2014.0972 56693 1778 3 -124.6   3206  0.220787   5311434  0.898854    35  0.747110  0.0083 0.000464 0.000637 0.001806  0.030826  0.010397 -0.036700
P816 14FEB06 2014.0999 56694 1778 4 -124.6   3206  0.219088   5311434  0.900254    35  0.745174  0.0083 0.000479 0.000656 0.001889  0.038667  0.003064 -0.044019
P816 14FEB07 2014.1027 56695 1778 5 -124.6   3206  0.223812   5311434  0.900440    35  0.746222  0.0083 0.000484 0.000645 0.001884  0.019786  0.013396 -0.016358
P816 14FEB08 2014.1054 56696 1778 6 -124.6   3206  0.219908   5311434  0.898857    35  0.755621  0.0083 0.000467 0.000641 0.001826  0.035118 -0.032701 -0.041552
P816 14FEB09 2014.1081 56697 1779 0 -124.6   3206  0.218818   5311434  0.897209    35  0.752567  0.0083 0.000465 0.000639 0.001801  0.037581 -0.044374 -0.034011
P816 14FEB10 2014.1109 56698 1779 1 -124.6   3206  0.221767   5311434  0.900625    35  0.755608  0.0083 0.000468 0.000641 0.001806  0.018854 -0.028004 -0.055729
P816 14FEB11 2014.1136 56699 1779 2 -124.6   3206  0.222738   5311434  0.899652    35  0.753872  0.0083 0.000473 0.000646 0.001830  0.030772 -0.012980 -0.044501
P816 14FEB12 2014.1164 56700 1779 3 -124.6   3206  0.224128   5311434  0.896749    35  0.750579  0.0083 0.000463 0.000642 0.001796  0.024178 -0.008617 -0.020834
P816 14FEB13 2014.1191 56701 1779 4 -124.6   3206  0.224404   5311434  0.897370    35  0.749974  0.0083 0.000464 0.000640 0.001790  0.005638 -0.007844 -0.039792
P816 14FEB14 2014.1218 56702 1779 5 -124.6   3206  0.218836   5311434  0.898954    35  0.752389  0.0083 0.000473 0.000655 0.001831  0.031115 -0.048457 -0.034727
P816 14FEB15 2014.1246 56703 1779 6 -124.6   3206  0.219494   5311434  0.896558    35  0.747815  0.0083 0.000464 0.000638 0.001788  0.018798 -0.010305 -0.047834
P816 14FEB16 2014.1273 56704 1780 0 -124.6   3206  0.220426   5311434  0.893442    35  0.751683  0.0083 0.000470 0.000642 0.001807  0.018309 -0.009806 -0.041112
P816 14FEB17 2014.1300 56705 1780 1 -124.6   3206  0.217707   5311434  0.898360    35  0.753819  0.0083 0.000467 0.000639 0.001801  0.028274 -0.007865 -0.031858
P816 14FEB18 2014.1328 56706 1780 2 -124.6   3206  0.223170   5311434  0.897049    35  0.753009  0.0083 0.000475 0.000655 0.001806  0.012198 -0.007791 -0.049304
P816 14FEB19 2014.1355 56707 1780 3 -124.6   3206  0.221316   5311434  0.895405    35  0.752952  0.0083 0.000478 0.000658 0.001833 -0.005633 -0.018108 -0.043055
P816 14FEB20 2014.1383 56708 1780 4 -124.6   3206  0.228350   5311434  0.903645    35  0.741956  0.0083 0.000468 0.000642 0.001817  0.028300 -0.049735 -0.045368
P816 14FEB21 2014.1410 56709 1780 5 -124.6   3206  0.218633   5311434  0.896861    35  0.753480  0.0083 0.000479 0.000645 0.001849  0.043136 -0.044519 -0.055784
P816 14FEB22 2014.1437 56710 1780 6 -124.6   3206  0.218147   5311434  0.898834    35  0.748926  0.0083 0.000473 0.000648 0.001832  0.027731 -0.017137 -0.043193
P816 14FEB23 2014.1465 56711 1781 0 -124.6   3206  0.224322   5311434  0.899087    35  0.743128  0.0083 0.000464 0.000641 0.001777  0.014835  0.013008 -0.034929
P816 14FEB24 2014.1492 56712 1781 1 -124.6   3206  0.224302   5311434  0.896764    35  0.753390  0.0083 0.000460 0.000647 0.001780  0.020723 -0.016613 -0.044838
P816 14FEB25 2014.1520 56713 1781 2 -124.6   3206  0.221342   5311434  0.899091    35  0.746863  0.0083 0.000467 0.000644 0.001798  0.025577 -0.056652 -0.063760
P816 14FEB26 2014.1547 56714 1781 3 -124.6   3206  0.219933   5311434  0.899405    35  0.749209  0.0083 0.000468 0.000642 0.001812  0.031678 -0.028320 -0.063524
P816 14FEB27 2014.1574 56715 1781 4 -124.6   3206  0.219633   5311434  0.899312    35  0.752247  0.0083 0.000481 0.000653 0.001852  0.051502 -0.034705 -0.058300
P816 14FEB28 2014.1602 56716 1781 5 -124.6   3206  0.218885   5311434  0.898552    35  0.752975  0.0083 0.000467 0.000644 0.001799  0.053751 -0.039232 -0.068601
P816 14MAR01 2014.1629 56717 1781 6 -124.6   3206  0.219028   5311434  0.897433    35  0.754726  0.0083 0.000466 0.000654 0.001807  0.033842 -0.011624 -0.069074
P816 14MAR02 2014.1656 56718 1782 0 -124.6   3206  0.219014   5311434  0.895039    35  0.751386  0.0083 0.000462 0.000634 0.001769  0.039313 -0.007721 -0.050089
