site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PAFU 08AUG22 2008.6407 54700 1493 5  -79.7    224  0.877467   4421377  0.870871   326  0.765950  0.0000 0.000507 0.000580 0.001846  0.029335 -0.015214 -0.095811
PAFU 08AUG23 2008.6434 54701 1493 6  -79.7    224  0.878492   4421377  0.869334   326  0.771040  0.0000 0.000505 0.000579 0.001825  0.041065  0.007911 -0.099833
PAFU 08AUG24 2008.6461 54702 1494 0  -79.7    224  0.879575   4421377  0.867836   326  0.770149  0.0000 0.000532 0.000603 0.001934  0.002231  0.022395 -0.126531
PAFU 08AUG25 2008.6489 54703 1494 1  -79.7    224  0.877146   4421377  0.870987   326  0.767944  0.0000 0.000518 0.000590 0.001879  0.054347 -0.036750 -0.118483
PAFU 08AUG26 2008.6516 54704 1494 2  -79.7    224  0.876690   4421377  0.865836   326  0.768079  0.0000 0.000509 0.000576 0.001838  0.034958 -0.027900 -0.112041
PAFU 08AUG27 2008.6543 54705 1494 3  -79.7    224  0.875784   4421377  0.867275   326  0.779986  0.0000 0.000516 0.000589 0.001872  0.003340  0.000684 -0.118722
PAFU 08AUG28 2008.6571 54706 1494 4  -79.7    224  0.878814   4421377  0.867677   326  0.771559  0.0000 0.000528 0.000595 0.001882  0.051117 -0.012466 -0.091989
PAFU 08AUG29 2008.6598 54707 1494 5  -79.7    224  0.877712   4421377  0.870232   326  0.770003  0.0000 0.000515 0.000587 0.001855  0.015746 -0.003530 -0.121958
PAFU 08AUG30 2008.6626 54708 1494 6  -79.7    224  0.875948   4421377  0.866449   326  0.779609  0.0000 0.000515 0.000589 0.001864  0.010280 -0.007933 -0.123125
PAFU 08AUG31 2008.6653 54709 1495 0  -79.7    224  0.876099   4421377  0.868951   326  0.776305  0.0000 0.000516 0.000591 0.001862  0.013575 -0.011668 -0.105182
PAFU 08SEP01 2008.6680 54710 1495 1  -79.7    224  0.878028   4421377  0.868226   326  0.774922  0.0000 0.000513 0.000586 0.001850  0.015960 -0.026305 -0.116365
PAFU 08SEP02 2008.6708 54711 1495 2  -79.7    224  0.876979   4421377  0.870814   326  0.775698  0.0000 0.000513 0.000595 0.001842  0.003936  0.004002 -0.097325
PAFU 08SEP03 2008.6735 54712 1495 3  -79.7    224  0.876404   4421377  0.870896   326  0.769874  0.0000 0.000519 0.000587 0.001868  0.010901  0.013397 -0.125404
PAFU 08SEP04 2008.6762 54713 1495 4  -79.7    224  0.875917   4421377  0.868417   326  0.776573  0.0000 0.000512 0.000585 0.001853  0.027577 -0.002649 -0.114420
