site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PITN 11JAN02 2011.0034 55563 1617 0  -42.8    772  0.883582   -564218 -0.016113    67  0.983085  0.0080 0.000506 0.000439 0.001937 -0.038955  0.101320 -0.031111
PITN 11JAN03 2011.0062 55564 1617 1  -42.8    772  0.885506   -564218 -0.018141    67  0.972952  0.0080 0.000505 0.000441 0.001979 -0.027130  0.124478 -0.024395
PITN 11JAN04 2011.0089 55565 1617 2  -42.8    772  0.884704   -564218 -0.014273    67  0.975098  0.0080 0.000520 0.000451 0.002001 -0.045988  0.119139 -0.034117
PITN 11JAN05 2011.0116 55566 1617 3  -42.8    772  0.885747   -564218 -0.012193    67  0.966363  0.0080 0.000508 0.000440 0.001960 -0.029462  0.104786 -0.019947
PITN 11JAN06 2011.0144 55567 1617 4  -42.8    772  0.883639   -564218 -0.014965    67  0.971948  0.0080 0.000504 0.000443 0.001974 -0.038026  0.090872 -0.045374
PITN 11JAN07 2011.0171 55568 1617 5  -42.8    772  0.884539   -564218 -0.012005    67  0.977963  0.0080 0.000504 0.000440 0.001951 -0.036409  0.108483 -0.027503
PITN 11JAN08 2011.0198 55569 1617 6  -42.8    772  0.886124   -564218 -0.014712    67  0.972768  0.0080 0.000504 0.000440 0.001978 -0.021484  0.114727 -0.032470
PITN 11JAN09 2011.0226 55570 1618 0  -42.8    772  0.884910   -564218 -0.015706    67  0.973084  0.0080 0.000503 0.000435 0.001950 -0.043349  0.113119 -0.020501
PITN 11JAN10 2011.0253 55571 1618 1  -42.8    772  0.885396   -564218 -0.011846    67  0.968593  0.0080 0.000523 0.000445 0.002000 -0.030956  0.103431 -0.035080
PITN 11JAN11 2011.0281 55572 1618 2  -42.8    772  0.882748   -564218 -0.014702    67  0.982514  0.0080 0.000526 0.000451 0.002031 -0.013015  0.091206 -0.024943
PITN 11JAN12 2011.0308 55573 1618 3  -42.8    772  0.886009   -564218 -0.014955    67  0.979807  0.0080 0.000505 0.000448 0.002001 -0.027012  0.086912 -0.019212
PITN 11JAN13 2011.0335 55574 1618 4  -42.8    772  0.885163   -564218 -0.013111    67  0.981858  0.0080 0.000502 0.000436 0.001935 -0.056493  0.113570 -0.016334
PITN 11JAN14 2011.0363 55575 1618 5  -42.8    772  0.887422   -564218 -0.014547    67  0.977142  0.0080 0.000499 0.000435 0.001920 -0.028908  0.098786  0.001891
PITN 11JAN15 2011.0390 55576 1618 6  -42.8    772  0.885176   -564218 -0.012906    67  0.962237  0.0080 0.000501 0.000437 0.001939 -0.031857  0.109362 -0.020288
PITN 11JAN16 2011.0418 55577 1619 0  -42.8    772  0.885302   -564218 -0.014244    67  0.975335  0.0080 0.000501 0.000440 0.001964 -0.039316  0.099427 -0.011156
PITN 11JAN17 2011.0445 55578 1619 1  -42.8    772  0.886066   -564218 -0.010211    67  0.970729  0.0080 0.000502 0.000437 0.001944 -0.045341  0.101081 -0.028285
PITN 11JAN18 2011.0472 55579 1619 2  -42.8    772  0.885628   -564218 -0.015768    67  0.967358  0.0080 0.000524 0.000451 0.001995 -0.036130  0.075484 -0.016253
PITN 11JAN19 2011.0500 55580 1619 3  -42.8    772  0.888955   -564218 -0.013900    67  0.966778  0.0080 0.000520 0.000445 0.001972 -0.044596  0.098708 -0.014295
