site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PMAS 15JAN01 2015.0007 57023 1825 4  123.6   3001  0.559431   1367893  0.372000    80  0.159481  0.0000 0.000596 0.000515 0.002166 -0.040821  0.053018 -0.016032
PMAS 15JAN02 2015.0034 57024 1825 5  123.6   3001  0.556218   1367893  0.376081    80  0.157272  0.0000 0.000533 0.000456 0.001905 -0.072873  0.047373 -0.040212
PMAS 15JAN03 2015.0062 57025 1825 6  123.6   3001  0.555074   1367893  0.373759    80  0.154743  0.0000 0.000621 0.000525 0.002219 -0.040417  0.034302 -0.029256
PMAS 15JAN05 2015.0116 57027 1826 1  123.6   3001  0.555466   1367893  0.374885    80  0.165419  0.0000 0.000571 0.000499 0.002064 -0.065369  0.055586  0.003959
PMAS 15JAN06 2015.0144 57028 1826 2  123.6   3001  0.553541   1367893  0.375920    80  0.168826  0.0000 0.000533 0.000467 0.001955 -0.053245  0.016764 -0.013434
PMAS 15JAN07 2015.0171 57029 1826 3  123.6   3001  0.558309   1367893  0.377112    80  0.156960  0.0000 0.000537 0.000463 0.001943 -0.070578  0.028677 -0.036984
PMAS 15JAN08 2015.0198 57030 1826 4  123.6   3001  0.559500   1367893  0.376221    80  0.164261  0.0000 0.000536 0.000464 0.001917 -0.069611  0.049253 -0.018424
PMAS 15JAN09 2015.0226 57031 1826 5  123.6   3001  0.558851   1367893  0.373971    80  0.157770  0.0000 0.000544 0.000483 0.002001 -0.050936  0.025748 -0.033836
PMAS 15JAN10 2015.0253 57032 1826 6  123.6   3001  0.556932   1367893  0.370125    80  0.158220  0.0000 0.000551 0.000482 0.001993 -0.058484  0.033697 -0.019338
PMAS 15JAN12 2015.0308 57034 1827 1  123.6   3001  0.559410   1367893  0.374775    80  0.170279  0.0000 0.000565 0.000485 0.002001 -0.081288  0.031151 -0.046382
PMAS 15JAN13 2015.0335 57035 1827 2  123.6   3001  0.556867   1367893  0.372464    80  0.158480  0.0000 0.000537 0.000464 0.001924 -0.077211  0.060987 -0.019427
PMAS 15JAN14 2015.0363 57036 1827 3  123.6   3001  0.557366   1367893  0.373599    80  0.160849  0.0000 0.000542 0.000468 0.001974 -0.064401  0.025710 -0.027202
PMAS 15JAN15 2015.0390 57037 1827 4  123.6   3001  0.558565   1367893  0.377029    80  0.167994  0.0000 0.000547 0.000470 0.001966 -0.063140  0.064116 -0.014950
PMAS 15JAN16 2015.0418 57038 1827 5  123.6   3001  0.559190   1367893  0.374581    80  0.171045  0.0000 0.000538 0.000466 0.001959 -0.060786  0.030308 -0.033970
PMAS 15JAN17 2015.0445 57039 1827 6  123.6   3001  0.553377   1367893  0.377720    80  0.162489  0.0000 0.000942 0.000840 0.003658  0.021050  0.043163 -0.084864
PMAS 15JAN19 2015.0500 57041 1828 1  123.6   3001  0.556606   1367893  0.375835    80  0.158698  0.0000 0.000573 0.000492 0.002042 -0.061647  0.049788 -0.017098
PMAS 15JAN20 2015.0527 57042 1828 2  123.6   3001  0.562611   1367893  0.376219    80  0.155449  0.0000 0.000547 0.000467 0.001948 -0.088440  0.072059 -0.040773
PMAS 15JAN21 2015.0554 57043 1828 3  123.6   3001  0.560840   1367893  0.374940    80  0.154057  0.0000 0.000536 0.000464 0.001913 -0.069119  0.043868 -0.019574
PMAS 15JAN22 2015.0582 57044 1828 4  123.6   3001  0.556775   1367893  0.377144    80  0.159142  0.0000 0.000536 0.000466 0.001903 -0.079481  0.054640 -0.012900
PMAS 15JAN23 2015.0609 57045 1828 5  123.6   3001  0.557490   1367893  0.373419    80  0.156945  0.0000 0.000538 0.000463 0.001944 -0.080648  0.038577 -0.039397
