site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PMRV 13SEP08 2013.6865 56543 1757 0  120.5  -1054 -0.754922   1596585  0.123030    61  0.298154  0.0000 0.000598 0.000517 0.002421 -0.033482 -0.042112 -0.202760
PMRV 13SEP09 2013.6893 56544 1757 1  120.5  -1054 -0.757783   1596585  0.121919    61  0.296959  0.0000 0.000621 0.000536 0.002529 -0.059582 -0.011671 -0.203343
PMRV 13SEP10 2013.6920 56545 1757 2  120.5  -1054 -0.758690   1596585  0.121237    61  0.290003  0.0000 0.000630 0.000533 0.002462 -0.070353 -0.035641 -0.198611
PMRV 13SEP11 2013.6947 56546 1757 3  120.5  -1054 -0.756952   1596585  0.117290    61  0.280432  0.0000 0.000615 0.000523 0.002390 -0.055349 -0.027453 -0.198128
PMRV 13SEP12 2013.6975 56547 1757 4  120.5  -1054 -0.753929   1596585  0.124178    61  0.294824  0.0000 0.000611 0.000525 0.002388 -0.043952 -0.029058 -0.191619
PMRV 13SEP13 2013.7002 56548 1757 5  120.5  -1054 -0.760424   1596585  0.121442    61  0.308185  0.0000 0.000624 0.000533 0.002413 -0.047771 -0.027518 -0.187768
PMRV 13SEP14 2013.7029 56549 1757 6  120.5  -1054 -0.756282   1596585  0.121567    61  0.301948  0.0000 0.000604 0.000524 0.002347 -0.053665 -0.055069 -0.189188
PMRV 15JAN01 2015.0007 57023 1825 4  120.5  -1054 -0.788645   1596585  0.122039    61  0.288891  0.0000 0.000540 0.000463 0.002104 -0.007895 -0.072037 -0.188069
PMRV 15JAN02 2015.0034 57024 1825 5  120.5  -1054 -0.788338   1596585  0.123952    61  0.290233  0.0000 0.000541 0.000465 0.002119 -0.002792 -0.074506 -0.189627
PMRV 15JAN03 2015.0062 57025 1825 6  120.5  -1054 -0.790695   1596585  0.123136    61  0.293858  0.0000 0.000551 0.000467 0.002127  0.008780 -0.068498 -0.197349
