site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PRCO 96JAN19 1996.0493 50101  836 5  -97.5  -1757 -0.559302   3872359  0.242494   305  0.109953  0.0000 0.000878 0.000964 0.003829 -0.027288  0.056394 -0.137285
PRCO 96JAN20 1996.0520 50102  836 6  -97.5  -1757 -0.556867   3872359  0.242945   305  0.119864  0.0000 0.000885 0.000986 0.003897 -0.027260  0.050436 -0.135011
PRCO 96JAN21 1996.0548 50103  837 0  -97.5  -1757 -0.558298   3872359  0.241115   305  0.121321  0.0000 0.000877 0.000963 0.003859 -0.036596  0.054681 -0.159274
PRCO 96JAN22 1996.0575 50104  837 1  -97.5  -1757 -0.555788   3872359  0.243866   305  0.123503  0.0000 0.000902 0.000967 0.003931 -0.031453  0.088173 -0.132135
PRCO 96JAN23 1996.0602 50105  837 2  -97.5  -1757 -0.557313   3872359  0.243787   305  0.128166  0.0000 0.000908 0.001006 0.003959 -0.037310  0.064756 -0.155108
PRCO 96JAN24 1996.0630 50106  837 3  -97.5  -1757 -0.558771   3872359  0.241359   305  0.120338  0.0000 0.000875 0.000978 0.003884 -0.020755  0.041366 -0.111285
PRCO 96JAN25 1996.0657 50107  837 4  -97.5  -1757 -0.555808   3872359  0.241059   305  0.117473  0.0000 0.000892 0.000983 0.003956  0.013370  0.021447 -0.146749
PRCO 96JAN26 1996.0684 50108  837 5  -97.5  -1757 -0.558045   3872359  0.242209   305  0.119213  0.0000 0.000919 0.001017 0.004070 -0.057136  0.067399 -0.148050
PRCO 96JAN27 1996.0712 50109  837 6  -97.5  -1757 -0.558612   3872359  0.243410   305  0.108389  0.0000 0.000873 0.000971 0.003834  0.015840  0.036481 -0.160260
PRCO 96JAN28 1996.0739 50110  838 0  -97.5  -1757 -0.556826   3872359  0.241695   305  0.124211  0.0000 0.000873 0.000977 0.003839  0.027231  0.026569 -0.140213
PRCO 96JAN29 1996.0767 50111  838 1  -97.5  -1757 -0.558038   3872359  0.244140   305  0.121204  0.0000 0.000891 0.000982 0.003910  0.036823  0.017315 -0.160942
PRCO 96JAN30 1996.0794 50112  838 2  -97.5  -1757 -0.558899   3872359  0.244558   305  0.115806  0.0000 0.000903 0.000972 0.003923  0.023277  0.020452 -0.160738
PRCO 96JAN31 1996.0821 50113  838 3  -97.5  -1757 -0.558920   3872359  0.244772   305  0.110755  0.0000 0.000887 0.000987 0.003924  0.002170  0.047377 -0.164668
PRCO 96FEB01 1996.0849 50114  838 4  -97.5  -1757 -0.558764   3872359  0.244965   305  0.118523  0.0000 0.000919 0.001008 0.004022  0.018533  0.053954 -0.160293
PRCO 96FEB02 1996.0876 50115  838 5  -97.5  -1757 -0.559073   3872359  0.245855   305  0.109755  0.0000 0.000886 0.000977 0.003888  0.011392  0.053043 -0.165790
PRCO 96FEB03 1996.0903 50116  838 6  -97.5  -1757 -0.559577   3872359  0.246240   305  0.104503  0.0000 0.000891 0.000985 0.003924  0.014050  0.039148 -0.142625
PRCO 96FEB04 1996.0931 50117  839 0  -97.5  -1757 -0.560549   3872359  0.245873   305  0.099464  0.0000 0.000881 0.000971 0.003868  0.015788  0.020159 -0.153526
PRCO 96FEB05 1996.0958 50118  839 1  -97.5  -1757 -0.558945   3872359  0.245066   305  0.105303  0.0000 0.000882 0.000971 0.003863  0.011637  0.035484 -0.190353
PRCO 96FEB06 1996.0986 50119  839 2  -97.5  -1757 -0.559353   3872359  0.243085   305  0.109998  0.0000 0.000907 0.001012 0.003998  0.011107  0.067828 -0.156642
PRCO 96FEB07 1996.1013 50120  839 3  -97.5  -1757 -0.557253   3872359  0.240447   305  0.114227  0.0000 0.000904 0.001011 0.003977  0.007621  0.049476 -0.152272
PRCO 96FEB08 1996.1040 50121  839 4  -97.5  -1757 -0.557516   3872359  0.241765   305  0.109587  0.0000 0.000943 0.001052 0.004159  0.026269  0.000884 -0.190383
PRCO 96FEB09 1996.1068 50122  839 5  -97.5  -1757 -0.555827   3872359  0.242203   305  0.113347  0.0000 0.000917 0.001037 0.004045  0.020565 -0.017696 -0.154829
PRCO 96FEB10 1996.1095 50123  839 6  -97.5  -1757 -0.556080   3872359  0.243298   305  0.117783  0.0000 0.000900 0.001020 0.004006  0.024311 -0.021533 -0.153619
PRCO 96FEB11 1996.1123 50124  840 0  -97.5  -1757 -0.558038   3872359  0.243304   305  0.111313  0.0000 0.000894 0.001025 0.004023 -0.004466  0.041751 -0.154587
PRCO 96FEB12 1996.1150 50125  840 1  -97.5  -1757 -0.557926   3872359  0.244114   305  0.104183  0.0000 0.000909 0.001027 0.004032  0.036834  0.000234 -0.168781
PRCO 96FEB13 1996.1177 50126  840 2  -97.5  -1757 -0.557146   3872359  0.243066   305  0.111253  0.0000 0.000892 0.001025 0.003982  0.033809 -0.024557 -0.139645
PRCO 96FEB14 1996.1205 50127  840 3  -97.5  -1757 -0.557702   3872359  0.241559   305  0.118844  0.0000 0.000888 0.001024 0.003959  0.034953 -0.020501 -0.161755
