site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
PTRE 05OCT24 2005.8125 53667 1346 1  -69.6   2715  0.670135  -2012486 -0.096133  3607  0.647278  0.0083 0.000594 0.000528 0.002104  0.000063 -0.077477  0.009528
PTRE 05OCT25 2005.8152 53668 1346 2  -69.6   2715  0.670451  -2012486 -0.096217  3607  0.648388  0.0083 0.000589 0.000533 0.002085 -0.010641 -0.081929 -0.021583
PTRE 05OCT26 2005.8179 53669 1346 3  -69.6   2715  0.669653  -2012486 -0.093999  3607  0.645533  0.0083 0.000611 0.000542 0.002197  0.031913 -0.036179  0.028769
PTRE 05OCT27 2005.8207 53670 1346 4  -69.6   2715  0.669441  -2012486 -0.094763  3607  0.653150  0.0083 0.000599 0.000539 0.002142  0.013176 -0.072170  0.030742
PTRE 05OCT28 2005.8234 53671 1346 5  -69.6   2715  0.670620  -2012486 -0.096441  3607  0.646844  0.0083 0.000586 0.000526 0.002078  0.006195 -0.080278 -0.016408
PTRE 05OCT29 2005.8261 53672 1346 6  -69.6   2715  0.669631  -2012486 -0.097185  3607  0.647985  0.0083 0.000590 0.000527 0.002105 -0.005122 -0.082494 -0.008341
PTRE 05OCT30 2005.8289 53673 1347 0  -69.6   2715  0.666620  -2012486 -0.097133  3607  0.651859  0.0083 0.000586 0.000529 0.002093 -0.010438 -0.085038 -0.017954
PTRE 05OCT31 2005.8316 53674 1347 1  -69.6   2715  0.669423  -2012486 -0.095201  3607  0.649585  0.0083 0.000597 0.000546 0.002210  0.034086 -0.057050 -0.004258
PTRE 05NOV01 2005.8344 53675 1347 2  -69.6   2715  0.667573  -2012486 -0.095166  3607  0.647044  0.0083 0.000595 0.000544 0.002180  0.030960 -0.058086  0.005974
PTRE 05NOV02 2005.8371 53676 1347 3  -69.6   2715  0.669528  -2012486 -0.093776  3607  0.649933  0.0083 0.000599 0.000570 0.002251  0.038971 -0.036377 -0.031690
PTRE 05NOV03 2005.8398 53677 1347 4  -69.6   2715  0.670977  -2012486 -0.094335  3607  0.651438  0.0083 0.000596 0.000556 0.002213  0.033759 -0.051426 -0.020974
PTRE 05NOV04 2005.8426 53678 1347 5  -69.6   2715  0.671619  -2012486 -0.093268  3607  0.654092  0.0083 0.000597 0.000548 0.002202  0.029458 -0.061208 -0.013886
PTRE 05NOV05 2005.8453 53679 1347 6  -69.6   2715  0.671411  -2012486 -0.095432  3607  0.650161  0.0083 0.000607 0.000572 0.002280  0.075388 -0.018398 -0.001435
PTRE 05NOV06 2005.8480 53680 1348 0  -69.6   2715  0.670471  -2012486 -0.092645  3607  0.648955  0.0083 0.000594 0.000550 0.002230  0.049717 -0.044653  0.013150
PTRE 05NOV07 2005.8508 53681 1348 1  -69.6   2715  0.671215  -2012486 -0.093563  3607  0.653976  0.0083 0.000590 0.000541 0.002136  0.033121 -0.051235  0.003121
PTRE 05NOV08 2005.8535 53682 1348 2  -69.6   2715  0.671678  -2012486 -0.094530  3607  0.649586  0.0083 0.000590 0.000544 0.002176  0.035598 -0.060983  0.001412
PTRE 05NOV09 2005.8563 53683 1348 3  -69.6   2715  0.673958  -2012486 -0.095514  3607  0.649852  0.0083 0.000604 0.000561 0.002229  0.035014 -0.064561 -0.010613
PTRE 05NOV10 2005.8590 53684 1348 4  -69.6   2715  0.672610  -2012486 -0.094161  3607  0.649725  0.0083 0.000585 0.000542 0.002142  0.034144 -0.042811  0.000871
PTRE 05NOV11 2005.8617 53685 1348 5  -69.6   2715  0.669999  -2012486 -0.094655  3607  0.649189  0.0083 0.000592 0.000544 0.002176  0.035171 -0.061245  0.008748
PTRE 05NOV12 2005.8645 53686 1348 6  -69.6   2715  0.670800  -2012486 -0.094459  3607  0.650430  0.0083 0.000593 0.000545 0.002187  0.020397 -0.073442  0.010754
PTRE 05NOV13 2005.8672 53687 1349 0  -69.6   2715  0.671223  -2012486 -0.094343  3607  0.647275  0.0083 0.000607 0.000554 0.002227  0.034165 -0.050291 -0.009490
PTRE 05NOV14 2005.8700 53688 1349 1  -69.6   2715  0.671460  -2012486 -0.094681  3607  0.652366  0.0083 0.000592 0.000542 0.002166  0.036660 -0.046511  0.012273
PTRE 05NOV15 2005.8727 53689 1349 2  -69.6   2715  0.673900  -2012486 -0.091489  3607  0.651174  0.0083 0.000587 0.000531 0.002118  0.012087 -0.073463  0.007171
PTRE 05NOV16 2005.8754 53690 1349 3  -69.6   2715  0.671702  -2012486 -0.094643  3607  0.652671  0.0083 0.000588 0.000531 0.002098  0.015375 -0.084437 -0.001804
