site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
QT04 98NOV19 1998.8830 51136  984 4  107.1  -1455 -0.054422   1144889  0.103135    22  0.833561  1.1360 0.004887 0.000891 0.004601  0.035860  0.065847  0.030355
QT04 98NOV20 1998.8857 51137  984 5  107.1  -1455 -0.043952   1144889  0.101763    22  0.844282  1.1360 0.004955 0.000911 0.004650  0.021051  0.073759  0.042579
QT04 98NOV21 1998.8884 51138  984 6  107.1  -1455 -0.056235   1144889  0.099560    22  0.833560  1.1360 0.004881 0.000889 0.004551  0.018931  0.057514  0.047101
QT04 98NOV22 1998.8912 51139  985 0  107.1  -1455 -0.048688   1144889  0.100155    22  0.848491  1.1360 0.004896 0.000893 0.004585  0.008438  0.076263  0.020924
QT04 98NOV23 1998.8939 51140  985 1  107.1  -1455 -0.047816   1144889  0.098283    22  0.836185  1.1360 0.004995 0.000922 0.004603  0.045264  0.068012  0.013043
QT04 98NOV25 1998.8994 51142  985 3  107.1  -1455 -0.062360   1144889  0.098049    22  0.823833  1.1360 0.005069 0.000938 0.004741 -0.001028  0.080363  0.002073
QT04 98NOV26 1998.9021 51143  985 4  107.1  -1455 -0.043699   1144889  0.100059    22  0.835896  1.1360 0.004956 0.000912 0.004627 -0.001452  0.082663  0.021925
QT04 98NOV27 1998.9049 51144  985 5  107.1  -1455 -0.061668   1144889  0.098903    22  0.839428  1.1360 0.004871 0.000899 0.004516  0.004875  0.084547  0.035597
QT04 98NOV28 1998.9076 51145  985 6  107.1  -1455 -0.043627   1144889  0.097355    22  0.844461  1.1360 0.004857 0.000901 0.004536 -0.006255  0.082288  0.024109
QT04 99OCT31 1999.8303 51482 1034 0  107.1  -1455 -0.039537   1144889  0.091375    22  0.756016  1.2110 0.001650 0.001702 0.008525 -0.066688  0.234175  0.047522
QT04 99NOV01 1999.8330 51483 1034 1  107.1  -1455 -0.040373   1144889  0.085879    22  0.780424  1.2110 0.001316 0.001070 0.005030  0.004038 -0.073735  0.090308
QT04 99NOV03 1999.8385 51485 1034 3  107.1  -1455 -0.042969   1144889  0.085760    22  0.773861  1.2110 0.003762 0.002809 0.017478 -0.050709  0.191032  0.124683
QT04 99NOV04 1999.8412 51486 1034 4  107.1  -1455 -0.048973   1144889  0.093457    22  0.738663  1.2110 0.002017 0.001871 0.009877 -0.000154  0.320759  0.065435
QT04 99NOV05 1999.8439 51487 1034 5  107.1  -1455 -0.043399   1144889  0.094186    22  0.767239  1.2110 0.000988 0.000898 0.004192  0.020226  0.043115  0.071929
QT04 99NOV06 1999.8467 51488 1034 6  107.1  -1455 -0.039362   1144889  0.089179    22  0.767919  1.2110 0.000961 0.000869 0.004081 -0.013366  0.057096  0.083851
