site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
RAJ5 13SEP08 2013.6865 56543 1757 0   88.6   -149 -0.141396   2698328  0.262722   -17 -0.708188  0.0000 0.000499 0.000506 0.001827  0.034707 -0.043903 -0.067492
RAJ5 13SEP10 2013.6920 56545 1757 2   88.6   -149 -0.146734   2698328  0.264586   -17 -0.705555  0.0000 0.000811 0.000808 0.003003 -0.019824  0.010874 -0.035197
RAJ5 13SEP11 2013.6947 56546 1757 3   88.6   -149 -0.140277   2698328  0.260059   -17 -0.702895  0.0000 0.000708 0.000753 0.002634  0.019253 -0.025672 -0.040433
RAJ5 13SEP13 2013.7002 56548 1757 5   88.6   -149 -0.140591   2698328  0.261930   -17 -0.713115  0.0000 0.000707 0.000709 0.002675  0.048888  0.002635 -0.104187
RAJ5 13SEP14 2013.7029 56549 1757 6   88.6   -149 -0.136855   2698328  0.265194   -17 -0.710255  0.0000 0.000721 0.000745 0.002738  0.039424  0.009495 -0.033359
RAJ5 14SEP07 2014.6831 56907 1809 0   88.6   -149 -0.095906   2698328  0.299191   -17 -0.716647  0.0000 0.000522 0.000515 0.001921  0.047248 -0.004271 -0.061264
RAJ5 14SEP08 2014.6858 56908 1809 1   88.6   -149 -0.101532   2698328  0.295221   -17 -0.704296  0.0000 0.000536 0.000522 0.001961  0.035926 -0.001078 -0.045082
RAJ5 14SEP10 2014.6913 56910 1809 3   88.6   -149 -0.101583   2698328  0.294758   -17 -0.709639  0.0000 0.000527 0.000515 0.001924  0.051128 -0.021221 -0.047111
RAJ5 14SEP11 2014.6940 56911 1809 4   88.6   -149 -0.099365   2698328  0.298145   -17 -0.722663  0.0000 0.000522 0.000512 0.001890  0.046288 -0.016290 -0.059197
RAJ5 14SEP12 2014.6968 56912 1809 5   88.6   -149 -0.099386   2698328  0.299726   -17 -0.722195  0.0000 0.000522 0.000511 0.001908  0.043546 -0.006648 -0.080707
RAJ5 14SEP13 2014.6995 56913 1809 6   88.6   -149 -0.098235   2698328  0.301329   -17 -0.722898  0.0000 0.000532 0.000519 0.001953  0.043492 -0.026365 -0.058842
RAJ5 17SEP17 2017.7112 58013 1967 0   88.6   -149  0.023263   2698328  0.408224   -17 -0.708763  0.0000 0.000538 0.000540 0.002078 -0.009794  0.019726 -0.129660
RAJ5 17SEP18 2017.7139 58014 1967 1   88.6   -149  0.020661   2698328  0.412392   -17 -0.711493  0.0000 0.000534 0.000538 0.002054 -0.021198  0.022634 -0.133813
RAJ5 17SEP19 2017.7166 58015 1967 2   88.6   -149  0.020490   2698328  0.408162   -17 -0.707571  0.0000 0.000533 0.000540 0.002058 -0.018546  0.038587 -0.114455
RAJ5 17SEP20 2017.7194 58016 1967 3   88.6   -149  0.019308   2698328  0.409794   -17 -0.709577  0.0000 0.000611 0.000603 0.002348 -0.005187  0.009719 -0.132457
RAJ5 17SEP21 2017.7221 58017 1967 4   88.6   -149  0.020969   2698328  0.407477   -17 -0.719899  0.0000 0.000536 0.000540 0.002088 -0.035001  0.028968 -0.143530
RAJ5 17SEP22 2017.7248 58018 1967 5   88.6   -149  0.019775   2698328  0.409442   -17 -0.709868  0.0000 0.000527 0.000530 0.002030 -0.024798  0.015045 -0.131507
RAJ5 17SEP23 2017.7276 58019 1967 6   88.6   -149  0.020970   2698328  0.407042   -17 -0.720349  0.0000 0.000528 0.000534 0.002038 -0.021119  0.023991 -0.146274
