site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
S052 13APR24 2013.3114 56406 1737 3  144.1   2782  0.172522   4760459  0.708685    39  0.820984  0.0000 0.000466 0.000626 0.001746 -0.035145  0.002301 -0.090539
S052 13APR25 2013.3142 56407 1737 4  144.1   2782  0.169513   4760459  0.708343    39  0.823703  0.0000 0.000464 0.000626 0.001746 -0.038298  0.000478 -0.092031
S052 13APR26 2013.3169 56408 1737 5  144.1   2782  0.170318   4760459  0.708244    39  0.819220  0.0000 0.000462 0.000632 0.001736 -0.046554  0.004822 -0.078697
S052 13APR27 2013.3196 56409 1737 6  144.1   2782  0.169258   4760459  0.710055    39  0.812823  0.0000 0.000459 0.000625 0.001727 -0.037529  0.021735 -0.089286
S052 13APR28 2013.3224 56410 1738 0  144.1   2782  0.171397   4760459  0.707114    39  0.821201  0.0000 0.000458 0.000620 0.001719 -0.032089  0.004423 -0.096726
S052 13APR29 2013.3251 56411 1738 1  144.1   2782  0.171721   4760459  0.707485    39  0.825308  0.0000 0.000462 0.000625 0.001740 -0.038984  0.000182 -0.086938
S052 13APR30 2013.3279 56412 1738 2  144.1   2782  0.168781   4760459  0.707816    39  0.816363  0.0000 0.000466 0.000633 0.001773 -0.029556  0.000006 -0.070675
S052 13MAY01 2013.3306 56413 1738 3  144.1   2782  0.169037   4760459  0.707474    39  0.826688  0.0000 0.000462 0.000626 0.001735 -0.032318  0.001257 -0.083193
S052 13MAY02 2013.3333 56414 1738 4  144.1   2782  0.169491   4760459  0.708836    39  0.818496  0.0000 0.000461 0.000632 0.001731 -0.035356 -0.000778 -0.092785
S052 13MAY03 2013.3361 56415 1738 5  144.1   2782  0.168935   4760459  0.705868    39  0.817843  0.0000 0.000459 0.000623 0.001725 -0.038787  0.012083 -0.088283
S052 13MAY04 2013.3388 56416 1738 6  144.1   2782  0.170766   4760459  0.708852    39  0.812221  0.0000 0.000457 0.000628 0.001725 -0.042574 -0.002718 -0.088872
S052 13MAY05 2013.3415 56417 1739 0  144.1   2782  0.171498   4760459  0.709230    39  0.821746  0.0000 0.000463 0.000629 0.001747 -0.039099 -0.006114 -0.110906
S052 13MAY06 2013.3443 56418 1739 1  144.1   2782  0.167389   4760459  0.706592    39  0.814689  0.0000 0.000462 0.000632 0.001747 -0.038068 -0.002381 -0.083763
S052 13MAY07 2013.3470 56419 1739 2  144.1   2782  0.169215   4760459  0.709178    39  0.820571  0.0000 0.000461 0.000630 0.001746 -0.037520  0.009723 -0.080083
S052 13MAY08 2013.3498 56420 1739 3  144.1   2782  0.169973   4760459  0.708828    39  0.813137  0.0000 0.000462 0.000628 0.001742 -0.036100  0.012810 -0.104072
S052 13MAY09 2013.3525 56421 1739 4  144.1   2782  0.169266   4760459  0.712903    39  0.822548  0.0000 0.000460 0.000628 0.001742 -0.048107  0.011883 -0.088273
S052 13MAY10 2013.3552 56422 1739 5  144.1   2782  0.170030   4760459  0.710896    39  0.829822  0.0000 0.000466 0.000649 0.001788 -0.026184 -0.008221 -0.106446
S052 13MAY11 2013.3580 56423 1739 6  144.1   2782  0.168900   4760459  0.709437    39  0.830176  0.0000 0.000462 0.000626 0.001745 -0.047866  0.002319 -0.087827
S052 13MAY12 2013.3607 56424 1740 0  144.1   2782  0.168647   4760459  0.709692    39  0.816852  0.0000 0.000461 0.000620 0.001742 -0.037066  0.000274 -0.084500
S052 13MAY13 2013.3634 56425 1740 1  144.1   2782  0.169715   4760459  0.709851    39  0.816339  0.0000 0.000467 0.000629 0.001767 -0.029342  0.023224 -0.124166
S052 13MAY14 2013.3662 56426 1740 2  144.1   2782  0.168795   4760459  0.709307    39  0.814782  0.0000 0.000462 0.000628 0.001755 -0.040745  0.020586 -0.109979
S052 13MAY15 2013.3689 56427 1740 3  144.1   2782  0.168596   4760459  0.709345    39  0.813647  0.0000 0.000461 0.000628 0.001754 -0.044945  0.006899 -0.090806
S052 13MAY16 2013.3717 56428 1740 4  144.1   2782  0.167838   4760459  0.708878    39  0.811611  0.0000 0.000469 0.000643 0.001810 -0.023368 -0.016983 -0.105363
S052 13MAY17 2013.3744 56429 1740 5  144.1   2782  0.169187   4760459  0.709576    39  0.817592  0.0000 0.000465 0.000637 0.001785 -0.030906 -0.017031 -0.093032
S052 13MAY18 2013.3771 56430 1740 6  144.1   2782  0.171333   4760459  0.707762    39  0.825809  0.0000 0.000463 0.000624 0.001747 -0.021019  0.007574 -0.091075
S052 13MAY19 2013.3799 56431 1741 0  144.1   2782  0.166811   4760459  0.709518    39  0.822292  0.0000 0.000466 0.000625 0.001757 -0.028719  0.006626 -0.116886
S052 13MAY20 2013.3826 56432 1741 1  144.1   2782  0.170345   4760459  0.712520    39  0.812642  0.0000 0.000464 0.000622 0.001743 -0.031173  0.001787 -0.109393
S052 13MAY21 2013.3854 56433 1741 2  144.1   2782  0.169734   4760459  0.711250    39  0.817769  0.0000 0.000464 0.000624 0.001751 -0.039120  0.008408 -0.106555
S052 13MAY22 2013.3881 56434 1741 3  144.1   2782  0.170489   4760459  0.710597    39  0.813931  0.0000 0.000464 0.000623 0.001760 -0.025379  0.003361 -0.111500
S052 13MAY23 2013.3908 56435 1741 4  144.1   2782  0.167007   4760459  0.707840    39  0.816037  0.0000 0.000462 0.000617 0.001732 -0.033548  0.017527 -0.112803
S052 13MAY24 2013.3936 56436 1741 5  144.1   2782  0.171315   4760459  0.707807    39  0.824573  0.0000 0.000462 0.000625 0.001754 -0.036842  0.004287 -0.088439
S052 13MAY25 2013.3963 56437 1741 6  144.1   2782  0.167933   4760459  0.709198    39  0.825774  0.0000 0.000459 0.000623 0.001735 -0.044441  0.015845 -0.104352
