site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SAN1 07MAY06 2007.3429 54226 1426 0   23.3  -2684 -0.642360   4601718  0.231281   249  0.432415  0.0000 0.000577 0.000706 0.002253 -0.024297  0.053431 -0.151697
SAN1 07MAY07 2007.3457 54227 1426 1   23.3  -2684 -0.642518   4601718  0.232531   249  0.431689  0.0000 0.000581 0.000712 0.002295 -0.019891  0.062740 -0.159941
SAN1 07MAY08 2007.3484 54228 1426 2   23.3  -2684 -0.641836   4601718  0.232939   249  0.414600  0.0000 0.000580 0.000710 0.002273 -0.034349  0.055986 -0.141652
SAN1 07MAY09 2007.3511 54229 1426 3   23.3  -2684 -0.641677   4601718  0.231071   249  0.420142  0.0000 0.000576 0.000713 0.002277 -0.022514  0.037833 -0.137425
SAN1 07MAY10 2007.3539 54230 1426 4   23.3  -2684 -0.641628   4601718  0.233312   249  0.417646  0.0000 0.000608 0.000729 0.002383 -0.008993  0.022112 -0.111237
SAN1 07MAY11 2007.3566 54231 1426 5   23.3  -2684 -0.640415   4601718  0.234860   249  0.414954  0.0000 0.000602 0.000721 0.002349 -0.010559  0.019573 -0.100920
SAN1 07MAY12 2007.3593 54232 1426 6   23.3  -2684 -0.640272   4601718  0.234933   249  0.425798  0.0000 0.000577 0.000705 0.002245 -0.010648  0.040141 -0.136231
SAN1 07MAY13 2007.3621 54233 1427 0   23.3  -2684 -0.643004   4601718  0.230201   249  0.429390  0.0000 0.000578 0.000706 0.002249 -0.008758  0.028547 -0.143404
SAN1 07MAY14 2007.3648 54234 1427 1   23.3  -2684 -0.642835   4601718  0.231786   249  0.426176  0.0000 0.000581 0.000721 0.002300 -0.005263  0.018436 -0.134527
SAN1 07MAY15 2007.3676 54235 1427 2   23.3  -2684 -0.641528   4601718  0.230691   249  0.413270  0.0000 0.000577 0.000706 0.002259 -0.023232  0.028565 -0.142067
SAN1 07MAY16 2007.3703 54236 1427 3   23.3  -2684 -0.643453   4601718  0.230488   249  0.416776  0.0000 0.000577 0.000704 0.002247 -0.001809  0.012326 -0.149591
SAN1 07MAY17 2007.3730 54237 1427 4   23.3  -2684 -0.639684   4601718  0.230178   249  0.434184  0.0000 0.000594 0.000725 0.002303 -0.014539  0.040653 -0.156006
SAN1 07MAY18 2007.3758 54238 1427 5   23.3  -2684 -0.640970   4601718  0.231827   249  0.427994  0.0000 0.000587 0.000728 0.002308 -0.008897  0.030553 -0.166284
SAN1 07MAY19 2007.3785 54239 1427 6   23.3  -2684 -0.641650   4601718  0.233429   249  0.433248  0.0000 0.000575 0.000706 0.002242 -0.023427  0.035066 -0.141985
