site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SHA2 14JAN21 2014.0561 56678 1776 2 -159.7   3616  0.736571   2447779  0.909867  1167  0.430184  0.0000 0.000673 0.000652 0.002504  0.032941 -0.043663  0.050458
SHA2 14JAN22 2014.0589 56679 1776 3 -159.7   3616  0.745712   2447779  0.907776  1167  0.432871  0.0000 0.000663 0.000611 0.002464  0.022551  0.004611  0.011244
SHA2 14JAN24 2014.0643 56681 1776 5 -159.7   3616  0.736025   2447779  0.908987  1167  0.432563  0.0000 0.000602 0.000581 0.002234  0.016684 -0.046935  0.048240
SHA2 14JAN25 2014.0671 56682 1776 6 -159.7   3616  0.734109   2447779  0.908722  1167  0.437693  0.0000 0.000546 0.000540 0.002066  0.023701 -0.008163  0.030692
SHA2 14JAN26 2014.0698 56683 1777 0 -159.7   3616  0.736337   2447779  0.905052  1167  0.445198  0.0000 0.000545 0.000531 0.002019 -0.002477 -0.008402  0.004817
SHA2 14JAN27 2014.0726 56684 1777 1 -159.7   3616  0.735261   2447779  0.906901  1167  0.443514  0.0000 0.000572 0.000541 0.002111  0.013692 -0.006610  0.000637
SHA2 14JAN28 2014.0753 56685 1777 2 -159.7   3616  0.735847   2447779  0.908361  1167  0.435762  0.0000 0.000589 0.000559 0.002130  0.005734 -0.069168  0.055782
SHA2 14JAN29 2014.0780 56686 1777 3 -159.7   3616  0.733235   2447779  0.906307  1167  0.438511  0.0000 0.000558 0.000532 0.002046  0.009257 -0.014930  0.008457
SHA2 14JAN30 2014.0808 56687 1777 4 -159.7   3616  0.737142   2447779  0.909476  1167  0.442280  0.0000 0.000564 0.000543 0.002114  0.038593 -0.028107  0.027223
SHA2 14JAN31 2014.0835 56688 1777 5 -159.7   3616  0.737525   2447779  0.907825  1167  0.438047  0.0000 0.000547 0.000527 0.002053  0.014215 -0.002114  0.056639
SHA2 14FEB01 2014.0862 56689 1777 6 -159.7   3616  0.734933   2447779  0.910539  1167  0.436174  0.0000 0.000546 0.000526 0.002031  0.020203 -0.024995  0.029456
SHA2 14FEB02 2014.0890 56690 1778 0 -159.7   3616  0.740517   2447779  0.908528  1167  0.437277  0.0000 0.000545 0.000523 0.002030  0.012125  0.016301  0.026460
SHA2 14FEB03 2014.0917 56691 1778 1 -159.7   3616  0.739198   2447779  0.909452  1167  0.441661  0.0000 0.000570 0.000550 0.002081 -0.028794  0.032863 -0.020891
SHA2 14FEB04 2014.0945 56692 1778 2 -159.7   3616  0.735512   2447779  0.910905  1167  0.449993  0.0000 0.000545 0.000531 0.002053  0.020783  0.014673 -0.000023
SHA2 14FEB05 2014.0972 56693 1778 3 -159.7   3616  0.735319   2447779  0.912807  1167  0.453202  0.0000 0.000559 0.000534 0.002064  0.022082 -0.014223  0.016886
SHA2 14FEB06 2014.0999 56694 1778 4 -159.7   3616  0.732495   2447779  0.910874  1167  0.444277  0.0000 0.000575 0.000566 0.002230  0.033823 -0.011203  0.055909
SHA2 14FEB07 2014.1027 56695 1778 5 -159.7   3616  0.737161   2447779  0.912963  1167  0.436818  0.0000 0.000580 0.000577 0.002274  0.055847  0.015159  0.052969
SHA2 14FEB08 2014.1054 56696 1778 6 -159.7   3616  0.734457   2447779  0.909288  1167  0.437744  0.0000 0.000579 0.000561 0.002138  0.001198  0.029440  0.054497
SHA2 14FEB09 2014.1081 56697 1779 0 -159.7   3616  0.733140   2447779  0.909260  1167  0.435557  0.0000 0.000573 0.000554 0.002101  0.043192  0.010865  0.015516
SHA2 14FEB10 2014.1109 56698 1779 1 -159.7   3616  0.728766   2447779  0.915046  1167  0.441859  0.0000 0.000621 0.000616 0.002360  0.047025 -0.025334  0.010631
SHA2 14FEB11 2014.1136 56699 1779 2 -159.7   3616  0.730756   2447779  0.908727  1167  0.445417  0.0000 0.000566 0.000551 0.002126  0.032554  0.000416  0.020127
SHA2 14FEB12 2014.1164 56700 1779 3 -159.7   3616  0.735203   2447779  0.910814  1167  0.443693  0.0000 0.000560 0.000541 0.002067  0.008237  0.003237  0.000887
SHA2 14FEB13 2014.1191 56701 1779 4 -159.7   3616  0.737735   2447779  0.906183  1167  0.445667  0.0000 0.000564 0.000543 0.002078  0.000039  0.016783 -0.012923
SHA2 14FEB14 2014.1218 56702 1779 5 -159.7   3616  0.725966   2447779  0.910395  1167  0.435051  0.0000 0.000575 0.000548 0.002136  0.007800 -0.008046  0.003323
SHA2 14FEB15 2014.1246 56703 1779 6 -159.7   3616  0.730832   2447779  0.909869  1167  0.442996  0.0000 0.000584 0.000573 0.002241  0.012515 -0.017019  0.035401
SHA2 14FEB16 2014.1273 56704 1780 0 -159.7   3616  0.732946   2447779  0.909360  1167  0.448850  0.0000 0.000549 0.000533 0.002039  0.023710 -0.017839 -0.024146
SHA2 14FEB17 2014.1300 56705 1780 1 -159.7   3616  0.723127   2447779  0.911670  1167  0.423201  0.0000 0.000643 0.000610 0.002346  0.025829 -0.029228  0.019173
SHA2 14FEB18 2014.1328 56706 1780 2 -159.7   3616  0.730526   2447779  0.914072  1167  0.431342  0.0000 0.000571 0.000557 0.002100  0.028012 -0.008029 -0.017129
SHA2 14FEB19 2014.1355 56707 1780 3 -159.7   3616  0.730890   2447779  0.907501  1167  0.441604  0.0000 0.000618 0.000621 0.002268  0.009427  0.016958  0.064649
SHA2 14FEB20 2014.1383 56708 1780 4 -159.7   3616  0.738719   2447779  0.911829  1167  0.428884  0.0000 0.000567 0.000557 0.002155  0.028259 -0.006480  0.046725
SHA2 14FEB21 2014.1410 56709 1780 5 -159.7   3616  0.729508   2447779  0.912175  1167  0.444800  0.0000 0.000586 0.000568 0.002266  0.037854 -0.001713 -0.001646
SHA2 14FEB22 2014.1437 56710 1780 6 -159.7   3616  0.729737   2447779  0.909168  1167  0.435122  0.0000 0.000580 0.000564 0.002221 -0.003527 -0.033715 -0.003061
SHA2 14FEB23 2014.1465 56711 1781 0 -159.7   3616  0.732437   2447779  0.911344  1167  0.445062  0.0000 0.000596 0.000576 0.002244  0.027782 -0.047295  0.012381
SHA2 14FEB24 2014.1492 56712 1781 1 -159.7   3616  0.732117   2447779  0.910612  1167  0.446876  0.0000 0.000548 0.000533 0.002034  0.031955 -0.001464  0.006794
SHA2 14FEB25 2014.1520 56713 1781 2 -159.7   3616  0.731180   2447779  0.907633  1167  0.433382  0.0000 0.000610 0.000601 0.002313  0.044913 -0.002798  0.033648
SHA2 14FEB26 2014.1547 56714 1781 3 -159.7   3616  0.728736   2447779  0.905804  1167  0.434943  0.0000 0.000564 0.000541 0.002107  0.033819 -0.005858 -0.005264
SHA2 14FEB27 2014.1574 56715 1781 4 -159.7   3616  0.726728   2447779  0.908980  1167  0.434828  0.0000 0.000598 0.000586 0.002296  0.046023  0.071465  0.069896
SHA2 14FEB28 2014.1602 56716 1781 5 -159.7   3616  0.724726   2447779  0.912845  1167  0.427496  0.0000 0.000711 0.000697 0.002605  0.022994 -0.004918 -0.017448
SHA2 14MAR01 2014.1629 56717 1781 6 -159.7   3616  0.728763   2447779  0.913894  1167  0.451268  0.0000 0.000576 0.000569 0.002213  0.020107 -0.006467  0.001553
SHA2 14MAR02 2014.1656 56718 1782 0 -159.7   3616  0.731920   2447779  0.912322  1167  0.434201  0.0000 0.000658 0.000652 0.002432  0.078414 -0.030462 -0.013289
SHA2 14MAR20 2014.2149 56736 1784 4 -159.7   3616  0.727567   2447779  0.912296  1167  0.440996  0.0000 0.000703 0.000696 0.002702  0.000795  0.030621  0.011083
SHA2 14MAR21 2014.2177 56737 1784 5 -159.7   3616  0.730596   2447779  0.915496  1167  0.437919  0.0000 0.000680 0.000667 0.002641  0.055042  0.040716  0.080899
SHA2 14MAR22 2014.2204 56738 1784 6 -159.7   3616  0.728652   2447779  0.916118  1167  0.442642  0.0000 0.000771 0.000767 0.003017 -0.004067  0.057525  0.084223
SHA2 14MAR24 2014.2259 56740 1785 1 -159.7   3616  0.725045   2447779  0.912666  1167  0.431764  0.0000 0.000705 0.000714 0.002709  0.005931  0.025367  0.059562
SHA2 14MAR25 2014.2286 56741 1785 2 -159.7   3616  0.721212   2447779  0.916393  1167  0.433518  0.0000 0.000806 0.000776 0.003132  0.008163  0.029194  0.082826
SHA2 14MAR26 2014.2313 56742 1785 3 -159.7   3616  0.726278   2447779  0.912194  1167  0.435378  0.0000 0.000880 0.000822 0.003346 -0.047142  0.084619  0.044527
SHA2 14MAR28 2014.2368 56744 1785 5 -159.7   3616  0.724754   2447779  0.915707  1167  0.427296  0.0000 0.000814 0.000872 0.003193  0.035909  0.044705  0.062883
SHA2 14MAR29 2014.2396 56745 1785 6 -159.7   3616  0.732983   2447779  0.914750  1167  0.417562  0.0000 0.000934 0.000907 0.003544  0.006283  0.050230  0.095996
SHA2 14MAR30 2014.2423 56746 1786 0 -159.7   3616  0.722843   2447779  0.919636  1167  0.429527  0.0000 0.000913 0.000927 0.003564  0.053184  0.091685  0.004511
SHA2 14MAR31 2014.2450 56747 1786 1 -159.7   3616  0.725830   2447779  0.913318  1167  0.432007  0.0000 0.001286 0.001381 0.005089 -0.014761 -0.051305  0.052831
SHA2 14APR01 2014.2478 56748 1786 2 -159.7   3616  0.724794   2447779  0.916187  1167  0.431309  0.0000 0.001201 0.001253 0.004592 -0.115184  0.208914  0.065461
SHA2 14APR02 2014.2505 56749 1786 3 -159.7   3616  0.723842   2447779  0.919166  1167  0.442679  0.0000 0.000992 0.000970 0.003637  0.044581  0.045746  0.118008
SHA2 14APR03 2014.2533 56750 1786 4 -159.7   3616  0.727475   2447779  0.920042  1167  0.425668  0.0000 0.000750 0.000756 0.003056 -0.027291  0.043832  0.111020
SHA2 14APR04 2014.2560 56751 1786 5 -159.7   3616  0.718729   2447779  0.922106  1167  0.438001  0.0000 0.001040 0.000972 0.003980 -0.019585  0.074800  0.018572
SHA2 14APR07 2014.2642 56754 1787 1 -159.7   3616  0.723344   2447779  0.915062  1167  0.422808  0.0000 0.001033 0.001023 0.003979  0.021577  0.042417  0.082013
SHA2 14APR08 2014.2669 56755 1787 2 -159.7   3616  0.726051   2447779  0.918310  1167  0.432764  0.0000 0.000823 0.000798 0.003174  0.055804  0.008818  0.012944
SHA2 14APR09 2014.2697 56756 1787 3 -159.7   3616  0.727450   2447779  0.914690  1167  0.436346  0.0000 0.001330 0.001405 0.005014  0.065418 -0.100236  0.241033
SHA2 14APR10 2014.2724 56757 1787 4 -159.7   3616  0.723095   2447779  0.912963  1167  0.430296  0.0000 0.001190 0.001270 0.004840  0.144608 -0.111748  0.068249
SHA2 14APR11 2014.2752 56758 1787 5 -159.7   3616  0.728966   2447779  0.918854  1167  0.426847  0.0000 0.001183 0.001112 0.004552 -0.061154 -0.080823  0.121395
SHA2 14APR12 2014.2779 56759 1787 6 -159.7   3616  0.726360   2447779  0.918234  1167  0.433649  0.0000 0.000910 0.000832 0.003288 -0.052205 -0.070176  0.063205
