site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SHPM 11SEP25 2011.7317 55829 1655 0 -111.9   2990  0.493158   4995952  0.589627  2592  0.023872  0.0000 0.000473 0.000632 0.001812  0.057482  0.005468 -0.011917
SHPM 11SEP26 2011.7344 55830 1655 1 -111.9   2990  0.498602   4995952  0.593370  2592  0.020570  0.0000 0.000481 0.000643 0.001853  0.072970 -0.027275 -0.023131
SHPM 11SEP27 2011.7372 55831 1655 2 -111.9   2990  0.492124   4995952  0.593680  2592  0.020252  0.0000 0.000479 0.000635 0.001827  0.075250 -0.006877 -0.026223
SHPM 11SEP28 2011.7399 55832 1655 3 -111.9   2990  0.494023   4995952  0.590212  2592  0.018722  0.0000 0.000476 0.000633 0.001835  0.059603 -0.020828 -0.021033
SHPM 11SEP29 2011.7426 55833 1655 4 -111.9   2990  0.497520   4995952  0.591682  2592  0.018467  0.0000 0.000473 0.000635 0.001829  0.058350 -0.008002  0.009625
SHPM 11SEP30 2011.7454 55834 1655 5 -111.9   2990  0.495307   4995952  0.590654  2592  0.024064  0.0000 0.000484 0.000646 0.001876  0.044188  0.018753  0.011239
SHPM 11OCT01 2011.7481 55835 1655 6 -111.9   2990  0.496883   4995952  0.592226  2592  0.023968  0.0000 0.000484 0.000642 0.001858  0.042093  0.001454 -0.001647
SHPM 11OCT02 2011.7509 55836 1656 0 -111.9   2990  0.498960   4995952  0.592600  2592  0.019708  0.0000 0.000485 0.000642 0.001864  0.044378  0.006178 -0.005288
SHPM 11OCT03 2011.7536 55837 1656 1 -111.9   2990  0.496514   4995952  0.592902  2592  0.020733  0.0000 0.000484 0.000642 0.001863  0.039405 -0.006556  0.001730
SHPM 11OCT04 2011.7563 55838 1656 2 -111.9   2990  0.496162   4995952  0.591611  2592  0.020082  0.0000 0.000477 0.000641 0.001831  0.077380 -0.014656 -0.011230
SHPM 11OCT05 2011.7591 55839 1656 3 -111.9   2990  0.493872   4995952  0.589002  2592  0.028060  0.0000 0.000477 0.000637 0.001830  0.053245  0.014285 -0.019504
SHPM 11OCT06 2011.7618 55840 1656 4 -111.9   2990  0.491450   4995952  0.590820  2592  0.021925  0.0000 0.000478 0.000634 0.001837  0.050239  0.028097 -0.015123
