site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SMLE 07MAY24 2007.3922 54244 1428 4   -0.2  -1681 -0.331601   5141788  0.201091   170  0.463084  0.0000 0.000491 0.000654 0.001878  0.044696 -0.058532 -0.052427
SMLE 07MAY25 2007.3949 54245 1428 5   -0.2  -1681 -0.331630   5141788  0.205671   170  0.466744  0.0000 0.000477 0.000613 0.001805  0.009817  0.003907 -0.052773
SMLE 07MAY28 2007.4031 54248 1429 1   -0.2  -1681 -0.332429   5141788  0.205481   170  0.454164  0.0000 0.000475 0.000621 0.001804  0.031954 -0.004071 -0.057298
SMLE 07MAY29 2007.4059 54249 1429 2   -0.2  -1681 -0.330064   5141788  0.205481   170  0.457277  0.0000 0.000473 0.000611 0.001785  0.027100 -0.023580 -0.054355
SMLE 07MAY30 2007.4086 54250 1429 3   -0.2  -1681 -0.330768   5141788  0.206680   170  0.458491  0.0000 0.000487 0.000622 0.001847  0.035306  0.005780 -0.045988
SMLE 07JUN03 2007.4196 54254 1430 0   -0.2  -1681 -0.334983   5141788  0.203324   170  0.463363  0.0000 0.000518 0.000679 0.001976  0.016481 -0.004811 -0.023673
SMLE 07JUN07 2007.4305 54258 1430 4   -0.2  -1681 -0.331848   5141788  0.204119   170  0.458375  0.0000 0.000485 0.000620 0.001829  0.031805 -0.006923 -0.052278
SMLE 07JUN08 2007.4333 54259 1430 5   -0.2  -1681 -0.330339   5141788  0.206228   170  0.459289  0.0000 0.000487 0.000625 0.001827  0.043955  0.001364 -0.041731
SMLE 07JUN09 2007.4360 54260 1430 6   -0.2  -1681 -0.331041   5141788  0.204488   170  0.458071  0.0000 0.000489 0.000621 0.001841  0.036859 -0.007494 -0.052782
SMLE 07JUN10 2007.4387 54261 1431 0   -0.2  -1681 -0.332347   5141788  0.205403   170  0.454696  0.0000 0.000479 0.000622 0.001800  0.039196 -0.032058 -0.052548
SMLE 07JUN11 2007.4415 54262 1431 1   -0.2  -1681 -0.331316   5141788  0.206430   170  0.451125  0.0000 0.000489 0.000633 0.001847  0.043307 -0.016845 -0.075748
SMLE 07JUN15 2007.4524 54266 1431 5   -0.2  -1681 -0.336381   5141788  0.198848   170  0.454182  0.0000 0.000476 0.000621 0.001800  0.019634 -0.039251 -0.015688
SMLE 07JUN16 2007.4552 54267 1431 6   -0.2  -1681 -0.337017   5141788  0.202123   170  0.459408  0.0000 0.000481 0.000626 0.001816  0.034289 -0.041595 -0.037868
SMLE 07JUN17 2007.4579 54268 1432 0   -0.2  -1681 -0.333245   5141788  0.200869   170  0.454593  0.0000 0.000477 0.000608 0.001793  0.033690 -0.027940 -0.035689
SMLE 07JUN18 2007.4606 54269 1432 1   -0.2  -1681 -0.331859   5141788  0.205387   170  0.456429  0.0000 0.000482 0.000624 0.001824  0.029136 -0.015766 -0.057718
SMLE 07JUN19 2007.4634 54270 1432 2   -0.2  -1681 -0.332359   5141788  0.203720   170  0.458992  0.0000 0.000483 0.000623 0.001829  0.014919 -0.005073 -0.064155
SMLE 07JUN20 2007.4661 54271 1432 3   -0.2  -1681 -0.329354   5141788  0.207424   170  0.448475  0.0000 0.000539 0.000704 0.002019  0.045153  0.014798 -0.054998
SMLE 07JUN21 2007.4689 54272 1432 4   -0.2  -1681 -0.337154   5141788  0.199205   170  0.448876  0.0000 0.000476 0.000624 0.001820  0.024062 -0.038518 -0.017500
SMLE 07JUN22 2007.4716 54273 1432 5   -0.2  -1681 -0.337011   5141788  0.197132   170  0.445619  0.0000 0.000477 0.000620 0.001817  0.010985 -0.053049 -0.010922
SMLE 07JUN23 2007.4743 54274 1432 6   -0.2  -1681 -0.339248   5141788  0.197834   170  0.458796  0.0000 0.000480 0.000628 0.001837  0.020413 -0.068722 -0.008150
SMLE 07JUN24 2007.4771 54275 1433 0   -0.2  -1681 -0.332629   5141788  0.204030   170  0.454855  0.0000 0.000555 0.000705 0.002070 -0.016327 -0.032069 -0.066145
SMLE 07JUN25 2007.4798 54276 1433 1   -0.2  -1681 -0.331687   5141788  0.204701   170  0.451041  0.0000 0.000479 0.000620 0.001823  0.018112 -0.030091 -0.063134
