site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SPW2 99SEP30 1999.7454 51451 1029 4 -117.3   4017  0.710569   3637987  0.531464   -21 -0.412123  0.0792 0.000701 0.000778 0.002980 -0.001193  0.003926 -0.158686
SPW2 99OCT01 1999.7481 51452 1029 5 -117.3   4017  0.708282   3637987  0.532280   -21 -0.410416  0.0792 0.000734 0.000806 0.003118  0.039535 -0.000056 -0.166413
SPW2 99OCT02 1999.7509 51453 1029 6 -117.3   4017  0.710237   3637987  0.531506   -21 -0.422765  0.0792 0.000740 0.000788 0.003085  0.049901 -0.041868 -0.172140
SPW2 99OCT03 1999.7536 51454 1030 0 -117.3   4017  0.709507   3637987  0.530800   -21 -0.413372  0.0792 0.000713 0.000766 0.002960 -0.008972 -0.041672 -0.140394
SPW2 99OCT04 1999.7563 51455 1030 1 -117.3   4017  0.707867   3637987  0.529391   -21 -0.419363  0.0792 0.000815 0.000848 0.003359 -0.030451 -0.073445 -0.183777
SPW2 99OCT05 1999.7591 51456 1030 2 -117.3   4017  0.710486   3637987  0.530140   -21 -0.414248  0.0792 0.000671 0.000750 0.002836  0.012654  0.002654 -0.140097
SPW2 99OCT06 1999.7618 51457 1030 3 -117.3   4017  0.714542   3637987  0.530918   -21 -0.413823  0.0792 0.000678 0.000757 0.002865  0.039594  0.042628 -0.124963
SPW2 99OCT07 1999.7645 51458 1030 4 -117.3   4017  0.712141   3637987  0.531923   -21 -0.423946  0.0792 0.000698 0.000778 0.003041 -0.017105 -0.035955 -0.176897
SPW2 99OCT08 1999.7673 51459 1030 5 -117.3   4017  0.711602   3637987  0.532158   -21 -0.413870  0.0792 0.000679 0.000748 0.002903  0.042106 -0.020197 -0.225148
SPW2 99OCT09 1999.7700 51460 1030 6 -117.3   4017  0.707338   3637987  0.532563   -21 -0.413417  0.0792 0.000673 0.000760 0.002894  0.058331 -0.063777 -0.229248
SPW2 99OCT10 1999.7728 51461 1031 0 -117.3   4017  0.708498   3637987  0.534443   -21 -0.413360  0.0792 0.000671 0.000744 0.002865  0.025987 -0.065833 -0.178427
SPW2 99OCT11 1999.7755 51462 1031 1 -117.3   4017  0.708257   3637987  0.532098   -21 -0.413160  0.0792 0.000681 0.000745 0.002946  0.032509 -0.052321 -0.204324
SPW2 99OCT12 1999.7782 51463 1031 2 -117.3   4017  0.707158   3637987  0.532623   -21 -0.422872  0.0792 0.000707 0.000778 0.003013  0.057520 -0.045584 -0.207533
SPW2 99OCT13 1999.7810 51464 1031 3 -117.3   4017  0.706190   3637987  0.533950   -21 -0.414700  0.0792 0.000656 0.000730 0.002783  0.054036 -0.044611 -0.208181
SPW2 99OCT14 1999.7837 51465 1031 4 -117.3   4017  0.710115   3637987  0.532301   -21 -0.411311  0.0792 0.000675 0.000741 0.002860  0.066257 -0.083345 -0.198055
SPW2 99OCT15 1999.7864 51466 1031 5 -117.3   4017  0.706710   3637987  0.533618   -21 -0.412100  0.0792 0.000649 0.000717 0.002749  0.055576 -0.044507 -0.228391
SPW2 99OCT16 1999.7892 51467 1031 6 -117.3   4017  0.707577   3637987  0.532572   -21 -0.408534  0.0792 0.000671 0.000738 0.002828  0.033646 -0.060783 -0.184321
SPW2 99OCT17 1999.7919 51468 1032 0 -117.3   4017  0.711892   3637987  0.536086   -21 -0.412115  0.0792 0.000666 0.000730 0.002853  0.071239 -0.046363 -0.209497
SPW2 99OCT18 1999.7947 51469 1032 1 -117.3   4017  0.710608   3637987  0.536188   -21 -0.410103  0.0792 0.000675 0.000759 0.002928  0.043167 -0.051502 -0.200273
SPW2 99OCT19 1999.7974 51470 1032 2 -117.3   4017  0.709538   3637987  0.534228   -21 -0.414454  0.0792 0.000671 0.000766 0.002918  0.061009 -0.025908 -0.174901
SPW2 99OCT20 1999.8001 51471 1032 3 -117.3   4017  0.710254   3637987  0.533098   -21 -0.412519  0.0792 0.000676 0.000745 0.002865  0.053514 -0.044859 -0.232552
SPW2 99OCT21 1999.8029 51472 1032 4 -117.3   4017  0.711884   3637987  0.534882   -21 -0.419180  0.0792 0.000676 0.000744 0.002872  0.050532  0.023427 -0.229769
SPW2 99OCT22 1999.8056 51473 1032 5 -117.3   4017  0.710351   3637987  0.534115   -21 -0.414914  0.0792 0.000692 0.000764 0.002920  0.093164 -0.073997 -0.222935
SPW2 99OCT23 1999.8084 51474 1032 6 -117.3   4017  0.709812   3637987  0.535836   -21 -0.413284  0.0792 0.000705 0.000771 0.003014  0.069032 -0.014830 -0.200983
SPW2 99OCT24 1999.8111 51475 1033 0 -117.3   4017  0.708116   3637987  0.534864   -21 -0.411907  0.0792 0.000674 0.000755 0.002882  0.072276 -0.053139 -0.217576
SPW2 99OCT25 1999.8138 51476 1033 1 -117.3   4017  0.709656   3637987  0.538150   -21 -0.419233  0.0792 0.000657 0.000724 0.002767  0.070461 -0.026638 -0.233003
SPW2 99OCT26 1999.8166 51477 1033 2 -117.3   4017  0.709533   3637987  0.536238   -21 -0.414237  0.0792 0.000656 0.000721 0.002757  0.060041 -0.015796 -0.152356
SPW2 99OCT27 1999.8193 51478 1033 3 -117.3   4017  0.710741   3637987  0.534438   -21 -0.414070  0.0792 0.000681 0.000747 0.002877  0.068855 -0.047970 -0.226644
SPW2 99OCT28 1999.8220 51479 1033 4 -117.3   4017  0.708373   3637987  0.538068   -21 -0.417150  0.0792 0.000718 0.000803 0.002986  0.091867 -0.039855 -0.196990
SPW2 99OCT29 1999.8248 51480 1033 5 -117.3   4017  0.710174   3637987  0.537684   -21 -0.410211  0.0792 0.000746 0.000803 0.003074  0.051805 -0.032758 -0.131468
SPW2 99OCT31 1999.8303 51482 1034 0 -117.3   4017  0.711837   3637987  0.534775   -21 -0.406906  0.0792 0.000709 0.000769 0.002934  0.064970 -0.066246 -0.208804
SPW2 99NOV01 1999.8330 51483 1034 1 -117.3   4017  0.711966   3637987  0.536134   -21 -0.416606  0.0792 0.000677 0.000747 0.002823  0.073363 -0.053873 -0.179824
SPW2 99NOV02 1999.8357 51484 1034 2 -117.3   4017  0.710652   3637987  0.536898   -21 -0.409016  0.0792 0.000688 0.000762 0.002929  0.065175 -0.018772 -0.172866
SPW2 99NOV03 1999.8385 51485 1034 3 -117.3   4017  0.709605   3637987  0.536280   -21 -0.414337  0.0792 0.000690 0.000763 0.002890  0.068395 -0.036621 -0.145119
SPW2 99NOV04 1999.8412 51486 1034 4 -117.3   4017  0.712940   3637987  0.537694   -21 -0.412585  0.0792 0.000694 0.000798 0.003050  0.031056 -0.012778 -0.116868
SPW2 99NOV05 1999.8439 51487 1034 5 -117.3   4017  0.709231   3637987  0.536115   -21 -0.410443  0.0792 0.000712 0.000791 0.003091  0.062165 -0.061469 -0.163620
SPW2 99NOV06 1999.8467 51488 1034 6 -117.3   4017  0.712967   3637987  0.535518   -21 -0.416671  0.0792 0.000700 0.000792 0.002971  0.080587 -0.040081 -0.148119
SPW2 99NOV07 1999.8494 51489 1035 0 -117.3   4017  0.710820   3637987  0.537780   -21 -0.405400  0.0792 0.000684 0.000753 0.002911  0.051833 -0.025070 -0.194143
SPW2 99NOV08 1999.8522 51490 1035 1 -117.3   4017  0.712037   3637987  0.537218   -21 -0.413420  0.0792 0.000680 0.000741 0.002857  0.066092 -0.047923 -0.192937
SPW2 99NOV09 1999.8549 51491 1035 2 -117.3   4017  0.710028   3637987  0.534531   -21 -0.416123  0.0792 0.000716 0.000787 0.002947  0.122137 -0.075981 -0.143086
SPW2 99NOV10 1999.8576 51492 1035 3 -117.3   4017  0.712533   3637987  0.529192   -21 -0.407706  0.0792 0.000689 0.000745 0.002911  0.044668 -0.063348 -0.187327
SPW2 99NOV11 1999.8604 51493 1035 4 -117.3   4017  0.713676   3637987  0.535733   -21 -0.415448  0.0792 0.000685 0.000736 0.002849  0.060332 -0.012237 -0.173723
