site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SUMK 97OCT13 1997.7823 50734  927 1   74.0   -231 -0.408836   4896948  0.721413  1012  0.141672  0.0890 0.000638 0.000873 0.002709  0.012281  0.051690 -0.084738
SUMK 97OCT14 1997.7851 50735  927 2   74.0   -231 -0.409260   4896948  0.720752  1012  0.139758  0.0890 0.000651 0.000887 0.002750  0.033264 -0.002888 -0.098546
SUMK 97OCT15 1997.7878 50736  927 3   74.0   -231 -0.406740   4896948  0.719394  1012  0.133816  0.0890 0.000634 0.000855 0.002648  0.015656  0.020897 -0.098157
SUMK 97OCT16 1997.7906 50737  927 4   74.0   -231 -0.409151   4896948  0.719479  1012  0.134753  0.0890 0.000646 0.000868 0.002711  0.006763  0.027844 -0.134033
SUMK 97OCT17 1997.7933 50738  927 5   74.0   -231 -0.407668   4896948  0.721291  1012  0.139385  0.0890 0.000628 0.000854 0.002677 -0.001601  0.001263 -0.130604
SUMK 97OCT18 1997.7960 50739  927 6   74.0   -231 -0.408982   4896948  0.721389  1012  0.141161  0.0890 0.000639 0.000874 0.002714 -0.017883  0.023013 -0.105634
SUMK 97OCT19 1997.7988 50740  928 0   74.0   -231 -0.407857   4896948  0.720200  1012  0.140133  0.0890 0.000636 0.000860 0.002670 -0.018344  0.038485 -0.127936
SUMK 97OCT20 1997.8015 50741  928 1   74.0   -231 -0.408253   4896948  0.719213  1012  0.133828  0.0890 0.000647 0.000864 0.002739 -0.007877  0.034044 -0.100775
SUMK 97OCT21 1997.8042 50742  928 2   74.0   -231 -0.408663   4896948  0.719526  1012  0.135610  0.0890 0.000667 0.000875 0.002783 -0.015106 -0.014851 -0.108494
SUMK 97OCT22 1997.8070 50743  928 3   74.0   -231 -0.406596   4896948  0.721474  1012  0.136886  0.0890 0.000637 0.000869 0.002713  0.015031 -0.020913 -0.150979
SUMK 97OCT23 1997.8097 50744  928 4   74.0   -231 -0.407458   4896948  0.722400  1012  0.137214  0.0890 0.000628 0.000854 0.002658  0.000385  0.047564 -0.121897
SUMK 97OCT24 1997.8125 50745  928 5   74.0   -231 -0.406837   4896948  0.721887  1012  0.134615  0.0890 0.000626 0.000845 0.002661 -0.000314  0.023259 -0.139195
SUMK 97OCT25 1997.8152 50746  928 6   74.0   -231 -0.407634   4896948  0.722777  1012  0.132692  0.0890 0.000650 0.000872 0.002743  0.012949  0.024008 -0.145369
SUMK 97OCT26 1997.8179 50747  929 0   74.0   -231 -0.408923   4896948  0.721030  1012  0.134870  0.0890 0.000626 0.000863 0.002696  0.006382  0.006688 -0.142204
SUMK 97OCT27 1997.8207 50748  929 1   74.0   -231 -0.408434   4896948  0.720254  1012  0.135298  0.0890 0.000635 0.000854 0.002682 -0.005647  0.011937 -0.122452
SUMK 97OCT28 1997.8234 50749  929 2   74.0   -231 -0.409054   4896948  0.722121  1012  0.135688  0.0890 0.000635 0.000841 0.002687 -0.003148  0.014757 -0.129247
SUMK 97OCT29 1997.8261 50750  929 3   74.0   -231 -0.406912   4896948  0.721037  1012  0.136035  0.0890 0.000631 0.000857 0.002667  0.007414  0.008163 -0.136027
SUMK 97OCT30 1997.8289 50751  929 4   74.0   -231 -0.406379   4896948  0.720615  1012  0.130924  0.0890 0.000631 0.000846 0.002661 -0.003014  0.046353 -0.128621
SUMK 97OCT31 1997.8316 50752  929 5   74.0   -231 -0.406210   4896948  0.719661  1012  0.132932  0.0890 0.000644 0.000858 0.002734 -0.021332  0.046342 -0.153108
SUMK 97NOV01 1997.8344 50753  929 6   74.0   -231 -0.408444   4896948  0.719900  1012  0.139185  0.0890 0.000832 0.001114 0.003889 -0.040011  0.051588 -0.145790
SUMK 97NOV02 1997.8371 50754  930 0   74.0   -231 -0.405732   4896948  0.724278  1012  0.134441  0.0890 0.000812 0.001108 0.003759 -0.044862  0.037356 -0.149618
SUMK 97NOV03 1997.8398 50755  930 1   74.0   -231 -0.404398   4896948  0.723042  1012  0.134647  0.0890 0.000824 0.001154 0.003849 -0.015454  0.043640 -0.106857
SUMK 97NOV04 1997.8426 50756  930 2   74.0   -231 -0.404300   4896948  0.721234  1012  0.133657  0.0890 0.000815 0.001114 0.003799 -0.040954  0.073100 -0.117543
SUMK 97NOV05 1997.8453 50757  930 3   74.0   -231 -0.411239   4896948  0.724693  1012  0.134181  0.0890 0.000817 0.001105 0.003772 -0.033249  0.068899 -0.121180
SUMK 97NOV06 1997.8480 50758  930 4   74.0   -231 -0.408394   4896948  0.720118  1012  0.135468  0.0890 0.000831 0.001128 0.003835 -0.046703  0.057483 -0.176602
SUMK 97NOV07 1997.8508 50759  930 5   74.0   -231 -0.405488   4896948  0.721843  1012  0.126723  0.0890 0.000809 0.001083 0.003704 -0.036488  0.074112 -0.176912
SUMK 97NOV08 1997.8535 50760  930 6   74.0   -231 -0.407675   4896948  0.724595  1012  0.129474  0.0890 0.000823 0.001103 0.003795 -0.051358  0.062643 -0.161656
SUMK 97NOV09 1997.8563 50761  931 0   74.0   -231 -0.407750   4896948  0.724322  1012  0.126882  0.0890 0.000819 0.001098 0.003753 -0.037093  0.057646 -0.164945
SUMK 97NOV10 1997.8590 50762  931 1   74.0   -231 -0.407750   4896948  0.723990  1012  0.125992  0.0890 0.000818 0.001100 0.003774 -0.046393  0.072004 -0.148175
SUMK 97NOV11 1997.8617 50763  931 2   74.0   -231 -0.406416   4896948  0.723569  1012  0.134508  0.0890 0.000872 0.001144 0.004017 -0.095882  0.096904 -0.106303
SUMK 97NOV12 1997.8645 50764  931 3   74.0   -231 -0.407754   4896948  0.722114  1012  0.135091  0.0890 0.000827 0.001109 0.003805 -0.045387  0.072121 -0.156150
SUMK 97NOV13 1997.8672 50765  931 4   74.0   -231 -0.408754   4896948  0.721451  1012  0.128872  0.0890 0.000827 0.001095 0.003776 -0.043654  0.077947 -0.145584
SUMK 97NOV14 1997.8700 50766  931 5   74.0   -231 -0.405834   4896948  0.723635  1012  0.133001  0.0890 0.000858 0.001153 0.003967 -0.065944  0.063123 -0.139101
SUMK 97NOV15 1997.8727 50767  931 6   74.0   -231 -0.407402   4896948  0.723561  1012  0.132870  0.0890 0.000836 0.001104 0.003834 -0.032056  0.036073 -0.152560
SUMK 97NOV16 1997.8754 50768  932 0   74.0   -231 -0.406675   4896948  0.726004  1012  0.130636  0.0890 0.000840 0.001122 0.003908 -0.047171  0.085189 -0.168153
SUMK 97NOV17 1997.8782 50769  932 1   74.0   -231 -0.407278   4896948  0.724161  1012  0.141157  0.0890 0.000840 0.001143 0.003906 -0.069899  0.073870 -0.150243
SUMK 97NOV18 1997.8809 50770  932 2   74.0   -231 -0.409070   4896948  0.725058  1012  0.131606  0.0890 0.000821 0.001103 0.003735 -0.055061  0.086100 -0.172861
SUMK 97NOV19 1997.8836 50771  932 3   74.0   -231 -0.408754   4896948  0.722607  1012  0.140199  0.0890 0.000827 0.001116 0.003754 -0.045127  0.047789 -0.145302
SUMK 97NOV20 1997.8864 50772  932 4   74.0   -231 -0.407734   4896948  0.722442  1012  0.135123  0.0890 0.000830 0.001131 0.003803 -0.050548  0.055752 -0.124058
SUMK 97NOV21 1997.8891 50773  932 5   74.0   -231 -0.407494   4896948  0.722373  1012  0.138753  0.0890 0.000858 0.001156 0.003899 -0.042399  0.069119 -0.128893
SUMK 97NOV22 1997.8919 50774  932 6   74.0   -231 -0.408650   4896948  0.723891  1012  0.132581  0.0890 0.000839 0.001153 0.003865 -0.041243  0.039866 -0.130840
SUMK 97NOV23 1997.8946 50775  933 0   74.0   -231 -0.408721   4896948  0.724039  1012  0.130589  0.0890 0.000824 0.001114 0.003780 -0.030527  0.063095 -0.130187
SUMK 97NOV24 1997.8973 50776  933 1   74.0   -231 -0.408035   4896948  0.721502  1012  0.130661  0.0890 0.000817 0.001106 0.003751 -0.022565  0.064987 -0.137638
SUMK 97NOV25 1997.9001 50777  933 2   74.0   -231 -0.406488   4896948  0.721598  1012  0.133709  0.0890 0.000823 0.001106 0.003724 -0.043122  0.063703 -0.135145
SUMK 97NOV26 1997.9028 50778  933 3   74.0   -231 -0.407117   4896948  0.724465  1012  0.127022  0.0890 0.000835 0.001131 0.003786 -0.025896  0.030554 -0.131128
SUMK 97NOV27 1997.9055 50779  933 4   74.0   -231 -0.405857   4896948  0.723059  1012  0.132564  0.0890 0.000807 0.001108 0.003710 -0.020545  0.020419 -0.129621
SUMK 97NOV28 1997.9083 50780  933 5   74.0   -231 -0.405262   4896948  0.722520  1012  0.132725  0.0890 0.000812 0.001108 0.003734 -0.028553  0.050817 -0.117482
SUMK 97NOV29 1997.9110 50781  933 6   74.0   -231 -0.405270   4896948  0.722463  1012  0.131918  0.0890 0.000818 0.001130 0.003777 -0.022638  0.053182 -0.107852
SUMK 97NOV30 1997.9138 50782  934 0   74.0   -231 -0.405882   4896948  0.724489  1012  0.132734  0.0890 0.000821 0.001129 0.003791 -0.063351  0.087601 -0.094324
SUMK 97DEC01 1997.9165 50783  934 1   74.0   -231 -0.404713   4896948  0.722394  1012  0.131301  0.0890 0.000808 0.001074 0.003626 -0.037613  0.069730 -0.114805
SUMK 97DEC02 1997.9192 50784  934 2   74.0   -231 -0.406699   4896948  0.722751  1012  0.136220  0.0890 0.000798 0.001100 0.003726 -0.053109  0.049814 -0.105928
SUMK 97DEC03 1997.9220 50785  934 3   74.0   -231 -0.406246   4896948  0.724005  1012  0.135421  0.0890 0.000825 0.001101 0.003793 -0.032500 -0.001708 -0.162597
SUMK 97DEC04 1997.9247 50786  934 4   74.0   -231 -0.406825   4896948  0.722542  1012  0.133201  0.0890 0.000790 0.001073 0.003631 -0.006049 -0.007350 -0.121942
SUMK 97DEC05 1997.9274 50787  934 5   74.0   -231 -0.406092   4896948  0.722023  1012  0.130527  0.0890 0.000801 0.001117 0.003777 -0.076720  0.076920 -0.126932
SUMK 97DEC06 1997.9302 50788  934 6   74.0   -231 -0.405344   4896948  0.721175  1012  0.130295  0.0890 0.000807 0.001130 0.003855 -0.071881  0.091104 -0.114826
SUMK 97DEC07 1997.9329 50789  935 0   74.0   -231 -0.405634   4896948  0.722986  1012  0.130474  0.0890 0.000797 0.001077 0.003674 -0.033720  0.048368 -0.122604
SUMK 97DEC08 1997.9357 50790  935 1   74.0   -231 -0.404541   4896948  0.721887  1012  0.134160  0.0890 0.000809 0.001121 0.003767 -0.023997  0.052241 -0.132553
SUMK 97DEC11 1997.9439 50793  935 4   74.0   -231 -0.404165   4896948  0.719536  1012  0.138065  0.0890 0.000796 0.001085 0.003685 -0.045490  0.061849 -0.084347
SUMK 97DEC12 1997.9466 50794  935 5   74.0   -231 -0.404796   4896948  0.722470  1012  0.138517  0.0890 0.000794 0.001090 0.003700 -0.048249  0.042274 -0.098672
SUMK 97DEC13 1997.9493 50795  935 6   74.0   -231 -0.408540   4896948  0.724605  1012  0.133300  0.0890 0.000801 0.001084 0.003712 -0.060488  0.061632 -0.126368
SUMK 97DEC14 1997.9521 50796  936 0   74.0   -231 -0.405784   4896948  0.723698  1012  0.130079  0.0890 0.000799 0.001096 0.003706 -0.066071  0.055693 -0.081378
SUMK 97DEC15 1997.9548 50797  936 1   74.0   -231 -0.405727   4896948  0.722661  1012  0.130881  0.0890 0.000836 0.001127 0.003799 -0.045461  0.031152 -0.128721
SUMK 97DEC16 1997.9576 50798  936 2   74.0   -231 -0.406886   4896948  0.724215  1012  0.134744  0.0890 0.000785 0.001069 0.003631 -0.035794  0.037064 -0.105427
SUMK 97DEC17 1997.9603 50799  936 3   74.0   -231 -0.404593   4896948  0.721097  1012  0.129921  0.0890 0.000787 0.001054 0.003596 -0.040890  0.054293 -0.132325
SUMK 97DEC18 1997.9630 50800  936 4   74.0   -231 -0.402563   4896948  0.722802  1012  0.135968  0.0890 0.000787 0.001045 0.003574 -0.044913  0.045308 -0.150867
SUMK 97DEC19 1997.9658 50801  936 5   74.0   -231 -0.403548   4896948  0.724321  1012  0.132056  0.0890 0.000793 0.001063 0.003619 -0.051774  0.047045 -0.123228
SUMK 97DEC20 1997.9685 50802  936 6   74.0   -231 -0.406065   4896948  0.723988  1012  0.127327  0.0890 0.000789 0.001065 0.003577 -0.020073  0.020016 -0.102436
SUMK 97DEC21 1997.9713 50803  937 0   74.0   -231 -0.405378   4896948  0.722975  1012  0.135551  0.0890 0.000796 0.001058 0.003591 -0.027719  0.068404 -0.151450
SUMK 97DEC22 1997.9740 50804  937 1   74.0   -231 -0.407007   4896948  0.722224  1012  0.134112  0.0890 0.000809 0.001067 0.003647 -0.020402  0.059558 -0.147432
SUMK 97DEC23 1997.9767 50805  937 2   74.0   -231 -0.406119   4896948  0.724091  1012  0.127148  0.0890 0.000804 0.001081 0.003645 -0.031098  0.056775 -0.144804
SUMK 97DEC24 1997.9795 50806  937 3   74.0   -231 -0.404823   4896948  0.723651  1012  0.129772  0.0890 0.000780 0.001039 0.003558 -0.041979  0.053667 -0.137377
SUMK 97DEC25 1997.9822 50807  937 4   74.0   -231 -0.404178   4896948  0.723288  1012  0.129607  0.0890 0.000793 0.001092 0.003650 -0.019489  0.030336 -0.120764
SUMK 97DEC27 1997.9877 50809  937 6   74.0   -231 -0.405051   4896948  0.725259  1012  0.133614  0.0890 0.000823 0.001087 0.003713 -0.049106  0.070908 -0.133472
