site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SVTO 06AUG21 2006.6366 53968 1389 1   16.4   3426  0.897091   4496642  0.640187   493  0.643474  0.0083 0.000591 0.000729 0.002328  0.028940  0.058900 -0.095256
SVTO 06AUG22 2006.6393 53969 1389 2   16.4   3426  0.897574   4496642  0.640947   493  0.634108  0.0083 0.000592 0.000731 0.002344  0.016547  0.048371 -0.098423
SVTO 06AUG23 2006.6420 53970 1389 3   16.4   3426  0.895829   4496642  0.641572   493  0.640578  0.0083 0.000593 0.000733 0.002350 -0.001444  0.054190 -0.109350
SVTO 06AUG24 2006.6448 53971 1389 4   16.4   3426  0.897047   4496642  0.642984   493  0.639923  0.0083 0.000604 0.000740 0.002386 -0.020726  0.055180 -0.141026
SVTO 06AUG25 2006.6475 53972 1389 5   16.4   3426  0.896179   4496642  0.640033   493  0.648079  0.0083 0.000598 0.000757 0.002382 -0.005285  0.050246 -0.120272
SVTO 06AUG26 2006.6502 53973 1389 6   16.4   3426  0.898503   4496642  0.639393   493  0.644479  0.0083 0.000601 0.000754 0.002401 -0.009320  0.051099 -0.119399
SVTO 06AUG27 2006.6530 53974 1390 0   16.4   3426  0.893892   4496642  0.641508   493  0.632784  0.0083 0.000609 0.000759 0.002452 -0.004413  0.017575 -0.123424
SVTO 06AUG28 2006.6557 53975 1390 1   16.4   3426  0.896868   4496642  0.642223   493  0.636858  0.0083 0.000608 0.000761 0.002439 -0.016880  0.038256 -0.141047
SVTO 06AUG29 2006.6585 53976 1390 2   16.4   3426  0.896804   4496642  0.643816   493  0.628068  0.0083 0.000602 0.000761 0.002409 -0.013533  0.044331 -0.127802
SVTO 06AUG30 2006.6612 53977 1390 3   16.4   3426  0.898463   4496642  0.642083   493  0.631817  0.0083 0.000605 0.000760 0.002423 -0.005897  0.040278 -0.136220
SVTO 06AUG31 2006.6639 53978 1390 4   16.4   3426  0.897349   4496642  0.641742   493  0.630642  0.0083 0.000604 0.000752 0.002395 -0.010950  0.043533 -0.141595
SVTO 06SEP01 2006.6667 53979 1390 5   16.4   3426  0.897074   4496642  0.641553   493  0.634407  0.0083 0.000605 0.000749 0.002401 -0.010755  0.039198 -0.136842
SVTO 06SEP02 2006.6694 53980 1390 6   16.4   3426  0.896488   4496642  0.642975   493  0.631574  0.0083 0.000610 0.000759 0.002441 -0.031527  0.058406 -0.136836
SVTO 06SEP03 2006.6721 53981 1391 0   16.4   3426  0.896967   4496642  0.643351   493  0.635150  0.0083 0.000604 0.000759 0.002420 -0.014416  0.047509 -0.116152
SVTO 06SEP04 2006.6749 53982 1391 1   16.4   3426  0.896292   4496642  0.642983   493  0.638855  0.0083 0.000613 0.000774 0.002463 -0.034817  0.049731 -0.152373
SVTO 06SEP05 2006.6776 53983 1391 2   16.4   3426  0.897445   4496642  0.643519   493  0.638979  0.0083 0.000618 0.000780 0.002490 -0.010276  0.016072 -0.133284
SVTO 06SEP06 2006.6804 53984 1391 3   16.4   3426  0.897498   4496642  0.641926   493  0.637725  0.0083 0.000609 0.000755 0.002436 -0.013442  0.048229 -0.115587
SVTO 06SEP07 2006.6831 53985 1391 4   16.4   3426  0.898707   4496642  0.643127   493  0.644069  0.0083 0.000618 0.000773 0.002443 -0.019067  0.063396 -0.147799
SVTO 06SEP08 2006.6858 53986 1391 5   16.4   3426  0.899611   4496642  0.642553   493  0.636381  0.0083 0.000618 0.000782 0.002473 -0.015227  0.071368 -0.135664
SVTO 06SEP09 2006.6886 53987 1391 6   16.4   3426  0.897767   4496642  0.643439   493  0.628321  0.0083 0.000591 0.000740 0.002354 -0.010303  0.041114 -0.140219
SVTO 06SEP10 2006.6913 53988 1392 0   16.4   3426  0.896804   4496642  0.643682   493  0.635750  0.0083 0.000587 0.000737 0.002345 -0.005181  0.042960 -0.115737
SVTO 06SEP11 2006.6940 53989 1392 1   16.4   3426  0.898325   4496642  0.644905   493  0.634705  0.0083 0.000601 0.000741 0.002394 -0.008409  0.059743 -0.130461
SVTO 06SEP12 2006.6968 53990 1392 2   16.4   3426  0.899455   4496642  0.642796   493  0.632903  0.0083 0.000593 0.000736 0.002358  0.001869  0.046601 -0.119492
