site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
SWAS 10FEB26 2010.1547 55253 1572 5   -4.0   1264  0.459436   5715006  0.265319    89  0.970096  0.1340 0.000607 0.000784 0.002286  0.012348 -0.056048  0.015720
SWAS 10FEB27 2010.1574 55254 1572 6   -4.0   1264  0.458034   5715006  0.266593    89  0.973145  0.1340 0.000475 0.000623 0.001779  0.017994  0.016223  0.021280
SWAS 10FEB28 2010.1602 55255 1573 0   -4.0   1264  0.457258   5715006  0.266200    89  0.973484  0.1340 0.000486 0.000637 0.001834  0.022064  0.005818  0.014236
SWAS 10MAR01 2010.1629 55256 1573 1   -4.0   1264  0.458312   5715006  0.267515    89  0.968792  0.1340 0.000470 0.000612 0.001752  0.020618  0.005896  0.011835
SWAS 10MAR02 2010.1656 55257 1573 2   -4.0   1264  0.460821   5715006  0.268354    89  0.971296  0.1340 0.000477 0.000617 0.001778  0.020269  0.012433  0.020349
SWAS 10MAR03 2010.1684 55258 1573 3   -4.0   1264  0.460798   5715006  0.268981    89  0.975870  0.1340 0.000466 0.000613 0.001750  0.010320 -0.011585  0.017346
SWAS 10MAR04 2010.1711 55259 1573 4   -4.0   1264  0.459975   5715006  0.268076    89  0.973375  0.1340 0.000468 0.000617 0.001744  0.019434 -0.007533  0.026069
SWAS 10MAR05 2010.1739 55260 1573 5   -4.0   1264  0.459999   5715006  0.268656    89  0.979421  0.1340 0.000471 0.000620 0.001771  0.026486 -0.004575  0.019360
SWAS 10MAR06 2010.1766 55261 1573 6   -4.0   1264  0.460737   5715006  0.267764    89  0.978087  0.1340 0.000468 0.000620 0.001755  0.006982  0.002039  0.002924
SWAS 10MAR07 2010.1793 55262 1574 0   -4.0   1264  0.462081   5715006  0.268959    89  0.978600  0.1340 0.000467 0.000623 0.001748  0.005448 -0.015949  0.010561
SWAS 10MAR08 2010.1821 55263 1574 1   -4.0   1264  0.459644   5715006  0.267529    89  0.975111  0.1340 0.000466 0.000613 0.001736  0.008668 -0.004005  0.013566
SWAS 10MAR09 2010.1848 55264 1574 2   -4.0   1264  0.459194   5715006  0.268418    89  0.979487  0.1340 0.000466 0.000616 0.001739  0.005985 -0.005120  0.002580
SWAS 10MAR10 2010.1875 55265 1574 3   -4.0   1264  0.461492   5715006  0.269557    89  0.976743  0.1340 0.000481 0.000623 0.001779  0.029206 -0.031543  0.030039
SWAS 10MAR11 2010.1903 55266 1574 4   -4.0   1264  0.460401   5715006  0.268790    89  0.979407  0.1340 0.000473 0.000621 0.001772  0.024151 -0.027732  0.007521
SWAS 10MAR12 2010.1930 55267 1574 5   -4.0   1264  0.460486   5715006  0.266605    89  0.976108  0.1340 0.000467 0.000616 0.001748  0.027496 -0.023988  0.027825
SWAS 10MAR13 2010.1958 55268 1574 6   -4.0   1264  0.460187   5715006  0.268924    89  0.981340  0.1340 0.000467 0.000617 0.001737  0.010196 -0.010498  0.020579
SWAS 10MAR14 2010.1985 55269 1575 0   -4.0   1264  0.459695   5715006  0.269239    89  0.972016  0.1340 0.000467 0.000609 0.001731  0.020686 -0.016793  0.019334
SWAS 10MAR15 2010.2012 55270 1575 1   -4.0   1264  0.461159   5715006  0.267383    89  0.974458  0.1340 0.000481 0.000643 0.001795  0.019872 -0.008220  0.038100
SWAS 10MAR16 2010.2040 55271 1575 2   -4.0   1264  0.462093   5715006  0.268543    89  0.978143  0.1340 0.000475 0.000627 0.001781  0.044272 -0.017662  0.014271
SWAS 10MAR17 2010.2067 55272 1575 3   -4.0   1264  0.461804   5715006  0.266903    89  0.985859  0.1340 0.000473 0.000634 0.001787  0.041673 -0.021508  0.018243
SWAS 10MAR18 2010.2094 55273 1575 4   -4.0   1264  0.460031   5715006  0.266508    89  0.976740  0.1340 0.000468 0.000623 0.001755  0.021642 -0.024800  0.007832
SWAS 10MAR19 2010.2122 55274 1575 5   -4.0   1264  0.460461   5715006  0.269027    89  0.980526  0.1340 0.000481 0.000635 0.001777  0.027431 -0.024245  0.024749
SWAS 10MAR20 2010.2149 55275 1575 6   -4.0   1264  0.459518   5715006  0.267520    89  0.978888  0.1340 0.000468 0.000616 0.001737  0.022178  0.005199  0.024296
SWAS 10MAR21 2010.2177 55276 1576 0   -4.0   1264  0.460343   5715006  0.269780    89  0.975139  0.1340 0.000469 0.000618 0.001747  0.023292 -0.020804  0.028780
SWAS 10MAR22 2010.2204 55277 1576 1   -4.0   1264  0.459553   5715006  0.269698    89  0.977485  0.1340 0.000469 0.000622 0.001751  0.021707 -0.006325  0.021591
SWAS 10MAR23 2010.2231 55278 1576 2   -4.0   1264  0.460970   5715006  0.268709    89  0.978508  0.1340 0.000466 0.000616 0.001736  0.024092 -0.026523  0.030128
SWAS 10MAR24 2010.2259 55279 1576 3   -4.0   1264  0.460207   5715006  0.267569    89  0.978765  0.1340 0.000476 0.000622 0.001763  0.021298 -0.016750  0.051336
SWAS 10MAR25 2010.2286 55280 1576 4   -4.0   1264  0.461251   5715006  0.266416    89  0.975644  0.1340 0.000478 0.000628 0.001784  0.032236  0.003066  0.051232
SWAS 10MAR26 2010.2313 55281 1576 5   -4.0   1264  0.460516   5715006  0.267846    89  0.974637  0.1340 0.000478 0.000626 0.001784  0.028407  0.005581  0.023423
SWAS 10MAR27 2010.2341 55282 1576 6   -4.0   1264  0.459751   5715006  0.269356    89  0.977163  0.1340 0.000477 0.000623 0.001771  0.025229 -0.010729  0.042941
SWAS 10MAR28 2010.2368 55283 1577 0   -4.0   1264  0.459018   5715006  0.267213    89  0.981695  0.1340 0.000477 0.000624 0.001774  0.025954 -0.016941  0.051389
SWAS 10MAR29 2010.2396 55284 1577 1   -4.0   1264  0.460176   5715006  0.267721    89  0.979272  0.1340 0.000478 0.000624 0.001775  0.027650 -0.000906  0.037637
SWAS 10MAR30 2010.2423 55285 1577 2   -4.0   1264  0.460066   5715006  0.266986    89  0.973165  0.1340 0.000513 0.000671 0.001883  0.032582  0.000767  0.049556
SWAS 10MAR31 2010.2450 55286 1577 3   -4.0   1264  0.459860   5715006  0.268965    89  0.966626  0.1340 0.000478 0.000625 0.001771  0.026243  0.008479  0.012801
SWAS 10APR01 2010.2478 55287 1577 4   -4.0   1264  0.459334   5715006  0.268743    89  0.969238  0.1340 0.000478 0.000628 0.001792  0.028239 -0.021107  0.026142
