site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TAUR 07DEC03 2007.9206 54437 1456 1   22.3   -898 -0.778968   6125316  0.308683    78  0.428674  0.0000 0.000466 0.000619 0.001751 -0.013934  0.002058  0.078968
TAUR 07DEC04 2007.9233 54438 1456 2   22.3   -898 -0.779482   6125316  0.309475    78  0.420360  0.0000 0.000466 0.000617 0.001736  0.007411 -0.016563  0.050858
TAUR 07DEC05 2007.9261 54439 1456 3   22.3   -898 -0.777421   6125316  0.309753    78  0.423853  0.0000 0.000467 0.000621 0.001749  0.007763 -0.016023  0.055818
TAUR 07DEC06 2007.9288 54440 1456 4   22.3   -898 -0.777753   6125316  0.309715    78  0.428073  0.0000 0.000469 0.000618 0.001757 -0.004828 -0.017867  0.061289
TAUR 07DEC07 2007.9316 54441 1456 5   22.3   -898 -0.776425   6125316  0.310391    78  0.428602  0.0000 0.000466 0.000616 0.001758 -0.001498 -0.011322  0.062549
TAUR 07DEC08 2007.9343 54442 1456 6   22.3   -898 -0.775983   6125316  0.309570    78  0.424832  0.0000 0.000464 0.000615 0.001738  0.009973 -0.004100  0.061756
TAUR 07DEC09 2007.9370 54443 1457 0   22.3   -898 -0.777011   6125316  0.312172    78  0.428642  0.0000 0.000463 0.000611 0.001736  0.001381 -0.017025  0.047977
TAUR 07DEC10 2007.9398 54444 1457 1   22.3   -898 -0.776657   6125316  0.311698    78  0.427762  0.0000 0.000465 0.000616 0.001748  0.004857 -0.019349  0.045439
TAUR 07DEC11 2007.9425 54445 1457 2   22.3   -898 -0.777222   6125316  0.311131    78  0.426271  0.0000 0.000466 0.000614 0.001750 -0.005804 -0.021851  0.055641
TAUR 07DEC12 2007.9452 54446 1457 3   22.3   -898 -0.779494   6125316  0.312111    78  0.425095  0.0000 0.000471 0.000617 0.001782 -0.005125 -0.011327  0.090074
TAUR 07DEC14 2007.9507 54448 1457 5   22.3   -898 -0.778108   6125316  0.311177    78  0.419734  0.0000 0.000464 0.000610 0.001748 -0.007135  0.002730  0.090661
TAUR 07DEC15 2007.9535 54449 1457 6   22.3   -898 -0.777813   6125316  0.311809    78  0.424939  0.0000 0.000467 0.000607 0.001757  0.008403 -0.011928  0.075582
TAUR 07DEC16 2007.9562 54450 1458 0   22.3   -898 -0.777017   6125316  0.311358    78  0.421475  0.0000 0.000468 0.000608 0.001758 -0.003559 -0.023993  0.071448
