site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TER2 10OCT14 2010.7844 55483 1605 4  -73.6  -2252 -0.545794   5063751  0.884696    -2 -0.154357  0.0000 0.000462 0.000600 0.001735 -0.054633  0.016571 -0.019176
TER2 10OCT18 2010.7953 55487 1606 1  -73.6  -2252 -0.546514   5063751  0.884055    -2 -0.156177  0.0000 0.000462 0.000590 0.001719 -0.058050  0.012030 -0.023427
TER2 10OCT19 2010.7981 55488 1606 2  -73.6  -2252 -0.545378   5063751  0.883392    -2 -0.156172  0.0000 0.000463 0.000589 0.001716 -0.047794  0.006735 -0.001040
TER2 10OCT20 2010.8008 55489 1606 3  -73.6  -2252 -0.545472   5063751  0.886245    -2 -0.156154  0.0000 0.000466 0.000592 0.001732 -0.049259  0.000858 -0.011490
TER2 10OCT21 2010.8036 55490 1606 4  -73.6  -2252 -0.545027   5063751  0.884062    -2 -0.152126  0.0000 0.000458 0.000584 0.001700 -0.046742  0.018283 -0.014736
TER2 10OCT22 2010.8063 55491 1606 5  -73.6  -2252 -0.543881   5063751  0.884240    -2 -0.160157  0.0000 0.000460 0.000585 0.001706 -0.037868  0.011504 -0.031052
TER2 10OCT23 2010.8090 55492 1606 6  -73.6  -2252 -0.548877   5063751  0.886859    -2 -0.154156  0.0000 0.000462 0.000585 0.001734 -0.051428  0.027583 -0.035238
TER2 10OCT24 2010.8118 55493 1607 0  -73.6  -2252 -0.543966   5063751  0.884999    -2 -0.143252  0.0000 0.000462 0.000585 0.001721 -0.045434  0.005727 -0.018224
TER2 10OCT25 2010.8145 55494 1607 1  -73.6  -2252 -0.545357   5063751  0.885626    -2 -0.130722  0.0000 0.000458 0.000576 0.001702 -0.051629  0.005258  0.006235
TER2 10OCT26 2010.8172 55495 1607 2  -73.6  -2252 -0.544847   5063751  0.882122    -2 -0.129392  0.0000 0.000465 0.000588 0.001736 -0.055865  0.008722 -0.020720
TER2 10OCT27 2010.8200 55496 1607 3  -73.6  -2252 -0.545801   5063751  0.884229    -2 -0.138540  0.0000 0.000458 0.000585 0.001710 -0.048886  0.022486 -0.026753
TER2 10OCT28 2010.8227 55497 1607 4  -73.6  -2252 -0.547523   5063751  0.886235    -2 -0.151126  0.0000 0.000458 0.000585 0.001699 -0.032797  0.016963 -0.024120
TER2 10OCT29 2010.8255 55498 1607 5  -73.6  -2252 -0.546093   5063751  0.884626    -2 -0.153029  0.0000 0.000459 0.000584 0.001703 -0.029617  0.007271 -0.019489
TER2 10OCT30 2010.8282 55499 1607 6  -73.6  -2252 -0.547824   5063751  0.886171    -2 -0.153284  0.0000 0.000461 0.000586 0.001727 -0.052242  0.014723 -0.009609
TER2 10OCT31 2010.8309 55500 1608 0  -73.6  -2252 -0.546496   5063751  0.889638    -2 -0.159103  0.0000 0.000471 0.000597 0.001782 -0.052126 -0.007103 -0.021579
TER2 10NOV01 2010.8337 55501 1608 1  -73.6  -2252 -0.547987   5063751  0.882680    -2 -0.162067  0.0000 0.000470 0.000597 0.001766 -0.057326  0.012427 -0.034128
TER2 10NOV02 2010.8364 55502 1608 2  -73.6  -2252 -0.547912   5063751  0.884505    -2 -0.162059  0.0000 0.000460 0.000585 0.001711 -0.050232  0.032842 -0.039245
TER2 10NOV03 2010.8392 55503 1608 3  -73.6  -2252 -0.546142   5063751  0.883490    -2 -0.154307  0.0000 0.000457 0.000578 0.001692 -0.042449  0.009525 -0.021662
TER2 10NOV04 2010.8419 55504 1608 4  -73.6  -2252 -0.546795   5063751  0.883842    -2 -0.148164  0.0000 0.000468 0.000589 0.001727 -0.041349  0.009546 -0.030251
TER2 10NOV05 2010.8446 55505 1608 5  -73.6  -2252 -0.547279   5063751  0.883316    -2 -0.129736  0.0000 0.000465 0.000587 0.001735 -0.059987  0.016666 -0.046339
TER2 10NOV06 2010.8474 55506 1608 6  -73.6  -2252 -0.546362   5063751  0.885792    -2 -0.145428  0.0000 0.000460 0.000580 0.001705 -0.042773  0.011968 -0.030065
TER2 10NOV07 2010.8501 55507 1609 0  -73.6  -2252 -0.547982   5063751  0.883783    -2 -0.156939  0.0000 0.000463 0.000580 0.001714 -0.033355  0.010932 -0.039341
TER2 10NOV08 2010.8528 55508 1609 1  -73.6  -2252 -0.547518   5063751  0.886766    -2 -0.148143  0.0000 0.000464 0.000584 0.001724 -0.049518  0.011141 -0.040748
TER2 10NOV09 2010.8556 55509 1609 2  -73.6  -2252 -0.545020   5063751  0.883121    -2 -0.133545  0.0000 0.000464 0.000589 0.001738 -0.039106  0.002799 -0.051243
TER2 10NOV10 2010.8583 55510 1609 3  -73.6  -2252 -0.545640   5063751  0.885939    -2 -0.147137  0.0000 0.000459 0.000577 0.001711 -0.037534  0.013419 -0.053442
TER2 10NOV11 2010.8611 55511 1609 4  -73.6  -2252 -0.546866   5063751  0.885825    -2 -0.146160  0.0000 0.000461 0.000578 0.001710 -0.037985  0.004674 -0.053195
