site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TGPO 07MAY17 2007.3730 54237 1427 4   12.2   2232  0.888991   4985284  0.345584    49  0.354882  0.0000 0.000642 0.000799 0.002464 -0.023953 -0.052390 -0.070144
TGPO 07MAY18 2007.3758 54238 1427 5   12.2   2232  0.890001   4985284  0.347176    49  0.354065  0.0000 0.000590 0.000744 0.002272 -0.017848 -0.015773 -0.075703
TGPO 07MAY22 2007.3867 54242 1428 2   12.2   2232  0.890127   4985284  0.349887    49  0.362477  0.0000 0.000583 0.000725 0.002247 -0.029751 -0.006506 -0.066959
TGPO 07MAY24 2007.3922 54244 1428 4   12.2   2232  0.889361   4985284  0.348215    49  0.346861  0.0000 0.000708 0.000874 0.002662 -0.077263 -0.060601 -0.093398
TGPO 07MAY25 2007.3949 54245 1428 5   12.2   2232  0.889364   4985284  0.349730    49  0.352579  0.0000 0.000585 0.000730 0.002274 -0.032578 -0.035026 -0.045849
TGPO 07MAY26 2007.3977 54246 1428 6   12.2   2232  0.888083   4985284  0.349722    49  0.345799  0.0000 0.000580 0.000721 0.002240 -0.044756 -0.011628 -0.048677
TGPO 07MAY27 2007.4004 54247 1429 0   12.2   2232  0.889755   4985284  0.347427    49  0.353258  0.0000 0.000590 0.000735 0.002282 -0.025579 -0.026545 -0.045082
TGPO 07MAY28 2007.4031 54248 1429 1   12.2   2232  0.889716   4985284  0.346013    49  0.347221  0.0000 0.000584 0.000728 0.002267 -0.036695 -0.018542 -0.060918
TGPO 07MAY30 2007.4086 54250 1429 3   12.2   2232  0.892818   4985284  0.347868    49  0.344190  0.0000 0.000587 0.000730 0.002274 -0.029654 -0.026685 -0.042732
TGPO 07MAY31 2007.4114 54251 1429 4   12.2   2232  0.892898   4985284  0.346050    49  0.345066  0.0000 0.000585 0.000733 0.002258 -0.038939 -0.029152 -0.043639
TGPO 07JUN01 2007.4141 54252 1429 5   12.2   2232  0.892201   4985284  0.346402    49  0.340503  0.0000 0.000587 0.000730 0.002262 -0.035195 -0.022933 -0.056002
TGPO 07JUN02 2007.4168 54253 1429 6   12.2   2232  0.892559   4985284  0.348368    49  0.340418  0.0000 0.000584 0.000731 0.002241 -0.043952 -0.003369 -0.059241
TGPO 07JUN05 2007.4251 54256 1430 2   12.2   2232  0.890560   4985284  0.348287    49  0.349126  0.0000 0.000589 0.000736 0.002289 -0.046638  0.000614 -0.053239
TGPO 07JUN06 2007.4278 54257 1430 3   12.2   2232  0.892133   4985284  0.346670    49  0.345850  0.0000 0.000580 0.000724 0.002220 -0.040115  0.000875 -0.085336
TGPO 07JUN07 2007.4305 54258 1430 4   12.2   2232  0.892309   4985284  0.347033    49  0.341676  0.0000 0.000583 0.000730 0.002241 -0.030398 -0.006527 -0.068113
TGPO 07JUN08 2007.4333 54259 1430 5   12.2   2232  0.891167   4985284  0.349595    49  0.350719  0.0000 0.000581 0.000729 0.002233 -0.033911 -0.004021 -0.076858
TGPO 07JUN09 2007.4360 54260 1430 6   12.2   2232  0.890904   4985284  0.347325    49  0.344962  0.0000 0.000582 0.000732 0.002233 -0.047139 -0.003403 -0.089130
TGPO 07JUN10 2007.4387 54261 1431 0   12.2   2232  0.891483   4985284  0.348986    49  0.349689  0.0000 0.000577 0.000730 0.002219 -0.042864 -0.001323 -0.080069
TGPO 07JUN13 2007.4470 54264 1431 3   12.2   2232  0.892869   4985284  0.347670    49  0.345545  0.0000 0.000582 0.000733 0.002237 -0.029339  0.003931 -0.104662
TGPO 07JUN15 2007.4524 54266 1431 5   12.2   2232  0.890481   4985284  0.348204    49  0.350986  0.0000 0.000579 0.000730 0.002219 -0.024132  0.006546 -0.107181
TGPO 07JUN16 2007.4552 54267 1431 6   12.2   2232  0.891231   4985284  0.349839    49  0.340716  0.0000 0.000580 0.000732 0.002235 -0.035821 -0.006667 -0.081268
TGPO 07JUN17 2007.4579 54268 1432 0   12.2   2232  0.893120   4985284  0.349255    49  0.354480  0.0000 0.000582 0.000735 0.002246 -0.024987 -0.009582 -0.081703
TGPO 07JUN18 2007.4606 54269 1432 1   12.2   2232  0.890279   4985284  0.348154    49  0.345381  0.0000 0.000579 0.000730 0.002228 -0.041867  0.011761 -0.081878
