site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TRLV 14AUG14 2014.6174 56883 1805 4   -4.1   3602  0.001611   4802225  0.604741    79  0.816753  0.0000 0.000522 0.000675 0.002011  0.066268 -0.049022 -0.167879
TRLV 14AUG15 2014.6201 56884 1805 5   -4.1   3602  0.002556   4802225  0.602892    79  0.822839  0.0000 0.000514 0.000655 0.001966  0.039350 -0.038803 -0.183529
TRLV 14AUG16 2014.6229 56885 1805 6   -4.1   3602  0.001413   4802225  0.603655    79  0.825937  0.0000 0.000509 0.000648 0.001971  0.037659 -0.034939 -0.197093
TRLV 14AUG17 2014.6256 56886 1806 0   -4.1   3602  0.001952   4802225  0.602827    79  0.827175  0.0000 0.000509 0.000649 0.001960  0.032013 -0.033477 -0.180063
TRLV 14AUG18 2014.6283 56887 1806 1   -4.1   3602  0.000914   4802225  0.605790    79  0.822384  0.0000 0.000507 0.000644 0.001925  0.031338 -0.022278 -0.181051
TRLV 14AUG19 2014.6311 56888 1806 2   -4.1   3602  0.004145   4802225  0.603131    79  0.817056  0.0000 0.000511 0.000648 0.001938  0.018498 -0.002652 -0.152028
TRLV 14AUG20 2014.6338 56889 1806 3   -4.1   3602  0.001993   4802225  0.605107    79  0.826675  0.0000 0.000523 0.000684 0.002020  0.020640 -0.035611 -0.182892
TRLV 14AUG21 2014.6366 56890 1806 4   -4.1   3602  0.000298   4802225  0.605922    79  0.834501  0.0000 0.000512 0.000650 0.001973  0.030504 -0.030735 -0.198116
TRLV 14AUG22 2014.6393 56891 1806 5   -4.1   3602  0.002130   4802225  0.605831    79  0.824969  0.0000 0.000513 0.000642 0.001974  0.024986 -0.016982 -0.174233
TRLV 14AUG23 2014.6420 56892 1806 6   -4.1   3602  0.003204   4802225  0.605095    79  0.824403  0.0000 0.000511 0.000656 0.001966  0.056421 -0.037110 -0.177451
TRLV 14AUG24 2014.6448 56893 1807 0   -4.1   3602  0.003045   4802225  0.607533    79  0.830520  0.0000 0.000514 0.000652 0.001959  0.032120 -0.032165 -0.171404
TRLV 14AUG25 2014.6475 56894 1807 1   -4.1   3602  0.003745   4802225  0.605959    79  0.820706  0.0000 0.000525 0.000657 0.002020  0.016832 -0.014187 -0.163369
TRLV 14AUG26 2014.6502 56895 1807 2   -4.1   3602  0.002250   4802225  0.609191    79  0.834532  0.0000 0.000514 0.000653 0.002008  0.031122 -0.019856 -0.177943
TRLV 14AUG27 2014.6530 56896 1807 3   -4.1   3602  0.000498   4802225  0.608243    79  0.821874  0.0000 0.000504 0.000646 0.001955  0.031907 -0.023655 -0.162818
TRLV 14AUG28 2014.6557 56897 1807 4   -4.1   3602 -0.000764   4802225  0.605966    79  0.838224  0.0000 0.000513 0.000640 0.001961  0.034679  0.005395 -0.181954
TRLV 14AUG29 2014.6585 56898 1807 5   -4.1   3602  0.004029   4802225  0.605007    79  0.814829  0.0000 0.000511 0.000644 0.001950  0.035622 -0.015497 -0.192344
TRLV 14AUG30 2014.6612 56899 1807 6   -4.1   3602  0.004481   4802225  0.607441    79  0.824130  0.0000 0.000514 0.000667 0.002010  0.045566 -0.020280 -0.198925
TRLV 14AUG31 2014.6639 56900 1808 0   -4.1   3602  0.002675   4802225  0.606404    79  0.823122  0.0000 0.000515 0.000662 0.002007  0.027281  0.011205 -0.195678
TRLV 14SEP01 2014.6667 56901 1808 1   -4.1   3602  0.005371   4802225  0.605955    79  0.826603  0.0000 0.000513 0.000656 0.001998  0.027948 -0.009839 -0.167872
TRLV 14SEP02 2014.6694 56902 1808 2   -4.1   3602  0.003394   4802225  0.608005    79  0.825584  0.0000 0.000512 0.000649 0.001996  0.039969 -0.018730 -0.186693
TRLV 14SEP03 2014.6721 56903 1808 3   -4.1   3602  0.005114   4802225  0.608285    79  0.827252  0.0000 0.000514 0.000652 0.002005  0.040990 -0.020507 -0.177527
TRLV 14SEP04 2014.6749 56904 1808 4   -4.1   3602  0.003136   4802225  0.606997    79  0.821978  0.0000 0.000516 0.000657 0.001997  0.048957 -0.039396 -0.168005
TRLV 14SEP05 2014.6776 56905 1808 5   -4.1   3602  0.002923   4802225  0.607559    79  0.829777  0.0000 0.000517 0.000652 0.001990  0.033542 -0.003275 -0.175812
TRLV 14SEP06 2014.6804 56906 1808 6   -4.1   3602  0.003870   4802225  0.608005    79  0.827495  0.0000 0.000523 0.000667 0.002050  0.044764  0.004051 -0.178998
TRLV 14SEP07 2014.6831 56907 1809 0   -4.1   3602  0.004538   4802225  0.610125    79  0.826683  0.0000 0.000510 0.000659 0.002005  0.042615 -0.001908 -0.161035
TRLV 14SEP08 2014.6858 56908 1809 1   -4.1   3602  0.005724   4802225  0.606312    79  0.824343  0.0000 0.000510 0.000650 0.001967  0.034636 -0.013184 -0.171670
TRLV 14SEP09 2014.6886 56909 1809 2   -4.1   3602  0.004057   4802225  0.609061    79  0.823634  0.0000 0.000513 0.000652 0.001988  0.045226 -0.021351 -0.182340
TRLV 14SEP10 2014.6913 56910 1809 3   -4.1   3602  0.006007   4802225  0.609680    79  0.824957  0.0000 0.000516 0.000662 0.002028  0.041582 -0.029641 -0.178411
TRLV 14SEP11 2014.6940 56911 1809 4   -4.1   3602  0.005067   4802225  0.605716    79  0.827713  0.0000 0.000519 0.000658 0.002056  0.045244 -0.022851 -0.185175
TRLV 14SEP12 2014.6968 56912 1809 5   -4.1   3602  0.003782   4802225  0.609964    79  0.831485  0.0000 0.000512 0.000652 0.002014  0.037398 -0.024208 -0.167501
TRLV 14SEP13 2014.6995 56913 1809 6   -4.1   3602  0.004668   4802225  0.610225    79  0.826102  0.0000 0.000514 0.000661 0.002028  0.039133 -0.030158 -0.186016
TRLV 14SEP14 2014.7023 56914 1810 0   -4.1   3602  0.003612   4802225  0.607881    79  0.822589  0.0000 0.000520 0.000668 0.002072  0.055987 -0.056792 -0.205879
TRLV 14SEP15 2014.7050 56915 1810 1   -4.1   3602  0.003228   4802225  0.607900    79  0.823010  0.0000 0.000513 0.000659 0.002001  0.006524 -0.010553 -0.159109
TRLV 14SEP16 2014.7077 56916 1810 2   -4.1   3602  0.003881   4802225  0.605399    79  0.829734  0.0000 0.000525 0.000677 0.002087  0.034173 -0.034500 -0.198643
TRLV 14SEP17 2014.7105 56917 1810 3   -4.1   3602  0.005135   4802225  0.608124    79  0.828344  0.0000 0.000517 0.000652 0.002006  0.021870 -0.023117 -0.177696
TRLV 14SEP18 2014.7132 56918 1810 4   -4.1   3602  0.007478   4802225  0.602907    79  0.827303  0.0000 0.000520 0.000676 0.002086  0.006824 -0.014849 -0.174766
TRLV 14SEP19 2014.7159 56919 1810 5   -4.1   3602  0.006235   4802225  0.603477    79  0.822103  0.0000 0.000531 0.000688 0.002144  0.052796 -0.021396 -0.181254
TRLV 14SEP20 2014.7187 56920 1810 6   -4.1   3602  0.002845   4802225  0.607120    79  0.823618  0.0000 0.000508 0.000659 0.001997  0.032841 -0.028639 -0.201751
TRLV 14SEP21 2014.7214 56921 1811 0   -4.1   3602  0.004425   4802225  0.605879    79  0.826055  0.0000 0.000513 0.000662 0.002000  0.022018 -0.012577 -0.216935
TRLV 14SEP22 2014.7242 56922 1811 1   -4.1   3602  0.004579   4802225  0.608482    79  0.821230  0.0000 0.000503 0.000651 0.001966  0.010404  0.008681 -0.166160
