site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TUAP 15SEP30 2015.7454 57295 1864 3   39.1  -2755 -0.108815   4884892  0.840883    81  0.165112  0.0000 0.000546 0.000739 0.002251 -0.006798 -0.010024 -0.145663
TUAP 15OCT01 2015.7481 57296 1864 4   39.1  -2755 -0.104657   4884892  0.838898    81  0.169723  0.0000 0.000555 0.000748 0.002302 -0.037908  0.004382 -0.145354
TUAP 15OCT02 2015.7509 57297 1864 5   39.1  -2755 -0.108681   4884892  0.837566    81  0.184865  0.0000 0.000530 0.000715 0.002169  0.001634 -0.010094 -0.135126
TUAP 15OCT03 2015.7536 57298 1864 6   39.1  -2755 -0.109652   4884892  0.844450    81  0.168478  0.0000 0.000526 0.000708 0.002150 -0.010875  0.023478 -0.126185
TUAP 15OCT04 2015.7563 57299 1865 0   39.1  -2755 -0.108388   4884892  0.839408    81  0.162105  0.0000 0.000531 0.000714 0.002166  0.005827 -0.002474 -0.139711
TUAP 15OCT05 2015.7591 57300 1865 1   39.1  -2755 -0.108146   4884892  0.842269    81  0.163670  0.0000 0.000529 0.000709 0.002163 -0.011118  0.012098 -0.130003
TUAP 15OCT06 2015.7618 57301 1865 2   39.1  -2755 -0.106608   4884892  0.842008    81  0.167137  0.0000 0.000531 0.000714 0.002173 -0.002112  0.000678 -0.129249
TUAP 15OCT07 2015.7645 57302 1865 3   39.1  -2755 -0.105954   4884892  0.838906    81  0.170097  0.0000 0.000523 0.000705 0.002130 -0.002171 -0.008284 -0.113231
TUAP 15OCT08 2015.7673 57303 1865 4   39.1  -2755 -0.108539   4884892  0.840594    81  0.170304  0.0000 0.000522 0.000702 0.002131 -0.011961  0.011480 -0.131077
TUAP 15OCT09 2015.7700 57304 1865 5   39.1  -2755 -0.105111   4884892  0.840149    81  0.162011  0.0000 0.000523 0.000707 0.002150 -0.003605 -0.003966 -0.142734
TUAP 15OCT10 2015.7728 57305 1865 6   39.1  -2755 -0.107002   4884892  0.841490    81  0.158624  0.0000 0.000526 0.000715 0.002164  0.002673  0.001602 -0.123301
TUAP 15OCT11 2015.7755 57306 1866 0   39.1  -2755 -0.105707   4884892  0.841732    81  0.162362  0.0000 0.000530 0.000711 0.002186  0.001238 -0.010178 -0.141300
TUAP 15OCT12 2015.7782 57307 1866 1   39.1  -2755 -0.105103   4884892  0.839904    81  0.165772  0.0000 0.000531 0.000714 0.002199  0.002009 -0.002752 -0.142553
TUAP 15OCT13 2015.7810 57308 1866 2   39.1  -2755 -0.106049   4884892  0.841036    81  0.163174  0.0000 0.000520 0.000698 0.002117 -0.007228  0.009459 -0.126898
TUAP 15OCT14 2015.7837 57309 1866 3   39.1  -2755 -0.103038   4884892  0.842256    81  0.161455  0.0000 0.000522 0.000707 0.002126 -0.008983  0.012640 -0.127406
TUAP 15OCT15 2015.7864 57310 1866 4   39.1  -2755 -0.103231   4884892  0.842327    81  0.163101  0.0000 0.000520 0.000704 0.002128 -0.003191 -0.002683 -0.130839
TUAP 15OCT16 2015.7892 57311 1866 5   39.1  -2755 -0.105306   4884892  0.841999    81  0.159914  0.0000 0.000549 0.000746 0.002273  0.038392  0.005234 -0.142988
