site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
TXFD 13MAR10 2013.1882 56361 1731 0  -96.2   2754  0.299482   3511149  0.347766   116  0.982782  0.0000 0.000486 0.000540 0.001851  0.038803 -0.023890 -0.077081
TXFD 13MAR11 2013.1910 56362 1731 1  -96.2   2754  0.299387   3511149  0.348109   116  0.982302  0.0000 0.000485 0.000543 0.001836  0.042488 -0.031280 -0.076367
TXFD 13MAR12 2013.1937 56363 1731 2  -96.2   2754  0.300052   3511149  0.346202   116  0.986927  0.0000 0.000485 0.000537 0.001832  0.053207 -0.071087 -0.087703
TXFD 13MAR13 2013.1964 56364 1731 3  -96.2   2754  0.299328   3511149  0.347440   116  0.973935  0.0000 0.000486 0.000540 0.001855  0.052772 -0.055020 -0.089601
TXFD 13MAR14 2013.1992 56365 1731 4  -96.2   2754  0.301305   3511149  0.344877   116  0.977289  0.0000 0.000494 0.000544 0.001892  0.026065  0.000119 -0.075770
TXFD 13MAR15 2013.2019 56366 1731 5  -96.2   2754  0.300431   3511149  0.345679   116  0.982915  0.0000 0.000491 0.000541 0.001863  0.037742 -0.006180 -0.076092
TXFD 13MAR16 2013.2047 56367 1731 6  -96.2   2754  0.300598   3511149  0.346305   116  0.988311  0.0000 0.000489 0.000543 0.001849  0.046224 -0.037526 -0.074056
TXFD 13MAR17 2013.2074 56368 1732 0  -96.2   2754  0.300479   3511149  0.350268   116  0.985556  0.0000 0.000487 0.000546 0.001865  0.040761 -0.053271 -0.066015
TXFD 13MAR18 2013.2101 56369 1732 1  -96.2   2754  0.299873   3511149  0.347471   116  0.989986  0.0000 0.000489 0.000538 0.001858  0.048893 -0.045934 -0.086530
TXFD 13MAR19 2013.2129 56370 1732 2  -96.2   2754  0.300860   3511149  0.346672   116  0.986114  0.0000 0.000509 0.000550 0.001884  0.027039 -0.021745 -0.117665
TXFD 13MAR20 2013.2156 56371 1732 3  -96.2   2754  0.299577   3511149  0.348075   116  0.977910  0.0000 0.000491 0.000540 0.001852  0.036304 -0.017994 -0.098326
TXFD 13MAR21 2013.2183 56372 1732 4  -96.2   2754  0.300970   3511149  0.350246   116  0.986940  0.0000 0.000489 0.000539 0.001844  0.046978 -0.031646 -0.092174
TXFD 13MAR22 2013.2211 56373 1732 5  -96.2   2754  0.300263   3511149  0.346928   116  0.985910  0.0000 0.000486 0.000537 0.001822  0.054424 -0.039906 -0.085537
TXFD 13MAR23 2013.2238 56374 1732 6  -96.2   2754  0.302033   3511149  0.347876   116  0.984987  0.0000 0.000484 0.000541 0.001839  0.046247 -0.014684 -0.064427
TXFD 13MAR24 2013.2266 56375 1733 0  -96.2   2754  0.299450   3511149  0.346748   116  0.987091  0.0000 0.000491 0.000540 0.001846  0.053417  0.003781 -0.089859
TXFD 13MAR25 2013.2293 56376 1733 1  -96.2   2754  0.300348   3511149  0.348137   116  0.978578  0.0000 0.000491 0.000537 0.001828  0.033465 -0.031453 -0.098020
TXFD 13MAR26 2013.2320 56377 1733 2  -96.2   2754  0.301246   3511149  0.347352   116  0.977887  0.0000 0.000491 0.000536 0.001833  0.036598 -0.032725 -0.086871
TXFD 13MAR27 2013.2348 56378 1733 3  -96.2   2754  0.300690   3511149  0.349181   116  0.982364  0.0000 0.000490 0.000538 0.001834  0.033517 -0.028849 -0.098996
TXFD 13MAR28 2013.2375 56379 1733 4  -96.2   2754  0.295230   3511149  0.350750   116  0.984987  0.0000 0.000494 0.000553 0.001878  0.044080 -0.026972 -0.091136
TXFD 13MAR29 2013.2402 56380 1733 5  -96.2   2754  0.296691   3511149  0.350605   116  0.979699  0.0000 0.000499 0.000549 0.001881  0.040308 -0.001185 -0.106621
TXFD 13MAR30 2013.2430 56381 1733 6  -96.2   2754  0.301669   3511149  0.348487   116  0.987084  0.0000 0.000500 0.000554 0.001900  0.034216 -0.014378 -0.089449
TXFD 13MAR31 2013.2457 56382 1734 0  -96.2   2754  0.301016   3511149  0.348742   116  0.978226  0.0000 0.000502 0.000551 0.001881  0.023709 -0.001626 -0.089489
TXFD 13APR01 2013.2485 56383 1734 1  -96.2   2754  0.297754   3511149  0.346958   116  0.978879  0.0000 0.000509 0.000559 0.001937  0.030597 -0.011395 -0.113534
TXFD 13APR02 2013.2512 56384 1734 2  -96.2   2754  0.298605   3511149  0.348266   116  0.980666  0.0000 0.000508 0.000556 0.001917  0.039043 -0.000741 -0.108979
TXFD 13APR03 2013.2539 56385 1734 3  -96.2   2754  0.300725   3511149  0.348694   116  0.980779  0.0000 0.000502 0.000555 0.001892  0.038232 -0.005935 -0.113355
TXFD 13APR04 2013.2567 56386 1734 4  -96.2   2754  0.299660   3511149  0.348180   116  0.976101  0.0000 0.000521 0.000561 0.001922  0.034471 -0.000881 -0.081074
TXFD 13APR05 2013.2594 56387 1734 5  -96.2   2754  0.299129   3511149  0.346496   116  0.980502  0.0000 0.000500 0.000558 0.001909  0.020735  0.034381 -0.119215
TXFD 13APR06 2013.2621 56388 1734 6  -96.2   2754  0.296874   3511149  0.348087   116  0.987713  0.0000 0.000506 0.000557 0.001922  0.043181 -0.025661 -0.125882
TXFD 13APR07 2013.2649 56389 1735 0  -96.2   2754  0.296129   3511149  0.347101   116  0.988013  0.0000 0.000507 0.000557 0.001904  0.033265 -0.006675 -0.107649
TXFD 13APR08 2013.2676 56390 1735 1  -96.2   2754  0.297576   3511149  0.348108   116  0.985940  0.0000 0.000510 0.000559 0.001931  0.031076 -0.011230 -0.110175
TXFD 13APR09 2013.2704 56391 1735 2  -96.2   2754  0.297963   3511149  0.346017   116  0.992311  0.0000 0.000504 0.000553 0.001883  0.063133 -0.037676 -0.099217
TXFD 13APR10 2013.2731 56392 1735 3  -96.2   2754  0.299920   3511149  0.344976   116  0.984883  0.0000 0.000517 0.000568 0.001955  0.067830 -0.044843 -0.101863
TXFD 13APR11 2013.2758 56393 1735 4  -96.2   2754  0.296270   3511149  0.345262   116  0.987392  0.0000 0.000520 0.000568 0.001934  0.040619  0.001760 -0.116864
TXFD 13APR12 2013.2786 56394 1735 5  -96.2   2754  0.297427   3511149  0.348419   116  0.987098  0.0000 0.000514 0.000569 0.001948  0.001048  0.005804 -0.107445
TXFD 13APR13 2013.2813 56395 1735 6  -96.2   2754  0.295620   3511149  0.346515   116  0.986618  0.0000 0.000508 0.000558 0.001897  0.041542 -0.021319 -0.106588
TXFD 13APR14 2013.2841 56396 1736 0  -96.2   2754  0.299167   3511149  0.347261   116  0.994671  0.0000 0.000509 0.000562 0.001911  0.039099  0.003399 -0.106903
TXFD 13APR15 2013.2868 56397 1736 1  -96.2   2754  0.301360   3511149  0.347295   116  0.990612  0.0000 0.000511 0.000563 0.001902  0.036808 -0.005396 -0.101088
TXFD 13APR16 2013.2895 56398 1736 2  -96.2   2754  0.297703   3511149  0.350752   116  0.999523  0.0000 0.000509 0.000561 0.001923  0.029777 -0.023601 -0.093400
TXFD 13APR17 2013.2923 56399 1736 3  -96.2   2754  0.299012   3511149  0.347614   116  0.987682  0.0000 0.000508 0.000559 0.001898  0.024537 -0.007294 -0.107897
TXFD 13APR18 2013.2950 56400 1736 4  -96.2   2754  0.299243   3511149  0.348073   116  0.983542  0.0000 0.000514 0.000561 0.001915  0.022262 -0.025981 -0.124522
TXFD 13APR19 2013.2977 56401 1736 5  -96.2   2754  0.296574   3511149  0.345569   116  0.975039  0.0000 0.000506 0.000558 0.001887  0.018333  0.004787 -0.111424
TXFD 13APR20 2013.3005 56402 1736 6  -96.2   2754  0.300096   3511149  0.345239   116  0.976915  0.0000 0.000503 0.000560 0.001895  0.029848  0.000017 -0.096693
TXFD 13APR21 2013.3032 56403 1737 0  -96.2   2754  0.300723   3511149  0.347302   116  0.982478  0.0000 0.000508 0.000560 0.001901  0.029866  0.001760 -0.115427
TXFD 13APR22 2013.3060 56404 1737 1  -96.2   2754  0.298904   3511149  0.347810   116  0.981217  0.0000 0.000505 0.000559 0.001894  0.022600 -0.017281 -0.093958
TXFD 13APR23 2013.3087 56405 1737 2  -96.2   2754  0.299428   3511149  0.348943   116  0.981353  0.0000 0.000513 0.000560 0.001919  0.033580 -0.009355 -0.119736
TXFD 13APR24 2013.3114 56406 1737 3  -96.2   2754  0.298077   3511149  0.347287   116  0.972518  0.0000 0.000498 0.000558 0.001878  0.035820 -0.023623 -0.088304
TXFD 13APR25 2013.3142 56407 1737 4  -96.2   2754  0.293325   3511149  0.348949   116  0.988734  0.0000 0.000502 0.000559 0.001886  0.040947 -0.002207 -0.094555
TXFD 13APR26 2013.3169 56408 1737 5  -96.2   2754  0.296835   3511149  0.343919   116  0.986170  0.0000 0.000507 0.000558 0.001891  0.040368 -0.014703 -0.081247
TXFD 13APR27 2013.3196 56409 1737 6  -96.2   2754  0.297630   3511149  0.346736   116  0.980956  0.0000 0.000513 0.000563 0.001922  0.041769 -0.002344 -0.109271
TXFD 13MAY02 2013.3333 56414 1738 4  -96.2   2754  0.297952   3511149  0.347559   116  0.979371  0.0000 0.000894 0.000946 0.003368  0.187014 -0.047722 -0.126946
TXFD 13MAY03 2013.3361 56415 1738 5  -96.2   2754  0.297359   3511149  0.347336   116  0.973442  0.0000 0.000508 0.000555 0.001903  0.031902  0.001199 -0.112445
TXFD 13MAY04 2013.3388 56416 1738 6  -96.2   2754  0.300088   3511149  0.346097   116  0.978325  0.0000 0.000508 0.000557 0.001902  0.044039 -0.001457 -0.106862
TXFD 13MAY05 2013.3415 56417 1739 0  -96.2   2754  0.296950   3511149  0.345544   116  0.973089  0.0000 0.000515 0.000563 0.001939  0.027626 -0.007092 -0.112693
TXFD 13MAY06 2013.3443 56418 1739 1  -96.2   2754  0.297393   3511149  0.343590   116  0.975355  0.0000 0.000506 0.000559 0.001901  0.042786 -0.013524 -0.105445
TXFD 13MAY07 2013.3470 56419 1739 2  -96.2   2754  0.297485   3511149  0.345664   116  0.981737  0.0000 0.000515 0.000563 0.001931  0.051583 -0.023586 -0.098169
TXFD 13MAY08 2013.3498 56420 1739 3  -96.2   2754  0.300230   3511149  0.346340   116  0.978293  0.0000 0.000517 0.000571 0.001972  0.067176 -0.027268 -0.103604
TXFD 13MAY09 2013.3525 56421 1739 4  -96.2   2754  0.296576   3511149  0.345691   116  0.982433  0.0000 0.000513 0.000562 0.001966  0.050283  0.006363 -0.141022
TXFD 13MAY10 2013.3552 56422 1739 5  -96.2   2754  0.300821   3511149  0.344736   116  0.981080  0.0000 0.000528 0.000566 0.001963  0.073001 -0.052630 -0.125755
TXFD 13MAY11 2013.3580 56423 1739 6  -96.2   2754  0.297148   3511149  0.347363   116  0.973089  0.0000 0.000504 0.000556 0.001899  0.055795 -0.015331 -0.097961
TXFD 13MAY14 2013.3662 56426 1740 2  -96.2   2754  0.300715   3511149  0.345299   116  0.979871  0.0000 0.000510 0.000562 0.001947  0.062245 -0.022414 -0.132431
TXFD 13MAY15 2013.3689 56427 1740 3  -96.2   2754  0.300609   3511149  0.344833   116  0.982309  0.0000 0.000518 0.000563 0.001952  0.057139 -0.012537 -0.115885
TXFD 13MAY16 2013.3717 56428 1740 4  -96.2   2754  0.300543   3511149  0.345564   116  0.984381  0.0000 0.000526 0.000565 0.001947  0.073265 -0.043152 -0.118277
TXFD 13MAY17 2013.3744 56429 1740 5  -96.2   2754  0.301823   3511149  0.346520   116  0.979846  0.0000 0.000533 0.000570 0.002010  0.058814 -0.012921 -0.115416
TXFD 13MAY18 2013.3771 56430 1740 6  -96.2   2754  0.297654   3511149  0.344345   116  0.987345  0.0000 0.000507 0.000556 0.001905  0.054959 -0.023731 -0.112959
TXFD 13MAY19 2013.3799 56431 1741 0  -96.2   2754  0.299304   3511149  0.346988   116  0.987133  0.0000 0.000511 0.000559 0.001926  0.069082 -0.042283 -0.133348
TXFD 13MAY20 2013.3826 56432 1741 1  -96.2   2754  0.301891   3511149  0.347053   116  0.979490  0.0000 0.000518 0.000563 0.001950  0.059775 -0.023690 -0.137652
TXFD 13MAY21 2013.3854 56433 1741 2  -96.2   2754  0.298848   3511149  0.345307   116  0.983185  0.0000 0.000539 0.000584 0.002010  0.052291 -0.032098 -0.146393
TXFD 13MAY22 2013.3881 56434 1741 3  -96.2   2754  0.298310   3511149  0.345117   116  0.977484  0.0000 0.000513 0.000561 0.001934  0.043444 -0.032510 -0.116835
TXFD 13MAY23 2013.3908 56435 1741 4  -96.2   2754  0.298351   3511149  0.346866   116  0.979314  0.0000 0.000519 0.000561 0.001939  0.043406 -0.016656 -0.129407
TXFD 13MAY24 2013.3936 56436 1741 5  -96.2   2754  0.296056   3511149  0.342743   116  0.986536  0.0000 0.000512 0.000566 0.001924  0.038271 -0.004791 -0.113916
TXFD 13MAY25 2013.3963 56437 1741 6  -96.2   2754  0.299530   3511149  0.346862   116  0.980811  0.0000 0.000513 0.000558 0.001938  0.039819 -0.000084 -0.145105
TXFD 13MAY28 2013.4045 56440 1742 2  -96.2   2754  0.297944   3511149  0.344852   116  0.987863  0.0000 0.000513 0.000555 0.001903  0.047533 -0.004263 -0.116320
TXFD 13MAY29 2013.4073 56441 1742 3  -96.2   2754  0.300666   3511149  0.346570   116  0.992162  0.0000 0.000519 0.000567 0.001961  0.036355  0.010997 -0.107169
TXFD 13MAY30 2013.4100 56442 1742 4  -96.2   2754  0.299182   3511149  0.344555   116  0.997081  0.0000 0.000521 0.000560 0.001949  0.034491  0.006113 -0.137338
TXFD 13MAY31 2013.4127 56443 1742 5  -96.2   2754  0.296365   3511149  0.347447   116  0.981519  0.0000 0.000521 0.000564 0.001957  0.069699 -0.049005 -0.103935
TXFD 13JUN01 2013.4155 56444 1742 6  -96.2   2754  0.296253   3511149  0.347002   116  0.987736  0.0000 0.000557 0.000597 0.002104  0.123549  0.018632 -0.055267
TXFD 13JUN04 2013.4237 56447 1743 2  -96.2   2754  0.294988   3511149  0.347942   116  0.985923  0.0000 0.000684 0.000738 0.002543  0.116328 -0.019877 -0.096063
TXFD 13JUN05 2013.4264 56448 1743 3  -96.2   2754  0.296608   3511149  0.346895   116  0.993447  0.0000 0.000520 0.000558 0.001935  0.056005 -0.027289 -0.135551
TXFD 13JUN06 2013.4292 56449 1743 4  -96.2   2754  0.299019   3511149  0.346909   116  0.990663  0.0000 0.000565 0.000600 0.002127  0.014319 -0.008690 -0.131648
TXFD 13JUN07 2013.4319 56450 1743 5  -96.2   2754  0.299920   3511149  0.344859   116  0.984900  0.0000 0.000512 0.000561 0.001919  0.046649 -0.011517 -0.095246
TXFD 13JUN08 2013.4346 56451 1743 6  -96.2   2754  0.296121   3511149  0.345470   116  0.982737  0.0000 0.000519 0.000563 0.001939  0.053600 -0.008162 -0.089891
TXFD 13JUN17 2013.4593 56460 1745 1  -96.2   2754  0.296453   3511149  0.343677   116  0.994657  0.0000 0.000651 0.000703 0.002413  0.081096 -0.007869 -0.128362
TXFD 13JUN18 2013.4620 56461 1745 2  -96.2   2754  0.301725   3511149  0.346009   116  0.986706  0.0000 0.000520 0.000562 0.001950  0.032500  0.002866 -0.127650
