site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
UACO 09NOV19 2009.8836 55154 1558 4  164.5  -3130 -0.677888  -2304950 -0.773001    88  0.865509  0.0000 0.000567 0.000550 0.002095 -0.002958 -0.060703  0.036850
UACO 09NOV20 2009.8864 55155 1558 5  164.5  -3130 -0.674420  -2304950 -0.774542    88  0.859458  0.0000 0.000576 0.000552 0.002120  0.026348 -0.013728  0.014397
UACO 09NOV21 2009.8891 55156 1558 6  164.5  -3130 -0.671406  -2304950 -0.779106    88  0.863704  0.0000 0.000598 0.000572 0.002148 -0.003220 -0.080634 -0.028274
UACO 09NOV22 2009.8919 55157 1559 0  164.5  -3130 -0.674116  -2304950 -0.778932    88  0.860284  0.0000 0.000552 0.000538 0.002048 -0.032667 -0.066303 -0.006107
UACO 09NOV23 2009.8946 55158 1559 1  164.5  -3130 -0.676731  -2304950 -0.778919    88  0.871082  0.0000 0.000574 0.000557 0.002162 -0.002112 -0.047702  0.000621
UACO 09NOV24 2009.8973 55159 1559 2  164.5  -3130 -0.675931  -2304950 -0.774220    88  0.857494  0.0000 0.000587 0.000569 0.002170 -0.006185 -0.034353  0.006119
UACO 09NOV25 2009.9001 55160 1559 3  164.5  -3130 -0.675209  -2304950 -0.773947    88  0.863569  0.0000 0.000703 0.000682 0.002653 -0.015596 -0.081398 -0.000648
UACO 09DEC10 2009.9411 55175 1561 4  164.5  -3130 -0.677271  -2304950 -0.775179    88  0.858010  0.0000 0.000666 0.000640 0.002509 -0.028047  0.007338  0.032268
UACO 09DEC12 2009.9466 55177 1561 6  164.5  -3130 -0.675711  -2304950 -0.772032    88  0.861150  0.0000 0.000567 0.000550 0.002035  0.014797 -0.034950  0.014697
UACO 09DEC14 2009.9521 55179 1562 1  164.5  -3130 -0.675011  -2304950 -0.772143    88  0.854706  0.0000 0.000600 0.000594 0.002166 -0.014313 -0.073472  0.045022
UACO 09DEC15 2009.9548 55180 1562 2  164.5  -3130 -0.678955  -2304950 -0.770212    88  0.860158  0.0000 0.000571 0.000557 0.002117 -0.012074 -0.048763  0.024875
UACO 09DEC16 2009.9576 55181 1562 3  164.5  -3130 -0.676426  -2304950 -0.771782    88  0.855391  0.0000 0.000558 0.000550 0.002061 -0.003977 -0.051405  0.007741
UACO 09DEC17 2009.9603 55182 1562 4  164.5  -3130 -0.677410  -2304950 -0.771936    88  0.854696  0.0000 0.000608 0.000597 0.002167  0.002667 -0.039134  0.005781
