site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
UPTA 07NOV01 2007.8330 54405 1451 4   21.3  -4157 -0.294481  -3143570 -0.892593   868  0.688385  0.0000 0.000759 0.000743 0.002731 -0.036622  0.067907  0.058396
UPTA 07NOV02 2007.8357 54406 1451 5   21.3  -4157 -0.295758  -3143570 -0.892879   868  0.686260  0.0000 0.000520 0.000537 0.001928 -0.001145  0.010120  0.105351
UPTA 07NOV03 2007.8385 54407 1451 6   21.3  -4157 -0.295131  -3143570 -0.893453   868  0.681167  0.0000 0.000560 0.000565 0.002012 -0.017293  0.023100  0.088110
UPTA 07NOV04 2007.8412 54408 1452 0   21.3  -4157 -0.294446  -3143570 -0.894722   868  0.686021  0.0000 0.000539 0.000563 0.002013 -0.028812  0.012888  0.109963
UPTA 07NOV06 2007.8467 54410 1452 2   21.3  -4157 -0.293988  -3143570 -0.891542   868  0.682411  0.0000 0.000522 0.000537 0.001910 -0.005546  0.016992  0.104551
UPTA 07NOV07 2007.8494 54411 1452 3   21.3  -4157 -0.293329  -3143570 -0.892209   868  0.681989  0.0000 0.000508 0.000527 0.001864 -0.008489  0.004256  0.087357
UPTA 07NOV09 2007.8549 54413 1452 5   21.3  -4157 -0.292980  -3143570 -0.887718   868  0.684813  0.0000 0.000518 0.000543 0.001937 -0.018136  0.007851  0.110617
UPTA 07NOV10 2007.8576 54414 1452 6   21.3  -4157 -0.289813  -3143570 -0.893055   868  0.682277  0.0000 0.000514 0.000532 0.001890 -0.000440  0.014618  0.079100
UPTA 07NOV12 2007.8631 54416 1453 1   21.3  -4157 -0.292427  -3143570 -0.890688   868  0.680653  0.0000 0.000513 0.000532 0.001898 -0.017722  0.004426  0.077449
UPTA 07NOV13 2007.8658 54417 1453 2   21.3  -4157 -0.292724  -3143570 -0.889920   868  0.684790  0.0000 0.000516 0.000533 0.001906 -0.011377  0.011083  0.093542
UPTA 07NOV14 2007.8686 54418 1453 3   21.3  -4157 -0.294187  -3143570 -0.890622   868  0.684677  0.0000 0.000515 0.000530 0.001889 -0.010118  0.015256  0.083253
UPTA 07NOV16 2007.8741 54420 1453 5   21.3  -4157 -0.295498  -3143570 -0.891687   868  0.693517  0.0000 0.000515 0.000528 0.001906  0.002379  0.017032  0.090482
UPTA 07NOV18 2007.8795 54422 1454 0   21.3  -4157 -0.294866  -3143570 -0.886461   868  0.685872  0.0000 0.000521 0.000536 0.001932 -0.011550  0.005807  0.067641
