site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
UTHE 10JUL05 2010.5079 55382 1591 1 -111.4   -288 -0.705665   4485819  0.369671  1708  0.194171  0.0000 0.000515 0.000665 0.002019  0.034953  0.006409 -0.067910
UTHE 10JUL06 2010.5106 55383 1591 2 -111.4   -288 -0.704806   4485819  0.367970  1708  0.189028  0.0000 0.000519 0.000673 0.002042  0.018672  0.042870 -0.086856
UTHE 10JUL07 2010.5133 55384 1591 3 -111.4   -288 -0.706012   4485819  0.362912  1708  0.185692  0.0000 0.000512 0.000662 0.002021  0.020841  0.018729 -0.103706
UTHE 10JUL08 2010.5161 55385 1591 4 -111.4   -288 -0.704976   4485819  0.366179  1708  0.193022  0.0000 0.000491 0.000624 0.001947  0.034074  0.023636 -0.124697
UTHE 10JUL09 2010.5188 55386 1591 5 -111.4   -288 -0.702858   4485819  0.367028  1708  0.195315  0.0000 0.000484 0.000622 0.001920  0.046283 -0.000593 -0.098052
UTHE 10JUL10 2010.5216 55387 1591 6 -111.4   -288 -0.702891   4485819  0.365318  1708  0.185488  0.0000 0.000486 0.000625 0.001923  0.059244 -0.020972 -0.086220
UTHE 10JUL11 2010.5243 55388 1592 0 -111.4   -288 -0.705651   4485819  0.367175  1708  0.189868  0.0000 0.000486 0.000631 0.001944  0.042171 -0.018782 -0.101536
UTHE 10JUL12 2010.5270 55389 1592 1 -111.4   -288 -0.705156   4485819  0.367708  1708  0.189919  0.0000 0.000615 0.000792 0.002481 -0.033361  0.049145 -0.093274
UTHE 10JUL13 2010.5298 55390 1592 2 -111.4   -288 -0.708462   4485819  0.366404  1708  0.201609  0.0000 0.000524 0.000667 0.002037  0.034639  0.055623 -0.100394
UTHE 10JUL14 2010.5325 55391 1592 3 -111.4   -288 -0.707812   4485819  0.366593  1708  0.198892  0.0000 0.000489 0.000628 0.001917  0.033606  0.014834 -0.101360
UTHE 10JUL15 2010.5352 55392 1592 4 -111.4   -288 -0.704541   4485819  0.366387  1708  0.195359  0.0000 0.000482 0.000619 0.001890  0.025574 -0.017219 -0.112475
UTHE 10JUL16 2010.5380 55393 1592 5 -111.4   -288 -0.705111   4485819  0.368697  1708  0.194300  0.0000 0.000476 0.000612 0.001876  0.017999  0.029735 -0.101225
UTHE 10JUL17 2010.5407 55394 1592 6 -111.4   -288 -0.706676   4485819  0.366230  1708  0.187683  0.0000 0.000485 0.000621 0.001931  0.015837  0.025115 -0.126850
UTHE 10JUL18 2010.5435 55395 1593 0 -111.4   -288 -0.704583   4485819  0.367728  1708  0.188486  0.0000 0.000494 0.000629 0.001932  0.020330  0.027702 -0.118604
UTHE 10JUL19 2010.5462 55396 1593 1 -111.4   -288 -0.703154   4485819  0.366906  1708  0.191965  0.0000 0.000477 0.000607 0.001867  0.003448  0.021757 -0.098183
UTHE 10JUL20 2010.5489 55397 1593 2 -111.4   -288 -0.702482   4485819  0.366435  1708  0.201693  0.0000 0.000485 0.000624 0.001909  0.008877  0.011661 -0.092033
UTHE 10JUL21 2010.5517 55398 1593 3 -111.4   -288 -0.703739   4485819  0.368098  1708  0.187165  0.0000 0.000486 0.000621 0.001897  0.038755  0.015532 -0.087612
UTHE 10JUL22 2010.5544 55399 1593 4 -111.4   -288 -0.706909   4485819  0.366822  1708  0.182585  0.0000 0.000492 0.000633 0.001944 -0.007690  0.051714 -0.096295
UTHE 10JUL23 2010.5572 55400 1593 5 -111.4   -288 -0.705794   4485819  0.366443  1708  0.195325  0.0000 0.000489 0.000632 0.001935  0.017450  0.020609 -0.094857
UTHE 10JUL24 2010.5599 55401 1593 6 -111.4   -288 -0.705097   4485819  0.367999  1708  0.193981  0.0000 0.000476 0.000621 0.001873  0.038659 -0.003914 -0.091803
UTHE 10JUL25 2010.5626 55402 1594 0 -111.4   -288 -0.707234   4485819  0.369147  1708  0.190476  0.0000 0.000480 0.000620 0.001875  0.035008  0.012489 -0.091124
UTHE 10JUL26 2010.5654 55403 1594 1 -111.4   -288 -0.706311   4485819  0.362609  1708  0.198484  0.0000 0.000487 0.000621 0.001907  0.034966  0.036444 -0.090662
UTHE 10JUL27 2010.5681 55404 1594 2 -111.4   -288 -0.708120   4485819  0.367443  1708  0.202490  0.0000 0.000489 0.000635 0.001917  0.056341 -0.004582 -0.084600
UTHE 10JUL28 2010.5708 55405 1594 3 -111.4   -288 -0.708186   4485819  0.367543  1708  0.191174  0.0000 0.000490 0.000629 0.001925  0.041061  0.015990 -0.100452
UTHE 10JUL29 2010.5736 55406 1594 4 -111.4   -288 -0.706355   4485819  0.365183  1708  0.195354  0.0000 0.000498 0.000636 0.001945  0.022935  0.016768 -0.076978
UTHE 10JUL30 2010.5763 55407 1594 5 -111.4   -288 -0.709105   4485819  0.368443  1708  0.179011  0.0000 0.000500 0.000642 0.001962  0.038858  0.023783 -0.101206
UTHE 10JUL31 2010.5791 55408 1594 6 -111.4   -288 -0.704805   4485819  0.367423  1708  0.198820  0.0000 0.000488 0.000628 0.001913  0.053573 -0.037217 -0.088984
UTHE 10AUG01 2010.5818 55409 1595 0 -111.4   -288 -0.706702   4485819  0.366418  1708  0.182133  0.0000 0.000491 0.000629 0.001934  0.051702 -0.007172 -0.116066
UTHE 10AUG02 2010.5845 55410 1595 1 -111.4   -288 -0.706986   4485819  0.367104  1708  0.192779  0.0000 0.000496 0.000636 0.001969  0.040194  0.004242 -0.100040
UTHE 10AUG03 2010.5873 55411 1595 2 -111.4   -288 -0.708309   4485819  0.368575  1708  0.201435  0.0000 0.000514 0.000634 0.001984  0.057807  0.014654 -0.151840
UTHE 10AUG04 2010.5900 55412 1595 3 -111.4   -288 -0.709370   4485819  0.369608  1708  0.199581  0.0000 0.000513 0.000634 0.001994  0.044228  0.026358 -0.132602
UTHE 10AUG05 2010.5927 55413 1595 4 -111.4   -288 -0.709485   4485819  0.369479  1708  0.198702  0.0000 0.000483 0.000624 0.001913  0.043410  0.009570 -0.079342
UTHE 10AUG06 2010.5955 55414 1595 5 -111.4   -288 -0.708944   4485819  0.368916  1708  0.195258  0.0000 0.000485 0.000614 0.001907  0.013107  0.027374 -0.111425
UTHE 10AUG07 2010.5982 55415 1595 6 -111.4   -288 -0.709198   4485819  0.367821  1708  0.192334  0.0000 0.000485 0.000622 0.001895  0.024546 -0.013038 -0.092331
UTHE 10AUG08 2010.6010 55416 1596 0 -111.4   -288 -0.710268   4485819  0.369040  1708  0.195760  0.0000 0.000485 0.000617 0.001889  0.029139  0.003078 -0.094992
UTHE 10AUG09 2010.6037 55417 1596 1 -111.4   -288 -0.710709   4485819  0.367511  1708  0.198454  0.0000 0.000482 0.000618 0.001887  0.042468 -0.011927 -0.119253
UTHE 10AUG10 2010.6064 55418 1596 2 -111.4   -288 -0.709792   4485819  0.365885  1708  0.196633  0.0000 0.000484 0.000623 0.001895  0.035831 -0.006701 -0.096642
UTHE 10AUG11 2010.6092 55419 1596 3 -111.4   -288 -0.715459   4485819  0.371491  1708  0.183587  0.0000 0.000486 0.000632 0.001947  0.025527  0.046792 -0.107679
UTHE 10AUG12 2010.6119 55420 1596 4 -111.4   -288 -0.713857   4485819  0.364471  1708  0.195111  0.0000 0.000486 0.000630 0.001928  0.017663  0.004675 -0.101284
UTHE 10AUG13 2010.6146 55421 1596 5 -111.4   -288 -0.709097   4485819  0.368735  1708  0.198259  0.0000 0.000489 0.000627 0.001918  0.023932  0.028815 -0.085454
UTHE 10AUG14 2010.6174 55422 1596 6 -111.4   -288 -0.709270   4485819  0.368072  1708  0.191592  0.0000 0.000481 0.000619 0.001886  0.033352  0.010576 -0.082670
UTHE 10AUG15 2010.6201 55423 1597 0 -111.4   -288 -0.711011   4485819  0.367736  1708  0.194667  0.0000 0.000492 0.000625 0.001947  0.041745 -0.003378 -0.104851
UTHE 10AUG16 2010.6229 55424 1597 1 -111.4   -288 -0.710663   4485819  0.365683  1708  0.186638  0.0000 0.000491 0.000634 0.001953  0.018509  0.049919 -0.103634
UTHE 10AUG18 2010.6283 55426 1597 3 -111.4   -288 -0.708957   4485819  0.365094  1708  0.203476  0.0000 0.000491 0.000619 0.001921  0.007642  0.050607 -0.085508
UTHE 10AUG19 2010.6311 55427 1597 4 -111.4   -288 -0.706578   4485819  0.367637  1708  0.205538  0.0000 0.000494 0.000619 0.001898  0.020248  0.012330 -0.093976
UTHE 10AUG20 2010.6338 55428 1597 5 -111.4   -288 -0.710522   4485819  0.367025  1708  0.192266  0.0000 0.000475 0.000615 0.001851  0.026634 -0.003012 -0.066643
UTHE 10AUG21 2010.6366 55429 1597 6 -111.4   -288 -0.711456   4485819  0.369480  1708  0.193053  0.0000 0.000489 0.000620 0.001918  0.020653 -0.002883 -0.076480
UTHE 10AUG22 2010.6393 55430 1598 0 -111.4   -288 -0.712631   4485819  0.368431  1708  0.187819  0.0000 0.000494 0.000635 0.001969  0.025193  0.006255 -0.132222
UTHE 10AUG23 2010.6420 55431 1598 1 -111.4   -288 -0.710073   4485819  0.367877  1708  0.189452  0.0000 0.000490 0.000622 0.001924  0.025684  0.031411 -0.096511
UTHE 10AUG24 2010.6448 55432 1598 2 -111.4   -288 -0.709375   4485819  0.368874  1708  0.191570  0.0000 0.000489 0.000640 0.001945  0.048210 -0.016982 -0.061263
UTHE 10AUG25 2010.6475 55433 1598 3 -111.4   -288 -0.709342   4485819  0.368246  1708  0.189524  0.0000 0.000478 0.000613 0.001861  0.049434  0.024618 -0.073484
UTHE 10AUG26 2010.6502 55434 1598 4 -111.4   -288 -0.709860   4485819  0.368686  1708  0.195618  0.0000 0.000495 0.000625 0.001935  0.045199  0.018238 -0.113014
