site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
VLIE 10DEC02 2010.9185 55532 1612 4    5.1   -542 -0.621789   5907587  0.212752    53  0.460645  0.0000 0.000915 0.001239 0.003445  0.041572 -0.072138 -0.102121
VLIE 10DEC03 2010.9213 55533 1612 5    5.1   -542 -0.622936   5907587  0.212165    53  0.466936  0.0000 0.000465 0.000648 0.001717  0.034019  0.004199 -0.024806
VLIE 10DEC04 2010.9240 55534 1612 6    5.1   -542 -0.622557   5907587  0.211894    53  0.473827  0.0000 0.000465 0.000643 0.001712  0.028387  0.009258 -0.017391
VLIE 10DEC05 2010.9268 55535 1613 0    5.1   -542 -0.625082   5907587  0.210965    53  0.473055  0.0000 0.000468 0.000644 0.001721  0.041571  0.001872 -0.009008
VLIE 10DEC06 2010.9295 55536 1613 1    5.1   -542 -0.623808   5907587  0.213039    53  0.470001  0.0000 0.000469 0.000636 0.001703  0.051041  0.003220 -0.022036
VLIE 10DEC07 2010.9322 55537 1613 2    5.1   -542 -0.622395   5907587  0.213028    53  0.473541  0.0000 0.000468 0.000641 0.001714  0.038025  0.001234 -0.007454
VLIE 10DEC08 2010.9350 55538 1613 3    5.1   -542 -0.622791   5907587  0.213390    53  0.466604  0.0000 0.000468 0.000648 0.001722  0.041057  0.016696 -0.010668
VLIE 10DEC09 2010.9377 55539 1613 4    5.1   -542 -0.622321   5907587  0.210832    53  0.463909  0.0000 0.000472 0.000651 0.001736  0.036735  0.034833 -0.000600
VLIE 10DEC10 2010.9405 55540 1613 5    5.1   -542 -0.621983   5907587  0.210518    53  0.475788  0.0000 0.000475 0.000654 0.001735  0.065310  0.002986 -0.003723
VLIE 10DEC11 2010.9432 55541 1613 6    5.1   -542 -0.622714   5907587  0.211390    53  0.466556  0.0000 0.000468 0.000641 0.001725  0.047478  0.009286 -0.031591
VLIE 10DEC12 2010.9459 55542 1614 0    5.1   -542 -0.622119   5907587  0.212562    53  0.470453  0.0000 0.000466 0.000637 0.001700  0.030097  0.019003 -0.027878
VLIE 10DEC13 2010.9487 55543 1614 1    5.1   -542 -0.622111   5907587  0.211476    53  0.472031  0.0000 0.000471 0.000644 0.001715  0.030957  0.018707 -0.014572
VLIE 10DEC14 2010.9514 55544 1614 2    5.1   -542 -0.620696   5907587  0.212671    53  0.471042  0.0000 0.000472 0.000655 0.001735  0.049827 -0.003928  0.003650
VLIE 10DEC15 2010.9541 55545 1614 3    5.1   -542 -0.622609   5907587  0.212770    53  0.472215  0.0000 0.000459 0.000625 0.001685  0.035426 -0.000056  0.009623
VLIE 10DEC16 2010.9569 55546 1614 4    5.1   -542 -0.624581   5907587  0.213509    53  0.468951  0.0000 0.000469 0.000641 0.001710  0.034235  0.013848 -0.017986
VLIE 10DEC17 2010.9596 55547 1614 5    5.1   -542 -0.623726   5907587  0.212369    53  0.466144  0.0000 0.000469 0.000637 0.001696  0.033391 -0.008417 -0.007648
VLIE 10DEC18 2010.9624 55548 1614 6    5.1   -542 -0.622113   5907587  0.212663    53  0.467914  0.0000 0.000456 0.000612 0.001658  0.031536  0.008853 -0.005530
