site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WAB2 05APR25 2005.3142 53485 1320 1    7.5  -2722 -0.772084   5198769  0.964810   611  0.194451  1.2860 0.000597 0.000774 0.002386  0.032181  0.000149 -0.066335
WAB2 05APR26 2005.3169 53486 1320 2    7.5  -2722 -0.773434   5198769  0.965259   611  0.195482  1.2860 0.000586 0.000766 0.002335  0.023807  0.026287 -0.056980
WAB2 05APR27 2005.3196 53487 1320 3    7.5  -2722 -0.774475   5198769  0.965532   611  0.191530  1.2860 0.000592 0.000772 0.002373  0.038845 -0.010129 -0.048571
WAB2 05APR28 2005.3224 53488 1320 4    7.5  -2722 -0.772715   5198769  0.964403   611  0.197736  1.2860 0.000596 0.000775 0.002379  0.007241  0.033902 -0.056208
WAB2 05APR29 2005.3251 53489 1320 5    7.5  -2722 -0.772790   5198769  0.964558   611  0.193069  1.2860 0.000587 0.000775 0.002349  0.027905 -0.001268 -0.064877
WAB2 05APR30 2005.3279 53490 1320 6    7.5  -2722 -0.773679   5198769  0.966410   611  0.198771  1.2860 0.000590 0.000767 0.002353  0.031123  0.025770 -0.075958
WAB2 05MAY01 2005.3306 53491 1321 0    7.5  -2722 -0.772977   5198769  0.962519   611  0.202811  1.2860 0.000588 0.000768 0.002340  0.033525  0.029146 -0.055641
WAB2 05MAY02 2005.3333 53492 1321 1    7.5  -2722 -0.772678   5198769  0.965785   611  0.193699  1.2860 0.000588 0.000759 0.002322  0.033519  0.013115 -0.039654
WAB2 05MAY03 2005.3361 53493 1321 2    7.5  -2722 -0.772476   5198769  0.963519   611  0.202434  1.2860 0.000597 0.000786 0.002379  0.014781  0.027730 -0.036582
WAB2 05MAY04 2005.3388 53494 1321 3    7.5  -2722 -0.773071   5198769  0.962558   611  0.189113  1.2860 0.000581 0.000763 0.002315  0.031828  0.000676 -0.054862
WAB2 05MAY05 2005.3415 53495 1321 4    7.5  -2722 -0.773908   5198769  0.963996   611  0.194135  1.2860 0.000585 0.000766 0.002345  0.022934 -0.004472 -0.058139
WAB2 05MAY06 2005.3443 53496 1321 5    7.5  -2722 -0.774511   5198769  0.963732   611  0.189424  1.2860 0.000589 0.000762 0.002333  0.041774 -0.004911 -0.062715
WAB2 05MAY07 2005.3470 53497 1321 6    7.5  -2722 -0.773548   5198769  0.964154   611  0.191906  1.2860 0.000584 0.000759 0.002336  0.025870  0.011935 -0.066300
WAB2 05MAY08 2005.3498 53498 1322 0    7.5  -2722 -0.772358   5198769  0.962778   611  0.194283  1.2860 0.000579 0.000756 0.002305  0.027297  0.028406 -0.054226
WAB2 05MAY09 2005.3525 53499 1322 1    7.5  -2722 -0.773191   5198769  0.963552   611  0.192865  1.2860 0.000585 0.000764 0.002327  0.037306  0.027790 -0.048297
WAB2 05MAY10 2005.3552 53500 1322 2    7.5  -2722 -0.770775   5198769  0.965109   611  0.192884  1.2860 0.000594 0.000777 0.002377  0.055234 -0.023109 -0.061014
WAB2 05MAY11 2005.3580 53501 1322 3    7.5  -2722 -0.771272   5198769  0.964971   611  0.193704  1.2860 0.000597 0.000765 0.002376  0.061732  0.002572 -0.058962
WAB2 05MAY12 2005.3607 53502 1322 4    7.5  -2722 -0.771387   5198769  0.964854   611  0.195291  1.2860 0.000596 0.000772 0.002358 -0.004431  0.023210 -0.058388
WAB2 05MAY13 2005.3634 53503 1322 5    7.5  -2722 -0.772097   5198769  0.963533   611  0.199490  1.2860 0.000594 0.000773 0.002382  0.006370  0.035460 -0.070507
WAB2 05MAY14 2005.3662 53504 1322 6    7.5  -2722 -0.770188   5198769  0.963304   611  0.191457  1.2860 0.000594 0.000782 0.002384  0.054961  0.012858 -0.072780
WAB2 05MAY15 2005.3689 53505 1323 0    7.5  -2722 -0.769534   5198769  0.962900   611  0.193221  1.2860 0.000593 0.000777 0.002370  0.044156 -0.005245 -0.068741
WAB2 05MAY16 2005.3717 53506 1323 1    7.5  -2722 -0.771442   5198769  0.964168   611  0.188212  1.2860 0.000588 0.000777 0.002355  0.038344  0.015552 -0.060524
WAB2 05MAY17 2005.3744 53507 1323 2    7.5  -2722 -0.770255   5198769  0.964336   611  0.192447  1.2860 0.000608 0.000794 0.002451  0.064027  0.014200 -0.045095
WAB2 05MAY18 2005.3771 53508 1323 3    7.5  -2722 -0.771189   5198769  0.965762   611  0.192460  1.2860 0.000608 0.000792 0.002440  0.032084  0.030303 -0.050927
WAB2 05MAY19 2005.3799 53509 1323 4    7.5  -2722 -0.769952   5198769  0.964476   611  0.190619  1.2860 0.000602 0.000787 0.002439  0.045685  0.018088 -0.093335
WAB2 05MAY20 2005.3826 53510 1323 5    7.5  -2722 -0.768724   5198769  0.965234   611  0.198667  1.2860 0.000592 0.000778 0.002391  0.041302  0.022295 -0.093711
WAB2 05MAY21 2005.3854 53511 1323 6    7.5  -2722 -0.769258   5198769  0.965228   611  0.203403  1.2860 0.000587 0.000771 0.002359  0.032103  0.014817 -0.063593
WAB2 05MAY22 2005.3881 53512 1324 0    7.5  -2722 -0.771249   5198769  0.963297   611  0.193426  1.2860 0.000591 0.000786 0.002405  0.053465 -0.006243 -0.069537
WAB2 05MAY23 2005.3908 53513 1324 1    7.5  -2722 -0.770873   5198769  0.965492   611  0.194520  1.2860 0.000593 0.000781 0.002410  0.045595  0.023278 -0.087090
WAB2 05MAY24 2005.3936 53514 1324 2    7.5  -2722 -0.768693   5198769  0.964809   611  0.194582  1.2860 0.000595 0.000773 0.002398  0.056325  0.027304 -0.082928
WAB2 05MAY25 2005.3963 53515 1324 3    7.5  -2722 -0.769552   5198769  0.966790   611  0.203345  1.2860 0.000597 0.000783 0.002424  0.062846 -0.004870 -0.104143
WAB2 05MAY26 2005.3990 53516 1324 4    7.5  -2722 -0.768803   5198769  0.966674   611  0.197455  1.2860 0.000590 0.000777 0.002393  0.045115 -0.010498 -0.063557
WAB2 05MAY27 2005.4018 53517 1324 5    7.5  -2722 -0.769294   5198769  0.963882   611  0.203085  1.2860 0.000594 0.000775 0.002380  0.055630  0.004572 -0.051032
WAB2 05MAY28 2005.4045 53518 1324 6    7.5  -2722 -0.768103   5198769  0.963130   611  0.200405  1.2860 0.000598 0.000788 0.002423  0.032930  0.015879 -0.052771
WAB2 05MAY29 2005.4073 53519 1325 0    7.5  -2722 -0.769590   5198769  0.964993   611  0.197190  1.2860 0.000598 0.000787 0.002410  0.033830  0.012811 -0.053301
WAB2 05MAY30 2005.4100 53520 1325 1    7.5  -2722 -0.769240   5198769  0.965704   611  0.197632  1.2860 0.000594 0.000774 0.002369  0.046234  0.005439 -0.056437
WAB2 05MAY31 2005.4127 53521 1325 2    7.5  -2722 -0.769257   5198769  0.964229   611  0.197259  1.2860 0.000593 0.000782 0.002397  0.044280  0.000447 -0.094397
WAB2 05JUN01 2005.4155 53522 1325 3    7.5  -2722 -0.770414   5198769  0.965379   611  0.192788  1.2860 0.000583 0.000758 0.002318  0.039529  0.015192 -0.053870
WAB2 05JUN02 2005.4182 53523 1325 4    7.5  -2722 -0.770595   5198769  0.964524   611  0.200374  1.2860 0.000581 0.000772 0.002329  0.035573  0.019176 -0.046878
WAB2 05JUN03 2005.4209 53524 1325 5    7.5  -2722 -0.772849   5198769  0.965044   611  0.194852  1.2860 0.000584 0.000762 0.002347  0.016156  0.019238 -0.049717
WAB2 05JUN04 2005.4237 53525 1325 6    7.5  -2722 -0.768890   5198769  0.964448   611  0.200949  1.2860 0.000582 0.000756 0.002320  0.024140  0.036534 -0.058597
WAB2 05JUN05 2005.4264 53526 1326 0    7.5  -2722 -0.768205   5198769  0.963240   611  0.200728  1.2860 0.000587 0.000760 0.002345  0.038050  0.004819 -0.085562
WAB2 05JUN06 2005.4292 53527 1326 1    7.5  -2722 -0.768443   5198769  0.964624   611  0.199403  1.2860 0.000586 0.000761 0.002338  0.032277 -0.001400 -0.063529
WAB2 05JUN07 2005.4319 53528 1326 2    7.5  -2722 -0.769160   5198769  0.963704   611  0.195486  1.2860 0.000587 0.000767 0.002352  0.047547  0.031692 -0.040815
WAB2 05JUN08 2005.4346 53529 1326 3    7.5  -2722 -0.769672   5198769  0.965612   611  0.198036  1.2860 0.000589 0.000777 0.002372  0.027730  0.001169 -0.038268
WAB2 05JUN09 2005.4374 53530 1326 4    7.5  -2722 -0.769783   5198769  0.964529   611  0.193369  1.2860 0.000597 0.000781 0.002403 -0.011011  0.023258 -0.039922
WAB2 05JUN10 2005.4401 53531 1326 5    7.5  -2722 -0.768662   5198769  0.965978   611  0.199103  1.2860 0.000594 0.000773 0.002385  0.002737  0.033355 -0.058858
WAB2 05JUN11 2005.4428 53532 1326 6    7.5  -2722 -0.768379   5198769  0.965251   611  0.201139  1.2860 0.000592 0.000774 0.002376  0.007502  0.020581 -0.044940
WAB2 05JUN12 2005.4456 53533 1327 0    7.5  -2722 -0.769607   5198769  0.964075   611  0.204957  1.2860 0.000600 0.000788 0.002442  0.004680  0.032928 -0.026358
WAB2 05JUN13 2005.4483 53534 1327 1    7.5  -2722 -0.769925   5198769  0.965283   611  0.201944  1.2860 0.000589 0.000775 0.002381  0.004470  0.031168 -0.039614
WAB2 05JUN14 2005.4511 53535 1327 2    7.5  -2722 -0.769516   5198769  0.963310   611  0.196579  1.2860 0.000582 0.000760 0.002327  0.017476  0.019658 -0.030591
WAB2 05JUN15 2005.4538 53536 1327 3    7.5  -2722 -0.770648   5198769  0.964038   611  0.200316  1.2860 0.000588 0.000758 0.002322  0.023636  0.027626 -0.061492
WAB2 05JUN16 2005.4565 53537 1327 4    7.5  -2722 -0.769350   5198769  0.963937   611  0.201470  1.2860 0.000605 0.000772 0.002357  0.022856  0.059300 -0.064115
WAB2 05JUN17 2005.4593 53538 1327 5    7.5  -2722 -0.769720   5198769  0.966040   611  0.196871  1.2860 0.000608 0.000776 0.002377  0.027137  0.025433 -0.074186
WAB2 05JUN18 2005.4620 53539 1327 6    7.5  -2722 -0.770614   5198769  0.965896   611  0.201653  1.2860 0.000582 0.000760 0.002314  0.016839  0.013346 -0.046906
WAB2 05JUN19 2005.4648 53540 1328 0    7.5  -2722 -0.770705   5198769  0.966354   611  0.197788  1.2860 0.000584 0.000767 0.002350  0.031767  0.017415 -0.064868
WAB2 05JUN20 2005.4675 53541 1328 1    7.5  -2722 -0.769329   5198769  0.964412   611  0.196412  1.2860 0.000575 0.000748 0.002276  0.027284  0.016342 -0.058766
WAB2 05JUN21 2005.4702 53542 1328 2    7.5  -2722 -0.768126   5198769  0.966404   611  0.201339  1.2860 0.000588 0.000769 0.002363  0.023755  0.032472 -0.056460
WAB2 05JUN22 2005.4730 53543 1328 3    7.5  -2722 -0.768969   5198769  0.964531   611  0.188050  1.2860 0.000582 0.000760 0.002319  0.012010  0.042892 -0.064261
WAB2 05JUN23 2005.4757 53544 1328 4    7.5  -2722 -0.769810   5198769  0.962285   611  0.206631  1.2860 0.000581 0.000754 0.002313  0.021403  0.031110 -0.056354
WAB2 05JUN24 2005.4784 53545 1328 5    7.5  -2722 -0.769121   5198769  0.963916   611  0.199245  1.2860 0.000584 0.000760 0.002321  0.037560  0.002905 -0.042159
WAB2 05JUN25 2005.4812 53546 1328 6    7.5  -2722 -0.770397   5198769  0.964287   611  0.201200  1.2860 0.000577 0.000756 0.002292  0.021584  0.016861 -0.043203
WAB2 05JUN26 2005.4839 53547 1329 0    7.5  -2722 -0.768746   5198769  0.963009   611  0.192673  1.2860 0.000576 0.000752 0.002295  0.014141  0.032075 -0.064978
WAB2 05JUN27 2005.4867 53548 1329 1    7.5  -2722 -0.768593   5198769  0.964250   611  0.194345  1.2860 0.000582 0.000755 0.002321  0.026418  0.026126 -0.053532
WAB2 05JUN28 2005.4894 53549 1329 2    7.5  -2722 -0.768500   5198769  0.962476   611  0.208815  1.2860 0.000582 0.000757 0.002318  0.014768  0.029358 -0.058463
WAB2 05JUN29 2005.4921 53550 1329 3    7.5  -2722 -0.768991   5198769  0.964198   611  0.206674  1.2860 0.000589 0.000759 0.002354  0.017460 -0.006530 -0.072899
WAB2 05JUN30 2005.4949 53551 1329 4    7.5  -2722 -0.768545   5198769  0.966277   611  0.201066  1.2860 0.000584 0.000771 0.002372  0.026754  0.008710 -0.062115
WAB2 05JUL01 2005.4976 53552 1329 5    7.5  -2722 -0.770117   5198769  0.963145   611  0.197514  1.2860 0.000585 0.000762 0.002343  0.022538  0.003562 -0.070925
WAB2 05JUL02 2005.5003 53553 1329 6    7.5  -2722 -0.768354   5198769  0.965871   611  0.203337  1.2860 0.000581 0.000752 0.002321  0.012973  0.024745 -0.069482
WAB2 05JUL03 2005.5031 53554 1330 0    7.5  -2722 -0.769305   5198769  0.966478   611  0.197664  1.2860 0.000583 0.000756 0.002337  0.015358  0.046218 -0.062543
WAB2 05JUL04 2005.5058 53555 1330 1    7.5  -2722 -0.768683   5198769  0.967193   611  0.199164  1.2860 0.000582 0.000760 0.002339  0.026506 -0.006094 -0.074317
WAB2 05JUL05 2005.5086 53556 1330 2    7.5  -2722 -0.767460   5198769  0.966034   611  0.197483  1.2860 0.000581 0.000756 0.002314  0.024886  0.008993 -0.082380
WAB2 05JUL06 2005.5113 53557 1330 3    7.5  -2722 -0.770553   5198769  0.965029   611  0.195250  1.2860 0.000578 0.000756 0.002314  0.025469  0.010409 -0.068252
WAB2 05JUL07 2005.5140 53558 1330 4    7.5  -2722 -0.768849   5198769  0.965005   611  0.199827  1.2860 0.000578 0.000767 0.002315  0.019124  0.025274 -0.023324
