site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WASR 01APR07 2001.2649 52006 1108 6  -77.1   3738  0.464383   3936686  0.401643   -26 -0.683484  0.0000 0.000727 0.000894 0.003301  0.004842  0.109666 -0.078433
WASR 01APR08 2001.2676 52007 1109 0  -77.1   3738  0.464497   3936686  0.403190   -26 -0.681367  0.0000 0.000711 0.000862 0.003104  0.002415  0.097789 -0.062455
WASR 01APR09 2001.2704 52008 1109 1  -77.1   3738  0.462077   3936686  0.402594   -26 -0.686909  0.0000 0.000771 0.000937 0.003519  0.012712  0.091694 -0.066360
WASR 01APR10 2001.2731 52009 1109 2  -77.1   3738  0.464406   3936686  0.401929   -26 -0.687401  0.0000 0.000701 0.000863 0.003120 -0.028902  0.134626 -0.102319
WASR 01APR11 2001.2758 52010 1109 3  -77.1   3738  0.464456   3936686  0.401706   -26 -0.688032  0.0000 0.000711 0.000863 0.003073 -0.024500  0.126784 -0.061916
WASR 01APR12 2001.2786 52011 1109 4  -77.1   3738  0.466291   3936686  0.401036   -26 -0.678961  0.0000 0.000693 0.000854 0.003041 -0.056962  0.150493  0.005702
WASR 01APR13 2001.2813 52012 1109 5  -77.1   3738  0.466921   3936686  0.399719   -26 -0.675951  0.0000 0.000678 0.000819 0.002982 -0.002432  0.106066 -0.067933
WASR 01APR14 2001.2841 52013 1109 6  -77.1   3738  0.466107   3936686  0.401760   -26 -0.689501  0.0000 0.000704 0.000901 0.003204  0.015955  0.087643 -0.086853
WASR 01APR15 2001.2868 52014 1110 0  -77.1   3738  0.465453   3936686  0.402051   -26 -0.687631  0.0000 0.000706 0.000908 0.003182  0.004406  0.129673 -0.034049
WASR 01APR16 2001.2895 52015 1110 1  -77.1   3738  0.465314   3936686  0.400739   -26 -0.686253  0.0000 0.000733 0.000908 0.003270 -0.060326  0.111289 -0.104394
WASR 01APR17 2001.2923 52016 1110 2  -77.1   3738  0.465961   3936686  0.403816   -26 -0.690533  0.0000 0.000723 0.000869 0.003104 -0.030307  0.145158 -0.103139
WASR 01APR18 2001.2950 52017 1110 3  -77.1   3738  0.476339   3936686  0.410255   -26 -0.698835  0.0000 0.000701 0.000813 0.002939  0.039232  0.051904 -0.041095
WASR 01APR19 2001.2977 52018 1110 4  -77.1   3738  0.473399   3936686  0.408190   -26 -0.697361  0.0000 0.000700 0.000848 0.003044  0.003682  0.046630 -0.063420
WASR 01APR20 2001.3005 52019 1110 5  -77.1   3738  0.472528   3936686  0.407691   -26 -0.698426  0.0000 0.000676 0.000799 0.002931  0.021999  0.060566 -0.093314
WASR 01APR21 2001.3032 52020 1110 6  -77.1   3738  0.470878   3936686  0.405779   -26 -0.694832  0.0000 0.000708 0.000833 0.003077  0.029903  0.064463 -0.084144
WASR 01APR22 2001.3060 52021 1111 0  -77.1   3738  0.470021   3936686  0.406222   -26 -0.685862  0.0000 0.000737 0.000909 0.003315  0.020131  0.058650 -0.065305
WASR 01APR23 2001.3087 52022 1111 1  -77.1   3738  0.473085   3936686  0.406405   -26 -0.689085  0.0000 0.000686 0.000815 0.002992  0.004191  0.084069 -0.029026
WASR 01APR24 2001.3114 52023 1111 2  -77.1   3738  0.471768   3936686  0.408522   -26 -0.685690  0.0000 0.000695 0.000831 0.003073 -0.000043  0.080734 -0.011762
WASR 01APR25 2001.3142 52024 1111 3  -77.1   3738  0.473691   3936686  0.409838   -26 -0.689018  0.0000 0.000669 0.000812 0.002931 -0.047424  0.090015 -0.043783
WASR 01APR26 2001.3169 52025 1111 4  -77.1   3738  0.471715   3936686  0.409379   -26 -0.701541  0.0000 0.000668 0.000808 0.002890  0.028371  0.090969 -0.049678
WASR 01APR27 2001.3196 52026 1111 5  -77.1   3738  0.471058   3936686  0.409226   -26 -0.695619  0.0000 0.000672 0.000790 0.002879 -0.012706  0.076398 -0.088204
WASR 01APR28 2001.3224 52027 1111 6  -77.1   3738  0.472625   3936686  0.409716   -26 -0.686155  0.0000 0.000669 0.000800 0.002911  0.020960  0.077830 -0.077832
WASR 01APR29 2001.3251 52028 1112 0  -77.1   3738  0.475053   3936686  0.408310   -26 -0.691400  0.0000 0.000677 0.000818 0.002971 -0.019350  0.099254 -0.075642
WASR 01APR30 2001.3279 52029 1112 1  -77.1   3738  0.472234   3936686  0.407746   -26 -0.701357  0.0000 0.000693 0.000857 0.003103  0.009965  0.098176 -0.087997
WASR 01MAY01 2001.3306 52030 1112 2  -77.1   3738  0.472212   3936686  0.404678   -26 -0.702626  0.0000 0.000670 0.000840 0.002955 -0.013812  0.053988 -0.049456
