site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
WLHL 09NOV07 2009.8508 55142 1556 6 -121.0   -374 -0.303821   3982500  0.078120   670  0.182751  0.1000 0.000506 0.000599 0.001966 -0.004723  0.014918 -0.136787
WLHL 09NOV08 2009.8535 55143 1557 0 -121.0   -374 -0.305444   3982500  0.079584   670  0.181604  0.1000 0.000504 0.000593 0.001954 -0.019421  0.019677 -0.130603
WLHL 09NOV09 2009.8563 55144 1557 1 -121.0   -374 -0.301952   3982500  0.079627   670  0.186099  0.1000 0.000502 0.000594 0.001938 -0.020857  0.012008 -0.138961
WLHL 09NOV10 2009.8590 55145 1557 2 -121.0   -374 -0.304194   3982500  0.079878   670  0.186069  0.1000 0.000510 0.000600 0.001973 -0.008698  0.015252 -0.119978
WLHL 09NOV11 2009.8617 55146 1557 3 -121.0   -374 -0.305014   3982500  0.079504   670  0.186851  0.1000 0.000500 0.000593 0.001933 -0.003987  0.019627 -0.158363
WLHL 09NOV12 2009.8645 55147 1557 4 -121.0   -374 -0.307650   3982500  0.080090   670  0.182045  0.1000 0.000528 0.000616 0.002016  0.011065 -0.003092 -0.124427
WLHL 09NOV13 2009.8672 55148 1557 5 -121.0   -374 -0.304175   3982500  0.078624   670  0.171537  0.1000 0.000513 0.000611 0.001990  0.016204 -0.000010 -0.161598
WLHL 09NOV14 2009.8700 55149 1557 6 -121.0   -374 -0.304245   3982500  0.077769   670  0.176805  0.1000 0.000500 0.000593 0.001938 -0.013148  0.011103 -0.144493
WLHL 09NOV15 2009.8727 55150 1558 0 -121.0   -374 -0.304343   3982500  0.078451   670  0.175273  0.1000 0.000500 0.000592 0.001955 -0.012911  0.021677 -0.155834
WLHL 09NOV16 2009.8754 55151 1558 1 -121.0   -374 -0.303788   3982500  0.080061   670  0.185394  0.1000 0.000503 0.000594 0.001955 -0.003604  0.016607 -0.157616
WLHL 09NOV17 2009.8782 55152 1558 2 -121.0   -374 -0.304383   3982500  0.079722   670  0.186710  0.1000 0.000506 0.000610 0.001997 -0.024954  0.017243 -0.153509
WLHL 09NOV18 2009.8809 55153 1558 3 -121.0   -374 -0.304933   3982500  0.079042   670  0.185496  0.1000 0.000508 0.000613 0.002004 -0.016763  0.009664 -0.127342
WLHL 09NOV19 2009.8836 55154 1558 4 -121.0   -374 -0.307213   3982500  0.080125   670  0.187449  0.1000 0.000494 0.000590 0.001918 -0.011896  0.010787 -0.127799
WLHL 09NOV20 2009.8864 55155 1558 5 -121.0   -374 -0.304789   3982500  0.079943   670  0.179860  0.1000 0.000500 0.000593 0.001943 -0.012192  0.018548 -0.144024
WLHL 09NOV21 2009.8891 55156 1558 6 -121.0   -374 -0.305551   3982500  0.076674   670  0.178951  0.1000 0.000499 0.000593 0.001945  0.027066  0.018300 -0.168927
WLHL 09NOV22 2009.8919 55157 1559 0 -121.0   -374 -0.308121   3982500  0.077298   670  0.180544  0.1000 0.000493 0.000585 0.001918  0.026231  0.004852 -0.181246
WLHL 09NOV23 2009.8946 55158 1559 1 -121.0   -374 -0.307269   3982500  0.078196   670  0.182182  0.1000 0.000494 0.000590 0.001921  0.036836 -0.021732 -0.174242
WLHL 09NOV24 2009.8973 55159 1559 2 -121.0   -374 -0.307083   3982500  0.080055   670  0.181019  0.1000 0.000490 0.000584 0.001900  0.028070 -0.000998 -0.164775
WLHL 09NOV25 2009.9001 55160 1559 3 -121.0   -374 -0.308346   3982500  0.079474   670  0.183818  0.1000 0.000487 0.000584 0.001897  0.013743  0.011398 -0.165588
WLHL 09NOV26 2009.9028 55161 1559 4 -121.0   -374 -0.308684   3982500  0.079081   670  0.178916  0.1000 0.000490 0.000586 0.001905  0.009847  0.019295 -0.171945
WLHL 09NOV27 2009.9055 55162 1559 5 -121.0   -374 -0.307792   3982500  0.079938   670  0.183223  0.1000 0.000495 0.000594 0.001926  0.002632  0.036811 -0.162412
WLHL 09NOV28 2009.9083 55163 1559 6 -121.0   -374 -0.310415   3982500  0.079988   670  0.167613  0.1000 0.000491 0.000587 0.001911  0.019787  0.017143 -0.169629
WLHL 09NOV29 2009.9110 55164 1560 0 -121.0   -374 -0.308209   3982500  0.079826   670  0.175057  0.1000 0.000484 0.000582 0.001874  0.023169  0.005198 -0.164903
WLHL 09NOV30 2009.9138 55165 1560 1 -121.0   -374 -0.308323   3982500  0.078956   670  0.183619  0.1000 0.000485 0.000583 0.001888  0.012546  0.020654 -0.160835
WLHL 09DEC01 2009.9165 55166 1560 2 -121.0   -374 -0.308049   3982500  0.078838   670  0.184079  0.1000 0.000489 0.000590 0.001923  0.002999  0.018792 -0.167999
WLHL 09DEC02 2009.9192 55167 1560 3 -121.0   -374 -0.306708   3982500  0.080134   670  0.181611  0.1000 0.000485 0.000585 0.001898  0.016465  0.028508 -0.166176
WLHL 09DEC03 2009.9220 55168 1560 4 -121.0   -374 -0.309039   3982500  0.080548   670  0.182320  0.1000 0.000485 0.000586 0.001903  0.003011  0.026792 -0.171920
WLHL 09DEC04 2009.9247 55169 1560 5 -121.0   -374 -0.307746   3982500  0.080003   670  0.186353  0.1000 0.000487 0.000588 0.001905  0.012063  0.010824 -0.165487
WLHL 09DEC05 2009.9274 55170 1560 6 -121.0   -374 -0.308777   3982500  0.081519   670  0.184310  0.1000 0.000485 0.000587 0.001892  0.017992  0.011444 -0.161812
WLHL 09DEC06 2009.9302 55171 1561 0 -121.0   -374 -0.303921   3982500  0.081212   670  0.179847  0.1000 0.000486 0.000585 0.001881  0.007682  0.012340 -0.163699
WLHL 09DEC07 2009.9329 55172 1561 1 -121.0   -374 -0.304604   3982500  0.081863   670  0.172957  0.1000 0.000498 0.000597 0.001966  0.020687  0.042183 -0.158588
WLHL 09DEC08 2009.9357 55173 1561 2 -121.0   -374 -0.307377   3982500  0.081783   670  0.178248  0.1000 0.000486 0.000583 0.001883  0.003123  0.036015 -0.166581
WLHL 09DEC09 2009.9384 55174 1561 3 -121.0   -374 -0.306198   3982500  0.079187   670  0.187353  0.1000 0.000499 0.000588 0.001920  0.016480  0.026182 -0.136957
WLHL 09DEC10 2009.9411 55175 1561 4 -121.0   -374 -0.307211   3982500  0.082257   670  0.184447  0.1000 0.000487 0.000586 0.001913  0.012914  0.028738 -0.145220
WLHL 09DEC11 2009.9439 55176 1561 5 -121.0   -374 -0.306563   3982500  0.083637   670  0.181833  0.1000 0.000522 0.000611 0.002047  0.036313  0.019991 -0.121234
WLHL 09DEC12 2009.9466 55177 1561 6 -121.0   -374 -0.303496   3982500  0.086014   670  0.181336  0.1000 0.000523 0.000613 0.002056  0.019257  0.046900 -0.131347
WLHL 09DEC13 2009.9493 55178 1562 0 -121.0   -374 -0.302717   3982500  0.084982   670  0.177010  0.1000 0.000503 0.000597 0.001968  0.049126  0.032460 -0.143882
WLHL 09DEC14 2009.9521 55179 1562 1 -121.0   -374 -0.305667   3982500  0.081722   670  0.179616  0.1000 0.000491 0.000584 0.001920  0.020173  0.020571 -0.145050
WLHL 09DEC15 2009.9548 55180 1562 2 -121.0   -374 -0.305369   3982500  0.082436   670  0.181361  0.1000 0.000492 0.000585 0.001933  0.021321  0.024114 -0.151564
WLHL 09DEC16 2009.9576 55181 1562 3 -121.0   -374 -0.306236   3982500  0.084037   670  0.185879  0.1000 0.000488 0.000583 0.001899  0.010686  0.014517 -0.159404
WLHL 09DEC17 2009.9603 55182 1562 4 -121.0   -374 -0.308391   3982500  0.082690   670  0.178159  0.1000 0.000497 0.000592 0.001941  0.011309  0.036464 -0.165540
WLHL 09DEC18 2009.9630 55183 1562 5 -121.0   -374 -0.305393   3982500  0.082677   670  0.188649  0.1000 0.000493 0.000591 0.001927  0.023623  0.032830 -0.169365
WLHL 09DEC19 2009.9658 55184 1562 6 -121.0   -374 -0.304356   3982500  0.081183   670  0.187587  0.1000 0.000503 0.000597 0.001970  0.018426  0.022998 -0.146473
WLHL 09DEC20 2009.9685 55185 1563 0 -121.0   -374 -0.308371   3982500  0.082151   670  0.183599  0.1000 0.000497 0.000591 0.001938  0.026355  0.003555 -0.135425
WLHL 09DEC21 2009.9713 55186 1563 1 -121.0   -374 -0.309647   3982500  0.083673   670  0.192024  0.1000 0.000869 0.001171 0.003751 -0.082594 -0.093389 -0.099894
WLHL 09DEC23 2009.9767 55188 1563 3 -121.0   -374 -0.305351   3982500  0.084583   670  0.183558  0.1000 0.000647 0.000819 0.002549  0.030983  0.022709 -0.161314
WLHL 09DEC24 2009.9795 55189 1563 4 -121.0   -374 -0.305109   3982500  0.083556   670  0.191438  0.1000 0.000629 0.000795 0.002488  0.036322  0.015411 -0.148928
WLHL 09DEC25 2009.9822 55190 1563 5 -121.0   -374 -0.307863   3982500  0.082963   670  0.190286  0.1000 0.000634 0.000813 0.002530  0.039955 -0.008768 -0.148192
WLHL 09DEC26 2009.9849 55191 1563 6 -121.0   -374 -0.308571   3982500  0.082967   670  0.187977  0.1000 0.000637 0.000817 0.002551  0.032239  0.003293 -0.112795
WLHL 09DEC28 2009.9904 55193 1564 1 -121.0   -374 -0.308301   3982500  0.083358   670  0.177822  0.1000 0.000857 0.001084 0.003580 -0.017923  0.002059 -0.168524
WLHL 09DEC29 2009.9932 55194 1564 2 -121.0   -374 -0.307164   3982500  0.082992   670  0.177602  0.1000 0.000776 0.001021 0.003140  0.055494 -0.009912 -0.162666
WLHL 09DEC30 2009.9959 55195 1564 3 -121.0   -374 -0.308902   3982500  0.082702   670  0.187890  0.1000 0.000666 0.000855 0.002633  0.041735  0.015844 -0.125692
WLHL 09DEC31 2009.9986 55196 1564 4 -121.0   -374 -0.309233   3982500  0.082048   670  0.191111  0.1000 0.000750 0.000985 0.003063  0.010115 -0.019168 -0.109581
WLHL 10JAN01 2010.0014 55197 1564 5 -121.0   -374 -0.307838   3982500  0.081922   670  0.191161  0.1000 0.000647 0.000822 0.002564  0.042931  0.011872 -0.149737
WLHL 10JAN02 2010.0041 55198 1564 6 -121.0   -374 -0.307160   3982500  0.085377   670  0.189534  0.1000 0.000745 0.000963 0.003021 -0.004500 -0.010846 -0.187627
WLHL 10JAN03 2010.0068 55199 1565 0 -121.0   -374 -0.310010   3982500  0.083463   670  0.190977  0.1000 0.000688 0.000873 0.002718  0.002231  0.020191 -0.179959
WLHL 10JAN04 2010.0096 55200 1565 1 -121.0   -374 -0.309287   3982500  0.083715   670  0.190952  0.1000 0.000636 0.000812 0.002522  0.061154 -0.016288 -0.172422
WLHL 10JAN05 2010.0123 55201 1565 2 -121.0   -374 -0.308692   3982500  0.082860   670  0.191797  0.1000 0.000629 0.000803 0.002506  0.064512 -0.034648 -0.177997
WLHL 10JAN06 2010.0151 55202 1565 3 -121.0   -374 -0.310948   3982500  0.084508   670  0.189027  0.1000 0.000486 0.000580 0.001892  0.015772  0.026595 -0.126781
WLHL 10JAN07 2010.0178 55203 1565 4 -121.0   -374 -0.307798   3982500  0.085193   670  0.188408  0.1000 0.000490 0.000585 0.001910  0.019043  0.030221 -0.149790
WLHL 10JAN08 2010.0205 55204 1565 5 -121.0   -374 -0.308420   3982500  0.082971   670  0.183417  0.1000 0.000487 0.000580 0.001915  0.007053  0.051133 -0.166519
WLHL 10JAN09 2010.0233 55205 1565 6 -121.0   -374 -0.308453   3982500  0.084002   670  0.185832  0.1000 0.000490 0.000589 0.001923  0.007267  0.036284 -0.149609
WLHL 10JAN10 2010.0260 55206 1566 0 -121.0   -374 -0.307568   3982500  0.086685   670  0.185444  0.1000 0.000489 0.000588 0.001921  0.010345  0.028563 -0.154718
WLHL 10JAN11 2010.0287 55207 1566 1 -121.0   -374 -0.306842   3982500  0.086328   670  0.192800  0.1000 0.000486 0.000585 0.001912  0.013555  0.023225 -0.153206
WLHL 10JAN12 2010.0315 55208 1566 2 -121.0   -374 -0.306522   3982500  0.086776   670  0.184335  0.1000 0.000489 0.000581 0.001906  0.013375  0.026037 -0.151431
WLHL 10JAN13 2010.0342 55209 1566 3 -121.0   -374 -0.307866   3982500  0.084453   670  0.185596  0.1000 0.000507 0.000597 0.002021  0.036538  0.052980 -0.139205
WLHL 10JAN14 2010.0370 55210 1566 4 -121.0   -374 -0.310387   3982500  0.083641   670  0.183462  0.1000 0.000513 0.000605 0.002041 -0.006915  0.057148 -0.129420
WLHL 10JAN15 2010.0397 55211 1566 5 -121.0   -374 -0.308089   3982500  0.085503   670  0.193029  0.1000 0.000497 0.000599 0.001957 -0.028150  0.055081 -0.157019
WLHL 10JAN16 2010.0424 55212 1566 6 -121.0   -374 -0.309029   3982500  0.084268   670  0.183933  0.1000 0.000489 0.000588 0.001929  0.025749  0.031446 -0.152855
WLHL 10JAN17 2010.0452 55213 1567 0 -121.0   -374 -0.308664   3982500  0.082965   670  0.179843  0.1000 0.000495 0.000593 0.001965  0.021228  0.043396 -0.151982
WLHL 10JAN18 2010.0479 55214 1567 1 -121.0   -374 -0.307290   3982500  0.086268   670  0.181546  0.1000 0.000506 0.000595 0.001995  0.032204  0.039547 -0.139159
