site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ZIM3 13MAR03 2013.1691 56354 1730 0    7.5  -2665 -0.551266   5193583  0.695105   956  0.452575  0.0000 0.000471 0.000609 0.001723  0.062836 -0.002525 -0.081161
ZIM3 13MAR04 2013.1718 56355 1730 1    7.5  -2665 -0.548723   5193583  0.698063   956  0.455220  0.0000 0.000473 0.000612 0.001730  0.058573 -0.000401 -0.065399
ZIM3 13MAR05 2013.1745 56356 1730 2    7.5  -2665 -0.548002   5193583  0.695694   956  0.451782  0.0000 0.000474 0.000614 0.001732  0.064198  0.003595 -0.063929
ZIM3 13MAR06 2013.1773 56357 1730 3    7.5  -2665 -0.546805   5193583  0.696448   956  0.453592  0.0000 0.000480 0.000621 0.001759  0.073741 -0.035955 -0.078350
ZIM3 13MAR07 2013.1800 56358 1730 4    7.5  -2665 -0.549112   5193583  0.695380   956  0.455185  0.0000 0.000477 0.000616 0.001745  0.085025 -0.022608 -0.069261
ZIM3 13MAR08 2013.1828 56359 1730 5    7.5  -2665 -0.548381   5193583  0.696218   956  0.450152  0.0000 0.000471 0.000608 0.001714  0.056239 -0.008950 -0.089385
ZIM3 13MAR09 2013.1855 56360 1730 6    7.5  -2665 -0.545893   5193583  0.696526   956  0.453445  0.0000 0.000473 0.000610 0.001720  0.046686 -0.012465 -0.092248
ZIM3 13MAR10 2013.1882 56361 1731 0    7.5  -2665 -0.548147   5193583  0.696817   956  0.452911  0.0000 0.000472 0.000616 0.001723  0.053764 -0.013730 -0.071044
ZIM3 13MAR11 2013.1910 56362 1731 1    7.5  -2665 -0.548709   5193583  0.695661   956  0.456674  0.0000 0.000471 0.000615 0.001721  0.062111 -0.012302 -0.070859
ZIM3 13MAR12 2013.1937 56363 1731 2    7.5  -2665 -0.550562   5193583  0.695596   956  0.451170  0.0000 0.000488 0.000640 0.001774  0.049383  0.001958 -0.077575
ZIM3 13MAR13 2013.1964 56364 1731 3    7.5  -2665 -0.549634   5193583  0.698315   956  0.438489  0.0000 0.000469 0.000608 0.001702  0.055708  0.000019 -0.082580
