site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ABEM 16SEP20 2016.7201 57651 1915 2 -113.6   -277 -0.182663   5936922  0.703375   663  0.224271  0.0000 0.000501 0.000703 0.001989 -0.038563  0.044272 -0.033096
ABEM 16SEP21 2016.7228 57652 1915 3 -113.6   -277 -0.181507   5936922  0.703645   663  0.228171  0.0000 0.000443 0.000620 0.001706 -0.001127 -0.011299  0.026261
ABEM 16SEP22 2016.7255 57653 1915 4 -113.6   -277 -0.178448   5936922  0.704256   663  0.226596  0.0000 0.000451 0.000626 0.001751 -0.023628  0.006331  0.027624
ABEM 16SEP23 2016.7283 57654 1915 5 -113.6   -277 -0.180738   5936922  0.704538   663  0.228356  0.0000 0.000454 0.000636 0.001773 -0.026486  0.021247  0.042855
ABEM 16SEP24 2016.7310 57655 1915 6 -113.6   -277 -0.182221   5936922  0.702316   663  0.230656  0.0000 0.000448 0.000627 0.001735 -0.016366  0.006490  0.026270
ABEM 16SEP25 2016.7337 57656 1916 0 -113.6   -277 -0.183461   5936922  0.703157   663  0.219856  0.0000 0.000441 0.000633 0.001733 -0.004265 -0.008553  0.008333
ABEM 16SEP26 2016.7365 57657 1916 1 -113.6   -277 -0.183618   5936922  0.703988   663  0.228060  0.0000 0.000446 0.000628 0.001752 -0.016425  0.018419 -0.007250
ABEM 16SEP27 2016.7392 57658 1916 2 -113.6   -277 -0.181560   5936922  0.702450   663  0.226217  0.0000 0.000452 0.000637 0.001793 -0.016886  0.002410 -0.038107
ABEM 16SEP28 2016.7420 57659 1916 3 -113.6   -277 -0.183538   5936922  0.702410   663  0.220703  0.0000 0.000453 0.000634 0.001769 -0.009206  0.017398  0.003669
ABEM 16SEP29 2016.7447 57660 1916 4 -113.6   -277 -0.179875   5936922  0.703585   663  0.223582  0.0000 0.000455 0.000648 0.001801  0.000838 -0.010978 -0.054355
ABEM 16SEP30 2016.7474 57661 1916 5 -113.6   -277 -0.183327   5936922  0.703462   663  0.230047  0.0000 0.000443 0.000621 0.001723 -0.010592  0.012065  0.018871
ABEM 16OCT01 2016.7502 57662 1916 6 -113.6   -277 -0.182928   5936922  0.703639   663  0.226581  0.0000 0.000442 0.000625 0.001728 -0.006487  0.009327  0.022095
ABEM 16OCT02 2016.7529 57663 1917 0 -113.6   -277 -0.184612   5936922  0.703171   663  0.222875  0.0000 0.000446 0.000619 0.001742 -0.002274  0.002965  0.012119
ABEM 16OCT03 2016.7556 57664 1917 1 -113.6   -277 -0.183625   5936922  0.703326   663  0.230029  0.0000 0.000445 0.000610 0.001709 -0.012956  0.015450  0.012785
ABEM 16OCT04 2016.7584 57665 1917 2 -113.6   -277 -0.182543   5936922  0.702549   663  0.226715  0.0000 0.000451 0.000640 0.001794  0.001514 -0.004923 -0.040377
ABEM 16OCT05 2016.7611 57666 1917 3 -113.6   -277 -0.183994   5936922  0.704821   663  0.227492  0.0000 0.000442 0.000620 0.001713  0.003936 -0.013911  0.017075
ABEM 16OCT06 2016.7639 57667 1917 4 -113.6   -277 -0.183549   5936922  0.704179   663  0.221402  0.0000 0.000444 0.000622 0.001732 -0.024827  0.007371  0.013580
ABEM 16OCT07 2016.7666 57668 1917 5 -113.6   -277 -0.182073   5936922  0.702874   663  0.220439  0.0000 0.000443 0.000620 0.001722 -0.012059  0.003510  0.018306
ABEM 16OCT08 2016.7693 57669 1917 6 -113.6   -277 -0.184246   5936922  0.705381   663  0.226223  0.0000 0.000443 0.000619 0.001723 -0.011995  0.014577  0.010777
ABEM 16OCT09 2016.7721 57670 1918 0 -113.6   -277 -0.185014   5936922  0.704244   663  0.215360  0.0000 0.000439 0.000602 0.001678 -0.001997 -0.008517  0.060565
ABEM 16OCT10 2016.7748 57671 1918 1 -113.6   -277 -0.184855   5936922  0.706216   663  0.214713  0.0000 0.000438 0.000602 0.001676  0.006848 -0.016701  0.073065
ABEM 16OCT11 2016.7775 57672 1918 2 -113.6   -277 -0.185966   5936922  0.705654   663  0.215212  0.0000 0.000441 0.000607 0.001692  0.001728 -0.013951  0.047130
ABEM 16OCT12 2016.7803 57673 1918 3 -113.6   -277 -0.183030   5936922  0.701800   663  0.224225  0.0000 0.000446 0.000620 0.001722 -0.024526 -0.006847  0.032643
ABEM 16OCT13 2016.7830 57674 1918 4 -113.6   -277 -0.182828   5936922  0.704081   663  0.219743  0.0000 0.000481 0.000676 0.001960  0.039694 -0.050921 -0.106506
ABEM 16OCT14 2016.7858 57675 1918 5 -113.6   -277 -0.183725   5936922  0.705440   663  0.223576  0.0000 0.000446 0.000619 0.001738 -0.001612 -0.015006 -0.004403
ABEM 16OCT15 2016.7885 57676 1918 6 -113.6   -277 -0.184194   5936922  0.708404   663  0.211666  0.0000 0.000436 0.000599 0.001651 -0.007308  0.000268  0.077718
ABEM 16OCT16 2016.7912 57677 1919 0 -113.6   -277 -0.183349   5936922  0.706307   663  0.224597  0.0000 0.000438 0.000604 0.001672 -0.004603  0.004162  0.049310
ABEM 16OCT17 2016.7940 57678 1919 1 -113.6   -277 -0.184606   5936922  0.704941   663  0.223199  0.0000 0.000448 0.000623 0.001705 -0.012045 -0.007336  0.051607
ABEM 16OCT18 2016.7967 57679 1919 2 -113.6   -277 -0.185941   5936922  0.705205   663  0.212770  0.0000 0.000439 0.000602 0.001679 -0.009773 -0.000075  0.081045
ABEM 16OCT19 2016.7995 57680 1919 3 -113.6   -277 -0.183834   5936922  0.705243   663  0.210220  0.0000 0.000442 0.000609 0.001708 -0.014230  0.009020  0.064811
ABEM 16OCT20 2016.8022 57681 1919 4 -113.6   -277 -0.182449   5936922  0.704399   663  0.220950  0.0000 0.000443 0.000615 0.001708 -0.013239  0.007356  0.034732
ABEM 16OCT21 2016.8049 57682 1919 5 -113.6   -277 -0.181855   5936922  0.702355   663  0.219735  0.0000 0.000453 0.000627 0.001769 -0.004357  0.008518  0.011569
ABEM 16OCT22 2016.8077 57683 1919 6 -113.6   -277 -0.182924   5936922  0.701610   663  0.224435  0.0000 0.000443 0.000617 0.001707  0.003015 -0.004517  0.027453
ABEM 16OCT23 2016.8104 57684 1920 0 -113.6   -277 -0.183093   5936922  0.702831   663  0.221254  0.0000 0.000449 0.000624 0.001754 -0.009836 -0.008571  0.009730
ABEM 16OCT24 2016.8131 57685 1920 1 -113.6   -277 -0.181395   5936922  0.702033   663  0.219028  0.0000 0.000448 0.000624 0.001753 -0.006759 -0.015828  0.003242
ABEM 16OCT25 2016.8159 57686 1920 2 -113.6   -277 -0.181291   5936922  0.701542   663  0.224885  0.0000 0.000471 0.000670 0.001867 -0.003144  0.022030 -0.053871
ABEM 16OCT26 2016.8186 57687 1920 3 -113.6   -277 -0.181711   5936922  0.702633   663  0.227172  0.0000 0.000446 0.000628 0.001772 -0.009502  0.015349 -0.025712
ABEM 16OCT27 2016.8214 57688 1920 4 -113.6   -277 -0.181210   5936922  0.700820   663  0.226535  0.0000 0.000447 0.000629 0.001760 -0.008258  0.007863  0.005586
ABEM 16OCT28 2016.8241 57689 1920 5 -113.6   -277 -0.182603   5936922  0.704889   663  0.235446  0.0000 0.000450 0.000621 0.001731 -0.008527 -0.002252  0.040884
ABEM 16OCT29 2016.8268 57690 1920 6 -113.6   -277 -0.181999   5936922  0.701989   663  0.224561  0.0000 0.000461 0.000649 0.001810 -0.007819 -0.013289 -0.041118
ABEM 16OCT30 2016.8296 57691 1921 0 -113.6   -277 -0.182031   5936922  0.702698   663  0.221544  0.0000 0.000443 0.000622 0.001713 -0.010261 -0.001021  0.020133
ABEM 16OCT31 2016.8323 57692 1921 1 -113.6   -277 -0.184211   5936922  0.701017   663  0.230649  0.0000 0.000442 0.000619 0.001720 -0.014309  0.004088  0.028080
ABEM 16NOV01 2016.8350 57693 1921 2 -113.6   -277 -0.185143   5936922  0.700970   663  0.225614  0.0000 0.000447 0.000628 0.001744 -0.017755  0.004453  0.018205
ABEM 16NOV02 2016.8378 57694 1921 3 -113.6   -277 -0.182911   5936922  0.696157   663  0.217345  0.0000 0.000452 0.000632 0.001744  0.015320  0.000406  0.035410
ABEM 16NOV03 2016.8405 57695 1921 4 -113.6   -277 -0.183187   5936922  0.701185   663  0.226193  0.0000 0.000459 0.000640 0.001781  0.006934 -0.014053 -0.021189
ABEM 16NOV04 2016.8433 57696 1921 5 -113.6   -277 -0.181250   5936922  0.697968   663  0.235776  0.0000 0.000444 0.000622 0.001722 -0.019290  0.014664  0.012990
ABEM 16NOV05 2016.8460 57697 1921 6 -113.6   -277 -0.183495   5936922  0.700739   663  0.234604  0.0000 0.000444 0.000623 0.001724 -0.007620 -0.003704  0.024539
ABEM 16NOV06 2016.8487 57698 1922 0 -113.6   -277 -0.183391   5936922  0.699819   663  0.235698  0.0000 0.000451 0.000637 0.001769 -0.011540  0.021306  0.022900
ABEM 16NOV07 2016.8515 57699 1922 1 -113.6   -277 -0.182777   5936922  0.704127   663  0.229306  0.0000 0.000446 0.000621 0.001738 -0.022873  0.024950  0.014307
ABEM 16NOV08 2016.8542 57700 1922 2 -113.6   -277 -0.185179   5936922  0.701734   663  0.232782  0.0000 0.000443 0.000618 0.001726 -0.019385  0.004227  0.007399
ABEM 16NOV09 2016.8569 57701 1922 3 -113.6   -277 -0.185911   5936922  0.702671   663  0.230879  0.0000 0.000447 0.000621 0.001737 -0.015136  0.023365 -0.003700
ABEM 16NOV10 2016.8597 57702 1922 4 -113.6   -277 -0.184283   5936922  0.702717   663  0.224237  0.0000 0.000453 0.000645 0.001789 -0.005531 -0.004755 -0.021881
ABEM 16NOV11 2016.8624 57703 1922 5 -113.6   -277 -0.181395   5936922  0.699260   663  0.233278  0.0000 0.000443 0.000626 0.001738 -0.004269  0.002792  0.012858
ABEM 16NOV12 2016.8652 57704 1922 6 -113.6   -277 -0.183283   5936922  0.703122   663  0.243053  0.0000 0.000449 0.000635 0.001778 -0.005439  0.016418  0.015610
ABEM 16NOV13 2016.8679 57705 1923 0 -113.6   -277 -0.183698   5936922  0.702826   663  0.231655  0.0000 0.000442 0.000618 0.001728 -0.012149 -0.002416  0.006749
ABEM 16NOV14 2016.8706 57706 1923 1 -113.6   -277 -0.185113   5936922  0.701804   663  0.231117  0.0000 0.000446 0.000617 0.001735 -0.009314  0.012531  0.001975
ABEM 16NOV15 2016.8734 57707 1923 2 -113.6   -277 -0.185076   5936922  0.701939   663  0.230463  0.0000 0.000445 0.000615 0.001719 -0.015372  0.016157  0.011174
ABEM 16NOV16 2016.8761 57708 1923 3 -113.6   -277 -0.186086   5936922  0.700415   663  0.228267  0.0000 0.000444 0.000617 0.001723 -0.009591  0.009218  0.019790
ABEM 16NOV17 2016.8789 57709 1923 4 -113.6   -277 -0.183857   5936922  0.702271   663  0.222191  0.0000 0.000451 0.000630 0.001751  0.012838  0.004108  0.053396
ABEM 16NOV18 2016.8816 57710 1923 5 -113.6   -277 -0.183726   5936922  0.701733   663  0.217705  0.0000 0.000446 0.000619 0.001724 -0.016348  0.011321  0.022762
ABEM 16NOV19 2016.8843 57711 1923 6 -113.6   -277 -0.187476   5936922  0.703425   663  0.225316  0.0000 0.000446 0.000619 0.001728 -0.026637 -0.000425  0.008071
ABEM 16NOV20 2016.8871 57712 1924 0 -113.6   -277 -0.184050   5936922  0.701218   663  0.227170  0.0000 0.000448 0.000615 0.001708 -0.011039  0.019491  0.009024
ABEM 16NOV21 2016.8898 57713 1924 1 -113.6   -277 -0.185525   5936922  0.702524   663  0.231819  0.0000 0.000447 0.000617 0.001713 -0.011912  0.013080  0.006859
ABEM 16NOV22 2016.8925 57714 1924 2 -113.6   -277 -0.184408   5936922  0.701442   663  0.227315  0.0000 0.000442 0.000620 0.001726 -0.005762  0.006184  0.027734
ABEM 16NOV23 2016.8953 57715 1924 3 -113.6   -277 -0.183027   5936922  0.701475   663  0.226666  0.0000 0.000449 0.000630 0.001753 -0.003406  0.023577  0.031782
ABEM 16NOV24 2016.8980 57716 1924 4 -113.6   -277 -0.182074   5936922  0.701291   663  0.225364  0.0000 0.000461 0.000642 0.001804 -0.018207 -0.028837 -0.008193
ABEM 16NOV25 2016.9008 57717 1924 5 -113.6   -277 -0.184020   5936922  0.701034   663  0.225648  0.0000 0.000449 0.000624 0.001751 -0.022790  0.020811  0.014266
ABEM 16NOV26 2016.9035 57718 1924 6 -113.6   -277 -0.185319   5936922  0.700843   663  0.220589  0.0000 0.000479 0.000651 0.001782 -0.028858  0.020968 -0.021575
ABEM 16NOV27 2016.9062 57719 1925 0 -113.6   -277 -0.184810   5936922  0.700251   663  0.235144  0.0000 0.000440 0.000615 0.001695 -0.014140  0.004292  0.018576
ABEM 16NOV28 2016.9090 57720 1925 1 -113.6   -277 -0.184393   5936922  0.701340   663  0.231397  0.0000 0.000445 0.000622 0.001729 -0.009946  0.013471  0.041223
ABEM 16NOV29 2016.9117 57721 1925 2 -113.6   -277 -0.183880   5936922  0.700989   663  0.225784  0.0000 0.000448 0.000621 0.001733 -0.006516  0.001516  0.016305
ABEM 16NOV30 2016.9144 57722 1925 3 -113.6   -277 -0.183607   5936922  0.700872   663  0.225397  0.0000 0.000449 0.000626 0.001733 -0.020879  0.021400  0.018684
ABEM 16DEC01 2016.9172 57723 1925 4 -113.6   -277 -0.185469   5936922  0.702035   663  0.223929  0.0000 0.000459 0.000632 0.001737 -0.026848  0.023045  0.007540
