site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ARFL 18AUG30 2018.6612 58360 2016 4  -94.1  -4154 -0.204244   3998927  0.312104   346  0.638788  0.0000 0.000465 0.000553 0.001767 -0.016087  0.029103 -0.164415
ARFL 18AUG31 2018.6639 58361 2016 5  -94.1  -4154 -0.202825   3998927  0.314564   346  0.638436  0.0000 0.000468 0.000555 0.001791 -0.006760 -0.013601 -0.157375
ARFL 18SEP01 2018.6667 58362 2016 6  -94.1  -4154 -0.202872   3998927  0.312071   346  0.640950  0.0000 0.000465 0.000556 0.001786  0.016285 -0.013774 -0.167255
ARFL 18SEP02 2018.6694 58363 2017 0  -94.1  -4154 -0.202417   3998927  0.309095   346  0.642514  0.0000 0.000460 0.000550 0.001763  0.002426  0.002666 -0.151318
ARFL 18SEP03 2018.6721 58364 2017 1  -94.1  -4154 -0.200826   3998927  0.312343   346  0.643028  0.0000 0.000461 0.000547 0.001755  0.008850 -0.006869 -0.145357
ARFL 18SEP04 2018.6749 58365 2017 2  -94.1  -4154 -0.201963   3998927  0.314170   346  0.639445  0.0000 0.000470 0.000551 0.001753 -0.013780  0.006944 -0.136268
ARFL 18SEP05 2018.6776 58366 2017 3  -94.1  -4154 -0.199296   3998927  0.313162   346  0.657228  0.0000 0.000467 0.000553 0.001766  0.004188  0.004064 -0.153548
ARFL 18SEP06 2018.6804 58367 2017 4  -94.1  -4154 -0.201315   3998927  0.313084   346  0.652414  0.0000 0.000472 0.000560 0.001782  0.035814 -0.009805 -0.140313
ARFL 18SEP07 2018.6831 58368 2017 5  -94.1  -4154 -0.204489   3998927  0.313935   346  0.643530  0.0000 0.000471 0.000560 0.001799  0.032566 -0.004147 -0.138250
ARFL 18SEP08 2018.6858 58369 2017 6  -94.1  -4154 -0.201754   3998927  0.316113   346  0.650432  0.0000 0.000466 0.000553 0.001777  0.019731 -0.013066 -0.159657
