site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ARNR 10JUL03 2010.5024 55380 1590 6   14.0   -870 -0.263639   5375654  0.399438   643  0.676525  0.0000 0.000485 0.000628 0.001782 -0.004139  0.035704 -0.069195
ARNR 10JUL04 2010.5051 55381 1591 0   14.0   -870 -0.265098   5375654  0.402464   643  0.681287  0.0000 0.000484 0.000625 0.001788 -0.001837 -0.003473 -0.071290
ARNR 10JUL05 2010.5079 55382 1591 1   14.0   -870 -0.262888   5375654  0.402289   643  0.687181  0.0000 0.000484 0.000621 0.001774 -0.006574  0.018760 -0.071695
ARNR 10JUL06 2010.5106 55383 1591 2   14.0   -870 -0.265938   5375654  0.400408   643  0.675804  0.0000 0.000479 0.000616 0.001756 -0.007629  0.023731 -0.058673
ARNR 10JUL07 2010.5133 55384 1591 3   14.0   -870 -0.265417   5375654  0.401647   643  0.676201  0.0000 0.000482 0.000621 0.001760 -0.008231  0.012854 -0.063674
ARNR 10JUL08 2010.5161 55385 1591 4   14.0   -870 -0.264323   5375654  0.402716   643  0.675263  0.0000 0.000479 0.000619 0.001746 -0.008300  0.008455 -0.062355
ARNR 10JUL09 2010.5188 55386 1591 5   14.0   -870 -0.262413   5375654  0.402146   643  0.676259  0.0000 0.000478 0.000618 0.001743 -0.002770  0.018141 -0.062254
ARNR 10JUL10 2010.5216 55387 1591 6   14.0   -870 -0.267096   5375654  0.400529   643  0.674930  0.0000 0.000479 0.000619 0.001755  0.002725  0.000144 -0.059844
ARNR 10JUL11 2010.5243 55388 1592 0   14.0   -870 -0.265815   5375654  0.401334   643  0.670321  0.0000 0.000478 0.000617 0.001743  0.008566  0.016967 -0.064444
ARNR 10JUL12 2010.5270 55389 1592 1   14.0   -870 -0.263502   5375654  0.402356   643  0.666427  0.0000 0.000478 0.000618 0.001751 -0.003955  0.025723 -0.053065
ARNR 10JUL13 2010.5298 55390 1592 2   14.0   -870 -0.265345   5375654  0.401249   643  0.681120  0.0000 0.000482 0.000622 0.001757 -0.002861  0.016597 -0.074209
ARNR 10JUL14 2010.5325 55391 1592 3   14.0   -870 -0.261446   5375654  0.402014   643  0.685588  0.0000 0.000476 0.000613 0.001727  0.003185  0.018334 -0.060173
ARNR 10JUL15 2010.5352 55392 1592 4   14.0   -870 -0.265411   5375654  0.400952   643  0.676981  0.0000 0.000477 0.000625 0.001762  0.003668  0.009045 -0.060871
ARNR 10JUL16 2010.5380 55393 1592 5   14.0   -870 -0.263796   5375654  0.403527   643  0.679803  0.0000 0.000475 0.000616 0.001727 -0.008585  0.012676 -0.051739
ARNR 10JUL17 2010.5407 55394 1592 6   14.0   -870 -0.265791   5375654  0.402356   643  0.670047  0.0000 0.000477 0.000618 0.001749 -0.012344  0.016856 -0.064507
ARNR 10JUL18 2010.5435 55395 1593 0   14.0   -870 -0.266592   5375654  0.402463   643  0.678063  0.0000 0.000478 0.000621 0.001746 -0.012654 -0.000390 -0.066166
ARNR 10JUL19 2010.5462 55396 1593 1   14.0   -870 -0.264976   5375654  0.401961   643  0.670749  0.0000 0.000482 0.000622 0.001755 -0.009242  0.007192 -0.062231
ARNR 10JUL20 2010.5489 55397 1593 2   14.0   -870 -0.265004   5375654  0.402123   643  0.673370  0.0000 0.000478 0.000622 0.001747  0.001683  0.010436 -0.061496
