site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ASEC 10MAY15 2010.3682 55331 1583 6  -78.2   3295  0.316006    -54987 -0.547135  4571  0.087590  0.0000 0.000634 0.000473 0.002026 -0.037323 -0.029766  0.001196
ASEC 10MAY16 2010.3710 55332 1584 0  -78.2   3295  0.315545    -54987 -0.547653  4571  0.080791  0.0000 0.000620 0.000463 0.001985 -0.008617 -0.042100 -0.001043
ASEC 10MAY17 2010.3737 55333 1584 1  -78.2   3295  0.315276    -54987 -0.545974  4571  0.086723  0.0000 0.000616 0.000463 0.001994 -0.014846 -0.035660 -0.002867
ASEC 10MAY18 2010.3765 55334 1584 2  -78.2   3295  0.315862    -54987 -0.544924  4571  0.080408  0.0000 0.000616 0.000462 0.001979 -0.006039 -0.042799 -0.005039
ASEC 10MAY19 2010.3792 55335 1584 3  -78.2   3295  0.317466    -54987 -0.546671  4571  0.082454  0.0000 0.000650 0.000480 0.002046 -0.007717 -0.061816 -0.022898
ASEC 10MAY20 2010.3819 55336 1584 4  -78.2   3295  0.319980    -54987 -0.544236  4571  0.076591  0.0000 0.000657 0.000484 0.002086 -0.010479 -0.057119 -0.018923
ASEC 10MAY21 2010.3847 55337 1584 5  -78.2   3295  0.317898    -54987 -0.541675  4571  0.068523  0.0000 0.000647 0.000476 0.002061 -0.015881 -0.047014  0.001298
ASEC 10MAY22 2010.3874 55338 1584 6  -78.2   3295  0.315373    -54987 -0.544700  4571  0.069907  0.0000 0.000655 0.000490 0.002074 -0.065994 -0.032097  0.027828
ASEC 10MAY24 2010.3929 55340 1585 1  -78.2   3295  0.314868    -54987 -0.542812  4571  0.076133  0.0000 0.000638 0.000475 0.002026 -0.024150 -0.038234 -0.009299
ASEC 10MAY27 2010.4011 55343 1585 4  -78.2   3295  0.316930    -54987 -0.543739  4571  0.078171  0.0000 0.000615 0.000463 0.002001 -0.006226 -0.038518  0.006710
ASEC 10MAY28 2010.4038 55344 1585 5  -78.2   3295  0.315315    -54987 -0.543444  4571  0.084161  0.0000 0.000624 0.000467 0.002074  0.002452 -0.047090 -0.009280
ASEC 10MAY30 2010.4093 55346 1586 0  -78.2   3295  0.317367    -54987 -0.544748  4571  0.076207  0.0000 0.000626 0.000468 0.002036  0.006349 -0.046280  0.008601
ASEC 10JUN01 2010.4148 55348 1586 2  -78.2   3295  0.312302    -54987 -0.542616  4571  0.118568  0.0000 0.000624 0.000470 0.002041  0.005907 -0.030640  0.000839
ASEC 10JUN03 2010.4203 55350 1586 4  -78.2   3295  0.313447    -54987 -0.547262  4571  0.097035  0.0000 0.000635 0.000469 0.002050 -0.032012 -0.048938 -0.027838
ASEC 10JUN04 2010.4230 55351 1586 5  -78.2   3295  0.323506    -54987 -0.544173  4571  0.064789  0.0000 0.000616 0.000463 0.002000 -0.017281 -0.052666 -0.014591
ASEC 10JUN06 2010.4285 55353 1587 0  -78.2   3295  0.321779    -54987 -0.547405  4571  0.065789  0.0000 0.000618 0.000464 0.002017 -0.032623 -0.064386 -0.027160
ASEC 10JUN07 2010.4312 55354 1587 1  -78.2   3295  0.321319    -54987 -0.542227  4571  0.069326  0.0000 0.000621 0.000469 0.002045 -0.005716 -0.038701 -0.015759
ASEC 10JUN08 2010.4339 55355 1587 2  -78.2   3295  0.316437    -54987 -0.542598  4571  0.098364  0.0000 0.000711 0.000514 0.002281 -0.058725 -0.053002  0.024862
ASEC 10JUN09 2010.4367 55356 1587 3  -78.2   3295  0.317664    -54987 -0.545563  4571  0.073701  0.0000 0.000624 0.000466 0.002043 -0.030374 -0.066891 -0.008227
ASEC 10JUN11 2010.4422 55358 1587 5  -78.2   3295  0.323120    -54987 -0.542482  4571  0.073905  0.0000 0.000620 0.000460 0.002001 -0.025056 -0.061961 -0.036914
ASEC 10JUN14 2010.4504 55361 1588 1  -78.2   3295  0.319379    -54987 -0.541988  4571  0.077414  0.0000 0.000625 0.000467 0.002019 -0.019342 -0.063227 -0.026633
ASEC 10JUN15 2010.4531 55362 1588 2  -78.2   3295  0.318010    -54987 -0.543418  4571  0.074992  0.0000 0.000629 0.000466 0.002030 -0.021447 -0.076499 -0.027745
ASEC 10JUN16 2010.4559 55363 1588 3  -78.2   3295  0.318095    -54987 -0.545692  4571  0.073838  0.0000 0.000640 0.000473 0.002032 -0.036559 -0.068000 -0.046032
ASEC 10JUN19 2010.4641 55366 1588 6  -78.2   3295  0.317219    -54987 -0.542142  4571  0.069667  0.0000 0.000635 0.000470 0.002015 -0.026379 -0.052252 -0.030757
ASEC 10JUN20 2010.4668 55367 1589 0  -78.2   3295  0.315206    -54987 -0.542848  4571  0.073384  0.0000 0.000634 0.000470 0.002013 -0.030418 -0.063412 -0.024530
ASEC 10JUN22 2010.4723 55369 1589 2  -78.2   3295  0.320516    -54987 -0.545000  4571  0.075835  0.0000 0.000635 0.000473 0.002024 -0.024493 -0.084081 -0.040576
ASEC 10JUN23 2010.4750 55370 1589 3  -78.2   3295  0.319245    -54987 -0.541833  4571  0.073053  0.0000 0.000637 0.000472 0.002017 -0.031610 -0.061155 -0.011307
ASEC 10JUN24 2010.4778 55371 1589 4  -78.2   3295  0.321796    -54987 -0.545228  4571  0.076163  0.0000 0.000646 0.000481 0.002097 -0.005937 -0.059711 -0.013823
ASEC 10JUN25 2010.4805 55372 1589 5  -78.2   3295  0.321895    -54987 -0.543393  4571  0.077232  0.0000 0.000644 0.000481 0.002093 -0.014568 -0.082391 -0.021656
ASEC 10JUN26 2010.4832 55373 1589 6  -78.2   3295  0.314410    -54987 -0.537834  4571  0.074574  0.0000 0.000641 0.000471 0.002037 -0.040189 -0.080117 -0.032958
ASEC 10JUN27 2010.4860 55374 1590 0  -78.2   3295  0.319724    -54987 -0.544289  4571  0.070940  0.0000 0.000636 0.000467 0.001988 -0.021970 -0.085490 -0.020029
ASEC 10JUN28 2010.4887 55375 1590 1  -78.2   3295  0.323819    -54987 -0.544224  4571  0.065278  0.0000 0.000640 0.000470 0.002013 -0.025885 -0.080616 -0.004398
ASEC 10JUN29 2010.4914 55376 1590 2  -78.2   3295  0.319245    -54987 -0.545553  4571  0.073525  0.0000 0.000643 0.000472 0.002002 -0.032940 -0.071639 -0.022597
ASEC 10JUN30 2010.4942 55377 1590 3  -78.2   3295  0.318311    -54987 -0.544207  4571  0.065143  0.0000 0.000643 0.000471 0.002008 -0.047580 -0.085620  0.004821
ASEC 10JUL02 2010.4997 55379 1590 5  -78.2   3295  0.320074    -54987 -0.543443  4571  0.072202  0.0000 0.000643 0.000466 0.001992 -0.026214 -0.084233 -0.007063
ASEC 10JUL04 2010.5051 55381 1591 0  -78.2   3295  0.319492    -54987 -0.544673  4571  0.068238  0.0000 0.000642 0.000466 0.001996 -0.026227 -0.076782  0.000454
ASEC 10JUL05 2010.5079 55382 1591 1  -78.2   3295  0.318232    -54987 -0.544380  4571  0.069831  0.0000 0.000646 0.000468 0.002012 -0.033324 -0.087996 -0.011508
ASEC 10JUL06 2010.5106 55383 1591 2  -78.2   3295  0.316466    -54987 -0.544481  4571  0.075715  0.0000 0.000645 0.000468 0.002009 -0.028688 -0.098125 -0.012527
ASEC 10JUL07 2010.5133 55384 1591 3  -78.2   3295  0.315183    -54987 -0.544624  4571  0.074208  0.0000 0.000644 0.000466 0.002002 -0.038406 -0.100945  0.005294
ASEC 10JUL09 2010.5188 55386 1591 5  -78.2   3295  0.315782    -54987 -0.543623  4571  0.074993  0.0000 0.000664 0.000473 0.002050 -0.002746 -0.063380  0.048070
ASEC 10JUL10 2010.5216 55387 1591 6  -78.2   3295  0.317919    -54987 -0.543084  4571  0.064976  0.0000 0.000650 0.000465 0.002001 -0.038197 -0.087566  0.009630
ASEC 10JUL11 2010.5243 55388 1592 0  -78.2   3295  0.317860    -54987 -0.543936  4571  0.070469  0.0000 0.000649 0.000465 0.001998 -0.032568 -0.100665 -0.011434
ASEC 10JUL12 2010.5270 55389 1592 1  -78.2   3295  0.316810    -54987 -0.542235  4571  0.077959  0.0000 0.000645 0.000463 0.001988 -0.035419 -0.097454  0.002960
ASEC 10JUL14 2010.5325 55391 1592 3  -78.2   3295  0.315765    -54987 -0.543793  4571  0.075560  0.0000 0.000645 0.000463 0.002003 -0.020719 -0.085714  0.009938
ASEC 10JUL15 2010.5352 55392 1592 4  -78.2   3295  0.316135    -54987 -0.541629  4571  0.080476  0.0000 0.000638 0.000460 0.001984 -0.019640 -0.085409 -0.012452
ASEC 10JUL17 2010.5407 55394 1592 6  -78.2   3295  0.318606    -54987 -0.546745  4571  0.068678  0.0000 0.000643 0.000460 0.001999 -0.029053 -0.104309 -0.027394
ASEC 10JUL18 2010.5435 55395 1593 0  -78.2   3295  0.318296    -54987 -0.544479  4571  0.070742  0.0000 0.000646 0.000466 0.002023 -0.011756 -0.092988 -0.005104
ASEC 10JUL20 2010.5489 55397 1593 2  -78.2   3295  0.328281    -54987 -0.542474  4571  0.049338  0.0000 0.000639 0.000458 0.001987 -0.006126 -0.099280 -0.014421
ASEC 10JUL21 2010.5517 55398 1593 3  -78.2   3295  0.320851    -54987 -0.543674  4571  0.064245  0.0000 0.000640 0.000458 0.001996 -0.014702 -0.096415 -0.023747
ASEC 10JUL22 2010.5544 55399 1593 4  -78.2   3295  0.319490    -54987 -0.542822  4571  0.074913  0.0000 0.000643 0.000458 0.002009 -0.021023 -0.106533 -0.025900
ASEC 10JUL23 2010.5572 55400 1593 5  -78.2   3295  0.314661    -54987 -0.537091  4571  0.057607  0.0000 0.000651 0.000461 0.002009 -0.028746 -0.104700  0.003912
ASEC 10JUL24 2010.5599 55401 1593 6  -78.2   3295  0.317256    -54987 -0.537289  4571  0.058908  0.0000 0.000657 0.000462 0.002014 -0.017988 -0.087452  0.008620
ASEC 10JUL26 2010.5654 55403 1594 1  -78.2   3295  0.316121    -54987 -0.542262  4571  0.070466  0.0000 0.000651 0.000460 0.002009 -0.010356 -0.081712 -0.017729
ASEC 10JUL27 2010.5681 55404 1594 2  -78.2   3295  0.317738    -54987 -0.541717  4571  0.079370  0.0000 0.000646 0.000457 0.002000 -0.036313 -0.107324 -0.028134
ASEC 10AUG01 2010.5818 55409 1595 0  -78.2   3295  0.318623    -54987 -0.545051  4571  0.075119  0.0000 0.000643 0.000458 0.002005 -0.022335 -0.100023 -0.027866
ASEC 10AUG03 2010.5873 55411 1595 2  -78.2   3295  0.315154    -54987 -0.542170  4571  0.074686  0.0000 0.000640 0.000472 0.002048 -0.036107 -0.092164 -0.021578
ASEC 10AUG05 2010.5927 55413 1595 4  -78.2   3295  0.305234    -54987 -0.534975  4571  0.059231  0.0000 0.000632 0.000455 0.001974 -0.012878 -0.095348 -0.027349
ASEC 10AUG06 2010.5955 55414 1595 5  -78.2   3295  0.304959    -54987 -0.536008  4571  0.059290  0.0000 0.000643 0.000458 0.002006 -0.005875 -0.089455 -0.017334
ASEC 10AUG07 2010.5982 55415 1595 6  -78.2   3295  0.319177    -54987 -0.543529  4571  0.072496  0.0000 0.000632 0.000453 0.001981 -0.009539 -0.079990 -0.022255
ASEC 10AUG08 2010.6010 55416 1596 0  -78.2   3295  0.324308    -54987 -0.542814  4571  0.080740  0.0000 0.000631 0.000456 0.001987 -0.020940 -0.096147 -0.022636
ASEC 10AUG10 2010.6064 55418 1596 2  -78.2   3295  0.322440    -54987 -0.540607  4571  0.071738  0.0000 0.000633 0.000453 0.001978 -0.011087 -0.085524 -0.015973
ASEC 10AUG11 2010.6092 55419 1596 3  -78.2   3295  0.325231    -54987 -0.540916  4571  0.072347  0.0000 0.000634 0.000457 0.001993 -0.016918 -0.088758 -0.010894
ASEC 10AUG13 2010.6146 55421 1596 5  -78.2   3295  0.313632    -54987 -0.540998  4571  0.081968  0.0000 0.000630 0.000454 0.001991 -0.018720 -0.098896 -0.023392
ASEC 10AUG14 2010.6174 55422 1596 6  -78.2   3295  0.314244    -54987 -0.542028  4571  0.073101  0.0000 0.000633 0.000460 0.001998 -0.023092 -0.093137 -0.022843
ASEC 10AUG16 2010.6229 55424 1597 1  -78.2   3295  0.320647    -54987 -0.545567  4571  0.076433  0.0000 0.000629 0.000454 0.001985 -0.000021 -0.085889 -0.029748
ASEC 10AUG17 2010.6256 55425 1597 2  -78.2   3295  0.316549    -54987 -0.543631  4571  0.079414  0.0000 0.000627 0.000452 0.001968 -0.014304 -0.084732 -0.028790
ASEC 10AUG20 2010.6338 55428 1597 5  -78.2   3295  0.317642    -54987 -0.545260  4571  0.076604  0.0000 0.000626 0.000454 0.001988 -0.021467 -0.105537 -0.024315
ASEC 10AUG22 2010.6393 55430 1598 0  -78.2   3295  0.325724    -54987 -0.546330  4571  0.071648  0.0000 0.000626 0.000454 0.001978 -0.016135 -0.093467 -0.015055
ASEC 10AUG23 2010.6420 55431 1598 1  -78.2   3295  0.327858    -54987 -0.548153  4571  0.072449  0.0000 0.000625 0.000453 0.001966 -0.005167 -0.090925 -0.038055
ASEC 10AUG25 2010.6475 55433 1598 3  -78.2   3295  0.317480    -54987 -0.544124  4571  0.087844  0.0000 0.000625 0.000457 0.001973 -0.032053 -0.100213 -0.034941
ASEC 10AUG26 2010.6502 55434 1598 4  -78.2   3295  0.315637    -54987 -0.540055  4571  0.078934  0.0000 0.000632 0.000467 0.002038  0.000724 -0.086247 -0.037406
ASEC 10AUG28 2010.6557 55436 1598 6  -78.2   3295  0.324976    -54987 -0.543467  4571  0.065440  0.0000 0.000607 0.000455 0.001980 -0.017879 -0.096940 -0.004124
ASEC 10AUG29 2010.6585 55437 1599 0  -78.2   3295  0.323973    -54987 -0.543111  4571  0.067965  0.0000 0.000601 0.000452 0.001967 -0.008929 -0.095388 -0.014511
ASEC 10AUG31 2010.6639 55439 1599 2  -78.2   3295  0.316496    -54987 -0.543784  4571  0.078287  0.0000 0.000617 0.000458 0.001981 -0.017410 -0.083177 -0.029125
ASEC 10SEP01 2010.6667 55440 1599 3  -78.2   3295  0.316194    -54987 -0.543035  4571  0.083437  0.0000 0.000604 0.000455 0.001985 -0.027191 -0.092466 -0.007436
ASEC 10SEP03 2010.6721 55442 1599 5  -78.2   3295  0.319940    -54987 -0.544615  4571  0.074689  0.0000 0.000604 0.000455 0.001998 -0.025538 -0.088282  0.004203
ASEC 10SEP05 2010.6776 55444 1600 0  -78.2   3295  0.316327    -54987 -0.546290  4571  0.077728  0.0000 0.000597 0.000453 0.001984 -0.008522 -0.095335 -0.028245
ASEC 10SEP06 2010.6804 55445 1600 1  -78.2   3295  0.315770    -54987 -0.543484  4571  0.074580  0.0000 0.000599 0.000457 0.002002 -0.023087 -0.112932 -0.006251
ASEC 10SEP09 2010.6886 55448 1600 4  -78.2   3295  0.315826    -54987 -0.547646  4571  0.087040  0.0000 0.000594 0.000458 0.001965 -0.010692 -0.093698 -0.016941
ASEC 10SEP11 2010.6940 55450 1600 6  -78.2   3295  0.313377    -54987 -0.543451  4571  0.081506  0.0000 0.000600 0.000467 0.002042 -0.022645 -0.103158 -0.033671
ASEC 10SEP12 2010.6968 55451 1601 0  -78.2   3295  0.314753    -54987 -0.544934  4571  0.081845  0.0000 0.000607 0.000455 0.001954 -0.018397 -0.107153 -0.026032
ASEC 10SEP13 2010.6995 55452 1601 1  -78.2   3295  0.313868    -54987 -0.542971  4571  0.075688  0.0000 0.000589 0.000458 0.001974 -0.012288 -0.115034  0.006393
ASEC 10SEP14 2010.7023 55453 1601 2  -78.2   3295  0.317920    -54987 -0.539680  4571  0.081134  0.0000 0.000591 0.000456 0.001962  0.008688 -0.091127  0.002112
ASEC 10SEP15 2010.7050 55454 1601 3  -78.2   3295  0.312631    -54987 -0.535847  4571  0.077047  0.0000 0.000607 0.000456 0.001964  0.001900 -0.097665 -0.006738
ASEC 10SEP17 2010.7105 55456 1601 5  -78.2   3295  0.318094    -54987 -0.541589  4571  0.092759  0.0000 0.000615 0.000469 0.001976 -0.019212 -0.108384 -0.032178
ASEC 10SEP18 2010.7132 55457 1601 6  -78.2   3295  0.319511    -54987 -0.539024  4571  0.083944  0.0000 0.000590 0.000457 0.001968 -0.008507 -0.115929 -0.012819
ASEC 10SEP20 2010.7187 55459 1602 1  -78.2   3295  0.318219    -54987 -0.542558  4571  0.074839  0.0000 0.000590 0.000455 0.001957  0.004737 -0.104394 -0.018731
ASEC 10SEP22 2010.7242 55461 1602 3  -78.2   3295  0.313974    -54987 -0.539495  4571  0.078407  0.0000 0.000593 0.000465 0.002025  0.022991 -0.103014 -0.038917
ASEC 10SEP23 2010.7269 55462 1602 4  -78.2   3295  0.317017    -54987 -0.541317  4571  0.078616  0.0000 0.000624 0.000464 0.002023 -0.018984 -0.143036 -0.022698
ASEC 10SEP24 2010.7296 55463 1602 5  -78.2   3295  0.317045    -54987 -0.542309  4571  0.073355  0.0000 0.000597 0.000456 0.001961 -0.008684 -0.129087 -0.019185
ASEC 10SEP26 2010.7351 55465 1603 0  -78.2   3295  0.318297    -54987 -0.539224  4571  0.080348  0.0000 0.000602 0.000459 0.001962 -0.005372 -0.109068 -0.013935
ASEC 10SEP27 2010.7379 55466 1603 1  -78.2   3295  0.317082    -54987 -0.540067  4571  0.082702  0.0000 0.000598 0.000466 0.002050  0.004536 -0.116314 -0.026580
ASEC 10SEP28 2010.7406 55467 1603 2  -78.2   3295  0.316680    -54987 -0.542302  4571  0.077566  0.0000 0.000592 0.000458 0.002014 -0.001440 -0.123136 -0.015133
ASEC 10SEP29 2010.7433 55468 1603 3  -78.2   3295  0.314376    -54987 -0.538658  4571  0.074354  0.0000 0.000592 0.000454 0.001976 -0.002321 -0.124624 -0.032587
ASEC 10SEP30 2010.7461 55469 1603 4  -78.2   3295  0.312881    -54987 -0.543160  4571  0.086048  0.0000 0.000605 0.000463 0.001987  0.003680 -0.111663 -0.016081
ASEC 10OCT02 2010.7515 55471 1603 6  -78.2   3295  0.313402    -54987 -0.543903  4571  0.083846  0.0000 0.000588 0.000452 0.001958 -0.001217 -0.095673 -0.021271
ASEC 10OCT03 2010.7543 55472 1604 0  -78.2   3295  0.314914    -54987 -0.542167  4571  0.084287  0.0000 0.000635 0.000466 0.002021  0.008173 -0.084985 -0.021203
ASEC 10OCT04 2010.7570 55473 1604 1  -78.2   3295  0.315618    -54987 -0.540335  4571  0.083515  0.0000 0.000606 0.000460 0.001999 -0.007400 -0.102992 -0.029665
ASEC 10OCT05 2010.7598 55474 1604 2  -78.2   3295  0.316115    -54987 -0.542140  4571  0.082417  0.0000 0.000591 0.000450 0.001960 -0.011718 -0.117763 -0.023996
ASEC 10OCT06 2010.7625 55475 1604 3  -78.2   3295  0.313687    -54987 -0.540532  4571  0.083340  0.0000 0.000593 0.000450 0.001971 -0.019879 -0.118790 -0.011387
ASEC 10OCT08 2010.7680 55477 1604 5  -78.2   3295  0.317498    -54987 -0.539196  4571  0.084238  0.0000 0.000600 0.000455 0.001987 -0.002300 -0.111412 -0.017066
ASEC 10OCT09 2010.7707 55478 1604 6  -78.2   3295  0.319554    -54987 -0.539460  4571  0.058125  0.0000 0.000626 0.000456 0.001994  0.002621 -0.127833 -0.014178
ASEC 10OCT10 2010.7734 55479 1605 0  -78.2   3295  0.316458    -54987 -0.542882  4571  0.077445  0.0000 0.000614 0.000456 0.001989 -0.018005 -0.122787 -0.011979
ASEC 10OCT11 2010.7762 55480 1605 1  -78.2   3295  0.312732    -54987 -0.542181  4571  0.074806  0.0000 0.000613 0.000458 0.002004 -0.007639 -0.121656  0.014668
ASEC 10OCT12 2010.7789 55481 1605 2  -78.2   3295  0.316311    -54987 -0.542801  4571  0.064430  0.0000 0.000600 0.000452 0.001987 -0.016514 -0.123468  0.008455
ASEC 10OCT13 2010.7817 55482 1605 3  -78.2   3295  0.313268    -54987 -0.542770  4571  0.075895  0.0000 0.000609 0.000455 0.001977 -0.010315 -0.125160 -0.009530
ASEC 10OCT16 2010.7899 55485 1605 6  -78.2   3295  0.313722    -54987 -0.543198  4571  0.073370  0.0000 0.000604 0.000451 0.001974 -0.015957 -0.124681  0.002256
ASEC 10OCT17 2010.7926 55486 1606 0  -78.2   3295  0.317445    -54987 -0.543668  4571  0.076978  0.0000 0.000672 0.000501 0.002239  0.010643 -0.156592  0.002806
ASEC 10OCT19 2010.7981 55488 1606 2  -78.2   3295  0.315774    -54987 -0.539742  4571  0.080906  0.0000 0.000621 0.000454 0.001965 -0.017298 -0.104674  0.000064
ASEC 10OCT20 2010.8008 55489 1606 3  -78.2   3295  0.314352    -54987 -0.537642  4571  0.081407  0.0000 0.000628 0.000457 0.001982 -0.033295 -0.125181 -0.011297
ASEC 10OCT24 2010.8118 55493 1607 0  -78.2   3295  0.314846    -54987 -0.542662  4571  0.092548  0.0000 0.000607 0.000453 0.001952 -0.026868 -0.114220  0.007964
ASEC 10OCT26 2010.8172 55495 1607 2  -78.2   3295  0.311140    -54987 -0.538536  4571  0.079134  0.0000 0.000669 0.000496 0.002171 -0.019448 -0.163088 -0.014313
ASEC 10OCT27 2010.8200 55496 1607 3  -78.2   3295  0.312065    -54987 -0.540743  4571  0.074821  0.0000 0.000607 0.000449 0.001942 -0.024088 -0.132327 -0.014219
ASEC 10OCT28 2010.8227 55497 1607 4  -78.2   3295  0.310305    -54987 -0.539643  4571  0.088081  0.0000 0.000614 0.000451 0.001946 -0.018739 -0.136310  0.001148
ASEC 10OCT30 2010.8282 55499 1607 6  -78.2   3295  0.311111    -54987 -0.541033  4571  0.085947  0.0000 0.000618 0.000457 0.001970 -0.060552 -0.143057 -0.014185
ASEC 10OCT31 2010.8309 55500 1608 0  -78.2   3295  0.311280    -54987 -0.539091  4571  0.087465  0.0000 0.000682 0.000511 0.002286 -0.064465 -0.169991 -0.050400
ASEC 10NOV01 2010.8337 55501 1608 1  -78.2   3295  0.313287    -54987 -0.541601  4571  0.077668  0.0000 0.000629 0.000460 0.001995 -0.055270 -0.142712 -0.031470
