site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
AZGB 03APR20 2003.2991 52749 1215 0 -110.8   2655  0.785812   3696596  0.536991  1097  0.791768  0.0000 0.000678 0.000733 0.002841  0.001475  0.079636 -0.106960
AZGB 03APR21 2003.3018 52750 1215 1 -110.8   2655  0.789436   3696596  0.535860  1097  0.805537  0.0000 0.000664 0.000733 0.002829  0.017115  0.009128 -0.128700
AZGB 03APR23 2003.3073 52752 1215 3 -110.8   2655  0.785433   3696596  0.534230  1097  0.794215  0.0000 0.000677 0.000730 0.002832  0.005015  0.000323 -0.121748
AZGB 03APR24 2003.3101 52753 1215 4 -110.8   2655  0.785200   3696596  0.535523  1097  0.790377  0.0000 0.000664 0.000721 0.002785  0.026884  0.000623 -0.103902
AZGB 03APR25 2003.3128 52754 1215 5 -110.8   2655  0.785647   3696596  0.535817  1097  0.792900  0.0000 0.000670 0.000735 0.002818  0.014014  0.024550 -0.116692
AZGB 03APR26 2003.3155 52755 1215 6 -110.8   2655  0.785809   3696596  0.534361  1097  0.796239  0.0000 0.000678 0.000746 0.002823 -0.000752  0.032825 -0.083457
AZGB 03APR27 2003.3183 52756 1216 0 -110.8   2655  0.786112   3696596  0.534738  1097  0.788595  0.0000 0.000658 0.000721 0.002736  0.010778  0.068917 -0.104199
AZGB 03APR28 2003.3210 52757 1216 1 -110.8   2655  0.785222   3696596  0.534120  1097  0.800488  0.0000 0.000664 0.000731 0.002745 -0.023819  0.072040 -0.117985
AZGB 03APR29 2003.3238 52758 1216 2 -110.8   2655  0.786211   3696596  0.534357  1097  0.790477  0.0000 0.000650 0.000716 0.002725 -0.018305  0.050333 -0.079222
AZGB 03APR30 2003.3265 52759 1216 3 -110.8   2655  0.786226   3696596  0.534213  1097  0.790037  0.0000 0.000688 0.000761 0.002896  0.023351  0.002854 -0.127749
AZGB 03MAY01 2003.3292 52760 1216 4 -110.8   2655  0.785811   3696596  0.533988  1097  0.794074  0.0000 0.000683 0.000751 0.002879 -0.017797  0.035891 -0.131939
AZGB 03MAY02 2003.3320 52761 1216 5 -110.8   2655  0.785813   3696596  0.534525  1097  0.797154  0.0000 0.000722 0.000776 0.003045  0.022977 -0.021689 -0.137799
AZGB 03MAY03 2003.3347 52762 1216 6 -110.8   2655  0.782337   3696596  0.533664  1097  0.799038  0.0000 0.000680 0.000753 0.002865 -0.001672  0.054452 -0.070584
AZGB 03MAY04 2003.3374 52763 1217 0 -110.8   2655  0.784954   3696596  0.534572  1097  0.797480  0.0000 0.000672 0.000731 0.002831  0.017201  0.059020 -0.126293
AZGB 03MAY05 2003.3402 52764 1217 1 -110.8   2655  0.785026   3696596  0.534678  1097  0.795671  0.0000 0.000675 0.000733 0.002841  0.014667  0.024070 -0.115634
AZGB 03MAY06 2003.3429 52765 1217 2 -110.8   2655  0.787444   3696596  0.533152  1097  0.786493  0.0000 0.000673 0.000733 0.002807 -0.027108  0.093895 -0.079179
AZGB 03MAY07 2003.3457 52766 1217 3 -110.8   2655  0.784919   3696596  0.533266  1097  0.808120  0.0000 0.000669 0.000753 0.002898  0.013722  0.041862 -0.125006
AZGB 03MAY08 2003.3484 52767 1217 4 -110.8   2655  0.785573   3696596  0.531065  1097  0.809382  0.0000 0.000703 0.000769 0.002927 -0.001382  0.043094 -0.066932
AZGB 03MAY09 2003.3511 52768 1217 5 -110.8   2655  0.781077   3696596  0.536106  1097  0.802689  0.0000 0.000702 0.000764 0.002957  0.017348  0.001489 -0.124804
AZGB 03MAY10 2003.3539 52769 1217 6 -110.8   2655  0.785822   3696596  0.534289  1097  0.795591  0.0000 0.000671 0.000733 0.002830  0.013350  0.005317 -0.127215
AZGB 03MAY11 2003.3566 52770 1218 0 -110.8   2655  0.784918   3696596  0.534511  1097  0.794668  0.0000 0.000684 0.000746 0.002882 -0.008673 -0.014499 -0.079162
AZGB 03MAY12 2003.3593 52771 1218 1 -110.8   2655  0.783811   3696596  0.534406  1097  0.794550  0.0000 0.000649 0.000729 0.002780  0.012293  0.023983 -0.113133
AZGB 03MAY13 2003.3621 52772 1218 2 -110.8   2655  0.783994   3696596  0.533549  1097  0.800070  0.0000 0.000662 0.000736 0.002841  0.002688  0.021931 -0.113887
AZGB 03MAY14 2003.3648 52773 1218 3 -110.8   2655  0.785831   3696596  0.531849  1097  0.805679  0.0000 0.000672 0.000747 0.002867  0.026754 -0.026157 -0.107262
