site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
AZSC 04JUN11 2004.4435 53167 1274 5 -111.9  -2103 -0.631875   3707292  0.990965   361  0.232554  0.0000 0.000591 0.000677 0.002390  0.001505 -0.016260 -0.106963
AZSC 04JUN12 2004.4463 53168 1274 6 -111.9  -2103 -0.631106   3707292  0.991689   361  0.233776  0.0000 0.000583 0.000673 0.002347  0.002825 -0.013794 -0.111010
AZSC 04JUN13 2004.4490 53169 1275 0 -111.9  -2103 -0.633014   3707292  0.990703   361  0.234297  0.0000 0.000587 0.000675 0.002375  0.010390 -0.028565 -0.103884
AZSC 04JUN14 2004.4517 53170 1275 1 -111.9  -2103 -0.632378   3707292  0.991036   361  0.232456  0.0000 0.000616 0.000695 0.002439  0.004782 -0.002020 -0.125033
AZSC 04JUN15 2004.4545 53171 1275 2 -111.9  -2103 -0.631467   3707292  0.990757   361  0.239928  0.0000 0.000599 0.000689 0.002461  0.040124 -0.043658 -0.147321
AZSC 04JUN16 2004.4572 53172 1275 3 -111.9  -2103 -0.630909   3707292  0.990556   361  0.232427  0.0000 0.000594 0.000683 0.002411  0.026990 -0.032116 -0.121680
AZSC 04JUN17 2004.4600 53173 1275 4 -111.9  -2103 -0.631331   3707292  0.992661   361  0.231113  0.0000 0.000607 0.000685 0.002403  0.007539 -0.014497 -0.121804
AZSC 04JUN18 2004.4627 53174 1275 5 -111.9  -2103 -0.630832   3707292  0.990199   361  0.234525  0.0000 0.000598 0.000693 0.002448  0.028075 -0.021948 -0.124982
AZSC 04JUN19 2004.4654 53175 1275 6 -111.9  -2103 -0.631921   3707292  0.990600   361  0.228645  0.0000 0.000585 0.000677 0.002348 -0.005524 -0.010260 -0.103159
AZSC 04JUN20 2004.4682 53176 1276 0 -111.9  -2103 -0.632870   3707292  0.989882   361  0.228339  0.0000 0.000588 0.000672 0.002342 -0.006007  0.009791 -0.110022
AZSC 04JUN21 2004.4709 53177 1276 1 -111.9  -2103 -0.633778   3707292  0.990080   361  0.235576  0.0000 0.000587 0.000676 0.002352 -0.005874  0.002727 -0.115776
AZSC 04JUN22 2004.4736 53178 1276 2 -111.9  -2103 -0.632371   3707292  0.988610   361  0.237535  0.0000 0.000590 0.000678 0.002357 -0.001130 -0.019147 -0.109344
AZSC 04JUN23 2004.4764 53179 1276 3 -111.9  -2103 -0.631622   3707292  0.990018   361  0.236213  0.0000 0.000589 0.000682 0.002359 -0.010412 -0.001832 -0.100156
AZSC 04JUN24 2004.4791 53180 1276 4 -111.9  -2103 -0.631682   3707292  0.991772   361  0.231637  0.0000 0.000584 0.000675 0.002328 -0.007341 -0.002418 -0.096291
AZSC 04JUN25 2004.4819 53181 1276 5 -111.9  -2103 -0.631042   3707292  0.989908   361  0.230825  0.0000 0.000594 0.000689 0.002396  0.025508 -0.036926 -0.096043
AZSC 04JUN26 2004.4846 53182 1276 6 -111.9  -2103 -0.631595   3707292  0.989212   361  0.232665  0.0000 0.000581 0.000673 0.002309  0.005685 -0.026905 -0.106828
AZSC 04JUN27 2004.4873 53183 1277 0 -111.9  -2103 -0.633274   3707292  0.989851   361  0.229117  0.0000 0.000582 0.000672 0.002327 -0.001948 -0.009099 -0.114271
AZSC 04JUN28 2004.4901 53184 1277 1 -111.9  -2103 -0.630175   3707292  0.990118   361  0.232654  0.0000 0.000583 0.000676 0.002326 -0.000520 -0.008708 -0.104837
AZSC 04JUN29 2004.4928 53185 1277 2 -111.9  -2103 -0.631594   3707292  0.989682   361  0.230247  0.0000 0.000594 0.000690 0.002373 -0.030839  0.018559 -0.098450
AZSC 04JUN30 2004.4956 53186 1277 3 -111.9  -2103 -0.630805   3707292  0.987506   361  0.229296  0.0000 0.000586 0.000677 0.002344 -0.002862  0.001793 -0.097620
