site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BATG 17JAN30 2017.0815 57783 1934 1  170.7    519  0.846381  -8774714 -0.097056    31  0.135106  0.0000 0.000486 0.000573 0.002992  0.000679  0.009576 -0.385049
BATG 17FEB05 2017.0979 57789 1935 0  170.7    519  4.951857  -8774714  9.911405    31  0.207555  0.0000 0.000520 0.000647 0.003307  0.056434 -0.056931 -0.479238
BATG 17FEB06 2017.1006 57790 1935 1  170.7    519  5.646587  -8774702 -0.374005    31  0.337341  0.0000 0.000527 0.000619 0.003226 -0.000494 -0.023279 -0.453882
BATG 17FEB07 2017.1034 57791 1935 2  170.7    519  6.360704  -8774702  1.381397    31  0.268043  0.0000 0.000496 0.000611 0.003263  0.020481  0.004960 -0.488915
BATG 17FEB08 2017.1061 57792 1935 3  170.7    519  7.131841  -8774702  3.274069    31  0.172499  0.0000 0.000501 0.000589 0.003236  0.033097 -0.032572 -0.468338
BATG 17FEB09 2017.1088 57793 1935 4  170.7    519  7.790907  -8774702  4.892079    31  0.194457  0.0000 0.000505 0.000582 0.003105  0.030192 -0.003880 -0.453362
BATG 17FEB10 2017.1116 57794 1935 5  170.7    519  8.515393  -8774702  6.686728    31  0.204525  0.0000 0.000492 0.000582 0.003098 -0.005277  0.004987 -0.445128
BATG 17FEB11 2017.1143 57795 1935 6  170.7    519  9.234632  -8774702  8.456792    31  0.210370  0.0000 0.000485 0.000592 0.003087  0.062446 -0.039244 -0.430404
BATG 17FEB12 2017.1170 57796 1936 0  170.7    519  9.875663  -8774702  9.935130    31  0.074510  0.0000 0.000491 0.000562 0.002919  0.032017 -0.037768 -0.406307
BATG 17FEB13 2017.1198 57797 1936 1  170.7    529  0.590500  -8774690 -0.242175    31 -0.002869  0.0000 0.000472 0.000566 0.002965  0.001771 -0.028888 -0.353911
BATG 17FEB14 2017.1225 57798 1936 2  170.7    529  1.341560  -8774690  1.557774    31  0.005701  0.0000 0.000466 0.000560 0.002913  0.034495 -0.029493 -0.401532
BATG 17FEB15 2017.1253 57799 1936 3  170.7    529  2.011202  -8774690  3.243754    31  0.107337  0.0000 0.000461 0.000550 0.002880  0.009437 -0.065574 -0.436750
BATG 17FEB16 2017.1280 57800 1936 4  170.7    529  2.698295  -8774690  4.853524    31  0.052023  0.0000 0.000473 0.000576 0.003036  0.066433 -0.074742 -0.465939
