site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BEAV 14FEB24 2014.1492 56712 1781 1    2.1    191  0.489712   5479241  0.615866   147  0.202074  0.0000 0.000525 0.000680 0.001978  0.035709  0.120269  0.003496
BEAV 14FEB25 2014.1520 56713 1781 2    2.1    191  0.493308   5479241  0.608576   147  0.188857  0.0000 0.000527 0.000675 0.001995  0.028931  0.108143 -0.003234
BEAV 14FEB26 2014.1547 56714 1781 3    2.1    191  0.492325   5479241  0.612889   147  0.186732  0.0000 0.000518 0.000679 0.001987  0.054264  0.098094  0.001177
BEAV 14FEB27 2014.1574 56715 1781 4    2.1    191  0.495865   5479241  0.615974   147  0.194855  0.0000 0.000516 0.000683 0.001989  0.048833  0.108098  0.020266
BEAV 14FEB28 2014.1602 56716 1781 5    2.1    191  0.492853   5479241  0.617075   147  0.191450  0.0000 0.000515 0.000671 0.001959  0.026870  0.104565 -0.023332
BEAV 14MAR01 2014.1629 56717 1781 6    2.1    191  0.491321   5479241  0.615589   147  0.193649  0.0000 0.000514 0.000669 0.001939  0.044265  0.105810  0.002803
BEAV 14MAR02 2014.1656 56718 1782 0    2.1    191  0.492094   5479241  0.616852   147  0.195723  0.0000 0.000562 0.000703 0.002103  0.033195  0.108290 -0.012845
BEAV 14MAR03 2014.1684 56719 1782 1    2.1    191  0.490997   5479241  0.614800   147  0.194961  0.0000 0.000524 0.000675 0.001990  0.063354  0.102673 -0.022299
BEAV 14MAR04 2014.1711 56720 1782 2    2.1    191  0.492019   5479241  0.616378   147  0.196710  0.0000 0.000540 0.000712 0.002097  0.050532  0.107551  0.020114
BEAV 14MAR05 2014.1739 56721 1782 3    2.1    191  0.492080   5479241  0.619002   147  0.194610  0.0000 0.000551 0.000736 0.002080  0.065071  0.069672 -0.030009
BEAV 14MAR06 2014.1766 56722 1782 4    2.1    191  0.495364   5479241  0.615360   147  0.197168  0.0000 0.000508 0.000674 0.001928  0.060639  0.083480 -0.022435
BEAV 14MAR07 2014.1793 56723 1782 5    2.1    191  0.491140   5479241  0.618088   147  0.199517  0.0000 0.000583 0.000727 0.002210  0.039525  0.080956 -0.033834
BEAV 14MAR08 2014.1821 56724 1782 6    2.1    191  0.493230   5479241  0.616755   147  0.192786  0.0000 0.000521 0.000685 0.002004  0.053093  0.107543 -0.003952
BEAV 14MAR09 2014.1848 56725 1783 0    2.1    191  0.497145   5479241  0.616672   147  0.198512  0.0000 0.000528 0.000683 0.001992  0.023958  0.088830  0.012984
BEAV 14MAR10 2014.1875 56726 1783 1    2.1    191  0.490769   5479241  0.618031   147  0.195956  0.0000 0.000495 0.000650 0.001871  0.051130  0.082158 -0.003898
BEAV 14MAR11 2014.1903 56727 1783 2    2.1    191  0.494745   5479241  0.617773   147  0.198572  0.0000 0.000512 0.000671 0.001943  0.040726  0.116873 -0.004104
BEAV 14MAR12 2014.1930 56728 1783 3    2.1    191  0.491296   5479241  0.619149   147  0.197991  0.0000 0.000554 0.000713 0.002093  0.050678  0.094593 -0.003444
BEAV 14MAR13 2014.1958 56729 1783 4    2.1    191  0.489779   5479241  0.617724   147  0.196064  0.0000 0.000518 0.000683 0.001940  0.053176  0.118019 -0.016208
BEAV 14MAR14 2014.1985 56730 1783 5    2.1    191  0.491222   5479241  0.619148   147  0.205966  0.0000 0.000508 0.000663 0.001934  0.046430  0.117653  0.003750
BEAV 14MAR15 2014.2012 56731 1783 6    2.1    191  0.491915   5479241  0.619755   147  0.196990  0.0000 0.000507 0.000675 0.001933  0.056697  0.105602  0.027324
BEAV 14MAR16 2014.2040 56732 1784 0    2.1    191  0.491074   5479241  0.619514   147  0.200835  0.0000 0.000557 0.000739 0.002109  0.037728  0.143628  0.038378
BEAV 14MAR17 2014.2067 56733 1784 1    2.1    191  0.490061   5479241  0.620783   147  0.197758  0.0000 0.000519 0.000689 0.001964  0.038286  0.095060  0.013721
BEAV 14MAR18 2014.2094 56734 1784 2    2.1    191  0.490182   5479241  0.619059   147  0.200951  0.0000 0.000539 0.000718 0.002106  0.029352  0.129150  0.011485
BEAV 14MAR19 2014.2122 56735 1784 3    2.1    191  0.491764   5479241  0.617747   147  0.202634  0.0000 0.000513 0.000675 0.001957  0.030905  0.124907  0.003009
BEAV 14MAR20 2014.2149 56736 1784 4    2.1    191  0.493249   5479241  0.616993   147  0.210353  0.0000 0.000559 0.000694 0.002133  0.011572  0.126011  0.073505
BEAV 14MAR21 2014.2177 56737 1784 5    2.1    191  0.491150   5479241  0.621496   147  0.197661  0.0000 0.000516 0.000669 0.001955  0.061222  0.087837  0.012101
BEAV 14MAR22 2014.2204 56738 1784 6    2.1    191  0.492157   5479241  0.620605   147  0.196549  0.0000 0.000520 0.000670 0.001982  0.043682  0.123419 -0.001941
BEAV 14MAR23 2014.2231 56739 1785 0    2.1    191  0.492172   5479241  0.619714   147  0.199027  0.0000 0.000540 0.000710 0.002062  0.032247  0.120109  0.008248
BEAV 14MAR24 2014.2259 56740 1785 1    2.1    191  0.491317   5479241  0.621542   147  0.199730  0.0000 0.000543 0.000714 0.002016  0.031617  0.099816 -0.034719
BEAV 14MAR25 2014.2286 56741 1785 2    2.1    191  0.492334   5479241  0.619239   147  0.196802  0.0000 0.000541 0.000728 0.002050  0.049094  0.104967  0.009862
BEAV 14MAR26 2014.2313 56742 1785 3    2.1    191  0.493350   5479241  0.620602   147  0.193917  0.0000 0.000559 0.000724 0.002094  0.051966  0.094893  0.014149
BEAV 14MAR27 2014.2341 56743 1785 4    2.1    191  0.491468   5479241  0.619530   147  0.195251  0.0000 0.000525 0.000682 0.001974  0.037371  0.103775  0.018524
BEAV 14MAR28 2014.2368 56744 1785 5    2.1    191  0.493272   5479241  0.620959   147  0.204436  0.0000 0.000602 0.000751 0.002304  0.057373  0.098887 -0.015617
BEAV 14MAR29 2014.2396 56745 1785 6    2.1    191  0.493747   5479241  0.620753   147  0.203915  0.0000 0.000568 0.000752 0.002180  0.057097  0.100855  0.000451
BEAV 14MAR30 2014.2423 56746 1786 0    2.1    191  0.491833   5479241  0.618972   147  0.199161  0.0000 0.000615 0.000799 0.002370 -0.009514  0.103995  0.018921
BEAV 14MAR31 2014.2450 56747 1786 1    2.1    191  0.492336   5479241  0.615640   147  0.209178  0.0000 0.000575 0.000759 0.002200  0.045070  0.131549 -0.037674
BEAV 14APR01 2014.2478 56748 1786 2    2.1    191  0.492395   5479241  0.619228   147  0.212913  0.0000 0.000698 0.000931 0.002583  0.105726  0.116059 -0.010869
BEAV 14APR02 2014.2505 56749 1786 3    2.1    191  0.490212   5479241  0.616966   147  0.204944  0.0000 0.000569 0.000759 0.002242  0.039121  0.031518 -0.024248
BEAV 14APR03 2014.2533 56750 1786 4    2.1    191  0.490631   5479241  0.615678   147  0.204316  0.0000 0.000558 0.000743 0.002207  0.053599  0.017666 -0.024730
BEAV 14APR04 2014.2560 56751 1786 5    2.1    191  0.491235   5479241  0.617932   147  0.203043  0.0000 0.000581 0.000778 0.002316  0.068711  0.025268 -0.041200
BEAV 14APR05 2014.2587 56752 1786 6    2.1    191  0.492351   5479241  0.616551   147  0.201118  0.0000 0.000589 0.000786 0.002330  0.042917  0.013554 -0.046800
BEAV 14APR06 2014.2615 56753 1787 0    2.1    191  0.492241   5479241  0.617814   147  0.202943  0.0000 0.000562 0.000748 0.002226  0.051236  0.029777 -0.030196
BEAV 14APR07 2014.2642 56754 1787 1    2.1    191  0.493360   5479241  0.618086   147  0.200150  0.0000 0.000562 0.000743 0.002202  0.039618  0.038846 -0.031897
BEAV 14APR08 2014.2669 56755 1787 2    2.1    191  0.493558   5479241  0.617226   147  0.196946  0.0000 0.000560 0.000747 0.002214  0.046009  0.024940 -0.016333
