site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BEER 05AUG05 2005.5934 53587 1334 5 -117.8   1566  0.786803   3936510  0.580931   835  0.342759  0.1000 0.000506 0.000652 0.002009 -0.013275 -0.003422 -0.069446
BEER 05AUG06 2005.5962 53588 1334 6 -117.8   1566  0.785987   3936510  0.584780   835  0.320844  0.1000 0.000485 0.000615 0.001906  0.003560 -0.022235 -0.074473
BEER 05AUG07 2005.5989 53589 1335 0 -117.8   1566  0.784387   3936510  0.576748   835  0.334522  0.1000 0.000481 0.000614 0.001885 -0.006683 -0.016160 -0.072501
BEER 05AUG08 2005.6016 53590 1335 1 -117.8   1566  0.785237   3936510  0.578999   835  0.329054  0.1000 0.000484 0.000621 0.001909 -0.000564 -0.024219 -0.048844
BEER 05AUG09 2005.6044 53591 1335 2 -117.8   1566  0.786237   3936510  0.577726   835  0.329501  0.1000 0.000483 0.000619 0.001899 -0.000854 -0.019820 -0.058607
BEER 05AUG10 2005.6071 53592 1335 3 -117.8   1566  0.785589   3936510  0.580675   835  0.332828  0.1000 0.000484 0.000614 0.001892 -0.003463 -0.014730 -0.065518
BEER 07JUN15 2007.4524 54266 1431 5 -117.8   1566  0.745148   3936510  0.580610   835  0.326468  0.1000 0.000473 0.000588 0.001832  0.029464 -0.028526 -0.115584
BEER 07JUN16 2007.4552 54267 1431 6 -117.8   1566  0.747019   3936510  0.581657   835  0.325183  0.1000 0.000471 0.000591 0.001819  0.047683 -0.051293 -0.110380
BEER 07JUN17 2007.4579 54268 1432 0 -117.8   1566  0.745727   3936510  0.581043   835  0.324061  0.1000 0.000477 0.000594 0.001838  0.038798 -0.046807 -0.112141
BEER 07JUN18 2007.4606 54269 1432 1 -117.8   1566  0.746524   3936510  0.582269   835  0.329557  0.1000 0.000473 0.000592 0.001816  0.040491 -0.038129 -0.107456
BEER 07JUN19 2007.4634 54270 1432 2 -117.8   1566  0.748043   3936510  0.581378   835  0.334495  0.1000 0.000472 0.000589 0.001811  0.033737 -0.015743 -0.115653
BEER 07JUN20 2007.4661 54271 1432 3 -117.8   1566  0.746765   3936510  0.581991   835  0.327473  0.1000 0.000469 0.000585 0.001795  0.033794 -0.028974 -0.111375
BEER 07JUN21 2007.4689 54272 1432 4 -117.8   1566  0.746821   3936510  0.581734   835  0.327011  0.1000 0.000471 0.000592 0.001818  0.026450 -0.023222 -0.122269
BEER 07JUN22 2007.4716 54273 1432 5 -117.8   1566  0.747371   3936510  0.581596   835  0.327053  0.1000 0.000477 0.000595 0.001843  0.038713 -0.035849 -0.117513
BEER 07JUN23 2007.4743 54274 1432 6 -117.8   1566  0.746674   3936510  0.580840   835  0.334708  0.1000 0.000474 0.000593 0.001822  0.038802 -0.040510 -0.105414
BEER 07JUN24 2007.4771 54275 1433 0 -117.8   1566  0.746628   3936510  0.578961   835  0.331618  0.1000 0.000487 0.000601 0.001855  0.034260 -0.017637 -0.113319
BEER 07JUN25 2007.4798 54276 1433 1 -117.8   1566  0.746101   3936510  0.581724   835  0.325701  0.1000 0.000468 0.000591 0.001801  0.038110 -0.015226 -0.103584
BEER 07JUN26 2007.4825 54277 1433 2 -117.8   1566  0.746250   3936510  0.580832   835  0.321438  0.1000 0.000471 0.000591 0.001812  0.024812 -0.009457 -0.120553
BEER 07JUN27 2007.4853 54278 1433 3 -117.8   1566  0.747152   3936510  0.582086   835  0.325423  0.1000 0.000472 0.000591 0.001819  0.027841 -0.014688 -0.125086
BEER 07JUN28 2007.4880 54279 1433 4 -117.8   1566  0.748030   3936510  0.579173   835  0.327000  0.1000 0.000471 0.000591 0.001809  0.040628 -0.029530 -0.106863
BEER 07JUN29 2007.4908 54280 1433 5 -117.8   1566  0.747774   3936510  0.580365   835  0.324350  0.1000 0.000474 0.000591 0.001815  0.041258 -0.028880 -0.108415
BEER 07JUN30 2007.4935 54281 1433 6 -117.8   1566  0.748029   3936510  0.580410   835  0.327816  0.1000 0.000470 0.000592 0.001801  0.032400 -0.024562 -0.103338
BEER 07JUL01 2007.4962 54282 1434 0 -117.8   1566  0.746423   3936510  0.582507   835  0.329995  0.1000 0.000474 0.000595 0.001828  0.022672 -0.005983 -0.108684
BEER 07JUL02 2007.4990 54283 1434 1 -117.8   1566  0.749301   3936510  0.579781   835  0.333095  0.1000 0.000474 0.000597 0.001828  0.015768 -0.019951 -0.119719
BEER 07JUL03 2007.5017 54284 1434 2 -117.8   1566  0.746099   3936510  0.581341   835  0.330297  0.1000 0.000470 0.000591 0.001812  0.022592 -0.029243 -0.129188
BEER 07JUL04 2007.5044 54285 1434 3 -117.8   1566  0.747313   3936510  0.580138   835  0.330968  0.1000 0.000473 0.000589 0.001813  0.031020 -0.034277 -0.106890
BEER 07JUL05 2007.5072 54286 1434 4 -117.8   1566  0.746727   3936510  0.582071   835  0.328817  0.1000 0.000474 0.000597 0.001841  0.012075 -0.011755 -0.096778
BEER 07JUL06 2007.5099 54287 1434 5 -117.8   1566  0.747974   3936510  0.576744   835  0.331321  0.1000 0.000474 0.000598 0.001843  0.020449 -0.018899 -0.116294
BEER 07JUL07 2007.5127 54288 1434 6 -117.8   1566  0.746877   3936510  0.579287   835  0.328117  0.1000 0.000472 0.000597 0.001840  0.012365 -0.022439 -0.109475
BEER 07JUL08 2007.5154 54289 1435 0 -117.8   1566  0.747562   3936510  0.579340   835  0.338490  0.1000 0.000474 0.000591 0.001827  0.015019 -0.023132 -0.118324
BEER 07JUL09 2007.5181 54290 1435 1 -117.8   1566  0.746600   3936510  0.578872   835  0.336868  0.1000 0.000472 0.000588 0.001813  0.016489 -0.023938 -0.126241
BEER 07JUL10 2007.5209 54291 1435 2 -117.8   1566  0.747000   3936510  0.579883   835  0.337257  0.1000 0.000473 0.000589 0.001824  0.017740 -0.028412 -0.119955
BEER 07JUL11 2007.5236 54292 1435 3 -117.8   1566  0.745410   3936510  0.578408   835  0.329158  0.1000 0.000475 0.000598 0.001847  0.009820 -0.009599 -0.110949
BEER 07JUL12 2007.5264 54293 1435 4 -117.8   1566  0.748213   3936510  0.581699   835  0.324858  0.1000 0.000478 0.000599 0.001851  0.024068 -0.016279 -0.116408
BEER 07JUL13 2007.5291 54294 1435 5 -117.8   1566  0.747562   3936510  0.580487   835  0.324840  0.1000 0.000476 0.000595 0.001851  0.007636 -0.014891 -0.130964
BEER 07JUL14 2007.5318 54295 1435 6 -117.8   1566  0.745198   3936510  0.581089   835  0.336827  0.1000 0.000477 0.000594 0.001834  0.016112 -0.002437 -0.118819
BEER 07JUL15 2007.5346 54296 1436 0 -117.8   1566  0.746263   3936510  0.578954   835  0.330460  0.1000 0.000476 0.000593 0.001837  0.030854 -0.030455 -0.107136
BEER 07JUL16 2007.5373 54297 1436 1 -117.8   1566  0.747512   3936510  0.579541   835  0.332001  0.1000 0.000481 0.000601 0.001858  0.017275 -0.018778 -0.114315
BEER 07JUL17 2007.5400 54298 1436 2 -117.8   1566  0.746287   3936510  0.580664   835  0.324918  0.1000 0.000478 0.000601 0.001849  0.016603 -0.027694 -0.114456
BEER 07JUL18 2007.5428 54299 1436 3 -117.8   1566  0.745672   3936510  0.578075   835  0.334590  0.1000 0.000486 0.000610 0.001878  0.007242 -0.014257 -0.122267
BEER 07JUL19 2007.5455 54300 1436 4 -117.8   1566  0.743902   3936510  0.582388   835  0.338547  0.1000 0.000514 0.000630 0.002020  0.016385 -0.075138 -0.148715
BEER 07JUL20 2007.5483 54301 1436 5 -117.8   1566  0.747552   3936510  0.581432   835  0.348412  0.1000 0.000496 0.000617 0.001930  0.001569 -0.050366 -0.106477
BEER 07JUL21 2007.5510 54302 1436 6 -117.8   1566  0.746024   3936510  0.582341   835  0.328623  0.1000 0.000483 0.000608 0.001882  0.002483 -0.011568 -0.118313
BEER 07JUL22 2007.5537 54303 1437 0 -117.8   1566  0.746458   3936510  0.580729   835  0.331704  0.1000 0.000477 0.000599 0.001852  0.005882 -0.007229 -0.120317
BEER 07JUL23 2007.5565 54304 1437 1 -117.8   1566  0.748424   3936510  0.579474   835  0.342973  0.1000 0.000483 0.000611 0.001887  0.004911 -0.016806 -0.111207
BEER 09OCT15 2009.7878 55119 1553 4 -117.8   1566  0.701881   3936510  0.582198   835  0.346299  0.1000 0.000491 0.000597 0.001885 -0.008580 -0.001467 -0.100690
BEER 09OCT16 2009.7906 55120 1553 5 -117.8   1566  0.702345   3936510  0.584117   835  0.339693  0.1000 0.000489 0.000595 0.001879 -0.013235 -0.005717 -0.084139
BEER 09OCT17 2009.7933 55121 1553 6 -117.8   1566  0.700738   3936510  0.584553   835  0.336392  0.1000 0.000493 0.000599 0.001890 -0.015183 -0.026558 -0.080015
BEER 09OCT18 2009.7960 55122 1554 0 -117.8   1566  0.699910   3936510  0.583211   835  0.339811  0.1000 0.000493 0.000594 0.001889 -0.010692 -0.014824 -0.100920
BEER 09OCT19 2009.7988 55123 1554 1 -117.8   1566  0.700954   3936510  0.580905   835  0.355408  0.1000 0.000493 0.000599 0.001904 -0.012864 -0.002841 -0.096652
BEER 09OCT20 2009.8015 55124 1554 2 -117.8   1566  0.701384   3936510  0.582402   835  0.337011  0.1000 0.000491 0.000593 0.001882 -0.012069 -0.000445 -0.106842
BEER 09OCT21 2009.8042 55125 1554 3 -117.8   1566  0.701122   3936510  0.583653   835  0.337658  0.1000 0.000490 0.000594 0.001878 -0.013945  0.000512 -0.098978
BEER 09OCT22 2009.8070 55126 1554 4 -117.8   1566  0.700783   3936510  0.583439   835  0.337636  0.1000 0.000489 0.000594 0.001879 -0.011704 -0.006506 -0.091345
BEER 09OCT23 2009.8097 55127 1554 5 -117.8   1566  0.699555   3936510  0.584330   835  0.336124  0.1000 0.000483 0.000592 0.001871 -0.000197 -0.019575 -0.089038
BEER 09OCT24 2009.8125 55128 1554 6 -117.8   1566  0.698201   3936510  0.583431   835  0.339658  0.1000 0.000490 0.000595 0.001886 -0.015484 -0.007762 -0.110062
BEER 09OCT25 2009.8152 55129 1555 0 -117.8   1566  0.698339   3936510  0.584250   835  0.340002  0.1000 0.000493 0.000607 0.001900 -0.012503 -0.005196 -0.091232
BEER 09OCT26 2009.8179 55130 1555 1 -117.8   1566  0.699143   3936510  0.585131   835  0.337663  0.1000 0.000500 0.000598 0.001919 -0.015380 -0.006918 -0.082057
BEER 09OCT27 2009.8207 55131 1555 2 -117.8   1566  0.704973   3936510  0.585575   835  0.339105  0.1000 0.000498 0.000592 0.001916 -0.008080  0.020389 -0.090467
BEER 09OCT28 2009.8234 55132 1555 3 -117.8   1566  0.699813   3936510  0.582945   835  0.332002  0.1000 0.000487 0.000587 0.001882  0.030397 -0.037549 -0.080500
BEER 09OCT29 2009.8261 55133 1555 4 -117.8   1566  0.698921   3936510  0.583766   835  0.330732  0.1000 0.000487 0.000588 0.001881  0.029420 -0.035323 -0.083151
BEER 09OCT30 2009.8289 55134 1555 5 -117.8   1566  0.701044   3936510  0.583566   835  0.340222  0.1000 0.000487 0.000583 0.001863  0.022144 -0.033204 -0.101262
BEER 09OCT31 2009.8316 55135 1555 6 -117.8   1566  0.701294   3936510  0.582060   835  0.342056  0.1000 0.000489 0.000589 0.001883  0.030588 -0.032690 -0.090474
BEER 09NOV01 2009.8344 55136 1556 0 -117.8   1566  0.701766   3936510  0.582635   835  0.337502  0.1000 0.000487 0.000587 0.001869  0.023095 -0.028554 -0.083052
