site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BLUM 11JUN30 2011.4935 55742 1642 4 -118.0  -3998 -0.274450   4534928  0.512644  1364  0.659800  0.1000 0.000466 0.000611 0.001850 -0.000330  0.004512 -0.129037
BLUM 11JUL01 2011.4962 55743 1642 5 -118.0  -3998 -0.274368   4534928  0.514139  1364  0.667364  0.1000 0.000469 0.000610 0.001870 -0.000328  0.002415 -0.144708
BLUM 11JUL02 2011.4990 55744 1642 6 -118.0  -3998 -0.273102   4534928  0.513750  1364  0.654639  0.1000 0.000463 0.000602 0.001823 -0.000987  0.006588 -0.138657
BLUM 11JUL03 2011.5017 55745 1643 0 -118.0  -3998 -0.272111   4534928  0.512042  1364  0.665424  0.1000 0.000462 0.000597 0.001814  0.002865  0.001163 -0.127790
BLUM 11JUL04 2011.5044 55746 1643 1 -118.0  -3998 -0.276246   4534928  0.516150  1364  0.659002  0.1000 0.000461 0.000600 0.001810  0.021275  0.001273 -0.136327
BLUM 11JUL05 2011.5072 55747 1643 2 -118.0  -3998 -0.276027   4534928  0.511634  1364  0.656934  0.1000 0.000474 0.000619 0.001870  0.010723  0.001741 -0.127036
BLUM 11JUL06 2011.5099 55748 1643 3 -118.0  -3998 -0.271730   4534928  0.509367  1364  0.657114  0.1000 0.000463 0.000603 0.001814  0.007306  0.005908 -0.128903
BLUM 11JUL07 2011.5127 55749 1643 4 -118.0  -3998 -0.275599   4534928  0.514581  1364  0.664189  0.1000 0.000470 0.000611 0.001833  0.005085 -0.007746 -0.121178
BLUM 11JUL08 2011.5154 55750 1643 5 -118.0  -3998 -0.272204   4534928  0.510101  1364  0.656412  0.1000 0.000468 0.000608 0.001846  0.005849 -0.011415 -0.135313
BLUM 11JUL09 2011.5181 55751 1643 6 -118.0  -3998 -0.274426   4534928  0.513809  1364  0.663239  0.1000 0.000460 0.000601 0.001809  0.003100 -0.006683 -0.135609
