site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BRW1 08APR26 2008.3176 54582 1476 6 -156.8    361  0.013493   7912098  0.912517    15  0.111123  0.0000 0.000524 0.000625 0.002409 -0.001897 -0.049896  0.377973
BRW1 08APR27 2008.3203 54583 1477 0 -156.8    361  0.014498   7912098  0.911434    15  0.118318  0.0000 0.000500 0.000599 0.002328  0.004086 -0.002319  0.408949
BRW1 08APR28 2008.3231 54584 1477 1 -156.8    361  0.011998   7912098  0.911923    15  0.120962  0.0000 0.000493 0.000573 0.002299 -0.012923 -0.050080  0.399765
BRW1 08APR29 2008.3258 54585 1477 2 -156.8    361  0.013794   7912098  0.913230    15  0.113582  0.0000 0.000472 0.000568 0.002249  0.006362 -0.004649  0.392784
BRW1 08APR30 2008.3285 54586 1477 3 -156.8    361  0.012170   7912098  0.911696    15  0.111607  0.0000 0.000465 0.000565 0.002208 -0.015843 -0.022311  0.410472
BRW1 08MAY01 2008.3313 54587 1477 4 -156.8    361  0.013969   7912098  0.912143    15  0.117975  0.0000 0.000436 0.000532 0.002086 -0.011139 -0.008979  0.433032
BRW1 08MAY02 2008.3340 54588 1477 5 -156.8    361  0.013566   7912098  0.912224    15  0.118883  0.0000 0.000444 0.000547 0.002138 -0.005509 -0.004207  0.426511
BRW1 08MAY03 2008.3368 54589 1477 6 -156.8    361  0.014489   7912098  0.911837    15  0.120412  0.0000 0.000457 0.000546 0.002158  0.026991 -0.012120  0.392271
BRW1 08MAY04 2008.3395 54590 1478 0 -156.8    361  0.013791   7912098  0.912809    15  0.128972  0.0000 0.000456 0.000553 0.002188 -0.023237 -0.019904  0.412602
BRW1 08MAY05 2008.3422 54591 1478 1 -156.8    361  0.012918   7912098  0.913618    15  0.123624  0.0000 0.000458 0.000549 0.002141 -0.019587 -0.010698  0.406424
BRW1 08MAY06 2008.3450 54592 1478 2 -156.8    361  0.012529   7912098  0.914016    15  0.118974  0.0000 0.000471 0.000555 0.002188  0.010647  0.012472  0.390174
BRW1 08MAY07 2008.3477 54593 1478 3 -156.8    361  0.013805   7912098  0.912741    15  0.124177  0.0000 0.000437 0.000528 0.002093  0.008462 -0.028428  0.397136
BRW1 08MAY08 2008.3504 54594 1478 4 -156.8    361  0.012133   7912098  0.910800    15  0.118027  0.0000 0.000445 0.000529 0.002099 -0.012413 -0.007338  0.417516
BRW1 08MAY09 2008.3532 54595 1478 5 -156.8    361  0.011034   7912098  0.910144    15  0.118878  0.0000 0.000438 0.000528 0.002089  0.006104 -0.003218  0.415676
BRW1 08MAY10 2008.3559 54596 1478 6 -156.8    361  0.010760   7912098  0.912934    15  0.118686  0.0000 0.000453 0.000543 0.002153  0.004835 -0.015123  0.393707
BRW1 08MAY11 2008.3587 54597 1479 0 -156.8    361  0.010964   7912098  0.911378    15  0.121347  0.0000 0.000448 0.000520 0.002066 -0.027299 -0.031745  0.416437
BRW1 08MAY12 2008.3614 54598 1479 1 -156.8    361  0.011721   7912098  0.911736    15  0.121787  0.0000 0.000453 0.000536 0.002125 -0.008362 -0.010202  0.414768
BRW1 08MAY13 2008.3641 54599 1479 2 -156.8    361  0.011817   7912098  0.912773    15  0.122538  0.0000 0.000431 0.000520 0.002062  0.004411 -0.006108  0.418287
BRW1 08MAY14 2008.3669 54600 1479 3 -156.8    361  0.012961   7912098  0.912421    15  0.120843  0.0000 0.000432 0.000522 0.002053 -0.010948 -0.011633  0.439236
BRW1 08MAY15 2008.3696 54601 1479 4 -156.8    361  0.010904   7912098  0.912777    15  0.121598  0.0000 0.000435 0.000530 0.002099  0.003881  0.013200  0.429466
BRW1 08MAY16 2008.3723 54602 1479 5 -156.8    361  0.012349   7912098  0.912242    15  0.119184  0.0000 0.000457 0.000547 0.002180 -0.010285 -0.001302  0.426925
BRW1 08MAY17 2008.3751 54603 1479 6 -156.8    361  0.012415   7912098  0.911481    15  0.114131  0.0000 0.000437 0.000518 0.002082 -0.000266  0.006602  0.410634
BRW1 08MAY18 2008.3778 54604 1480 0 -156.8    361  0.012067   7912098  0.911388    15  0.114072  0.0000 0.000445 0.000541 0.002106 -0.011383 -0.024504  0.426975
BRW1 08MAY19 2008.3806 54605 1480 1 -156.8    361  0.013607   7912098  0.911019    15  0.115975  0.0000 0.000450 0.000556 0.002170 -0.019077 -0.022744  0.438462
BRW1 08MAY20 2008.3833 54606 1480 2 -156.8    361  0.012490   7912098  0.911272    15  0.112759  0.0000 0.000467 0.000557 0.002202  0.009857 -0.035419  0.386834
BRW1 08MAY21 2008.3860 54607 1480 3 -156.8    361  0.012644   7912098  0.911257    15  0.118324  0.0000 0.000515 0.000608 0.002408 -0.064327 -0.090449  0.410980
BRW1 08MAY22 2008.3888 54608 1480 4 -156.8    361  0.012826   7912098  0.911780    15  0.122894  0.0000 0.000470 0.000559 0.002226  0.013241  0.006660  0.378927
BRW1 08MAY23 2008.3915 54609 1480 5 -156.8    361  0.014040   7912098  0.909659    15  0.126027  0.0000 0.000494 0.000582 0.002286 -0.012363 -0.032617  0.377645
BRW1 08MAY24 2008.3943 54610 1480 6 -156.8    361  0.013613   7912098  0.912912    15  0.132135  0.0000 0.000455 0.000547 0.002165 -0.017576 -0.008368  0.414705
BRW1 08MAY25 2008.3970 54611 1481 0 -156.8    361  0.011710   7912098  0.911479    15  0.120588  0.0000 0.000447 0.000538 0.002149 -0.017429 -0.009055  0.415607
BRW1 08MAY26 2008.3997 54612 1481 1 -156.8    361  0.013186   7912098  0.912828    15  0.122144  0.0000 0.000458 0.000546 0.002168 -0.031900 -0.018894  0.405915
BRW1 08MAY27 2008.4025 54613 1481 2 -156.8    361  0.012177   7912098  0.910636    15  0.123918  0.0000 0.000481 0.000558 0.002247 -0.003144  0.008787  0.380194
BRW1 08MAY28 2008.4052 54614 1481 3 -156.8    361  0.011261   7912098  0.910914    15  0.117706  0.0000 0.000476 0.000571 0.002283 -0.006466 -0.028284  0.406330
BRW1 08MAY29 2008.4079 54615 1481 4 -156.8    361  0.010787   7912098  0.910517    15  0.117730  0.0000 0.000446 0.000537 0.002131 -0.017167 -0.000706  0.421045
BRW1 08MAY30 2008.4107 54616 1481 5 -156.8    361  0.014222   7912098  0.910845    15  0.120374  0.0000 0.000454 0.000530 0.002080 -0.019304 -0.012996  0.397059
BRW1 08MAY31 2008.4134 54617 1481 6 -156.8    361  0.011326   7912098  0.911701    15  0.116905  0.0000 0.000494 0.000594 0.002308 -0.042673 -0.014871  0.397741
BRW1 08JUN01 2008.4162 54618 1482 0 -156.8    361  0.010939   7912098  0.913058    15  0.118159  0.0000 0.000469 0.000579 0.002273 -0.011837 -0.017193  0.403369
BRW1 08JUN02 2008.4189 54619 1482 1 -156.8    361  0.011416   7912098  0.912885    15  0.118817  0.0000 0.000457 0.000553 0.002158  0.005659 -0.011038  0.396611
BRW1 08JUN03 2008.4216 54620 1482 2 -156.8    361  0.011194   7912098  0.912887    15  0.122366  0.0000 0.000462 0.000573 0.002234 -0.001107 -0.010129  0.426013
BRW1 08JUN04 2008.4244 54621 1482 3 -156.8    361  0.011553   7912098  0.911717    15  0.128674  0.0000 0.000435 0.000521 0.002066  0.005126  0.006026  0.431334
BRW1 08JUN05 2008.4271 54622 1482 4 -156.8    361  0.011858   7912098  0.912268    15  0.126689  0.0000 0.000462 0.000572 0.002216 -0.024906 -0.020372  0.406259
BRW1 08JUN06 2008.4298 54623 1482 5 -156.8    361  0.012920   7912098  0.912015    15  0.125189  0.0000 0.000459 0.000553 0.002190 -0.001983 -0.017874  0.394725
BRW1 08JUN07 2008.4326 54624 1482 6 -156.8    361  0.012446   7912098  0.908460    15  0.121280  0.0000 0.000495 0.000599 0.002390 -0.033119 -0.007099  0.392996
BRW1 08JUN08 2008.4353 54625 1483 0 -156.8    361  0.013013   7912098  0.912159    15  0.125483  0.0000 0.000463 0.000568 0.002195  0.009661 -0.015358  0.374553
BRW1 08JUN09 2008.4381 54626 1483 1 -156.8    361  0.014437   7912098  0.910601    15  0.124710  0.0000 0.000444 0.000540 0.002151 -0.013133 -0.006686  0.429028
BRW1 08JUN10 2008.4408 54627 1483 2 -156.8    361  0.015007   7912098  0.911899    15  0.132044  0.0000 0.000442 0.000524 0.002067 -0.009898 -0.015998  0.418205
BRW1 08JUN11 2008.4435 54628 1483 3 -156.8    361  0.014017   7912098  0.911497    15  0.128123  0.0000 0.000434 0.000518 0.002046  0.000138  0.010126  0.399607
BRW1 08JUN12 2008.4463 54629 1483 4 -156.8    361  0.013645   7912098  0.911281    15  0.129187  0.0000 0.000454 0.000544 0.002159 -0.012876  0.004637  0.405476
BRW1 08JUN13 2008.4490 54630 1483 5 -156.8    361  0.013495   7912098  0.911494    15  0.133474  0.0000 0.000431 0.000516 0.002034 -0.005732 -0.005380  0.409864
BRW1 08JUN14 2008.4517 54631 1483 6 -156.8    361  0.014309   7912098  0.910688    15  0.132117  0.0000 0.000460 0.000544 0.002123 -0.010994  0.006205  0.362086
BRW1 08JUN15 2008.4545 54632 1484 0 -156.8    361  0.013754   7912098  0.909911    15  0.117644  0.0000 0.000546 0.000647 0.002538 -0.035376 -0.047945  0.365081
