site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CCAK 08JUL01 2008.4983 54648 1486 2  114.6   3132  0.443399   -928133 -0.872553    36  0.709692  0.0083 0.000632 0.000510 0.002348  0.058198  0.044810  0.201139
CCAK 08JUL02 2008.5010 54649 1486 3  114.6   3132  0.442118   -928133 -0.875786    36  0.718769  0.0083 0.000640 0.000504 0.002289  0.067144  0.081017  0.177420
CCAK 08JUL03 2008.5038 54650 1486 4  114.6   3132  0.444992   -928133 -0.874075    36  0.714705  0.0083 0.000615 0.000501 0.002264  0.094478  0.045437  0.162221
CCAK 08JUL04 2008.5065 54651 1486 5  114.6   3132  0.444073   -928133 -0.875672    36  0.712732  0.0083 0.000616 0.000502 0.002285  0.061554  0.040480  0.195273
CCAK 08JUL05 2008.5092 54652 1486 6  114.6   3132  0.440008   -928133 -0.874497    36  0.715080  0.0083 0.001493 0.001146 0.005354  0.150760 -0.033122  0.077856
CCAK 08JUL07 2008.5147 54654 1487 1  114.6   3132  0.443528   -928133 -0.875223    36  0.719231  0.0083 0.000633 0.000526 0.002375  0.083514  0.055948  0.191728
CCAK 08JUL08 2008.5175 54655 1487 2  114.6   3132  0.445241   -928133 -0.875014    36  0.719051  0.0083 0.000608 0.000489 0.002201  0.094156  0.081858  0.165256
CCAK 08JUL09 2008.5202 54656 1487 3  114.6   3132  0.443727   -928133 -0.875179    36  0.711302  0.0083 0.000625 0.000500 0.002200  0.131988  0.080558  0.147605
CCAK 08JUL10 2008.5229 54657 1487 4  114.6   3132  0.443004   -928133 -0.873410    36  0.718772  0.0083 0.000639 0.000515 0.002374  0.079864  0.044700  0.215442
CCAK 08JUL11 2008.5257 54658 1487 5  114.6   3132  0.440172   -928133 -0.871822    36  0.718206  0.0083 0.000630 0.000510 0.002339  0.077257  0.060860  0.219745
CCAK 08JUL12 2008.5284 54659 1487 6  114.6   3132  0.446881   -928133 -0.873196    36  0.713273  0.0083 0.000611 0.000497 0.002221  0.108352  0.060994  0.172805
CCAK 08JUL13 2008.5311 54660 1488 0  114.6   3132  0.446061   -928133 -0.872784    36  0.716498  0.0083 0.000616 0.000501 0.002233  0.105257  0.058927  0.150616
CCAK 08JUL14 2008.5339 54661 1488 1  114.6   3132  0.444004   -928133 -0.875917    36  0.713678  0.0083 0.000614 0.000500 0.002260  0.083343  0.049472  0.183839
CCAK 08JUL15 2008.5366 54662 1488 2  114.6   3132  0.445142   -928133 -0.874635    36  0.710051  0.0083 0.000613 0.000503 0.002291  0.108651  0.026905  0.183906
CCAK 08JUL16 2008.5394 54663 1488 3  114.6   3132  0.442275   -928133 -0.874655    36  0.714165  0.0083 0.000597 0.000497 0.002278  0.095159  0.048133  0.191425
CCAK 08JUL17 2008.5421 54664 1488 4  114.6   3132  0.443333   -928133 -0.873512    36  0.710598  0.0083 0.000613 0.000503 0.002313  0.090311  0.029318  0.196033
CCAK 08JUL18 2008.5448 54665 1488 5  114.6   3132  0.446932   -928133 -0.873587    36  0.721865  0.0083 0.000623 0.000503 0.002312  0.061076  0.063212  0.183970
CCAK 08JUL19 2008.5476 54666 1488 6  114.6   3132  0.445980   -928133 -0.873554    36  0.713494  0.0083 0.000628 0.000503 0.002299  0.069930  0.069934  0.189361
CCAK 08JUL20 2008.5503 54667 1489 0  114.6   3132  0.444737   -928133 -0.874561    36  0.718011  0.0083 0.000608 0.000504 0.002255  0.105406  0.055312  0.172589
CCAK 08JUL21 2008.5530 54668 1489 1  114.6   3132  0.444785   -928133 -0.876492    36  0.708713  0.0083 0.000607 0.000502 0.002270  0.091426  0.047109  0.187340
CCAK 08JUL22 2008.5558 54669 1489 2  114.6   3132  0.445356   -928133 -0.874818    36  0.703595  0.0083 0.000615 0.000507 0.002355  0.090028  0.042493  0.209065
CCAK 08JUL23 2008.5585 54670 1489 3  114.6   3132  0.445634   -928133 -0.873375    36  0.718699  0.0083 0.000616 0.000500 0.002273  0.076947  0.083478  0.171445
CCAK 08JUL24 2008.5613 54671 1489 4  114.6   3132  0.444344   -928133 -0.874093    36  0.720139  0.0083 0.000606 0.000500 0.002275  0.089761  0.059958  0.178685
CCAK 08JUL25 2008.5640 54672 1489 5  114.6   3132  0.442788   -928133 -0.874477    36  0.714464  0.0083 0.000612 0.000505 0.002321  0.079222  0.038361  0.201501
CCAK 08JUL26 2008.5667 54673 1489 6  114.6   3132  0.444110   -928133 -0.873685    36  0.715841  0.0083 0.000595 0.000487 0.002233  0.060684  0.076900  0.195663
