site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CHTH 11JUN01 2011.4141 55713 1638 3  -82.2   1007  0.847552   4696648  0.394873   160  0.152408  0.0000 0.000471 0.000583 0.001757 -0.000146  0.011628 -0.054319
CHTH 11JUN02 2011.4168 55714 1638 4  -82.2   1007  0.848308   4696648  0.393265   160  0.149417  0.0000 0.000468 0.000579 0.001743  0.000381  0.001783 -0.062823
CHTH 11JUN03 2011.4196 55715 1638 5  -82.2   1007  0.848313   4696648  0.392745   160  0.148597  0.0000 0.000469 0.000574 0.001742  0.005007  0.002335 -0.058543
CHTH 11JUN04 2011.4223 55716 1638 6  -82.2   1007  0.847780   4696648  0.394467   160  0.157557  0.0000 0.000493 0.000597 0.001809  0.005366  0.017082 -0.050726
CHTH 11JUN05 2011.4251 55717 1639 0  -82.2   1007  0.848114   4696648  0.395348   160  0.150416  0.0000 0.000489 0.000589 0.001784  0.007442  0.011773 -0.076086
CHTH 11JUN06 2011.4278 55718 1639 1  -82.2   1007  0.849475   4696648  0.394834   160  0.155890  0.0000 0.000488 0.000587 0.001782  0.006973  0.013477 -0.075881
CHTH 11JUN07 2011.4305 55719 1639 2  -82.2   1007  0.849892   4696648  0.395180   160  0.158879  0.0000 0.000496 0.000595 0.001823 -0.003513  0.007980 -0.076278
CHTH 11JUN08 2011.4333 55720 1639 3  -82.2   1007  0.846811   4696648  0.397381   160  0.155704  0.0000 0.000490 0.000590 0.001787  0.002193  0.020803 -0.085788
CHTH 11JUN09 2011.4360 55721 1639 4  -82.2   1007  0.848792   4696648  0.394738   160  0.158473  0.0000 0.000485 0.000584 0.001766  0.000919  0.019078 -0.065674
CHTH 11JUN10 2011.4387 55722 1639 5  -82.2   1007  0.848428   4696648  0.395405   160  0.153743  0.0000 0.000487 0.000590 0.001780 -0.000206  0.022520 -0.063063
CHTH 11JUN11 2011.4415 55723 1639 6  -82.2   1007  0.847106   4696648  0.395302   160  0.155396  0.0000 0.000488 0.000590 0.001779  0.008582  0.011247 -0.068713
CHTH 11JUN12 2011.4442 55724 1640 0  -82.2   1007  0.849011   4696648  0.396150   160  0.152445  0.0000 0.000487 0.000592 0.001784  0.008309  0.000008 -0.063888
CHTH 11JUN13 2011.4470 55725 1640 1  -82.2   1007  0.849327   4696648  0.393441   160  0.146933  0.0000 0.000486 0.000585 0.001782 -0.000069  0.018837 -0.086817
CHTH 11JUN14 2011.4497 55726 1640 2  -82.2   1007  0.850212   4696648  0.394528   160  0.144417  0.0000 0.000485 0.000588 0.001775  0.000101  0.018968 -0.063242
CHTH 11JUN15 2011.4524 55727 1640 3  -82.2   1007  0.848394   4696648  0.393016   160  0.149961  0.0000 0.000478 0.000588 0.001770 -0.014366  0.045870 -0.041508
CHTH 11JUN16 2011.4552 55728 1640 4  -82.2   1007  0.846295   4696648  0.395369   160  0.160530  0.0000 0.000469 0.000574 0.001729 -0.000763  0.012008 -0.061696
CHTH 11JUN17 2011.4579 55729 1640 5  -82.2   1007  0.847057   4696648  0.393956   160  0.144303  0.0000 0.000471 0.000581 0.001754  0.004804  0.000545 -0.067752
CHTH 11JUN18 2011.4606 55730 1640 6  -82.2   1007  0.846971   4696648  0.395416   160  0.152473  0.0000 0.000469 0.000579 0.001746 -0.001326  0.012339 -0.068784
CHTH 11JUN19 2011.4634 55731 1641 0  -82.2   1007  0.847656   4696648  0.396387   160  0.153786  0.0000 0.000469 0.000580 0.001756 -0.002344  0.014791 -0.061712
CHTH 11JUN20 2011.4661 55732 1641 1  -82.2   1007  0.848750   4696648  0.394274   160  0.155620  0.0000 0.000469 0.000578 0.001753 -0.015686  0.018180 -0.043247
CHTH 11JUN21 2011.4689 55733 1641 2  -82.2   1007  0.848906   4696648  0.394359   160  0.157435  0.0000 0.000471 0.000579 0.001743 -0.009272  0.020409 -0.053323
CHTH 11JUN22 2011.4716 55734 1641 3  -82.2   1007  0.846113   4696648  0.394799   160  0.143578  0.0000 0.000478 0.000589 0.001785  0.004225 -0.000202 -0.072852
CHTH 11JUN23 2011.4743 55735 1641 4  -82.2   1007  0.843694   4696648  0.398431   160  0.147847  0.0000 0.000472 0.000581 0.001762  0.005714  0.012244 -0.061328
CHTH 11JUN24 2011.4771 55736 1641 5  -82.2   1007  0.847477   4696648  0.396542   160  0.147261  0.0000 0.000470 0.000580 0.001752 -0.002563  0.011359 -0.067184
CHTH 11JUN25 2011.4798 55737 1641 6  -82.2   1007  0.847889   4696648  0.395645   160  0.149492  0.0000 0.000471 0.000581 0.001760 -0.006256  0.013274 -0.063496
CHTH 11JUN26 2011.4825 55738 1642 0  -82.2   1007  0.846477   4696648  0.396477   160  0.154828  0.0000 0.000468 0.000575 0.001728 -0.005876  0.013263 -0.047115
CHTH 11JUN27 2011.4853 55739 1642 1  -82.2   1007  0.846407   4696648  0.394477   160  0.149966  0.0000 0.000472 0.000579 0.001746 -0.002592  0.010143 -0.050097
CHTH 11JUN28 2011.4880 55740 1642 2  -82.2   1007  0.848012   4696648  0.394281   160  0.142821  0.0000 0.000471 0.000581 0.001750  0.001071  0.011048 -0.044841
CHTH 11JUN29 2011.4908 55741 1642 3  -82.2   1007  0.845669   4696648  0.394705   160  0.145795  0.0000 0.000472 0.000577 0.001755  0.005792 -0.001137 -0.058858
CHTH 11JUN30 2011.4935 55742 1642 4  -82.2   1007  0.846662   4696648  0.393880   160  0.143244  0.0000 0.000480 0.000591 0.001802 -0.001924  0.010766 -0.044407
CHTH 11JUL01 2011.4962 55743 1642 5  -82.2   1007  0.845618   4696648  0.395371   160  0.157333  0.0000 0.000470 0.000583 0.001762 -0.001247  0.009831 -0.031961
CHTH 11JUL02 2011.4990 55744 1642 6  -82.2   1007  0.843364   4696648  0.396725   160  0.156232  0.0000 0.000471 0.000580 0.001756  0.007079  0.006952 -0.043122
CHTH 11JUL03 2011.5017 55745 1643 0  -82.2   1007  0.846815   4696648  0.393179   160  0.151581  0.0000 0.000485 0.000602 0.001818 -0.005554  0.017151 -0.040501
CHTH 11JUL04 2011.5044 55746 1643 1  -82.2   1007  0.846076   4696648  0.397309   160  0.148843  0.0000 0.000473 0.000587 0.001760 -0.000077 -0.000854 -0.043025
CHTH 11JUL05 2011.5072 55747 1643 2  -82.2   1007  0.844225   4696648  0.394646   160  0.142553  0.0000 0.000486 0.000594 0.001798 -0.016929  0.007472 -0.075802
CHTH 11JUL06 2011.5099 55748 1643 3  -82.2   1007  0.847268   4696648  0.392459   160  0.154085  0.0000 0.000491 0.000607 0.001820  0.004199 -0.000468 -0.069510
CHTH 11JUL07 2011.5127 55749 1643 4  -82.2   1007  0.846119   4696648  0.396370   160  0.151159  0.0000 0.000502 0.000601 0.001819 -0.012794  0.011423 -0.081714
CHTH 11JUL08 2011.5154 55750 1643 5  -82.2   1007  0.846803   4696648  0.396584   160  0.146996  0.0000 0.000489 0.000591 0.001774 -0.005201  0.013065 -0.050114
CHTH 11JUL09 2011.5181 55751 1643 6  -82.2   1007  0.848296   4696648  0.393222   160  0.151131  0.0000 0.000492 0.000592 0.001797 -0.013253  0.023370 -0.070277
CHTH 11JUL10 2011.5209 55752 1644 0  -82.2   1007  0.848799   4696648  0.391480   160  0.168108  0.0000 0.000487 0.000593 0.001796  0.003603  0.008173 -0.075399
