site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CITG 01NOV09 2001.8563 52222 1139 5   55.7  -1329 -0.090176  -2347250 -0.555760  2266  0.582380  0.0000 0.000767 0.000750 0.003124 -0.037493 -0.050714  0.015671
CITG 01NOV10 2001.8590 52223 1139 6   55.7  -1329 -0.092265  -2347250 -0.557938  2266  0.585116  0.0000 0.000624 0.000608 0.002558 -0.005026  0.016253  0.075511
CITG 01NOV11 2001.8617 52224 1140 0   55.7  -1329 -0.093586  -2347250 -0.553272  2266  0.580846  0.0000 0.000623 0.000614 0.002569 -0.009803  0.004303  0.044785
CITG 01NOV12 2001.8645 52225 1140 1   55.7  -1329 -0.092751  -2347250 -0.556128  2266  0.590306  0.0000 0.000627 0.000616 0.002590 -0.027294 -0.000832  0.036285
CITG 01NOV13 2001.8672 52226 1140 2   55.7  -1329 -0.088596  -2347250 -0.556727  2266  0.579276  0.0000 0.000812 0.000754 0.003210 -0.027764  0.045342  0.002573
CITG 01NOV14 2001.8700 52227 1140 3   55.7  -1329 -0.092310  -2347250 -0.555282  2266  0.579177  0.0000 0.000637 0.000637 0.002696  0.000592  0.034948  0.030886
CITG 01NOV15 2001.8727 52228 1140 4   55.7  -1329 -0.091674  -2347250 -0.551868  2266  0.584140  0.0000 0.000633 0.000617 0.002590 -0.019807  0.028749  0.022241
CITG 01NOV17 2001.8782 52230 1140 6   55.7  -1329 -0.092775  -2347250 -0.556215  2266  0.585088  0.0000 0.000636 0.000620 0.002621 -0.011904  0.026612  0.072100
CITG 01NOV18 2001.8809 52231 1141 0   55.7  -1329 -0.092254  -2347250 -0.558415  2266  0.583784  0.0000 0.000631 0.000616 0.002617 -0.016179  0.025931  0.051660
CITG 01NOV19 2001.8836 52232 1141 1   55.7  -1329 -0.090015  -2347250 -0.556875  2266  0.585372  0.0000 0.000626 0.000619 0.002614 -0.018213  0.021081  0.059470
CITG 01NOV20 2001.8864 52233 1141 2   55.7  -1329 -0.093019  -2347250 -0.556208  2266  0.589516  0.0000 0.000929 0.000896 0.003693 -0.006839  0.005621  0.048214
CITG 01NOV21 2001.8891 52234 1141 3   55.7  -1329 -0.092852  -2347250 -0.552806  2266  0.589268  0.0000 0.000646 0.000619 0.002655 -0.018715  0.025240  0.063571
CITG 01NOV22 2001.8919 52235 1141 4   55.7  -1329 -0.093200  -2347250 -0.553445  2266  0.591267  0.0000 0.000651 0.000637 0.002682 -0.039765  0.046886  0.022985
CITG 01NOV24 2001.8973 52237 1141 6   55.7  -1329 -0.092464  -2347250 -0.553510  2266  0.583766  0.0000 0.000642 0.000662 0.002786 -0.005932  0.020751  0.070092
CITG 01NOV25 2001.9001 52238 1142 0   55.7  -1329 -0.092352  -2347250 -0.554932  2266  0.588899  0.0000 0.000636 0.000628 0.002622 -0.019067  0.040747  0.050803
CITG 01NOV26 2001.9028 52239 1142 1   55.7  -1329 -0.094034  -2347250 -0.553916  2266  0.581432  0.0000 0.000631 0.000616 0.002586 -0.010638  0.027087  0.061585
CITG 01NOV27 2001.9055 52240 1142 2   55.7  -1329 -0.093440  -2347250 -0.552592  2266  0.582543  0.0000 0.000644 0.000618 0.002623 -0.016694  0.022797  0.058887
CITG 01NOV28 2001.9083 52241 1142 3   55.7  -1329 -0.095730  -2347250 -0.548790  2266  0.603577  0.0000 0.000759 0.000704 0.002900 -0.033684  0.023221  0.046635
CITG 01NOV30 2001.9138 52243 1142 5   55.7  -1329 -0.092554  -2347250 -0.553547  2266  0.591742  0.0000 0.000646 0.000622 0.002625 -0.009371  0.016734  0.058992
CITG 01DEC01 2001.9165 52244 1142 6   55.7  -1329 -0.095384  -2347250 -0.553859  2266  0.601140  0.0000 0.000628 0.000616 0.002584 -0.005503  0.011918  0.045144
CITG 01DEC02 2001.9192 52245 1143 0   55.7  -1329 -0.094328  -2347250 -0.553091  2266  0.583734  0.0000 0.000641 0.000623 0.002637 -0.035456  0.019747  0.066763
CITG 01DEC04 2001.9247 52247 1143 2   55.7  -1329 -0.097500  -2347250 -0.555446  2266  0.592402  0.0000 0.000631 0.000613 0.002583 -0.000577  0.012957  0.074967
CITG 01DEC05 2001.9274 52248 1143 3   55.7  -1329 -0.093950  -2347250 -0.554648  2266  0.591533  0.0000 0.000630 0.000610 0.002563 -0.029869  0.016496  0.070024
CITG 01DEC06 2001.9302 52249 1143 4   55.7  -1329 -0.094034  -2347250 -0.555702  2266  0.592221  0.0000 0.000652 0.000613 0.002606 -0.009671  0.007673  0.085771
CITG 01DEC08 2001.9357 52251 1143 6   55.7  -1329 -0.095084  -2347250 -0.554737  2266  0.590309  0.0000 0.000634 0.000611 0.002574 -0.017353  0.031196  0.066720
CITG 01DEC09 2001.9384 52252 1144 0   55.7  -1329 -0.091205  -2347250 -0.551727  2266  0.588837  0.0000 0.000642 0.000614 0.002587 -0.019931  0.022625  0.071774
CITG 01DEC11 2001.9439 52254 1144 2   55.7  -1329 -0.093839  -2347250 -0.550993  2266  0.602733  0.0000 0.000662 0.000637 0.002683 -0.011057  0.007485  0.074639
CITG 01DEC12 2001.9466 52255 1144 3   55.7  -1329 -0.095001  -2347250 -0.555016  2266  0.591783  0.0000 0.000653 0.000646 0.002677 -0.018364  0.035384  0.085916
CITG 01DEC13 2001.9493 52256 1144 4   55.7  -1329 -0.095223  -2347250 -0.549345  2266  0.598462  0.0000 0.000650 0.000635 0.002660  0.001068  0.060018  0.078263
CITG 01DEC15 2001.9548 52258 1144 6   55.7  -1329 -0.095867  -2347250 -0.550908  2266  0.590813  0.0000 0.000639 0.000611 0.002552 -0.034689  0.024013  0.085868
CITG 01DEC16 2001.9576 52259 1145 0   55.7  -1329 -0.096255  -2347250 -0.551863  2266  0.601059  0.0000 0.000633 0.000608 0.002552 -0.018420  0.032323  0.068958
CITG 01DEC18 2001.9630 52261 1145 2   55.7  -1329 -0.094159  -2347250 -0.550407  2266  0.588242  0.0000 0.000649 0.000617 0.002636 -0.031623  0.005042  0.096685
CITG 01DEC19 2001.9658 52262 1145 3   55.7  -1329 -0.093826  -2347250 -0.549111  2266  0.586043  0.0000 0.000629 0.000608 0.002540 -0.019776  0.038899  0.061027
CITG 01DEC20 2001.9685 52263 1145 4   55.7  -1329 -0.098224  -2347250 -0.555895  2266  0.590282  0.0000 0.000641 0.000623 0.002658 -0.013399  0.025677  0.059930
CITG 01DEC21 2001.9713 52264 1145 5   55.7  -1329 -0.099064  -2347250 -0.553802  2266  0.607936  0.0000 0.000795 0.000748 0.003080  0.002856 -0.012807  0.072566
CITG 01DEC22 2001.9740 52265 1145 6   55.7  -1329 -0.094601  -2347250 -0.550580  2266  0.584758  0.0000 0.000658 0.000634 0.002695 -0.016199 -0.013132  0.017508
CITG 01DEC23 2001.9767 52266 1146 0   55.7  -1329 -0.092067  -2347250 -0.549873  2266  0.598648  0.0000 0.000646 0.000623 0.002618 -0.031494  0.014328  0.057744
CITG 01DEC24 2001.9795 52267 1146 1   55.7  -1329 -0.095287  -2347250 -0.555018  2266  0.598660  0.0000 0.000651 0.000612 0.002606 -0.031136  0.007837  0.074180
CITG 01DEC25 2001.9822 52268 1146 2   55.7  -1329 -0.092880  -2347250 -0.555336  2266  0.584026  0.0000 0.000632 0.000608 0.002544 -0.024572  0.013193  0.068338
CITG 01DEC26 2001.9849 52269 1146 3   55.7  -1329 -0.095731  -2347250 -0.555322  2266  0.590772  0.0000 0.000715 0.000698 0.002908 -0.003909  0.003206  0.059844
CITG 01DEC27 2001.9877 52270 1146 4   55.7  -1329 -0.097292  -2347250 -0.550845  2266  0.592474  0.0000 0.000632 0.000607 0.002562 -0.027123  0.017772  0.071007
CITG 01DEC28 2001.9904 52271 1146 5   55.7  -1329 -0.096210  -2347250 -0.556993  2266  0.587481  0.0000 0.000637 0.000609 0.002564 -0.019793  0.021715  0.062004
CITG 01DEC29 2001.9932 52272 1146 6   55.7  -1329 -0.092061  -2347250 -0.557079  2266  0.594722  0.0000 0.000633 0.000607 0.002569 -0.025456  0.005022  0.059493
CITG 01DEC30 2001.9959 52273 1147 0   55.7  -1329 -0.091904  -2347250 -0.547175  2266  0.591573  0.0000 0.000625 0.000609 0.002525 -0.027704  0.000633  0.060471
CITG 01DEC31 2001.9986 52274 1147 1   55.7  -1329 -0.096476  -2347250 -0.550834  2266  0.583204  0.0000 0.000732 0.000714 0.003006 -0.008995 -0.018207  0.052980
CITG 02JAN01 2002.0014 52275 1147 2   55.7  -1329 -0.094842  -2347250 -0.554691  2266  0.578560  0.0000 0.000632 0.000617 0.002589 -0.002806  0.024802  0.070977
CITG 02JAN04 2002.0096 52278 1147 5   55.7  -1329 -0.089939  -2347250 -0.554784  2266  0.580393  0.0000 0.000858 0.000817 0.003432  0.015505 -0.039609  0.088982
CITG 02JAN05 2002.0123 52279 1147 6   55.7  -1329 -0.094561  -2347250 -0.551495  2266  0.573702  0.0000 0.000637 0.000612 0.002600  0.001019  0.020508  0.099926
CITG 02JAN06 2002.0151 52280 1148 0   55.7  -1329 -0.091619  -2347250 -0.553488  2266  0.577490  0.0000 0.000634 0.000623 0.002594 -0.005867  0.035708  0.057954
CITG 02JAN07 2002.0178 52281 1148 1   55.7  -1329 -0.091879  -2347250 -0.558875  2266  0.609832  0.0000 0.000849 0.000809 0.003375  0.021603 -0.003622  0.112087
CITG 02JAN08 2002.0205 52282 1148 2   55.7  -1329 -0.088529  -2347250 -0.553111  2266  0.572340  0.0000 0.000653 0.000624 0.002642 -0.022311 -0.005320  0.073510
CITG 02JAN09 2002.0233 52283 1148 3   55.7  -1329 -0.089654  -2347250 -0.554814  2266  0.578525  0.0000 0.000625 0.000615 0.002557 -0.012396  0.026317  0.076133
CITG 02JAN10 2002.0260 52284 1148 4   55.7  -1329 -0.087654  -2347250 -0.555388  2266  0.585384  0.0000 0.000655 0.000626 0.002638 -0.036359  0.022831  0.080230
CITG 03JAN09 2003.0226 52648 1200 4   55.7  -1329 -0.063347  -2347250 -0.559737  2266  0.645619  0.0000 0.001531 0.001427 0.007220 -0.028938 -0.096202  0.071511
CITG 03JAN23 2003.0609 52662 1202 4   55.7  -1329 -0.064663  -2347250 -0.548491  2266  0.626628  0.0000 0.001461 0.001452 0.007250 -0.041318  0.020711 -0.038906
CITG 03JAN30 2003.0801 52669 1203 4   55.7  -1329 -0.057674  -2347250 -0.547379  2266  0.639736  0.0000 0.001502 0.001623 0.008761  0.051718 -0.001238  0.047016
CITG 03APR10 2003.2717 52739 1213 4   55.7  -1329 -0.071514  -2347250 -0.560070  2266  0.591717  0.0000 0.001163 0.001065 0.004323 -0.045961 -0.014489  0.074049
CITG 03APR14 2003.2827 52743 1214 1   55.7  -1329 -0.068556  -2347250 -0.557766  2266  0.559501  0.0000 0.001672 0.001520 0.006615  0.080823  0.079162  0.219618
CITG 03APR15 2003.2854 52744 1214 2   55.7  -1329 -0.056341  -2347250 -0.561845  2266  0.567969  0.0000 0.001581 0.001278 0.005741  0.071974 -0.107864  0.141228
CITG 03APR22 2003.3046 52751 1215 2   55.7  -1329 -0.053617  -2347250 -0.555091  2266  0.571650  0.0000 0.001503 0.001281 0.005436  0.070930  0.074076  0.171303
CITG 03APR23 2003.3073 52752 1215 3   55.7  -1329 -0.060842  -2347250 -0.557990  2266  0.570882  0.0000 0.001694 0.001436 0.006674  0.069023  0.009747  0.162982
CITG 03JUN03 2003.4196 52793 1221 2   55.7  -1329 -0.062451  -2347250 -0.545483  2266  0.567972  0.0000 0.001426 0.001383 0.005274  0.060098 -0.118928  0.086029
CITG 03JUN19 2003.4634 52809 1223 4   55.7  -1329 -0.055941  -2347250 -0.550916  2266  0.555644  0.0000 0.001004 0.001050 0.004361  0.007737 -0.060278  0.111940
CITG 03JUL03 2003.5017 52823 1225 4   55.7  -1329 -0.053620  -2347250 -0.550231  2266  0.570242  0.0000 0.001094 0.001119 0.004909 -0.046197 -0.093622  0.144082
CITG 03AUG04 2003.5893 52855 1230 1   55.7  -1329 -0.058523  -2347250 -0.546291  2266  0.553120  0.0000 0.001091 0.001178 0.004994 -0.086911 -0.049529  0.130641
CITG 03AUG05 2003.5921 52856 1230 2   55.7  -1329 -0.057665  -2347250 -0.544803  2266  0.561588  0.0000 0.001044 0.001165 0.004936 -0.074462 -0.038791  0.103209
CITG 03AUG07 2003.5975 52858 1230 4   55.7  -1329 -0.062340  -2347250 -0.526328  2266  0.543781  0.0000 0.001127 0.001228 0.005317 -0.073625 -0.022865  0.120371
CITG 03AUG08 2003.6003 52859 1230 5   55.7  -1329 -0.055386  -2347250 -0.542094  2266  0.548979  0.0000 0.001310 0.001524 0.007050 -0.019493 -0.012516  0.176198
CITG 03AUG14 2003.6167 52865 1231 4   55.7  -1329 -0.055455  -2347250 -0.543370  2266  0.550202  0.0000 0.001407 0.001659 0.007557 -0.095900 -0.036761  0.254795
CITG 03AUG20 2003.6331 52871 1232 3   55.7  -1329 -0.059138  -2347250 -0.544244  2266  0.543240  0.0000 0.001030 0.001148 0.005080 -0.152555 -0.008719  0.157480
CITG 03SEP02 2003.6687 52884 1234 2   55.7  -1329 -0.057567  -2347250 -0.528490  2266  0.574809  0.0000 0.001433 0.001595 0.007705 -0.030149 -0.166076  0.070968
CITG 03SEP10 2003.6906 52892 1235 3   55.7  -1329 -0.063300  -2347250 -0.541903  2266  0.573942  0.0000 0.001724 0.001979 0.009296  0.030710 -0.196414  0.205610
CITG 03SEP22 2003.7235 52904 1237 1   55.7  -1329 -0.061306  -2347250 -0.546467  2266  0.565539  0.0000 0.001246 0.001320 0.005791 -0.171163  0.042677  0.142795
CITG 03SEP24 2003.7290 52906 1237 3   55.7  -1329 -0.062859  -2347250 -0.543410  2266  0.570252  0.0000 0.001163 0.001236 0.005200 -0.049835  0.160255  0.046543
CITG 03SEP25 2003.7317 52907 1237 4   55.7  -1329 -0.056332  -2347250 -0.535164  2266  0.584214  0.0000 0.001256 0.001335 0.006063 -0.070102  0.242792  0.058345
CITG 03SEP30 2003.7454 52912 1238 2   55.7  -1329 -0.071743  -2347250 -0.539994  2266  0.540851  0.0000 0.001775 0.001647 0.007151 -0.167575  0.082756  0.074310
CITG 03OCT08 2003.7673 52920 1239 3   55.7  -1329 -0.055553  -2347250 -0.542862  2266  0.566580  0.0000 0.001104 0.001106 0.004794 -0.041270  0.113827  0.128214
CITG 03OCT09 2003.7700 52921 1239 4   55.7  -1329 -0.061223  -2347250 -0.528656  2266  0.559829  0.0000 0.001504 0.001578 0.007053 -0.170282  0.038517  0.195871
CITG 03OCT14 2003.7837 52926 1240 2   55.7  -1329 -0.061330  -2347250 -0.539114  2266  0.549111  0.0000 0.001309 0.001327 0.005518 -0.110804  0.182622  0.054600
CITG 03OCT15 2003.7864 52927 1240 3   55.7  -1329 -0.061432  -2347250 -0.539591  2266  0.557197  0.0000 0.001656 0.001751 0.007421 -0.164696  0.163074  0.182902
CITG 03OCT17 2003.7919 52929 1240 5   55.7  -1329 -0.053861  -2347250 -0.534449  2266  0.549593  0.0000 0.002092 0.002176 0.008732 -0.169670 -0.025545  0.054271
CITG 03OCT21 2003.8029 52933 1241 2   55.7  -1329 -0.054565  -2347250 -0.542895  2266  0.575814  0.0000 0.001256 0.001250 0.005513 -0.144410  0.043117  0.104470
CITG 03NOV12 2003.8631 52955 1244 3   55.7  -1329 -0.055961  -2347250 -0.523358  2266  0.565465  0.0000 0.001095 0.001095 0.004808 -0.047832  0.006429  0.043921
CITG 03NOV14 2003.8686 52957 1244 5   55.7  -1329 -0.054957  -2347250 -0.524784  2266  0.560885  0.0000 0.001598 0.001657 0.007521 -0.197214  0.134129 -0.007355
CITG 03NOV17 2003.8768 52960 1245 1   55.7  -1329 -0.052716  -2347250 -0.527812  2266  0.550546  0.0000 0.001147 0.001120 0.004910 -0.104969  0.044612 -0.012628
CITG 03NOV18 2003.8795 52961 1245 2   55.7  -1329 -0.052803  -2347250 -0.524175  2266  0.558562  0.0000 0.001611 0.001572 0.006722 -0.102704  0.062670  0.013950
CITG 03NOV19 2003.8823 52962 1245 3   55.7  -1329 -0.048027  -2347250 -0.531612  2266  0.565191  0.0000 0.001182 0.001129 0.004982 -0.104602  0.091409  0.079245
CITG 03NOV26 2003.9014 52969 1246 3   55.7  -1329 -0.059279  -2347250 -0.542621  2266  0.558676  0.0000 0.001086 0.001101 0.004641 -0.077861  0.058289  0.064358
CITG 03DEC11 2003.9425 52984 1248 4   55.7  -1329 -0.055423  -2347250 -0.537261  2266  0.577141  0.0000 0.001136 0.001060 0.004689 -0.055370  0.055236  0.051284
CITG 04MAR02 2004.1670 53066 1260 2   55.7  -1329 -0.054911  -2347250 -0.531911  2266  0.544947  0.0000 0.000709 0.000699 0.003109  0.015483  0.046799  0.131788
