site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
COPR 01JUN29 2001.4921 52089 1120 5 -119.9   1882  0.572043   3809685  0.395044   -22 -0.858028  0.0083 0.000526 0.000613 0.002053 -0.007843  0.035194 -0.223047
COPR 01JUN30 2001.4949 52090 1120 6 -119.9   1882  0.570069   3809685  0.394084   -22 -0.861941  0.0083 0.000527 0.000610 0.002048 -0.031908  0.046806 -0.203613
COPR 01JUL01 2001.4976 52091 1121 0 -119.9   1882  0.570515   3809685  0.394976   -22 -0.860193  0.0083 0.000520 0.000610 0.002017 -0.041686  0.039737 -0.195065
COPR 01JUL02 2001.5003 52092 1121 1 -119.9   1882  0.571166   3809685  0.394252   -22 -0.853977  0.0083 0.000519 0.000612 0.002030 -0.037997  0.068518 -0.208269
COPR 01JUL03 2001.5031 52093 1121 2 -119.9   1882  0.570346   3809685  0.394406   -22 -0.861711  0.0083 0.000530 0.000616 0.002037 -0.060001  0.061376 -0.207263
COPR 01JUL04 2001.5058 52094 1121 3 -119.9   1882  0.571323   3809685  0.394923   -22 -0.852736  0.0083 0.000519 0.000612 0.002026 -0.056854  0.053962 -0.210365
COPR 01JUL05 2001.5086 52095 1121 4 -119.9   1882  0.570813   3809685  0.393283   -22 -0.858050  0.0083 0.000524 0.000610 0.002052 -0.041185  0.061896 -0.195299
COPR 01JUL06 2001.5113 52096 1121 5 -119.9   1882  0.568479   3809685  0.395523   -22 -0.849385  0.0083 0.000526 0.000612 0.002063 -0.050403  0.039803 -0.212310
COPR 01JUL07 2001.5140 52097 1121 6 -119.9   1882  0.570155   3809685  0.394473   -22 -0.863935  0.0083 0.000535 0.000620 0.002081 -0.068552  0.056897 -0.185325
COPR 01JUL16 2001.5387 52106 1123 1 -119.9   1882  0.567197   3809685  0.393299   -22 -0.867635  0.0083 0.000625 0.000706 0.002340 -0.018954 -0.002468 -0.194038
COPR 01JUL17 2001.5414 52107 1123 2 -119.9   1882  0.569414   3809685  0.392955   -22 -0.866693  0.0083 0.000520 0.000609 0.002038 -0.037457  0.066446 -0.197874
COPR 01JUL18 2001.5441 52108 1123 3 -119.9   1882  0.568710   3809685  0.392350   -22 -0.867817  0.0083 0.000529 0.000610 0.002015 -0.066917  0.063157 -0.197786
