site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
CTX1 13MAR27 2013.2348 56378 1733 3    2.3   3168  0.616571   5437943  0.465935   197  0.267257  0.0000 0.000545 0.000727 0.002122  0.035422 -0.015527 -0.090838
CTX1 13MAR28 2013.2375 56379 1733 4    2.3   3168  0.615622   5437943  0.467074   197  0.268783  0.0000 0.000560 0.000748 0.002201  0.018662 -0.036758 -0.090482
CTX1 13MAR29 2013.2402 56380 1733 5    2.3   3168  0.614366   5437943  0.468899   197  0.268032  0.0000 0.000557 0.000745 0.002191  0.015288 -0.023495 -0.088320
CTX1 13MAR30 2013.2430 56381 1733 6    2.3   3168  0.615971   5437943  0.463690   197  0.263194  0.0000 0.000560 0.000747 0.002194  0.018235 -0.034938 -0.076375
CTX1 13MAR31 2013.2457 56382 1734 0    2.3   3168  0.614940   5437943  0.465845   197  0.270068  0.0000 0.000552 0.000746 0.002184  0.027337 -0.009635 -0.063704
CTX1 13APR01 2013.2485 56383 1734 1    2.3   3168  0.616476   5437943  0.469491   197  0.269193  0.0000 0.000553 0.000744 0.002175  0.019737 -0.029608 -0.101366
CTX1 13APR02 2013.2512 56384 1734 2    2.3   3168  0.617090   5437943  0.469253   197  0.269125  0.0000 0.000559 0.000744 0.002194  0.026286 -0.052170 -0.111738
CTX1 13APR03 2013.2539 56385 1734 3    2.3   3168  0.616252   5437943  0.467105   197  0.269588  0.0000 0.000558 0.000750 0.002191  0.011885 -0.037500 -0.079763
CTX1 13APR04 2013.2567 56386 1734 4    2.3   3168  0.616281   5437943  0.464185   197  0.270568  0.0000 0.000576 0.000764 0.002250  0.001663 -0.032528 -0.092267
CTX1 13APR05 2013.2594 56387 1734 5    2.3   3168  0.617882   5437943  0.463919   197  0.270976  0.0000 0.000562 0.000746 0.002203  0.016530 -0.010021 -0.094590
