site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
DAR2 15JUN03 2015.4196 57176 1847 3  -78.2   5054  0.024919    957467  0.040251    36  0.331328  0.0000 0.000573 0.000466 0.001949 -0.062753  0.014581  0.080491
DAR2 15JUN04 2015.4223 57177 1847 4  -78.2   5054  0.025648    957467  0.044466    36  0.331435  0.0000 0.000573 0.000461 0.001924 -0.062764  0.011412  0.062680
DAR2 15JUN05 2015.4251 57178 1847 5  -78.2   5054  0.025420    957467  0.045469    36  0.332231  0.0000 0.000587 0.000473 0.002037 -0.086758 -0.018456  0.053393
DAR2 15JUN06 2015.4278 57179 1847 6  -78.2   5054  0.022276    957467  0.042589    36  0.329066  0.0000 0.000564 0.000454 0.001895 -0.053061  0.024412  0.041282
DAR2 15JUN07 2015.4305 57180 1848 0  -78.2   5054  0.022438    957467  0.038054    36  0.343111  0.0000 0.000566 0.000455 0.001926 -0.066159  0.033651  0.058338
DAR2 15JUN08 2015.4333 57181 1848 1  -78.2   5054  0.026042    957467  0.043870    36  0.332888  0.0000 0.000553 0.000453 0.001888 -0.056494  0.056218  0.067610
DAR2 15JUN09 2015.4360 57182 1848 2  -78.2   5054  0.024704    957467  0.043178    36  0.340636  0.0000 0.000567 0.000458 0.001913 -0.069437  0.035182  0.065868
DAR2 15JUN10 2015.4387 57183 1848 3  -78.2   5054  0.021883    957467  0.042064    36  0.337669  0.0000 0.000561 0.000453 0.001901 -0.048666  0.018101  0.057620
DAR2 15JUN11 2015.4415 57184 1848 4  -78.2   5054  0.023207    957467  0.042861    36  0.328215  0.0000 0.000601 0.000481 0.001956 -0.076587  0.012082  0.043998
DAR2 15JUN12 2015.4442 57185 1848 5  -78.2   5054  0.021817    957467  0.040814    36  0.327781  0.0000 0.000557 0.000450 0.001877 -0.061420  0.039521  0.057474
DAR2 15JUN13 2015.4470 57186 1848 6  -78.2   5054  0.020575    957467  0.040184    36  0.318472  0.0000 0.000559 0.000458 0.001900 -0.061744  0.033488  0.066260
DAR2 15JUN14 2015.4497 57187 1849 0  -78.2   5054  0.025353    957467  0.039068    36  0.325954  0.0000 0.000566 0.000465 0.001932 -0.071935  0.033077  0.067511
DAR2 15JUN15 2015.4524 57188 1849 1  -78.2   5054  0.024372    957467  0.042853    36  0.321817  0.0000 0.000643 0.000521 0.002244 -0.016105  0.052082  0.055962
DAR2 15JUN23 2015.4743 57196 1850 2  -78.2   5054  0.025382    957467  0.039898    36  0.333757  0.0000 0.000585 0.000475 0.001993 -0.053010  0.014470  0.067270
DAR2 15JUN24 2015.4771 57197 1850 3  -78.2   5054  0.025013    957467  0.039391    36  0.329982  0.0000 0.000573 0.000470 0.001958 -0.045171 -0.009194  0.088731
DAR2 15JUN25 2015.4798 57198 1850 4  -78.2   5054  0.024693    957467  0.040572    36  0.325659  0.0000 0.000556 0.000465 0.001934 -0.072687  0.012221  0.051507
DAR2 15JUN26 2015.4825 57199 1850 5  -78.2   5054  0.026623    957467  0.040928    36  0.323710  0.0000 0.000588 0.000471 0.001963 -0.072607 -0.001374  0.077143
DAR2 15JUN27 2015.4853 57200 1850 6  -78.2   5054  0.025264    957467  0.043839    36  0.322464  0.0000 0.000573 0.000467 0.001952 -0.041479  0.020787  0.071127
DAR2 15JUN28 2015.4880 57201 1851 0  -78.2   5054  0.024357    957467  0.041373    36  0.328259  0.0000 0.000568 0.000463 0.001931 -0.061089 -0.012221  0.059106
