site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
EDM5 10JAN29 2010.0780 55225 1568 5  -90.0  -4372 -0.450429   3570697  0.054472    76  0.410409  0.0000 0.000523 0.000561 0.001979  0.008236 -0.014815 -0.146935
EDM5 10JAN30 2010.0808 55226 1568 6  -90.0  -4372 -0.452145   3570697  0.053102    76  0.402205  0.0000 0.000517 0.000554 0.001938  0.001056 -0.020991 -0.139449
EDM5 10JAN31 2010.0835 55227 1569 0  -90.0  -4372 -0.449819   3570697  0.052526    76  0.402157  0.0000 0.000519 0.000556 0.001928 -0.010795 -0.021493 -0.132757
EDM5 10FEB01 2010.0862 55228 1569 1  -90.0  -4372 -0.450166   3570697  0.052635    76  0.416283  0.0000 0.000520 0.000553 0.001936  0.008760 -0.005632 -0.150998
EDM5 10FEB02 2010.0890 55229 1569 2  -90.0  -4372 -0.449704   3570697  0.051220    76  0.406484  0.0000 0.000600 0.000609 0.002145  0.038349  0.013202 -0.094549
EDM5 10FEB03 2010.0917 55230 1569 3  -90.0  -4372 -0.450783   3570697  0.053207    76  0.410506  0.0000 0.000596 0.000630 0.002192  0.005257  0.075481 -0.102930
EDM5 10FEB04 2010.0945 55231 1569 4  -90.0  -4372 -0.448538   3570697  0.049496    76  0.422444  0.0000 0.000586 0.000636 0.002250 -0.024367  0.023286 -0.162692
EDM5 10FEB05 2010.0972 55232 1569 5  -90.0  -4372 -0.448696   3570697  0.050929    76  0.410392  0.0000 0.000538 0.000585 0.002070 -0.021335  0.019577 -0.140457
EDM5 10FEB06 2010.0999 55233 1569 6  -90.0  -4372 -0.450700   3570697  0.051724    76  0.403972  0.0000 0.000535 0.000571 0.001985 -0.000084 -0.020226 -0.140999
EDM5 10FEB07 2010.1027 55234 1570 0  -90.0  -4372 -0.450232   3570697  0.052244    76  0.401266  0.0000 0.000557 0.000598 0.002080  0.022817 -0.020754 -0.174804
EDM5 10FEB08 2010.1054 55235 1570 1  -90.0  -4372 -0.448157   3570697  0.052153    76  0.396844  0.0000 0.000586 0.000624 0.002175  0.034402 -0.028142 -0.124268
EDM5 10FEB09 2010.1081 55236 1570 2  -90.0  -4372 -0.448233   3570697  0.050904    76  0.404419  0.0000 0.000529 0.000570 0.001990  0.027811 -0.032140 -0.146822
EDM5 10FEB10 2010.1109 55237 1570 3  -90.0  -4372 -0.451724   3570697  0.053540    76  0.399191  0.0000 0.000550 0.000584 0.002093  0.058613 -0.041618 -0.154512
EDM5 10FEB11 2010.1136 55238 1570 4  -90.0  -4372 -0.449560   3570697  0.052535    76  0.399988  0.0000 0.000545 0.000581 0.001999  0.000674 -0.007295 -0.131766
EDM5 10FEB12 2010.1164 55239 1570 5  -90.0  -4372 -0.448973   3570697  0.049691    76  0.403914  0.0000 0.000540 0.000580 0.002029  0.036134 -0.015403 -0.123550
EDM5 10FEB13 2010.1191 55240 1570 6  -90.0  -4372 -0.450136   3570697  0.051400    76  0.397224  0.0000 0.000522 0.000558 0.001924  0.006176  0.005226 -0.140239
EDM5 10FEB14 2010.1218 55241 1571 0  -90.0  -4372 -0.449260   3570697  0.050986    76  0.399860  0.0000 0.000530 0.000567 0.001967  0.033095 -0.043662 -0.117655
EDM5 10FEB15 2010.1246 55242 1571 1  -90.0  -4372 -0.451667   3570697  0.049530    76  0.394878  0.0000 0.000583 0.000596 0.002184  0.027593 -0.052764 -0.153289
EDM5 10FEB16 2010.1273 55243 1571 2  -90.0  -4372 -0.450960   3570697  0.051954    76  0.392762  0.0000 0.000549 0.000562 0.001979  0.027748 -0.049317 -0.148187
