site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
ETJI 07NOV29 2007.9097 54433 1455 4   36.8   1920  0.759046    847918  0.488559  1721  0.975380  0.0000 0.000901 0.000687 0.003154 -0.029904  0.094460 -0.077217
ETJI 07NOV30 2007.9124 54434 1455 5   36.8   1920  0.763968    847918  0.489007  1721  0.974762  0.0000 0.000757 0.000661 0.002831  0.016352  0.010068 -0.015018
ETJI 07DEC03 2007.9206 54437 1456 1   36.8   1920  0.760859    847918  0.484357  1721  0.980654  0.0000 0.000691 0.000534 0.002261 -0.024645  0.058018  0.015977
ETJI 07DEC04 2007.9233 54438 1456 2   36.8   1920  0.761410    847918  0.484320  1721  0.970836  0.0000 0.000712 0.000562 0.002486 -0.031435  0.009278 -0.016937
ETJI 07DEC05 2007.9261 54439 1456 3   36.8   1920  0.761100    847918  0.482499  1721  0.975046  0.0000 0.000612 0.000479 0.002051 -0.005307  0.023368  0.006734
ETJI 07DEC07 2007.9316 54441 1456 5   36.8   1920  0.766808    847918  0.488338  1721  0.974335  0.0000 0.000628 0.000529 0.002288 -0.007744  0.102929 -0.062039
ETJI 07DEC10 2007.9398 54444 1457 1   36.8   1920  0.763584    847918  0.485514  1721  0.985453  0.0000 0.000835 0.000631 0.002774 -0.009152  0.098754 -0.019545
ETJI 07DEC11 2007.9425 54445 1457 2   36.8   1920  0.764279    847918  0.488167  1721  0.972971  0.0000 0.000683 0.000533 0.002315  0.007071  0.059664 -0.012635
ETJI 07DEC12 2007.9452 54446 1457 3   36.8   1920  0.762990    847918  0.485978  1721  0.983084  0.0000 0.000620 0.000494 0.002124 -0.028425  0.062117 -0.029738
ETJI 07DEC13 2007.9480 54447 1457 4   36.8   1920  0.764413    847918  0.484717  1721  0.978898  0.0000 0.000616 0.000486 0.002098 -0.014772  0.027701 -0.024060
ETJI 07DEC14 2007.9507 54448 1457 5   36.8   1920  0.761442    847918  0.487096  1721  0.971794  0.0000 0.000646 0.000508 0.002194  0.002924  0.092933 -0.021029
ETJI 07DEC15 2007.9535 54449 1457 6   36.8   1920  0.760862    847918  0.485383  1721  0.972906  0.0000 0.000642 0.000528 0.002211  0.023540  0.060552 -0.005957
ETJI 07DEC16 2007.9562 54450 1458 0   36.8   1920  0.764982    847918  0.485854  1721  0.976039  0.0000 0.000831 0.000650 0.002853 -0.079776  0.079339 -0.060359
ETJI 07DEC17 2007.9589 54451 1458 1   36.8   1920  0.763901    847918  0.489689  1721  0.986028  0.0000 0.000559 0.000457 0.001929  0.005527  0.073971 -0.001625
ETJI 07DEC18 2007.9617 54452 1458 2   36.8   1920  0.764346    847918  0.486245  1721  0.974413  0.0000 0.000660 0.000512 0.002217 -0.007359  0.033801  0.035049
ETJI 07DEC19 2007.9644 54453 1458 3   36.8   1920  0.765033    847918  0.482998  1721  0.967027  0.0000 0.000574 0.000458 0.001948  0.012419  0.054792 -0.025646
ETJI 07DEC20 2007.9671 54454 1458 4   36.8   1920  0.762282    847918  0.484446  1721  0.976467  0.0000 0.000573 0.000467 0.001981  0.003898  0.068944 -0.042292
ETJI 07DEC21 2007.9699 54455 1458 5   36.8   1920  0.763866    847918  0.485730  1721  0.970668  0.0000 0.000577 0.000469 0.002024  0.007212  0.080446 -0.009545
ETJI 07DEC22 2007.9726 54456 1458 6   36.8   1920  0.765350    847918  0.485821  1721  0.982126  0.0000 0.000574 0.000474 0.002028 -0.018411  0.083802 -0.025045
ETJI 07DEC23 2007.9754 54457 1459 0   36.8   1920  0.763980    847918  0.485132  1721  0.970444  0.0000 0.000572 0.000465 0.001956  0.015173  0.076920  0.007386
ETJI 07DEC24 2007.9781 54458 1459 1   36.8   1920  0.763677    847918  0.485622  1721  0.990846  0.0000 0.000837 0.000653 0.002911 -0.026289  0.076438 -0.031434
ETJI 07DEC25 2007.9808 54459 1459 2   36.8   1920  0.763288    847918  0.485206  1721  0.978386  0.0000 0.000564 0.000454 0.001932  0.006963  0.082254 -0.015401
ETJI 07DEC26 2007.9836 54460 1459 3   36.8   1920  0.764081    847918  0.487040  1721  0.981781  0.0000 0.000578 0.000462 0.002006  0.001044  0.061151 -0.014838
ETJI 07DEC27 2007.9863 54461 1459 4   36.8   1920  0.764062    847918  0.486776  1721  0.981030  0.0000 0.000571 0.000468 0.002000  0.021368  0.045451 -0.004074
ETJI 07DEC28 2007.9890 54462 1459 5   36.8   1920  0.763394    847918  0.487610  1721  0.982251  0.0000 0.000584 0.000467 0.001982  0.015629  0.044547 -0.018864
ETJI 08JAN01 2008.0000 54466 1460 2   36.8   1920  0.761200    847918  0.488145  1721  0.979028  0.0000 0.000713 0.000533 0.002346  0.018021  0.042965  0.001996
ETJI 08JAN02 2008.0027 54467 1460 3   36.8   1920  0.763192    847918  0.488826  1721  0.976422  0.0000 0.000570 0.000449 0.001933 -0.007977  0.088462 -0.017024
ETJI 08JAN03 2008.0055 54468 1460 4   36.8   1920  0.764465    847918  0.488925  1721  0.986705  0.0000 0.000700 0.000566 0.002417 -0.000659  0.118908 -0.060998
ETJI 08JAN04 2008.0082 54469 1460 5   36.8   1920  0.761059    847918  0.489415  1721  0.982801  0.0000 0.000555 0.000450 0.001920 -0.016934  0.090886  0.016465
ETJI 08JAN05 2008.0110 54470 1460 6   36.8   1920  0.761856    847918  0.486272  1721  0.985953  0.0000 0.000578 0.000471 0.001978 -0.004206  0.116702 -0.002432
ETJI 08JAN06 2008.0137 54471 1461 0   36.8   1920  0.762970    847918  0.489772  1721  0.984563  0.0000 0.000555 0.000458 0.001966 -0.011109  0.098173  0.037192
ETJI 08JAN07 2008.0164 54472 1461 1   36.8   1920  0.766048    847918  0.484545  1721  0.988431  0.0000 0.000573 0.000468 0.001997 -0.004374  0.069792 -0.024242
ETJI 08JAN08 2008.0192 54473 1461 2   36.8   1920  0.765231    847918  0.487369  1721  0.984121  0.0000 0.000562 0.000453 0.001931 -0.011196  0.101728  0.000207
ETJI 08JAN09 2008.0219 54474 1461 3   36.8   1920  0.765071    847918  0.486879  1721  1.001355  0.0000 0.000666 0.000549 0.002326  0.020422  0.163123 -0.043131
ETJI 08JAN10 2008.0246 54475 1461 4   36.8   1920  0.764170    847918  0.487132  1721  0.984425  0.0000 0.000551 0.000446 0.001891  0.027101  0.093487  0.006233
ETJI 08JAN11 2008.0274 54476 1461 5   36.8   1920  0.765978    847918  0.484301  1721  0.983876  0.0000 0.000600 0.000505 0.002147 -0.002485  0.096727 -0.015003
ETJI 08JAN12 2008.0301 54477 1461 6   36.8   1920  0.761760    847918  0.487009  1721  0.987697  0.0000 0.000544 0.000446 0.001904  0.001036  0.074428 -0.025771
ETJI 08JAN13 2008.0329 54478 1462 0   36.8   1920  0.760520    847918  0.488661  1721  0.980074  0.0000 0.000778 0.000635 0.002663  0.009309  0.077850  0.046778
ETJI 08JAN14 2008.0356 54479 1462 1   36.8   1920  0.761946    847918  0.486309  1721  0.978744  0.0000 0.000815 0.000670 0.003053  0.045429  0.087268 -0.061563
ETJI 08JAN15 2008.0383 54480 1462 2   36.8   1920  0.764752    847918  0.488498  1721  0.976444  0.0000 0.000563 0.000459 0.002012  0.036707  0.073770  0.043769
ETJI 08JAN16 2008.0411 54481 1462 3   36.8   1920  0.765425    847918  0.485898  1721  0.975685  0.0000 0.000806 0.000631 0.002625  0.065422  0.058778 -0.019642
ETJI 08JAN17 2008.0438 54482 1462 4   36.8   1920  0.762634    847918  0.485894  1721  0.971208  0.0000 0.000963 0.000737 0.003084  0.070659  0.139091  0.024777
ETJI 08JAN18 2008.0465 54483 1462 5   36.8   1920  0.763594    847918  0.489978  1721  0.977056  0.0000 0.000810 0.000651 0.003001  0.015805  0.140888  0.063390
ETJI 08JAN19 2008.0493 54484 1462 6   36.8   1920  0.763897    847918  0.487314  1721  0.980839  0.0000 0.000559 0.000460 0.001953  0.032011  0.065184 -0.018294
ETJI 08JAN20 2008.0520 54485 1463 0   36.8   1920  0.764180    847918  0.487493  1721  0.983692  0.0000 0.000549 0.000447 0.001932  0.016222  0.081679 -0.030495
ETJI 08JAN21 2008.0548 54486 1463 1   36.8   1920  0.765268    847918  0.486508  1721  0.979857  0.0000 0.000543 0.000446 0.001890  0.013016  0.059839 -0.009356
ETJI 08JAN22 2008.0575 54487 1463 2   36.8   1920  0.763341    847918  0.484902  1721  0.982866  0.0000 0.000628 0.000521 0.002249  0.029585  0.082153 -0.025773
ETJI 08JAN23 2008.0602 54488 1463 3   36.8   1920  0.762931    847918  0.488435  1721  0.981742  0.0000 0.000606 0.000489 0.002123  0.037083  0.092028 -0.012419
ETJI 08JAN24 2008.0630 54489 1463 4   36.8   1920  0.764626    847918  0.485133  1721  0.976750  0.0000 0.000747 0.000604 0.002589 -0.003926  0.034889 -0.006797
ETJI 08JAN25 2008.0657 54490 1463 5   36.8   1920  0.764027    847918  0.485121  1721  0.974318  0.0000 0.000572 0.000472 0.002020  0.016904  0.073067 -0.016330
ETJI 08JAN26 2008.0684 54491 1463 6   36.8   1920  0.764876    847918  0.485600  1721  0.980928  0.0000 0.000541 0.000443 0.001889  0.013948  0.059079 -0.026845
ETJI 08JAN27 2008.0712 54492 1464 0   36.8   1920  0.765232    847918  0.488575  1721  0.981845  0.0000 0.000561 0.000452 0.001926 -0.000315  0.028958  0.018670
ETJI 08JAN28 2008.0739 54493 1464 1   36.8   1920  0.763955    847918  0.488238  1721  0.979771  0.0000 0.000552 0.000450 0.001908  0.023074  0.087031  0.010257
ETJI 08JAN29 2008.0767 54494 1464 2   36.8   1920  0.763457    847918  0.488467  1721  0.979469  0.0000 0.000663 0.000513 0.002265  0.042584  0.136226  0.016261
ETJI 08JAN30 2008.0794 54495 1464 3   36.8   1920  0.765878    847918  0.488090  1721  0.977768  0.0000 0.000617 0.000478 0.002043  0.026521  0.078989 -0.019164
ETJI 08JAN31 2008.0821 54496 1464 4   36.8   1920  0.765590    847918  0.486797  1721  0.974107  0.0000 0.000937 0.000805 0.003330  0.021955  0.019540  0.031254
ETJI 08FEB01 2008.0849 54497 1464 5   36.8   1920  0.765934    847918  0.487462  1721  0.976892  0.0000 0.000680 0.000547 0.002355  0.026654  0.089751 -0.001033
ETJI 08FEB02 2008.0876 54498 1464 6   36.8   1920  0.764537    847918  0.486446  1721  0.979360  0.0000 0.000556 0.000458 0.001951  0.008260  0.074814  0.008611
ETJI 08FEB03 2008.0903 54499 1465 0   36.8   1920  0.766659    847918  0.485974  1721  0.989618  0.0000 0.000547 0.000446 0.001901  0.019131  0.067216 -0.006968
ETJI 08FEB04 2008.0931 54500 1465 1   36.8   1920  0.765347    847918  0.484556  1721  0.977444  0.0000 0.000684 0.000558 0.002334 -0.001537  0.114972  0.001228
ETJI 08FEB05 2008.0958 54501 1465 2   36.8   1920  0.763937    847918  0.480195  1721  1.012640  0.0000 0.000776 0.000610 0.002673  0.027424  0.069738 -0.068286
