site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
FAUG 07JUL15 2007.5346 54296 1436 0   -4.7    697  0.891404   6335025  0.386726    99  0.282033  0.0000 0.000449 0.000615 0.001779  0.006165 -0.032627  0.127884
FAUG 07JUL20 2007.5483 54301 1436 5   -4.7    697  0.891061   6335025  0.389221    99  0.277534  0.0000 0.000446 0.000612 0.001755  0.014361 -0.034417  0.145840
FAUG 07JUL21 2007.5510 54302 1436 6   -4.7    697  0.890442   6335025  0.387795    99  0.279427  0.0000 0.000452 0.000619 0.001784  0.005146 -0.034411  0.127478
FAUG 07JUL22 2007.5537 54303 1437 0   -4.7    697  0.889007   6335025  0.388085    99  0.273344  0.0000 0.000451 0.000621 0.001783  0.008831 -0.033574  0.164072
FAUG 07JUL23 2007.5565 54304 1437 1   -4.7    697  0.889360   6335025  0.387312    99  0.276038  0.0000 0.000445 0.000613 0.001767 -0.002669 -0.039207  0.175420
FAUG 07JUL24 2007.5592 54305 1437 2   -4.7    697  0.889563   6335025  0.387641    99  0.280075  0.0000 0.000452 0.000627 0.001795 -0.014947 -0.024417  0.165365
FAUG 07JUL25 2007.5619 54306 1437 3   -4.7    697  0.888779   6335025  0.385375    99  0.287513  0.0000 0.000455 0.000626 0.001801  0.006455 -0.037293  0.143799
FAUG 07JUL26 2007.5647 54307 1437 4   -4.7    697  0.889342   6335025  0.387440    99  0.279783  0.0000 0.000448 0.000611 0.001775  0.017211 -0.035946  0.146625
FAUG 07JUL27 2007.5674 54308 1437 5   -4.7    697  0.890394   6335025  0.388239    99  0.281259  0.0000 0.000447 0.000610 0.001762  0.025848 -0.040844  0.158491
FAUG 07JUL28 2007.5702 54309 1437 6   -4.7    697  0.888085   6335025  0.384910    99  0.272238  0.0000 0.000449 0.000613 0.001785  0.015005 -0.041910  0.164745
FAUG 07JUL29 2007.5729 54310 1438 0   -4.7    697  0.886457   6335025  0.388458    99  0.272800  0.0000 0.000447 0.000616 0.001768  0.018773 -0.035487  0.155867
