site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
FMCO 17DEC14 2017.9521 58101 1979 4  -70.7    566  0.793641  -2940981 -0.898203    52  0.158097  0.0000 0.000910 0.000909 0.003659 -0.088910  0.042377  0.134790
FMCO 17DEC15 2017.9548 58102 1979 5  -70.7    566  0.791617  -2940981 -0.899284    52  0.158050  0.0000 0.000503 0.000522 0.001964  0.026718  0.056544  0.134574
FMCO 17DEC16 2017.9576 58103 1979 6  -70.7    566  0.790660  -2940981 -0.899560    52  0.149251  0.0000 0.000499 0.000521 0.001962  0.024288  0.052209  0.138011
FMCO 17DEC17 2017.9603 58104 1980 0  -70.7    566  0.794379  -2940981 -0.897783    52  0.161673  0.0000 0.000504 0.000522 0.001956  0.024122  0.047966  0.136582
FMCO 17DEC18 2017.9630 58105 1980 1  -70.7    566  0.795875  -2940981 -0.899461    52  0.160845  0.0000 0.000508 0.000521 0.001998  0.029996  0.045325  0.159122
FMCO 17DEC19 2017.9658 58106 1980 2  -70.7    566  0.794119  -2940981 -0.897911    52  0.158665  0.0000 0.000523 0.000531 0.002013  0.035179  0.061287  0.154507
FMCO 17DEC20 2017.9685 58107 1980 3  -70.7    566  0.793846  -2940981 -0.895613    52  0.162422  0.0000 0.000502 0.000517 0.001941  0.036728  0.060535  0.141562
FMCO 17DEC21 2017.9713 58108 1980 4  -70.7    566  0.794620  -2940981 -0.896784    52  0.158726  0.0000 0.000503 0.000521 0.001954  0.018721  0.048988  0.136583
FMCO 17DEC22 2017.9740 58109 1980 5  -70.7    566  0.794224  -2940981 -0.895882    52  0.154486  0.0000 0.000501 0.000525 0.001980  0.023707  0.051177  0.148882
FMCO 17DEC23 2017.9767 58110 1980 6  -70.7    566  0.794889  -2940981 -0.893746    52  0.160404  0.0000 0.000506 0.000527 0.001996  0.020264  0.042995  0.144727
FMCO 17DEC24 2017.9795 58111 1981 0  -70.7    566  0.795208  -2940981 -0.894651    52  0.156634  0.0000 0.000498 0.000516 0.001949  0.017233  0.046514  0.156936
FMCO 17DEC25 2017.9822 58112 1981 1  -70.7    566  0.796384  -2940981 -0.895981    52  0.152067  0.0000 0.000506 0.000523 0.001961  0.034652  0.036759  0.140589
FMCO 17DEC26 2017.9849 58113 1981 2  -70.7    566  0.791131  -2940981 -0.895040    52  0.152434  0.0000 0.000502 0.000521 0.001975  0.020310  0.030117  0.142076
FMCO 17DEC27 2017.9877 58114 1981 3  -70.7    566  0.790998  -2940981 -0.895150    52  0.156296  0.0000 0.000497 0.000521 0.001941  0.023944  0.056486  0.134515
FMCO 17DEC28 2017.9904 58115 1981 4  -70.7    566  0.792174  -2940981 -0.894627    52  0.152405  0.0000 0.000500 0.000521 0.001956  0.019755  0.043270  0.155970
FMCO 17DEC29 2017.9932 58116 1981 5  -70.7    566  0.790684  -2940981 -0.892851    52  0.161549  0.0000 0.000500 0.000523 0.001956  0.032059  0.049296  0.157411
FMCO 17DEC30 2017.9959 58117 1981 6  -70.7    566  0.793098  -2940981 -0.893364    52  0.158521  0.0000 0.000500 0.000517 0.001938  0.029475  0.042173  0.158781
FMCO 17DEC31 2017.9986 58118 1982 0  -70.7    566  0.794664  -2940981 -0.895937    52  0.151351  0.0000 0.000504 0.000522 0.001976  0.018633  0.028425  0.159085
