site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
G134 09JAN02 2009.0048 54833 1512 5  132.9   2107  0.134566   3696116  0.426339   446  0.850529  0.0000 0.000645 0.000745 0.002903 -0.024365  0.195513 -0.177347
G134 09JAN03 2009.0075 54834 1512 6  132.9   2107  0.134757   3696116  0.427252   446  0.849341  0.0000 0.000648 0.000748 0.002905 -0.024778  0.202570 -0.175934
G134 09JAN04 2009.0103 54835 1513 0  132.9   2107  0.134169   3696116  0.430302   446  0.850218  0.0000 0.000642 0.000740 0.002849 -0.008815  0.187454 -0.167753
G134 09JAN05 2009.0130 54836 1513 1  132.9   2107  0.134602   3696116  0.428377   446  0.849719  0.0000 0.000652 0.000748 0.002913 -0.015727  0.218490 -0.180467
G134 09JAN06 2009.0157 54837 1513 2  132.9   2107  0.132334   3696116  0.426974   446  0.842241  0.0000 0.000647 0.000736 0.002890 -0.018190  0.212308 -0.202762
G134 09JAN07 2009.0185 54838 1513 3  132.9   2107  0.134833   3696116  0.426917   446  0.842499  0.0000 0.000653 0.000748 0.002920 -0.015247  0.206153 -0.179762
G134 09JAN08 2009.0212 54839 1513 4  132.9   2107  0.133373   3696116  0.426568   446  0.845799  0.0000 0.000668 0.000766 0.002960  0.022516  0.195362 -0.164282
G134 09JAN09 2009.0240 54840 1513 5  132.9   2107  0.135294   3696116  0.428419   446  0.848499  0.0000 0.000665 0.000761 0.002932  0.037320  0.185598 -0.157054
G134 09JAN10 2009.0267 54841 1513 6  132.9   2107  0.134493   3696116  0.428545   446  0.840942  0.0000 0.000644 0.000740 0.002880  0.000723  0.209333 -0.179928
G134 09JAN11 2009.0294 54842 1514 0  132.9   2107  0.135016   3696116  0.428393   446  0.842324  0.0000 0.000656 0.000747 0.002916 -0.007362  0.213927 -0.189114
G134 09JAN12 2009.0322 54843 1514 1  132.9   2107  0.135819   3696116  0.429761   446  0.838273  0.0000 0.000653 0.000750 0.002938 -0.016177  0.214753 -0.192091
G134 09JAN13 2009.0349 54844 1514 2  132.9   2107  0.134816   3696116  0.427960   446  0.845558  0.0000 0.000649 0.000748 0.002924 -0.013735  0.212110 -0.192391
G134 09JAN14 2009.0376 54845 1514 3  132.9   2107  0.138048   3696116  0.428197   446  0.838769  0.0000 0.000659 0.000756 0.002960 -0.020289  0.221668 -0.185989
G134 09JAN15 2009.0404 54846 1514 4  132.9   2107  0.136265   3696116  0.426978   446  0.847896  0.0000 0.000655 0.000756 0.002943 -0.004712  0.215627 -0.176764
G134 09JAN16 2009.0431 54847 1514 5  132.9   2107  0.137008   3696116  0.430345   446  0.846271  0.0000 0.000670 0.000765 0.002993 -0.015034  0.228993 -0.180138
G134 09JAN17 2009.0459 54848 1514 6  132.9   2107  0.134602   3696116  0.427586   446  0.844423  0.0000 0.000657 0.000760 0.002957 -0.017013  0.216954 -0.179307
G134 09JAN18 2009.0486 54849 1515 0  132.9   2107  0.132977   3696116  0.427519   446  0.841932  0.0000 0.000666 0.000766 0.003025 -0.029736  0.249826 -0.199055
G134 09JAN19 2009.0513 54850 1515 1  132.9   2107  0.134497   3696116  0.425909   446  0.856793  0.0000 0.000653 0.000753 0.002950 -0.031334  0.229605 -0.191187
G134 09JAN20 2009.0541 54851 1515 2  132.9   2107  0.132899   3696116  0.427301   446  0.848874  0.0000 0.000646 0.000744 0.002904 -0.018067  0.213135 -0.180689
G134 09JAN21 2009.0568 54852 1515 3  132.9   2107  0.134674   3696116  0.425030   446  0.846064  0.0000 0.000650 0.000743 0.002929 -0.029320  0.212975 -0.190982
G134 09JAN22 2009.0595 54853 1515 4  132.9   2107  0.132785   3696116  0.428809   446  0.845911  0.0000 0.000656 0.000758 0.002952 -0.016402  0.228350 -0.162872
