site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GACN 16MAY15 2016.3696 57523 1897 0  -84.5    470  0.982147   3789915  0.034606   254  0.392264  0.0000 0.000499 0.000565 0.001974 -0.001165 -0.040160 -0.202985
GACN 16MAY16 2016.3723 57524 1897 1  -84.5    470  0.981708   3789915  0.033160   254  0.393553  0.0000 0.000496 0.000560 0.001939  0.010713 -0.041069 -0.211810
GACN 16MAY17 2016.3751 57525 1897 2  -84.5    470  0.981472   3789915  0.033433   254  0.392802  0.0000 0.000504 0.000567 0.001995  0.005817 -0.042339 -0.212764
GACN 16MAY18 2016.3778 57526 1897 3  -84.5    470  0.980938   3789915  0.032169   254  0.397198  0.0000 0.000503 0.000566 0.001990  0.001051 -0.047184 -0.200241
GACN 16MAY19 2016.3806 57527 1897 4  -84.5    470  0.981617   3789915  0.033776   254  0.397052  0.0000 0.000515 0.000571 0.002009  0.007761 -0.060462 -0.182349
GACN 16MAY20 2016.3833 57528 1897 5  -84.5    470  0.983002   3789915  0.034743   254  0.392665  0.0000 0.000504 0.000567 0.001988  0.011284 -0.056271 -0.205600
GACN 16MAY21 2016.3860 57529 1897 6  -84.5    470  0.983390   3789915  0.032319   254  0.401849  0.0000 0.000506 0.000568 0.001990  0.012973 -0.051359 -0.203862
GACN 16MAY22 2016.3888 57530 1898 0  -84.5    470  0.979943   3789915  0.034339   254  0.385068  0.0000 0.000503 0.000564 0.001957  0.001587 -0.023082 -0.219973
GACN 16MAY23 2016.3915 57531 1898 1  -84.5    470  0.978524   3789915  0.033127   254  0.378754  0.0000 0.000499 0.000563 0.001959  0.001371 -0.041456 -0.217197
GACN 16MAY24 2016.3943 57532 1898 2  -84.5    470  0.981814   3789915  0.032871   254  0.385515  0.0000 0.000499 0.000569 0.001990 -0.001988 -0.060246 -0.189517
GACN 16MAY25 2016.3970 57533 1898 3  -84.5    470  0.981355   3789915  0.031908   254  0.396335  0.0000 0.000499 0.000564 0.001954  0.004394 -0.046065 -0.197527
GACN 16MAY26 2016.3997 57534 1898 4  -84.5    470  0.980773   3789915  0.028948   254  0.401065  0.0000 0.000514 0.000572 0.002003  0.022535 -0.066987 -0.188003
GACN 16MAY27 2016.4025 57535 1898 5  -84.5    470  0.980898   3789915  0.031758   254  0.399442  0.0000 0.000519 0.000577 0.002023  0.031714 -0.044036 -0.188696
GACN 16MAY28 2016.4052 57536 1898 6  -84.5    470  0.978190   3789915  0.030248   254  0.387038  0.0000 0.000499 0.000564 0.001953  0.018929 -0.038197 -0.217169
GACN 16MAY29 2016.4079 57537 1899 0  -84.5    470  0.979210   3789915  0.030399   254  0.393554  0.0000 0.000500 0.000571 0.001986  0.011449 -0.043807 -0.202748
GACN 16MAY30 2016.4107 57538 1899 1  -84.5    470  0.978800   3789915  0.034052   254  0.394732  0.0000 0.000505 0.000569 0.001998  0.011435 -0.033584 -0.192488
GACN 16MAY31 2016.4134 57539 1899 2  -84.5    470  0.980834   3789915  0.034609   254  0.405454  0.0000 0.000502 0.000570 0.001977  0.004031 -0.042299 -0.205408
GACN 16JUN01 2016.4162 57540 1899 3  -84.5    470  0.979780   3789915  0.034732   254  0.399314  0.0000 0.000514 0.000580 0.002070  0.025290 -0.077235 -0.221954
GACN 16JUN02 2016.4189 57541 1899 4  -84.5    470  0.982499   3789915  0.034349   254  0.399569  0.0000 0.000502 0.000565 0.001989  0.005615 -0.046800 -0.222736
GACN 16JUN03 2016.4216 57542 1899 5  -84.5    470  0.980136   3789915  0.027628   254  0.399822  0.0000 0.000501 0.000578 0.002000  0.028077 -0.040202 -0.204765
GACN 16JUN04 2016.4244 57543 1899 6  -84.5    470  0.982841   3789915  0.032296   254  0.394624  0.0000 0.000510 0.000581 0.002051 -0.003753 -0.042975 -0.226342
GACN 16JUN05 2016.4271 57544 1900 0  -84.5    470  0.979095   3789915  0.034446   254  0.411593  0.0000 0.000499 0.000563 0.001976  0.009050 -0.057400 -0.193135
GACN 16JUN06 2016.4298 57545 1900 1  -84.5    470  0.978818   3789915  0.034230   254  0.391380  0.0000 0.000498 0.000567 0.001971  0.005273 -0.051599 -0.209315
GACN 16JUN07 2016.4326 57546 1900 2  -84.5    470  0.979336   3789915  0.032099   254  0.402581  0.0000 0.000504 0.000572 0.002032  0.002450 -0.055061 -0.227912
GACN 16JUN08 2016.4353 57547 1900 3  -84.5    470  0.981170   3789915  0.031891   254  0.392676  0.0000 0.000501 0.000565 0.001977  0.010652 -0.070244 -0.204465
