site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GEJE 18MAY31 2018.4120 58269 2003 4  128.6   1892  0.050031   3861850  0.266528    59  0.829435  0.0000 0.000514 0.000609 0.002080 -0.012633  0.126214  0.020562
GEJE 18JUN01 2018.4148 58270 2003 5  128.6   1892  0.051443   3861850  0.266875    59  0.833220  0.0000 0.000521 0.000626 0.002169 -0.010659  0.093378  0.058751
GEJE 18JUN02 2018.4175 58271 2003 6  128.6   1892  0.051252   3861850  0.267626    59  0.836835  0.0000 0.000524 0.000628 0.002184  0.018680  0.102688  0.062904
GEJE 18JUN03 2018.4203 58272 2004 0  128.6   1892  0.047276   3861850  0.265565    59  0.839794  0.0000 0.000518 0.000623 0.002177  0.001778  0.101593  0.084795
GEJE 18JUN04 2018.4230 58273 2004 1  128.6   1892  0.048580   3861850  0.267330    59  0.842002  0.0000 0.000514 0.000609 0.002139 -0.010777  0.123458  0.063175
GEJE 18JUN05 2018.4257 58274 2004 2  128.6   1892  0.051177   3861850  0.269886    59  0.837891  0.0000 0.000513 0.000613 0.002130 -0.003891  0.119418  0.065406
GEJE 18JUN06 2018.4285 58275 2004 3  128.6   1892  0.049822   3861850  0.270323    59  0.831298  0.0000 0.000516 0.000613 0.002105  0.003837  0.111661  0.040345
GEJE 18JUN07 2018.4312 58276 2004 4  128.6   1892  0.051799   3861850  0.268490    59  0.840688  0.0000 0.000517 0.000618 0.002139 -0.000404  0.113249  0.056284
GEJE 18JUN08 2018.4339 58277 2004 5  128.6   1892  0.050725   3861850  0.268960    59  0.841820  0.0000 0.000511 0.000619 0.002197 -0.004359  0.110099  0.113986
GEJE 18JUN09 2018.4367 58278 2004 6  128.6   1892  0.050937   3861850  0.268839    59  0.836763  0.0000 0.000516 0.000621 0.002166 -0.007439  0.123522  0.075045
GEJE 18JUN10 2018.4394 58279 2005 0  128.6   1892  0.050312   3861850  0.271597    59  0.844207  0.0000 0.000514 0.000607 0.002091  0.000591  0.111437  0.032639
GEJE 18JUN11 2018.4422 58280 2005 1  128.6   1892  0.051582   3861850  0.268636    59  0.835361  0.0000 0.000516 0.000620 0.002140 -0.017703  0.115949  0.064764
GEJE 18JUN12 2018.4449 58281 2005 2  128.6   1892  0.052852   3861850  0.268023    59  0.832605  0.0000 0.000520 0.000639 0.002249 -0.018104  0.116799  0.118052
GEJE 18JUN13 2018.4476 58282 2005 3  128.6   1892  0.051693   3861850  0.269104    59  0.836655  0.0000 0.000524 0.000631 0.002205 -0.007783  0.098186  0.087178
GEJE 18JUN14 2018.4504 58283 2005 4  128.6   1892  0.052007   3861850  0.271143    59  0.835766  0.0000 0.000514 0.000620 0.002138 -0.006407  0.104728  0.081778
GEJE 18JUN15 2018.4531 58284 2005 5  128.6   1892  0.052199   3861850  0.268719    59  0.828475  0.0000 0.000514 0.000625 0.002161 -0.004090  0.111012  0.094351
GEJE 18JUN16 2018.4559 58285 2005 6  128.6   1892  0.051551   3861850  0.269001    59  0.837443  0.0000 0.000513 0.000615 0.002102 -0.007567  0.106542  0.077294
GEJE 18JUN17 2018.4586 58286 2006 0  128.6   1892  0.053571   3861850  0.270510    59  0.842224  0.0000 0.000518 0.000620 0.002116 -0.004120  0.096452  0.050075
GEJE 18JUN18 2018.4613 58287 2006 1  128.6   1892  0.052532   3861850  0.267131    59  0.843770  0.0000 0.000516 0.000617 0.002094  0.005922  0.090374  0.051941
GEJE 18JUN19 2018.4641 58288 2006 2  128.6   1892  0.051776   3861850  0.269405    59  0.836791  0.0000 0.000521 0.000626 0.002175  0.006965  0.109329  0.066257
GEJE 18JUN20 2018.4668 58289 2006 3  128.6   1892  0.055572   3861850  0.268554    59  0.842719  0.0000 0.000518 0.000623 0.002161  0.002559  0.114278  0.067220
GEJE 18JUN21 2018.4695 58290 2006 4  128.6   1892  0.053756   3861850  0.267197    59  0.836425  0.0000 0.000523 0.000632 0.002172 -0.001071  0.096418  0.082980
GEJE 18JUN22 2018.4723 58291 2006 5  128.6   1892  0.053138   3861850  0.269613    59  0.833074  0.0000 0.000522 0.000638 0.002223 -0.020383  0.095376  0.110755
GEJE 18JUN23 2018.4750 58292 2006 6  128.6   1892  0.051067   3861850  0.266298    59  0.833121  0.0000 0.000517 0.000616 0.002140 -0.012074  0.090384  0.075568
GEJE 18JUN24 2018.4778 58293 2007 0  128.6   1892  0.054534   3861850  0.268982    59  0.830370  0.0000 0.000514 0.000626 0.002195  0.002627  0.103195  0.100692
GEJE 18JUN25 2018.4805 58294 2007 1  128.6   1892  0.053775   3861850  0.268457    59  0.831908  0.0000 0.000518 0.000629 0.002198 -0.003094  0.105116  0.092910
