site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
GEOR 06SEP27 2006.7379 54005 1394 3 -116.7   1077  0.167404   4232175  0.261416  1804  0.993029  0.1000 0.000494 0.000612 0.001876  0.001316  0.058755 -0.091694
GEOR 06SEP28 2006.7406 54006 1394 4 -116.7   1077  0.165786   4232175  0.260558  1804  0.998436  0.1000 0.000498 0.000614 0.001897 -0.006374  0.060205 -0.098201
GEOR 06SEP29 2006.7433 54007 1394 5 -116.7   1077  0.166856   4232175  0.258843  1804  0.998941  0.1000 0.000496 0.000616 0.001894 -0.006373  0.066178 -0.091778
GEOR 06SEP30 2006.7461 54008 1394 6 -116.7   1077  0.167380   4232175  0.258800  1804  0.999733  0.1000 0.000498 0.000616 0.001893 -0.001817  0.049885 -0.098344
GEOR 06OCT01 2006.7488 54009 1395 0 -116.7   1077  0.166281   4232175  0.260624  1804  0.998717  0.1000 0.000498 0.000619 0.001906 -0.005049  0.061024 -0.089998
GEOR 06OCT02 2006.7515 54010 1395 1 -116.7   1077  0.168120   4232175  0.259482  1804  0.991686  0.1000 0.000513 0.000636 0.001925 -0.003037  0.045082 -0.094213
GEOR 06OCT03 2006.7543 54011 1395 2 -116.7   1077  0.166264   4232175  0.260029  1804  0.990123  0.1000 0.000517 0.000638 0.001938 -0.002505  0.034636 -0.108767
GEOR 06OCT04 2006.7570 54012 1395 3 -116.7   1077  0.166351   4232175  0.258949  1804  0.991169  0.1000 0.000497 0.000617 0.001890 -0.012786  0.048948 -0.080151
GEOR 06OCT05 2006.7598 54013 1395 4 -116.7   1077  0.165878   4232175  0.259956  1804  0.988547  0.1000 0.000499 0.000617 0.001896 -0.003826  0.055246 -0.090102
GEOR 06OCT06 2006.7625 54014 1395 5 -116.7   1077  0.168865   4232175  0.259175  1804  0.990618  0.1000 0.000498 0.000619 0.001901 -0.004658  0.049420 -0.091876
