site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
I032 09JAN02 2009.0048 54833 1512 5  139.7  -4199 -0.743853   3923018  0.456201    70  0.522484  0.0000 0.000477 0.000581 0.001914 -0.059633  0.018678 -0.099082
I032 09JAN03 2009.0075 54834 1512 6  139.7  -4199 -0.743614   3923018  0.455856    70  0.526937  0.0000 0.000482 0.000584 0.001932 -0.066935  0.015250 -0.103750
I032 09JAN04 2009.0103 54835 1513 0  139.7  -4199 -0.743105   3923018  0.458492    70  0.526758  0.0000 0.000480 0.000583 0.001940 -0.057194  0.032257 -0.098858
I032 09JAN05 2009.0130 54836 1513 1  139.7  -4199 -0.744264   3923018  0.457405    70  0.521976  0.0000 0.000480 0.000581 0.001929 -0.063186  0.011856 -0.103223
I032 09JAN06 2009.0157 54837 1513 2  139.7  -4199 -0.745871   3923018  0.456489    70  0.521388  0.0000 0.000482 0.000579 0.001936 -0.058265  0.004809 -0.107181
I032 09JAN07 2009.0185 54838 1513 3  139.7  -4199 -0.744010   3923018  0.458962    70  0.520597  0.0000 0.000480 0.000578 0.001927 -0.064323  0.020338 -0.087645
I032 09JAN08 2009.0212 54839 1513 4  139.7  -4199 -0.744105   3923018  0.455283    70  0.522314  0.0000 0.000489 0.000584 0.001966 -0.031735  0.002133 -0.053357
I032 09JAN09 2009.0240 54840 1513 5  139.7  -4199 -0.744754   3923018  0.457784    70  0.526922  0.0000 0.000498 0.000588 0.001994 -0.031159 -0.008736 -0.054671
I032 09JAN10 2009.0267 54841 1513 6  139.7  -4199 -0.744137   3923018  0.457988    70  0.514706  0.0000 0.000480 0.000580 0.001930 -0.063592  0.024621 -0.098209
I032 09JAN11 2009.0294 54842 1514 0  139.7  -4199 -0.743641   3923018  0.458178    70  0.521396  0.0000 0.000485 0.000573 0.001928 -0.071536  0.035260 -0.123145
