site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
IAAM 09APR02 2009.2512 54923 1525 4  -93.6   3334  0.978826   4652702  0.990701   265  0.540658  0.0000 0.000581 0.000704 0.002264  0.037121  0.015796 -0.090730
IAAM 09SEP23 2009.7276 55097 1550 3  -93.6   3334  0.973101   4652702  0.987863   265  0.537591  0.0000 0.000499 0.000611 0.001863 -0.015604  0.068430 -0.135731
IAAM 09OCT01 2009.7495 55105 1551 4  -93.6   3334  0.974977   4652702  0.987963   265  0.537967  0.0000 0.000500 0.000605 0.001870 -0.042919  0.068062 -0.156751
IAAM 09OCT02 2009.7522 55106 1551 5  -93.6   3334  0.970862   4652702  0.989352   265  0.536275  0.0000 0.000494 0.000598 0.001829 -0.034795  0.058824 -0.147730
IAAM 09OCT03 2009.7550 55107 1551 6  -93.6   3334  0.972493   4652702  0.988308   265  0.539641  0.0000 0.000493 0.000600 0.001806 -0.026253  0.053948 -0.137138
IAAM 09OCT04 2009.7577 55108 1552 0  -93.6   3334  0.973022   4652702  0.989998   265  0.531101  0.0000 0.000493 0.000594 0.001817 -0.022528  0.047287 -0.157297
IAAM 09OCT05 2009.7604 55109 1552 1  -93.6   3334  0.972274   4652702  0.988693   265  0.538177  0.0000 0.000489 0.000595 0.001804 -0.023390  0.048383 -0.143927
IAAM 09OCT06 2009.7632 55110 1552 2  -93.6   3334  0.970239   4652702  0.988569   265  0.541209  0.0000 0.000494 0.000599 0.001836 -0.048344  0.073017 -0.149855
IAAM 09OCT07 2009.7659 55111 1552 3  -93.6   3334  0.971806   4652702  0.988315   265  0.534671  0.0000 0.000497 0.000597 0.001820 -0.040829  0.069320 -0.126136
IAAM 09OCT08 2009.7687 55112 1552 4  -93.6   3334  0.973602   4652702  0.989243   265  0.540701  0.0000 0.000510 0.000621 0.001910  0.013247  0.021931 -0.167762
IAAM 09OCT17 2009.7933 55121 1553 6  -93.6   3334  0.973413   4652702  0.987348   265  0.526479  0.0000 0.000505 0.000612 0.001863 -0.060909  0.064047 -0.133166
IAAM 09OCT31 2009.8316 55135 1555 6  -93.6   3334  0.970756   4652702  0.986467   265  0.537971  0.0000 0.000519 0.000609 0.001870 -0.067698  0.066223 -0.147765
IAAM 09DEC22 2009.9740 55187 1563 2  -93.6   3334  0.969474   4652702  0.989495   265  0.530908  0.0000 0.000504 0.000604 0.001844 -0.040672  0.052466 -0.132497
IAAM 10JAN29 2010.0780 55225 1568 5  -93.6   3334  0.967583   4652702  0.988662   265  0.526723  0.0000 0.000489 0.000594 0.001802 -0.002832  0.004607 -0.147434
IAAM 10FEB01 2010.0862 55228 1569 1  -93.6   3334  0.966088   4652702  0.987586   265  0.544458  0.0000 0.000547 0.000664 0.001994 -0.033171  0.002080 -0.168586
IAAM 10FEB02 2010.0890 55229 1569 2  -93.6   3334  0.966795   4652702  0.986532   265  0.538896  0.0000 0.000509 0.000606 0.001848  0.008008  0.025926 -0.102693
IAAM 10FEB03 2010.0917 55230 1569 3  -93.6   3334  0.967221   4652702  0.987117   265  0.538029  0.0000 0.000492 0.000598 0.001796 -0.008194  0.027500 -0.134211
IAAM 10FEB04 2010.0945 55231 1569 4  -93.6   3334  0.967596   4652702  0.987424   265  0.537517  0.0000 0.000503 0.000615 0.001839 -0.036110  0.061227 -0.116062
IAAM 10FEB05 2010.0972 55232 1569 5  -93.6   3334  0.967424   4652702  0.988513   265  0.532901  0.0000 0.000509 0.000626 0.001894 -0.031874  0.034977 -0.122018
