site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
KAHU 06APR20 2006.2998 53845 1371 4  176.9  -2031 -0.858135  -4406628 -0.623495   654  0.266347  0.0020 0.000489 0.000611 0.001795 -0.012196 -0.006088  0.120273
KAHU 06APR21 2006.3025 53846 1371 5  176.9  -2031 -0.858365  -4406628 -0.624777   654  0.270572  0.0020 0.000486 0.000596 0.001761 -0.000533 -0.003848  0.112711
KAHU 06APR22 2006.3053 53847 1371 6  176.9  -2031 -0.856340  -4406628 -0.629258   654  0.264453  0.0020 0.000489 0.000598 0.001775  0.000318 -0.006095  0.118383
KAHU 06APR23 2006.3080 53848 1372 0  176.9  -2031 -0.855563  -4406628 -0.627289   654  0.265025  0.0020 0.000489 0.000593 0.001757  0.000648 -0.003438  0.118607
KAHU 06APR24 2006.3107 53849 1372 1  176.9  -2031 -0.857981  -4406628 -0.626129   654  0.262514  0.0020 0.000486 0.000597 0.001771  0.001895 -0.009608  0.141510
KAHU 06APR25 2006.3135 53850 1372 2  176.9  -2031 -0.857316  -4406628 -0.622577   654  0.263640  0.0020 0.000496 0.000602 0.001780  0.009154 -0.001332  0.148274
KAHU 06APR26 2006.3162 53851 1372 3  176.9  -2031 -0.857424  -4406628 -0.622144   654  0.264751  0.0020 0.000487 0.000595 0.001767  0.009234  0.006548  0.123082
KAHU 06APR27 2006.3190 53852 1372 4  176.9  -2031 -0.857637  -4406628 -0.623612   654  0.270152  0.0020 0.000497 0.000610 0.001815 -0.009427 -0.011205  0.149608
KAHU 06APR28 2006.3217 53853 1372 5  176.9  -2031 -0.858285  -4406628 -0.624970   654  0.267971  0.0020 0.000497 0.000608 0.001806 -0.009428 -0.017615  0.135640
KAHU 06APR29 2006.3244 53854 1372 6  176.9  -2031 -0.856822  -4406628 -0.625339   654  0.256206  0.0020 0.000488 0.000595 0.001771  0.008585  0.004567  0.122598
KAHU 06APR30 2006.3272 53855 1373 0  176.9  -2031 -0.857288  -4406628 -0.623963   654  0.259962  0.0020 0.000485 0.000595 0.001758 -0.001902 -0.016010  0.111976
KAHU 06MAY01 2006.3299 53856 1373 1  176.9  -2031 -0.858275  -4406628 -0.623237   654  0.254449  0.0020 0.000482 0.000591 0.001744  0.000589 -0.004366  0.112233
