site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
KAYT 98JUN06 1998.4285 50970  960 6  121.0  -2404 -0.905936   1546894  0.105007    61  0.114255  0.0794 0.000780 0.000636 0.002922 -0.018542  0.046016  0.000766
KAYT 98JUN07 1998.4312 50971  961 0  121.0  -2404 -0.907530   1546894  0.104583    61  0.124294  0.0794 0.000750 0.000611 0.002749 -0.014469  0.032828  0.013022
KAYT 98JUN08 1998.4339 50972  961 1  121.0  -2404 -0.912122   1546894  0.110288    61  0.108124  0.0794 0.000773 0.000615 0.002784 -0.022946  0.001596  0.027605
KAYT 98JUN09 1998.4367 50973  961 2  121.0  -2404 -0.905951   1546894  0.108549    61  0.110095  0.0794 0.000767 0.000616 0.002819 -0.018511  0.046350 -0.005159
KAYT 98JUN10 1998.4394 50974  961 3  121.0  -2404 -0.903958   1546894  0.111091    61  0.112282  0.0794 0.000780 0.000632 0.002826 -0.009717  0.034056  0.014659
KAYT 98JUN11 1998.4422 50975  961 4  121.0  -2404 -0.902900   1546894  0.110570    61  0.102043  0.0794 0.000750 0.000608 0.002772  0.021899  0.033867 -0.017220
KAYT 98JUN12 1998.4449 50976  961 5  121.0  -2404 -0.902365   1546894  0.109684    61  0.110758  0.0794 0.000744 0.000602 0.002737  0.033558  0.029839 -0.012537
KAYT 98JUN13 1998.4476 50977  961 6  121.0  -2404 -0.899598   1546894  0.111961    61  0.121426  0.0794 0.000754 0.000610 0.002775  0.032880  0.032395 -0.010294
KAYT 98JUN14 1998.4504 50978  962 0  121.0  -2404 -0.902814   1546894  0.110022    61  0.134214  0.0794 0.000739 0.000620 0.002761  0.013380  0.023456  0.019052
KAYT 98JUN15 1998.4531 50979  962 1  121.0  -2404 -0.902145   1546894  0.105920    61  0.111724  0.0794 0.000779 0.000637 0.002814 -0.013445  0.001012  0.049790
KAYT 98JUN16 1998.4559 50980  962 2  121.0  -2404 -0.905700   1546894  0.108359    61  0.114382  0.0794 0.000794 0.000640 0.002923 -0.007099  0.011415  0.046527
KAYT 98JUN17 1998.4586 50981  962 3  121.0  -2404 -0.908326   1546894  0.104642    61  0.120583  0.0794 0.000761 0.000614 0.002819  0.010464  0.013725 -0.025873
KAYT 98JUN18 1998.4613 50982  962 4  121.0  -2404 -0.910007   1546894  0.113300    61  0.105135  0.0794 0.000767 0.000605 0.002790 -0.001812  0.036648 -0.027307
KAYT 98JUN19 1998.4641 50983  962 5  121.0  -2404 -0.905538   1546894  0.109586    61  0.120657  0.0794 0.000739 0.000612 0.002754 -0.011004  0.040354  0.051728
KAYT 98JUN20 1998.4668 50984  962 6  121.0  -2404 -0.905059   1546894  0.108369    61  0.110630  0.0794 0.000740 0.000610 0.002734  0.001827  0.044396  0.032003
KAYT 98JUN21 1998.4695 50985  963 0  121.0  -2404 -0.906587   1546894  0.113622    61  0.128837  0.0794 0.000752 0.000613 0.002756  0.027312  0.044110  0.035302
KAYT 98JUN22 1998.4723 50986  963 1  121.0  -2404 -0.905661   1546894  0.111022    61  0.119806  0.0794 0.000792 0.000625 0.002886  0.029865  0.022112 -0.006272
KAYT 98JUN23 1998.4750 50987  963 2  121.0  -2404 -0.908679   1546894  0.105539    61  0.119279  0.0794 0.000784 0.000630 0.002877 -0.011155  0.025956  0.043565
KAYT 98JUN24 1998.4778 50988  963 3  121.0  -2404 -0.907551   1546894  0.113636    61  0.116551  0.0794 0.000750 0.000629 0.002751 -0.043098  0.030192  0.062483
KAYT 98JUN25 1998.4805 50989  963 4  121.0  -2404 -0.905631   1546894  0.111525    61  0.111191  0.0794 0.000755 0.000637 0.002812 -0.013937  0.022154  0.037846
KAYT 98JUN26 1998.4832 50990  963 5  121.0  -2404 -0.905744   1546894  0.111047    61  0.118011  0.0794 0.000761 0.000629 0.002871 -0.030260  0.026996  0.017978
KAYT 98JUN27 1998.4860 50991  963 6  121.0  -2404 -0.904555   1546894  0.108743    61  0.119348  0.0794 0.000760 0.000636 0.002846 -0.025495  0.048483  0.027590
KAYT 98JUN28 1998.4887 50992  964 0  121.0  -2404 -0.904997   1546894  0.109230    61  0.103109  0.0794 0.000766 0.000632 0.002846  0.013604  0.023101  0.020533
