site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
KRS1 09JAN01 2009.0021 54832 1512 4   43.1   -554 -0.953824   4494870  0.971258  1811  0.776800  0.0870 0.000465 0.000595 0.001785 -0.042866  0.032987 -0.154012
KRS1 09JAN16 2009.0431 54847 1514 5   43.1   -554 -0.950776   4494870  0.973529  1811  0.773930  0.0870 0.000462 0.000594 0.001794 -0.025879  0.028974 -0.160453
KRS1 09JAN17 2009.0459 54848 1514 6   43.1   -554 -0.951249   4494870  0.971590  1811  0.775684  0.0870 0.000466 0.000599 0.001820 -0.022877  0.015821 -0.163846
KRS1 09JAN18 2009.0486 54849 1515 0   43.1   -554 -0.951651   4494870  0.973134  1811  0.771547  0.0870 0.000463 0.000598 0.001803 -0.030460  0.020417 -0.179476
KRS1 09JAN19 2009.0513 54850 1515 1   43.1   -554 -0.949121   4494870  0.971099  1811  0.776817  0.0870 0.000463 0.000594 0.001800 -0.032046  0.031179 -0.183705
KRS1 09JAN20 2009.0541 54851 1515 2   43.1   -554 -0.950884   4494870  0.973120  1811  0.772342  0.0870 0.000461 0.000594 0.001800 -0.021990  0.021009 -0.168536
KRS1 09JAN21 2009.0568 54852 1515 3   43.1   -554 -0.948479   4494870  0.973285  1811  0.767275  0.0870 0.000460 0.000596 0.001782 -0.024967  0.021622 -0.171798
KRS1 09JAN22 2009.0595 54853 1515 4   43.1   -554 -0.948600   4494870  0.973798  1811  0.773478  0.0870 0.000461 0.000595 0.001783 -0.024803  0.019520 -0.165543
KRS1 09JAN23 2009.0623 54854 1515 5   43.1   -554 -0.948100   4494870  0.971513  1811  0.777854  0.0870 0.000460 0.000595 0.001793 -0.023715  0.009108 -0.177969
KRS1 09JAN24 2009.0650 54855 1515 6   43.1   -554 -0.949248   4494870  0.973016  1811  0.780386  0.0870 0.000462 0.000595 0.001800 -0.034371  0.011081 -0.161948
